palabra,pagina,cantidad,fechaini,fechafin
negro,https://www.cronista.com/economiapolitica/El-Gobierno-autorizo-a-productores-de-energias-renovables-a-entrar-al-mercado-mayorista-20180126-0077.html,1,20180126,20180126
ruta,https://www.cronista.com/economiapolitica/El-Gobierno-autorizo-a-productores-de-energias-renovables-a-entrar-al-mercado-mayorista-20180126-0077.html,1,20180126,20180126
nacional,https://www.cronista.com/economiapolitica/El-Gobierno-autorizo-a-productores-de-energias-renovables-a-entrar-al-mercado-mayorista-20180126-0077.html,1,20180126,20180126
restantes,https://www.cronista.com/economiapolitica/El-Gobierno-autorizo-a-productores-de-energias-renovables-a-entrar-al-mercado-mayorista-20180126-0077.html,1,20180126,20180126
centrales,https://www.cronista.com/economiapolitica/El-Gobierno-autorizo-a-productores-de-energias-renovables-a-entrar-al-mercado-mayorista-20180126-0077.html,1,20180126,20180126
eolicas,https://www.cronista.com/economiapolitica/El-Gobierno-autorizo-a-productores-de-energias-renovables-a-entrar-al-mercado-mayorista-20180126-0077.html,1,20180126,20180126
autorizadas,https://www.cronista.com/economiapolitica/El-Gobierno-autorizo-a-productores-de-energias-renovables-a-entrar-al-mercado-mayorista-20180126-0077.html,1,20180126,20180126
ingresar,https://www.cronista.com/economiapolitica/El-Gobierno-autorizo-a-productores-de-energias-renovables-a-entrar-al-mercado-mayorista-20180126-0077.html,1,20180126,20180126
cerro,https://www.cronista.com/economiapolitica/El-Gobierno-autorizo-a-productores-de-energias-renovables-a-entrar-al-mercado-mayorista-20180126-0077.html,1,20180126,20180126
policia,https://www.cronista.com/economiapolitica/El-Gobierno-autorizo-a-productores-de-energias-renovables-a-entrar-al-mercado-mayorista-20180126-0077.html,1,20180126,20180126
instalada,https://www.cronista.com/economiapolitica/El-Gobierno-autorizo-a-productores-de-energias-renovables-a-entrar-al-mercado-mayorista-20180126-0077.html,1,20180126,20180126
localidad,https://www.cronista.com/economiapolitica/El-Gobierno-autorizo-a-productores-de-energias-renovables-a-entrar-al-mercado-mayorista-20180126-0077.html,1,20180126,20180126
misma,https://www.cronista.com/economiapolitica/El-Gobierno-autorizo-a-productores-de-energias-renovables-a-entrar-al-mercado-mayorista-20180126-0077.html,1,20180126,20180126
provincia,https://www.cronista.com/economiapolitica/El-Gobierno-autorizo-a-productores-de-energias-renovables-a-entrar-al-mercado-mayorista-20180126-0077.html,1,20180126,20180126
eolica,https://www.cronista.com/economiapolitica/El-Gobierno-autorizo-a-productores-de-energias-renovables-a-entrar-al-mercado-mayorista-20180126-0077.html,1,20180126,20180126
rionegrina,https://www.cronista.com/economiapolitica/El-Gobierno-autorizo-a-productores-de-energias-renovables-a-entrar-al-mercado-mayorista-20180126-0077.html,1,20180126,20180126
pocitos,https://www.cronista.com/economiapolitica/El-Gobierno-autorizo-a-productores-de-energias-renovables-a-entrar-al-mercado-mayorista-20180126-0077.html,1,20180126,20180126
