valor1,valor2,valor3,valor4,valor5,valor6,valor7,monto,no pago
S,sergio,Y,Y,30,q,30,30,0
A,jojo,U,U,4,w,4,4,0
S,sergio,Y,Y,34,e,34,34,0
A,pepe,T,T,10,r,10,10,0
A,jojo,U,U,21,t,21,21,0
S,sergio,Y,Y,42,y,42,42,0
S,sergio,Y,Y,28,u,28,28,0
S,sergio,Y,Y,14,i,14,14,0
A,sergio,Y,Y,31,o,31,31,0
A,sergio,T,T,67,p,67,67,0
S,pepe,T,T,3,l,3,8,0
A,jojo,T,T,2,k,2,5,0
S,pepe,T,T,1,j,1,4,0
A,sergio,T,T,2,h,2,5,0
S,sergio,U,U,3,g,3,44,0
S,jojo,U,U,4,f,4,32,0
S,pepe,U,U,5,d,5,67,0
S,sergio,U,U,6,s,6,88,0
A,pepe,U,U,7,a,7,93,0
A,sergio,Y,Y,8,z,8,34,0
A,jojo,T,T,9,x,9,45,0
A,sergio,Y,Y,0,c,0,5,0
A,sergio,U,U,9,v,9,76,0
S,sergio,Y,Y,12,b,12,30,0
A,jojo,U,U,11,n,11,4,0
S,sergio,Y,Y,23,m,23,34,0
A,pepe,T,T,21,q,21,10,0
A,jojo,U,U,2,w,2,21,0
S,jojo,T,T,21,e,21,72,0
S,sergio,T,T,54,r,54,35,0
S,sergio,U,U,56,t,56,42,0
S,sergio,U,U,76,y,76,28,0
S,sergio,U,U,78,u,78,14,0
A,sergio,U,U,98,i,98,31,0
A,sergio,U,U,76,o,76,67,0
S,pepe,U,U,54,p,54,8,0
A,jojo,Y,Y,32,l,32,5,0
S,pepe,T,T,34,k,34,4,0
A,sergio,Y,Y,56,j,56,5,0
S,sergio,U,U,7,h,7,44,0
S,jojo,Y,Y,8,g,8,32,0
S,pepe,T,T,9,f,9,67,0
S,sergio,Y,Y,8,d,8,88,0
A,pepe,U,U,7,s,7,93,0
A,sergio,U,U,6,a,6,34,0
A,jojo,Y,Y,5,z,5,45,0
A,sergio,T,T,4,x,4,5,0
A,sergio,Y,Y,3,c,3,76,0
S,sergio,Y,Y,2,v,2,30,0
A,jojo,U,U,1,b,1,4,0
S,sergio,Y,Y,2,n,2,34,0
A,pepe,T,T,3,m,3,10,0
A,jojo,U,U,4,q,4,21,0
S,sergio,Y,Y,5,w,5,42,0
S,sergio,Y,Y,6,e,6,28,0
S,sergio,Y,Y,7,r,7,14,0
A,sergio,Y,Y,7,t,7,31,0
A,sergio,T,T,77,y,77,67,0
S,pepe,T,T,56,u,56,8,0
A,jojo,T,T,54,i,54,5,0
S,pepe,T,T,34,o,34,4,0
A,sergio,T,T,32,p,32,5,0
S,sergio,U,U,14,l,14,44,0
S,jojo,U,U,16,k,16,32,0
S,pepe,U,U,18,j,18,67,0
S,sergio,U,U,19,h,19,88,0
A,pepe,U,U,43,g,43,93,0
A,sergio,Y,Y,1,f,1,34,0
A,jojo,T,T,2,d,2,45,0
A,sergio,Y,Y,3,s,3,5,0
A,sergio,U,U,4,a,4,76,0
S,sergio,Y,Y,5,z,5,30,0
A,jojo,U,U,6,x,6,4,0
S,sergio,Y,Y,7,c,7,34,0
A,pepe,T,T,6,v,6,10,0
A,jojo,U,U,5,b,5,21,0
S,jojo,T,T,4,n,4,72,0
S,sergio,T,T,3,q,3,35,0
S,sergio,U,U,2,w,2,42,0
S,sergio,U,U,1,e,1,28,0
S,sergio,U,U,2,r,2,14,0
A,sergio,U,U,3,t,3,31,0
A,sergio,U,U,4,y,4,67,0
S,pepe,U,U,5,u,5,8,0
A,jojo,Y,Y,6,i,6,5,0
S,pepe,T,T,7,o,7,4,0
A,sergio,Y,Y,8,p,8,5,0
S,sergio,U,U,9,l,9,44,0
S,jojo,Y,Y,0,k,0,32,0
S,pepe,T,T,9,j,9,67,0
