var_a,var_s,var_d,var_f,var_g,var_h,var_j,var_k,var_l,var_z,var_x,var_c,var_v,var_b,monto,no pago
S,a,S,a,S,a,S,a,S,S,a,S,S,a,30,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,4,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,34,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,10,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,21,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,42,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,28,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,14,0
A,c,A,c,A,c,A,c,A,A,c,A,A,c,31,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,67,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,8,0
A,c,A,c,A,c,A,c,A,A,c,A,A,c,5,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,4,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,5,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,44,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,32,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,67,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,88,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,93,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,34,0
A,c,A,c,A,c,A,c,A,A,c,A,A,c,45,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,5,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,76,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,30,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,4,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,34,0
A,c,A,c,A,c,A,c,A,A,c,A,A,c,10,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,21,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,72,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,35,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,42,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,28,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,14,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,31,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,67,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,8,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,5,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,4,0
A,c,A,c,A,c,A,c,A,A,c,A,A,c,5,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,44,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,32,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,67,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,88,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,93,0
A,c,A,c,A,c,A,c,A,A,c,A,A,c,34,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,45,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,5,0
A,c,A,c,A,c,A,c,A,A,c,A,A,c,76,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,30,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,4,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,34,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,10,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,21,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,42,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,28,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,14,0
A,c,A,c,A,c,A,c,A,A,c,A,A,c,31,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,67,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,8,0
A,c,A,c,A,c,A,c,A,A,c,A,A,c,5,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,4,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,5,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,44,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,32,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,67,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,88,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,93,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,34,0
A,c,A,c,A,c,A,c,A,A,c,A,A,c,45,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,5,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,76,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,30,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,4,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,34,0
A,c,A,c,A,c,A,c,A,A,c,A,A,c,10,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,21,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,72,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,35,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,42,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,28,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,14,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,31,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,67,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,8,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,5,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,4,0
A,c,A,c,A,c,A,c,A,A,c,A,A,c,5,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,44,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,32,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,67,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,88,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,93,0
A,c,A,c,A,c,A,c,A,A,c,A,A,c,34,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,45,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,5,0
A,c,A,c,A,c,A,c,A,A,c,A,A,c,76,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,30,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,4,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,34,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,10,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,21,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,42,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,28,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,14,0
A,c,A,c,A,c,A,c,A,A,c,A,A,c,31,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,67,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,8,0
A,c,A,c,A,c,A,c,A,A,c,A,A,c,5,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,4,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,5,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,44,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,32,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,67,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,88,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,93,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,34,0
A,c,A,c,A,c,A,c,A,A,c,A,A,c,45,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,5,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,76,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,30,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,4,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,34,0
A,c,A,c,A,c,A,c,A,A,c,A,A,c,10,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,21,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,72,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,35,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,42,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,28,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,14,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,31,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,67,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,8,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,5,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,4,0
A,c,A,c,A,c,A,c,A,A,c,A,A,c,5,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,44,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,32,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,67,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,88,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,93,0
A,c,A,c,A,c,A,c,A,A,c,A,A,c,34,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,45,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,5,0
A,c,A,c,A,c,A,c,A,A,c,A,A,c,76,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,30,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,4,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,34,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,10,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,21,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,42,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,28,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,14,0
A,c,A,c,A,c,A,c,A,A,c,A,A,c,31,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,67,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,8,0
A,c,A,c,A,c,A,c,A,A,c,A,A,c,5,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,4,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,5,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,44,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,32,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,67,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,88,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,93,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,34,0
A,c,A,c,A,c,A,c,A,A,c,A,A,c,45,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,5,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,76,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,30,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,4,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,34,0
A,c,A,c,A,c,A,c,A,A,c,A,A,c,10,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,21,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,72,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,35,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,42,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,28,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,14,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,31,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,67,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,8,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,5,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,4,0
A,c,A,c,A,c,A,c,A,A,c,A,A,c,5,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,44,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,32,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,67,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,88,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,93,0
A,c,A,c,A,c,A,c,A,A,c,A,A,c,34,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,45,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,5,0
A,c,A,c,A,c,A,c,A,A,c,A,A,c,76,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,30,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,4,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,34,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,10,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,21,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,42,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,28,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,14,0
A,c,A,c,A,c,A,c,A,A,c,A,A,c,31,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,67,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,8,0
A,c,A,c,A,c,A,c,A,A,c,A,A,c,5,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,4,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,5,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,44,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,32,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,67,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,88,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,93,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,34,0
A,c,A,c,A,c,A,c,A,A,c,A,A,c,45,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,5,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,76,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,30,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,4,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,55,0
A,c,A,c,A,c,A,c,A,A,c,A,A,c,56,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,557,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,58,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,59,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,54,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,43,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,32,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,12,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,34,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,44,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,45,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,67,0
A,c,A,c,A,c,A,c,A,A,c,A,A,c,88,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,44,0
S,b,S,b,S,b,S,b,S,S,b,S,S,b,32,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,67,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,88,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,93,0
A,c,A,c,A,c,A,c,A,A,c,A,A,c,34,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,45,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,5,0
A,c,A,c,A,c,A,c,A,A,c,A,A,c,76,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,30,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,4,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,34,0
A,a,A,a,A,a,A,a,A,A,a,A,A,a,10,0
A,b,A,b,A,b,A,b,A,A,b,A,A,b,21,0
S,c,S,c,S,c,S,c,S,S,c,S,S,c,42,0
S,a,S,a,S,a,S,a,S,S,a,S,S,a,28,0
