fecha,uva,uvi,reservas_internacionales,base_monetaria,circulacion_monetaria,billetes_monedas_poder_publico,efectivo_entidades_financieras,deposito_bancos_cta_cte_pesos,lebac_efectivo,lebac_nominal,deposito_efectivo_entidades_financieras,en_cte_fuco,caja_ahorro,a_plazo,m2_privado_prom_movil_30_dias_var_internanual,tasas_interes_lebac_35_dias,tasas_interes_activas_bcra_1_dia_plazo,tasas_interes_pasivas_bcra_1_dia_plazo,prestamos_entidades_financieras_sector_privado,tasas_interes_por_prestamos_entidades_financieras_privadas,tasas_interes_deposito_30_dias_entidades_financieras,badlar_pesos_bancos_privados,tm20_pesos_bancos_privados,tipo_cambio_referencia,cer_base_222002_igual_1
20120101,,,,,,,,,,,,,,,30.9,,,,,,,,,,2.8815
20120102,,,,,,,,,,,,,,,30.8,,,,,,,,,,2.882
20120103,,,46231,221897,173338,151656,21682,48559,66347,68725,455076,134197,106118,193733,30.8,,11,,289497,10.15,14.75,17.5,17,4.3052,2.8826
20120104,,,46446,218474,173359,151719,21640,45115,66901,69266,456525,133487,107743,194864,30.8,,11,,289066,9.24,14.64,16.9375,17,4.3048,2.8831
20120105,,,46440,216193,173220,152497,20723,42973,66901,69266,455587,129646,110119,195904,30.7,,11,,288349,10.01,11.6,16.5625,16,4.3067,2.8837
20120106,,,46426,216247,173175,153502,19673,43072,66901,69266,453409,125847,110871,196754,30.6,,11,,288532,9.16,12.27,16.5625,15,4.3152,2.8842
20120107,,,,,,,,,,,,,,,30.5,,,,,,,,,,2.885
20120108,,,,,,,,,,,,,,,30.5,,,,,,,,,,2.8858
20120109,,,46222,218463,173129,153865,19264,45334,66901,69266,451101,124519,108254,197119,30.4,,11,,288987,9.15,10.86,16.8125,16,4.3182,2.8865
20120110,,,46375,220699,172926,152884,20042,47773,66901,69266,452901,127857,105825,198054,30.2,,11,,288886,9.39,15.13,16.0625,15,4.3133,2.8873
20120111,,,46419,221376,172339,151973,20366,49037,69351,71748,454755,131138,104691,197832,30.1,,11,,288824,9.23,13.71,16.375,16,4.3133,2.8881
20120112,,,46517,223790,171994,151426,20568,51796,69351,71748,456935,112488,103783,219386,30.1,,11,,288682,9.25,7.93,15.875,16,4.312,2.8889
20120113,,,46636,223329,171391,150906,20485,51938,69351,71748,457448,111882,103100,221024,30,,11,,289141,9.33,14.33,16,15,4.3118,2.8897
20120114,,,,,,,,,,,,,,,30,,,,,,,,,,2.8904
20120115,,,,,,,,,,,,,,,29.9,,,,,,,,,,2.8912
20120116,,,46636,223612,171039,150128,20911,52573,69351,71748,458727,114713,100846,222387,29.9,,11,,290000,9.21,13.71,15.875,15,4.3148,2.892
20120117,,,46682,223306,170272,149166,21106,53034,69351,71748,458956,114898,99630,224696,29.9,,11,,289551,9.29,13.77,15.8125,16,4.317,2.8928
20120118,,,46646,223211,169546,148716,20830,53665,71193,73774,461389,115246,99717,226669,29.8,,11,,288929,9.15,13.56,15.875,16,4.3188,2.8936
20120119,,,46672,223038,168902,148564,20338,54136,71193,73774,462702,115958,99877,227299,29.7,,11,,289045,9.19,13.32,15.5625,15,4.3207,2.8943
20120120,,,46678,222304,168223,148548,19675,54081,71193,73774,463037,116816,99310,227550,29.7,,11,,290068,9.01,13.67,15.5,14,4.3222,2.8951
20120121,,,,,,,,,,,,,,,29.6,,,,,,,,,,2.8959
20120122,,,,,,,,,,,,,,,29.6,,,,,,,,,,2.8967
20120123,,,46729,219942,167875,147962,19913,52067,71193,73774,460435,115951,97839,226584,29.6,,11,,290305,9.1,13.82,15.75,16,4.3257,2.8975
20120124,,,46699,221173,167390,147211,20179,53783,71193,73774,462132,117907,96740,227622,29.6,,11,,291183,9,13.65,15.1875,14,4.3312,2.8983
20120125,,,46680,219755,167130,147059,20071,52625,71235,73997,464724,120298,96541,228873,29.6,,11,,291575,9.04,14.73,15.625,15,4.3365,2.899
20120126,,,46700,219217,167031,146865,20166,52186,71235,73997,465838,120912,97271,228645,29.6,,11,,292087,8.88,12.35,15.4375,15,4.3383,2.8998
20120127,,,46669,219817,166954,147128,19826,52863,71235,73997,467678,122090,98757,228187,29.6,,11,,292890,9.31,13.51,15.3125,14,4.3367,2.9006
20120128,,,,,,,,,,,,,,,29.5,,,,,,,,,,2.9014
20120129,,,,,,,,,,,,,,,29.4,,,,,,,,,,2.9022
20120130,,,46609,218323,167191,147142,20049,51132,71235,73997,469232,122779,100017,226188,29.4,,11,,293314,8.86,12.13,14.9375,15,4.3345,2.9029
20120131,,,46594,216117,167387,146917,20470,48730,71235,73997,468525,117069,104523,226684,29.4,,11,,293172,9.03,14.05,15.0625,14,4.3362,2.9037
20120201,,,46673,213769,167854,147627,20227,45915,73163,76122,468014,114984,106084,227303,29.4,,11,,293080,8.89,14.11,14.9375,15,4.3357,2.9046
20120202,,,46685,210812,168478,148531,19947,42334,73163,76122,466203,111748,107804,226763,29.4,,11,,292669,8.88,13.2,14.75,15,4.3347,2.9054
20120203,,,46700,207632,169356,149746,19610,38276,73163,76122,462751,106835,109202,226956,29.4,,11,,292986,8.88,13.32,15.0625,15,4.3337,2.9062
20120204,,,,,,,,,,,,,,,29.3,,,,,,,,,,2.9071
20120205,,,,,,,,,,,,,,,29.2,,,,,,,,,,2.9079
20120206,,,46692,206232,169783,150955,18828,36449,73163,76122,459984,103819,109684,225590,29.2,,11,,292848,8.95,11.2,14.75,15,4.3342,2.9088
20120207,,,46722,207464,170015,150937,19078,37449,73163,76122,458883,102844,108794,226653,29.1,,11,,292219,9.03,13.77,14.9375,15,4.3368,2.9097
20120208,,,46747,208760,169915,151001,18914,38845,74433,77436,460013,104296,107567,227390,29.1,,11,,292161,8.99,10.85,14.3125,13,4.3398,2.9106
20120209,,,46749,209244,170155,150813,19342,39089,74433,77436,460126,105229,106304,228222,29.1,,11,,292205,9.29,13.13,13.75,13,4.3448,2.9115
20120210,,,46818,211873,169990,150685,19305,41883,74433,77436,464023,109154,105100,228931,29.2,,11,,292459,9.09,12.79,14.625,15,4.3463,2.9124
20120211,,,,,,,,,,,,,,,29.2,,,,,,,,,,2.9133
20120212,,,,,,,,,,,,,,,29.2,,,,,,,,,,2.9142
20120213,,,46873,212703,169718,149811,19907,42985,74433,77436,467268,113310,103086,228060,29.2,,11,,292837,9.18,11.57,14.25,14,4.3463,2.9152
20120214,,,46884,211243,169057,148820,20237,42186,74433,77436,468305,115233,102490,229736,29.1,,11,,292498,9.09,13.41,14.25,14,4.3473,2.9161
20120215,,,46829,211290,168381,148364,20017,42909,75053,78281,471170,117239,102620,230483,29.1,,11,,293112,9.06,12.61,13.875,13,4.3492,2.917
20120216,,,46826,208305,168137,148068,20069,40168,75053,78281,468416,114260,101641,232085,29.2,,11,,293657,9.04,13.23,13.8125,13,4.3522,2.9179
20120217,,,46869,205493,168038,148065,19973,37455,75053,78281,467346,114151,100336,232944,29.2,,11,,293924,9.17,13.04,14,14,4.355,2.9188
20120218,,,,,,,,,,,,,,,29.2,,,,,,,,,,2.9197
20120219,,,,,,,,,,,,,,,29.2,,,,,,,,,,2.9206
20120220,,,,,,,,,,,,,,,29.2,,,,,,,,,,2.9216
20120221,,,,,,,,,,,,,,,29.2,,,,,,,,,,2.9225
20120222,,,46885,213701,168138,146943,21195,45563,75911,79295,470676,122138,97609,228805,29.2,,11,,295120,9.07,12.83,13.6875,13,4.3552,2.9234
20120223,,,46906,206530,167863,146349,21514,38667,75911,79295,471375,122964,97748,228740,29.3,,11,,295642,8.91,13.09,13.8125,13,4.355,2.9243
20120224,,,46897,202637,167493,146715,20778,35144,75911,79295,474836,123211,99481,231354,29.3,,11,,297197,8.88,9.85,13.875,13,4.3548,2.9252
20120225,,,,,,,,,,,,,,,29.3,,,,,,,,,,2.9262
20120226,,,,,,,,,,,,,,,29.3,,,,,,,,,,2.9271
20120227,,,,,,,,,,,,,,,29.3,,,,,,,,,,2.928
20120228,,,46899,205499,167576,146531,21045,37923,75911,79295,476240,124630,100486,229576,29.3,,11,,297967,9.22,11.77,13.4375,13,4.3558,2.9289
20120229,,,46668,205437,167612,146331,21281,37825,76117,79696,476415,118286,105656,230977,29.3,,11,,297545,9.24,11.51,13.5,13,4.3565,2.9298
20120230,21.38,22.19,63225,1033152,777953,681786,96167,255199,1027200,1138976,2585069,498845,1018749,969507,,27.24,30,26,1637939,27.06,21.66,23.125,23.5,18.9625,8.4756
20120231,21.38,22.19,63225,1033152,777953,681786,96167,255199,1027200,1138976,2585069,498845,1018749,969507,,27.24,30,26,1637939,27.06,21.66,23.125,23.5,18.9625,8.4756
