FECHA,LATINO,REP DOM,Brasil,Colombia,Ecuador,Argentina,México,Perú,Panamá,Venezuela,Uruguay,Chile,El Salvador
20071029,2.33,2.28,1.75,1.60,5.97,3.50,1.26,1.46,1.57,4.02,2.05,,
20071030,2.31,2.28,1.73,1.57,5.96,3.41,1.26,1.45,1.57,3.99,2.02,,
20071031,2.20,2.13,1.66,1.48,5.75,3.12,1.21,1.37,1.46,3.83,1.91,,
20071101,2.32,2.23,1.78,1.61,5.90,3.29,1.31,1.46,1.57,4.01,1.98,,
20071102,2.40,2.31,1.85,1.68,5.96,3.41,1.38,1.53,1.66,4.13,2.04,,
20071105,2.42,2.28,1.85,1.66,5.94,3.55,1.36,1.51,1.65,4.30,2.03,,
20071106,2.39,2.25,1.83,1.65,5.85,3.45,1.33,1.51,1.62,4.25,1.99,,
20071107,2.48,2.29,1.90,1.76,6.09,3.60,1.39,1.55,1.68,4.45,2.03,,
20071108,2.58,2.40,1.99,1.85,6.17,3.85,1.46,1.63,1.76,4.59,2.09,,
20071109,2.61,2.44,2.02,1.88,6.21,3.87,1.50,1.67,1.79,4.63,2.13,,
20071113,2.61,2.40,2.01,1.87,6.11,3.83,1.51,1.67,1.81,4.64,2.16,,
20071114,2.57,2.46,1.96,1.83,6.06,3.73,1.48,1.64,1.78,4.58,2.16,,
20071115,2.66,2.52,2.01,1.94,6.09,3.99,1.54,1.70,1.82,4.80,2.19,,
20071116,2.74,2.64,2.09,2.01,6.16,4.04,1.62,1.77,1.92,4.93,2.30,,
20071119,2.86,2.72,2.19,2.09,6.31,4.25,1.69,1.88,1.99,5.21,2.37,,
20071120,2.87,2.76,2.20,2.10,6.19,4.13,1.70,1.85,2.00,5.33,2.37,,
20071121,2.98,2.84,2.33,2.19,6.37,4.41,1.75,1.91,2.03,5.52,2.43,,
20071123,2.97,2.81,2.32,2.18,6.29,4.45,1.73,1.90,2.02,5.51,2.43,,
20071126,3.18,2.98,2.53,2.41,6.54,4.71,1.91,2.06,2.20,5.87,2.63,,
20071127,3.08,2.88,2.45,2.28,6.42,4.54,1.82,1.98,2.14,5.78,2.55,,
20071128,2.94,2.74,2.28,2.10,6.27,4.20,1.69,1.91,2.00,5.63,2.45,,
20071129,2.99,2.83,2.32,2.15,6.33,4.12,1.76,1.97,2.04,5.76,2.51,,
20071130,2.87,2.69,2.19,2.00,6.16,4.01,1.70,1.88,1.95,5.56,2.44,,
20071203,2.93,2.82,2.30,2.08,6.32,4.07,1.79,1.97,2.00,5.40,2.52,,
20071204,2.96,2.83,2.30,2.11,6.32,4.11,1.80,1.98,2.02,5.55,2.52,,
20071205,2.92,2.82,2.26,2.05,6.27,4.06,1.77,1.92,1.94,5.54,2.50,,
20071206,2.83,2.73,2.17,1.94,6.18,3.87,1.69,1.83,1.83,5.46,2.41,,
20071207,2.75,2.66,2.11,1.85,6.11,3.69,1.64,1.77,1.78,5.30,2.33,,
20071210,2.66,2.57,2.04,1.77,5.88,3.57,1.58,1.67,1.71,5.18,2.26,,
20071211,2.79,2.75,2.16,1.90,6.06,3.78,1.68,1.79,1.82,5.33,2.39,,
20071212,2.77,2.75,2.13,1.88,6.03,3.80,1.64,1.76,1.78,5.32,2.38,,
20071213,2.68,2.63,2.04,1.77,5.91,3.84,1.55,1.65,1.68,5.24,2.25,,
20071214,2.66,2.59,2.01,1.71,5.86,3.88,1.54,1.60,1.63,5.21,2.24,,
20071217,2.73,2.63,2.11,1.80,5.96,4.03,1.59,1.65,1.68,5.30,2.27,,
20071218,2.78,2.70,2.16,1.85,6.01,4.05,1.66,1.71,1.75,5.31,2.35,,
20071219,2.84,2.75,2.22,1.92,6.07,4.12,1.72,1.78,1.82,5.34,2.42,,
20071220,2.88,2.80,2.28,1.98,6.11,4.13,1.76,1.83,1.86,5.34,2.46,,
20071221,2.76,2.68,2.13,1.87,6.00,3.99,1.64,1.71,1.76,5.16,2.35,,
20071224,2.69,2.61,2.06,1.80,5.93,3.93,1.57,1.65,1.69,5.09,2.28,,
20071226,2.66,2.58,2.02,1.77,5.90,3.90,1.54,1.62,1.65,5.05,2.25,,
20071227,2.67,2.59,2.05,1.77,5.98,3.92,1.55,1.62,1.67,5.07,2.26,,
20071228,2.75,2.68,2.12,1.86,6.06,4.01,1.63,1.70,1.74,5.15,2.34,,
20071231,2.83,2.81,2.20,1.95,6.14,4.10,1.72,1.78,1.84,5.23,2.43,,
20080102,2.92,2.91,2.27,2.08,6.24,4.23,1.79,1.88,1.94,5.30,2.55,,
20080103,2.91,2.92,2.25,2.10,6.21,4.22,1.77,1.87,1.95,5.24,2.55,,
20080104,2.97,3.01,2.30,2.20,6.24,4.36,1.80,1.92,2.00,5.35,2.60,,
20080107,2.94,3.00,2.29,2.19,6.27,4.28,1.79,1.88,2.01,5.20,2.61,,
20080108,2.89,3.12,2.24,2.20,6.22,4.19,1.79,1.83,1.97,5.02,2.59,,
20080109,2.99,3.11,2.37,2.35,6.30,4.37,1.87,1.89,2.04,5.07,2.66,,
20080110,2.88,3.03,2.25,2.21,6.22,4.21,1.76,1.81,1.98,4.90,2.60,,
20080111,2.91,3.09,2.30,2.26,6.21,4.14,1.82,1.90,2.05,4.90,2.60,,
20080114,2.94,3.15,2.30,2.29,6.21,4.16,1.83,1.88,2.12,4.98,2.63,,
20080115,3.02,3.22,2.38,2.41,6.31,4.26,1.87,1.91,2.17,5.15,2.73,,
20080116,3.01,3.27,2.36,2.38,6.33,4.31,1.84,1.93,2.18,5.12,2.71,,
20080117,3.12,3.35,2.47,2.50,6.43,4.46,1.91,2.02,2.26,5.32,2.79,,
20080118,3.14,3.37,2.52,2.59,6.41,4.54,1.88,2.00,2.26,5.41,2.76,,
20080122,3.31,3.59,2.69,2.80,6.54,4.73,2.02,2.15,2.42,5.69,2.91,,
20080123,3.38,3.66,2.75,2.85,6.63,4.87,2.05,2.23,2.56,5.70,2.99,,
20080124,3.14,3.42,2.52,2.51,6.41,4.55,1.89,1.95,2.34,5.41,2.80,,
20080125,3.21,3.53,2.57,2.57,6.42,4.68,1.99,1.99,2.38,5.54,2.83,,
20080128,3.20,3.52,2.59,2.59,6.42,4.70,2.01,1.99,2.39,5.37,2.84,,
20080129,3.16,3.54,2.53,2.53,6.38,4.66,1.95,1.96,2.31,5.35,2.80,,
20080130,3.08,3.49,2.43,2.39,6.37,4.51,1.91,1.94,2.25,5.22,2.78,,
20080131,3.18,3.59,2.54,2.56,6.49,4.66,1.98,2.05,2.38,5.32,2.93,,
20080201,3.20,3.64,2.58,2.57,6.55,4.62,2.00,2.10,2.40,5.33,2.91,,
20080204,3.14,3.59,2.53,2.51,6.49,4.53,1.94,2.03,2.33,5.29,2.85,,
20080205,3.24,3.67,2.65,2.63,6.57,4.70,2.01,2.13,2.42,5.41,2.92,,
20080206,3.24,3.67,2.64,2.62,6.57,4.70,2.00,2.10,2.39,5.44,2.93,,
20080207,3.15,3.54,2.57,2.47,6.48,4.64,1.91,1.98,2.28,5.39,2.81,,
20080208,3.32,3.70,2.73,2.62,6.59,4.89,2.01,2.12,2.35,5.91,2.91,,
20080211,3.33,3.70,2.73,2.62,6.60,4.97,2.02,2.15,2.38,5.89,2.95,,
20080212,3.25,3.70,2.63,2.52,6.59,4.79,1.95,2.13,2.32,5.68,2.93,,
20080213,3.21,3.70,2.58,2.46,6.55,4.76,1.91,2.12,2.28,5.62,2.92,,
20080214,3.17,3.70,2.51,2.47,6.48,4.74,1.86,2.05,2.21,5.58,2.83,,
20080215,3.24,3.78,2.61,2.55,6.52,4.87,1.92,2.14,2.28,5.68,2.90,,
20080219,3.22,3.78,2.60,2.52,6.44,4.79,1.92,2.12,2.25,5.58,2.90,,
20080220,3.15,3.64,2.51,2.41,6.27,4.78,1.85,2.10,2.24,5.50,2.87,,
20080221,3.22,3.85,2.55,2.51,6.18,4.87,1.90,2.19,2.32,5.60,2.97,,
20080222,3.16,3.84,2.47,2.44,6.18,4.81,1.82,2.12,2.27,5.54,2.97,,
20080225,3.06,3.72,2.39,2.29,6.05,4.77,1.72,1.99,2.14,5.37,2.87,,
20080226,3.05,3.77,2.37,2.29,6.02,4.63,1.73,2.00,2.17,5.36,2.90,,
20080227,3.07,3.83,2.40,2.32,6.09,4.63,1.71,1.97,2.19,5.48,2.92,,
20080228,3.20,4.06,2.54,2.48,6.26,4.79,1.81,2.04,2.30,5.62,3.08,,
20080229,3.33,4.22,2.65,2.58,6.40,5.03,1.91,2.15,2.43,5.83,3.21,,
20080303,3.37,4.22,2.67,2.70,6.52,5.06,1.92,2.16,2.40,6.04,3.22,,
20080304,3.28,4.16,2.57,2.60,6.54,4.93,1.83,2.06,2.27,5.96,3.13,,
20080305,3.20,4.10,2.52,2.47,6.46,4.75,1.79,1.99,2.13,5.85,3.04,,
20080306,3.25,4.15,2.56,2.52,6.51,4.90,1.84,2.03,2.14,5.99,3.07,,
20080307,3.38,4.43,2.73,2.65,6.66,5.05,1.94,2.16,2.26,6.16,3.16,,
20080310,3.47,4.59,2.83,2.73,6.71,5.25,2.03,2.23,2.34,6.19,3.26,,
20080311,3.29,4.39,2.65,2.51,6.51,4.90,1.88,2.08,2.19,5.96,3.13,,
20080312,3.39,4.50,2.72,2.59,6.63,5.10,1.97,2.19,2.32,6.07,3.23,,
20080313,3.39,4.55,2.76,2.59,6.67,5.12,1.91,2.18,2.31,6.11,3.19,,
20080314,3.54,4.67,2.89,2.69,6.94,5.41,2.00,2.28,2.42,6.43,3.32,,
20080317,3.71,4.82,3.04,2.86,7.33,5.80,2.12,2.44,2.52,6.67,3.44,,
20080318,3.50,4.81,2.84,2.71,6.78,5.36,1.99,2.29,2.42,6.15,3.34,,
20080319,3.59,4.89,2.90,2.77,6.87,5.51,2.04,2.39,2.51,6.34,3.45,,
20080320,3.59,4.89,2.91,2.77,6.87,5.51,2.02,2.39,2.51,6.36,3.46,,
20080324,3.43,4.69,2.72,2.57,6.62,5.32,1.86,2.25,2.37,6.20,3.32,,
20080325,3.45,4.67,2.75,2.59,6.60,5.35,1.85,2.24,2.39,6.30,3.35,,
20080326,3.48,4.70,2.77,2.62,6.58,5.55,1.85,2.23,2.37,6.43,3.35,,
20080327,3.45,4.65,2.72,2.54,6.50,5.51,1.83,2.17,2.36,6.47,3.31,,
20080328,3.50,4.71,2.77,2.55,6.60,5.59,1.89,2.19,2.40,6.55,3.38,,
20080331,3.55,4.89,2.83,2.58,6.62,5.81,1.93,2.23,2.44,6.61,3.43,,
20080401,3.43,4.74,2.72,2.44,6.50,5.61,1.84,2.08,2.32,6.47,3.31,,
20080402,3.38,4.67,2.68,2.36,6.39,5.43,1.82,2.03,2.29,6.40,3.28,,
20080403,3.33,4.63,2.63,2.29,6.31,5.30,1.79,1.93,2.29,6.36,3.26,,
20080404,3.37,4.74,2.65,2.31,6.24,5.30,1.83,1.97,2.36,6.48,3.31,,
20080407,3.28,4.65,2.58,2.22,6.06,5.29,1.75,1.90,2.20,6.33,3.21,,
20080408,3.27,4.66,2.55,2.23,6.10,5.36,1.73,1.88,2.21,6.27,3.15,,
20080409,3.35,4.77,2.63,2.32,6.16,5.44,1.79,1.99,2.29,6.38,3.21,,
20080410,3.28,4.71,2.55,2.22,6.10,5.42,1.73,1.96,2.21,6.26,3.18,,
20080411,3.32,4.73,2.56,2.28,6.13,5.58,1.75,1.99,2.24,6.30,3.20,,
20080414,3.28,4.72,2.52,2.24,6.11,5.53,1.75,1.97,2.19,6.23,3.17,,
