0,prom_ap_cierre,tendencia
20091009,0.16176,-0.001
20091012,0.19771,-0.00093
20091013,0.19686,-0.0007
20091014,0.19406,-0.00124
20091015,0.19228,-0.00194
20091016,0.195,-0.0012
20091019,0.19174,-0.00116
20091020,0.19081,-0.00139
20091021,0.18817,-0.00269
20091022,0.18708,-0.00353
20091023,0.18762,-0.00347
20091026,0.1853,-0.00333
20091027,0.18211,-0.00203
20091028,0.17637,-0.00029
20091029,0.17443,0.00084
20091030,0.17179,0.00112
20091102,0.16776,0.00032
20091103,0.16954,-0.00054
20091104,0.17412,-0.00069
20091105,0.1728,-0.00099
20091106,0.17171,-0.0013
20091109,0.17233,-0.00084
20091110,0.17164,-0.00043
20091111,0.16939,-0.00019
20091112,0.16822,0.00033
20091113,0.16752,0.00091
20091116,0.16838,0.00143
20091117,0.16714,0.00102
20091118,0.16745,0.0
20091119,0.16962,-0.0014
20091120,0.17171,-0.00238
20091123,0.17218,-0.00224
20091124,0.17125,-0.00128
20091125,0.16946,-0.00045
20091127,0.16605,0.00057
20091130,0.16287,0.0003
20091201,0.16333,0.00017
20091202,0.16442,0.0
20091203,0.16302,-0.00051
20091204,0.16589,-0.00019
20091207,0.16411,-0.00026
20091208,0.16473,-0.00017
20091209,0.16364,-0.00018
20091210,0.16357,0.0005
20091211,0.16372,0.00201
20091214,0.16341,0.00279
20091215,0.16287,0.00213
20091216,0.1631,0.00057
20091217,0.16636,-0.00074
20091218,0.17171,-0.00016
20091221,0.17249,0.00132
20091222,0.17071,0.00257
20091223,0.1697,0.00288
20091224,0.16939,0.00225
20091228,0.17233,0.00129
20091229,0.17598,-0.00069
20091230,0.17924,-0.0019
20091231,0.18033,-0.0025
20100104,0.18141,-0.00273
20100105,0.18134,-0.0028
20100106,0.17528,-0.00266
20100107,0.17389,-0.00071
20100108,0.17265,0.00156
20100111,0.169,0.00162
20100112,0.16372,0.00038
20100113,0.16504,-0.00087
20100114,0.17109,-0.00036
