fecha,ultimo,apertura,maximo,minimo,volumen,variacion
20120702,1.09,1.08,1.1,1.07,507.93K,0
20120703,1.11,1.1,1.11,1.07,622.97K,1.83
20120704,1.1,1.11,1.11,1.08,136.40K,-0.9
20120705,1.15,1.08,1.16,1.08,574.58K,4.55
20120706,1.14,1.15,1.15,1.13,354.24K,-0.87
20120710,1.09,1.14,1.14,1.08,395.65K,-4.39
20120711,1.14,1.11,1.14,1.1,110.10K,4.59
20120712,1.11,1.12,1.13,1.11,151.65K,-2.63
20120713,1.1,1.12,1.12,1.08,201.38K,-0.9
20120716,1.14,1.11,1.16,1.11,1.26M,3.64
20120717,1.15,1.14,1.15,1.13,532.31K,0.88
20120718,1.21,1.16,1.22,1.16,1.90M,5.22
20120719,1.21,1.23,1.23,1.19,1.13M,0
20120720,1.19,1.2,1.2,1.18,635.62K,-1.65
20120723,1.19,1.15,1.2,1.15,840.79K,0
20120724,1.17,1.18,1.19,1.15,844.06K,-1.68
20120725,1.19,1.18,1.22,1.16,2.87M,1.71
20120726,1.18,1.2,1.2,1.17,504.46K,-0.84
20120727,1.13,1.16,1.16,1.13,1.37M,-4.24
20120730,1.11,1.13,1.13,1.1,321.93K,-1.77
20120731,1.09,1.09,1.1,1.08,795.77K,-1.8
20120801,1.08,1.07,1.09,1.07,153.76K,-0.92
20120802,1.09,1.07,1.09,1.07,417.82K,0.93
20120803,1.12,1.1,1.13,1.08,823.06K,2.75
20120806,1.12,1.11,1.13,1.11,136.33K,0
20120807,1.1,1.12,1.12,1.07,454.78K,-1.79
20120808,1.1,1.09,1.12,1.08,798.40K,0
20120809,1.07,1.11,1.11,1.06,1.01M,-2.73
20120810,1.05,1.06,1.06,1.03,521.61K,-1.87
20120813,1.06,1.06,1.07,1.06,307.04K,0.95
20120814,1.06,1.08,1.08,1.05,309.48K,0
20120815,1.07,1.07,1.08,1.06,428.20K,0.94
20120816,1.1,1.06,1.1,1.06,826.51K,2.8
20120817,1.06,1.08,1.08,1.06,181.73K,-3.64
20120821,1.05,1.05,1.06,1.04,171.67K,-0.94
20120822,1.03,1.04,1.05,1.03,343.55K,-1.9
20120823,1.04,1.04,1.05,1.03,624.64K,0.97
20120824,1.07,1.05,1.09,1.05,1.18M,2.88
20120827,1.08,1.08,1.12,1.07,4.42M,0.93
20120828,1.06,1.09,1.1,1.06,1.24M,-1.85
20120829,1.06,1.06,1.07,1.04,462.57K,0
20120830,1.04,1.06,1.06,1.04,284.75K,-1.89
20120831,1.02,1.05,1.05,1.02,627.81K,-1.92
20120903,1.01,1.02,1.02,1,566.84K,-0.98
20120904,1.03,1,1.03,1,901.04K,1.98
20120905,1.03,1.03,1.04,1.01,259.90K,0
