"","decomposedRes.x","decomposedRes.seasonal","decomposedRes.trend","decomposedRes.random"
"1",12.75,0.914561794189884,0,0
"2",12.9,0.909006049110515,0,0
"3",12.64,0.637470328783245,0,0
"4",12.58,0.920167335048178,0,0
"5",12.5,0.920827126869327,0,0
"6",12.55,0.915104971543094,0,0
"7",12.53,0.919559558089289,0,0
"8",12.4,0.922686846452345,0,0
"9",12.2,0.941795444224519,0,0
"10",12.23,0.943152197355564,0,0
"11",12.26,0.941884704217411,0,0
"12",11.92,0.935984338261346,0,0
"13",11.81,0.92801537244608,0,0
"14",11.3,0.919683997596033,0,0
"15",11.5,0.911395135198751,0,0
"16",10.98,0.900767374091997,0,0
"17",10.95,0.879547644053826,0,0
"18",11.23,0.869661316953825,0,0
"19",11.36,0.872873814859674,0,0
"20",11.15,0.887295089504681,0,0
"21",11.33,0.660739245286262,0,0
"22",11.14,0.899294081201346,0,0
"23",11.1,0.902020269308176,0,0
"24",11.01,0.906600954377462,0,0
"25",10.95,0.933091151612816,0,0
"26",10.96,0.935332780576962,0,0
"27",11.05,0.942929668606952,0,0
"28",10.87,0.967299573387674,0,0
"29",11,0.962061881748777,0,0
"30",11.08,0.96455953592788,0,0
"31",11.25,0.941761479062418,0,0
"32",11.24,0.966215548934114,0,0
"33",11.14,0.953607632177623,0,0
"34",11.06,0.97156044074251,0,0
"35",10.73,0.960229089648015,0,0
"36",10.56,0.976906255188717,0,0
"37",10.75,0.964907000793284,0,0
"38",10.73,0.969367430186817,0,0
"39",10.6,0.969762181086578,0,0
"40",10.85,0.96629544272631,0,0
"41",10.6,0.948466665804279,0,0
"42",10.8,0.944591557071466,0,0
"43",10.64,0.939000657476695,0,0
"44",10.6,0.934690542746401,0,0
"45",10.57,0.660496153611064,0,0
"46",10.67,0.963655174781254,0,0
"47",10.55,0.967359271302408,0,0
"48",10.65,0.957294124124015,0,0
"49",10.86,0.964979322692603,0,0
"50",11.5,0.969112266401705,0,0
"51",11.1,0.981509114273827,0,0
"52",11.12,0.968717414926705,0,0
"53",11.06,0.980043350893591,0,0
"54",11.2,0.993413276205914,0,0
"55",11.31,1.00759470686956,0,0
"56",11.7,1.01475778763394,0,0
"57",11.7,0.996120043527447,0,0
"58",0,1.00247297851643,0,0
"59",11.9,0.999873623432975,0,0
"60",11.77,1.01711690006202,0,0
"61",11.21,1.04746414416377,0,0
"62",11.43,1.05548844805513,0,0
"63",11.26,1.06805562398244,0,0
"64",11.02,1.07925053958216,0,0
"65",10.72,1.07032570820355,0,0
"66",10.79,1.09144475432727,0,0
"67",11.46,1.08393684541528,0,0
"68",11.03,1.08089010092416,0,0
"69",10.85,1.08894742092118,0,0
"70",11.1,1.10438251662961,0,0
"71",11,1.11973245263064,0,0
"72",11.31,1.13353182226691,0,0
"73",11.32,1.15330928613491,0,0
"74",11.4,1.17979666070515,0,0
"75",11.46,1.18466953195624,0,0
"76",11.42,1.17988668697847,0,0
"77",11.33,1.16400855536082,0,0
"78",11.28,1.17638127638552,0,0
"79",11.32,1.15710968476608,0,0
"80",11.35,1.17095977127544,0,0
"81",10.91,1.10518924645528,0,0
"82",10.65,1.12524245435425,0,0
"83",10.56,1.09618291754949,0,0
"84",10.98,1.10483975128862,0,0
"85",11.03,1.14356211336708,0,0
"86",11.09,1.11893491558248,0,0
"87",11.1,1.12753302549142,0,0
"88",11.18,1.13019596873396,0,0
"89",11.25,1.1280807803624,0,0
"90",11.28,1.12213884322023,0,0
"91",11.35,0.843349894020445,0,0
"92",11.2,1.13722601772898,0,0
"93",10.84,1.16887386701978,0,0
"94",10.74,1.11732436009665,0,0
"95",10.45,1.10799225060976,0,0
"96",10.63,1.11853771541329,0,0
"97",10.72,1.10796911097495,0,0
"98",11.05,1.12802006005442,0,0
"99",11.01,1.15486685116741,0,0
"100",11.2,1.14855546448583,0,0
"101",11.24,1.17213161689827,0,0
"102",11.1,1.14043962881258,0,0
"103",10.94,1.15143029514185,0,0
"104",10.87,1.14035150766549,0,0
"105",10.81,1.11208665964191,0,0
"106",10.96,0.871635537361414,0,0
"107",10.9,1.09795493651295,0,0
"108",10.9,1.07813848618358,0,0
"109",10.99,1.05999596853706,0,0
"110",10.92,1.05844666701717,0,0
"111",11.3,1.04468080617457,0,0
"112",11.54,1.03668537891839,0,0
"113",11.59,1.06076471013073,0,0
"114",11.6,1.09785493385595,0,0
"115",11.6,1.06701359881182,0,0
"116",11.58,1.05965790356494,0,0
"117",11.4,1.05498105145866,0,0
"118",11.5,1.03092246702796,0,0
"119",11.38,1.04399480977536,0,0
"120",11.45,0.788853805018909,0,0
"121",11.43,1.07870338489971,0,0
"122",11.73,1.05974923003017,0,0
"123",11.55,1.05520800364359,0,0
"124",11.55,1.04789666815142,0,0
"125",11.54,1.04602981602607,0,0
"126",11.6,1.05911862246683,0,0
"127",11.52,1.06051169037809,0,0
"128",11.57,1.04601434985798,0,0
"129",11.51,1.03523858611497,0,0
"130",11.1,0.745327492188853,0,0
"131",11.19,1.04227372501437,0,0
"132",11.12,0.764066885332771,0,0
"133",11.08,1.03462241033279,0,0
"134",11.35,1.04415400599878,0,0
"135",11.19,1.00768864153221,0,0
"136",11.13,1.00779274683326,0,0
"137",11,1.01211998803333,0,0
"138",10.87,1.03253992619204,0,0
"139",10.95,1.02025746880227,0,0
"140",10.9,1.02532404254028,0,0
"141",10.95,1.04047780034837,0,0
"142",10.8,1.05696377337936,0,0
"143",10.63,1.07276753067444,0,0
"144",10.28,1.09432166033493,0,0
"145",10.4,1.09727807899752,0,0
"146",10.8,1.0754430746192,0,0
"147",10.66,1.07522130119622,0,0
"148",10.67,1.06302585879197,0,0
"149",10.61,1.06582008181884,0,0
"150",10.4,1.05804002341115,0,0
"151",10.2,1.05228887983977,0,0
"152",10.39,1.06243464182805,0,0
"153",10.3,1.06169266158888,0,0
"154",10.14,1.03026467544777,0,0
"155",10.22,1.03094675924236,0,0
"156",10.12,1.01638985994038,0,0
"157",10.21,1.03599711549166,0,0
"158",10.05,1.03481871620126,0,0
"159",10.23,1.01175454084525,0,0
"160",10.25,1.01609988183895,0,0
"161",10.27,1.01687246406919,0,0
"162",10.38,0.983768034435094,0,0
"163",10.45,1.00785323898919,0,0
"164",10.35,0.768711709221918,0,0
"165",10.28,0.998786838455772,0,0
"166",10.15,0.989224846624508,0,0
"167",10.2,0.978428356776932,0,0
"168",10.45,0.730495408573424,0,0
"169",10.52,0.993576953300224,0,0
"170",10.57,1.0023077267467,0,0
"171",10.66,1.00635802511416,0,0
"172",10.59,0.976588412017359,0,0
"173",10.56,0.986322612818934,0,0
"174",10.54,0.999345416651186,0,0
"175",11.15,0.747861812081178,0,0
"176",10.72,1.00824396619393,0,0
"177",10.7,1.0106844608301,0,0
"178",10.82,1.01691740827215,0,0
"179",10.7,1.0217205840673,0,0
"180",10.38,0.76449154229066,0,0
"181",10.1,1.02269589850726,0,0
"182",10,1.02257812996122,0,0
"183",10.02,0.991161692759698,12.2329863013699,0.826400789484854
"184",10.14,0.978717535497845,12.2364109589041,0.84669409538938
"185",10.11,0.973165546788268,12.2394520547945,0.848794301245652
"186",10.2,0.960477265978295,12.2048219178082,0.870124976476007
"187",10.3,0.964251746757287,12.2090410958904,0.874913735835139
"188",0,0.786832665536159,12.2135890410959,0
"189",10.55,0.954518699701821,12.2179726027397,0.904625595942753
"190",10.54,0.960475462165052,12.2224657534247,0.897832883648126
"191",10.59,0.948474140440418,12.2291780821918,0.913005084720412
"192",10.67,0.957200635801169,12.2375342465753,0.910893327605267
"193",10.68,0.963027708401692,12.2457260273973,0.905624016169925
"194",10.78,0.96672362599353,12.2532328767123,0.91005102007605
"195",10.75,0.965120875509208,12.2606301369863,0.90847705578444
"196",10.75,0.965892638416479,12.2683561643836,0.907179510274969
"197",10.69,0.97617616100533,12.2772876712329,0.891963484780147
"198",10.59,0.970751554130907,12.284904109589,0.88800639767281
"199",10.67,0.965110903669292,12.2940821917808,0.899272028209892
"200",10.74,0.96060463088211,12.3030684931507,0.908753640370845
"201",10.6,0.948992835125225,12.3109315068493,0.907302310142346
"202",10.6,0.962190880685125,12.3173424657534,0.894391395143902
"203",10.55,0.965791824104995,12.3243287671233,0.886350838553691
"204",10.49,0.965651044325713,12.3338630136986,0.880757100501415
"205",10.17,0.956936793362411,12.3431232876712,0.861018797374405
"206",10.2,0.95829811172714,12.353095890411,0.861635783387468
"207",10.25,0.786032626677388,12.3633424657534,1.05474479978525
"208",10.44,0.969634951875284,12.3738904109589,0.870133664630083
"209",10.63,0.969331140536754,12.384602739726,0.885480535839889
"210",10.59,0.955000130618661,12.3966575342466,0.894515613445521
"211",10.29,0.777471968463822,12.4098630136986,1.06650684603795
"212",10.35,0.950022206209293,12.4219452054795,0.877035118400406
"213",10.21,0.958738532426042,12.433397260274,0.856516531624504
"214",10.62,0.969432598579249,12.4427397260274,0.880421988636605
"215",10.49,0.981139714017328,12.4522191780822,0.858613824342368
"216",10.5,0.982166469321426,12.4619726027397,0.857861946297669
"217",10.38,0.976861606216923,12.4720821917808,0.851972052131391
"218",10.42,0.966089110863935,12.4830410958904,0.864032605767044
"219",10.32,0.959670818008527,12.4944657534247,0.860676048831355
"220",10.19,0.788775583812065,12.5066301369863,1.03295266097357
"221",10.12,0.954974660141494,12.518602739726,0.846511391274184
"222",10.17,0.95280975215917,12.5309863013699,0.851784051284684
"223",10.22,0.949364116249994,12.5430684931507,0.858250943684036
"224",10.19,0.74419964852314,12.5559452054795,1.09052421043054
"225",10.36,0.966734583965295,12.5681917808219,0.852667482601597
"226",10.53,0.963793043471865,12.5798356164384,0.868499590007852
"227",10.57,0.965308338851937,12.5915068493151,0.869623412131097
"228",10.45,0.961197859705321,12.5625479452055,0.86541767949686
"229",10.35,0.953160821012738,12.5733150684932,0.863623335488832
"230",10.42,0.952994164101882,12.5846575342466,0.868832536463032
"231",10.48,0.963372326890231,12.5955068493151,0.863677224627122
"232",10.61,0.965399625904573,12.6053424657534,0.871873762414425
"233",10.54,0.974039074702147,12.6135616438356,0.857879909776938
"234",10.61,0.978699168114888,12.6227123287671,0.858842406086177
"235",10.8,0.976531660755665,12.6315616438356,0.875548848639335
"236",10.68,0.985224032533371,12.6409315068493,0.857545510262293
"237",10.98,0.996396250649887,12.6496164383562,0.871149914677018
"238",10.96,1.00141617811907,12.6600273972603,0.86449265031142
"239",10.99,0.995449575813823,12.669397260274,0.871409865689854
"240",10.86,0.987711893193996,12.6782739726028,0.867240217273502
"241",10.83,0.980018110918022,12.7201643835617,0.868763629935462
"242",11.06,1.00219179470567,12.7285205479452,0.867014491167994
"243",11.61,1.01694009900333,12.736602739726,0.896361602169025
"244",11.64,1.00834515066136,12.7465205479452,0.905632742800578
"245",11.59,1.00148781781886,12.7566301369863,0.907197409091366
"246",11.49,1.00534340765405,12.7676712328767,0.895146057294476
"247",11.25,0.798315761980581,12.779397260274,1.10272557616191
"248",11.17,0.988814386650498,12.7918082191781,0.883093029891019
"249",11.41,0.99108306906197,12.8040273972603,0.899143465980904
"250",11.31,0.988573441767562,12.8140821917808,0.892824626466377
"251",11.28,0.980936373059067,12.8255616438356,0.896585825877694
"252",11.52,0.982545649940032,12.8372602739726,0.913329310672932
"253",11.86,0.979115443349546,12.8488767123288,0.942726307120836
"254",11.8,0.979412700128581,12.8607123287671,0.936809426503135
"255",12.02,0.99426882278887,12.871698630137,0.939214488070524
"256",11.98,1.00487049134434,12.883698630137,0.92535029453338
"257",12.43,1.01726519782637,12.8963561643836,0.947479719985604
"258",12.7,1.00683296989789,12.908602739726,0.977163095715063
"259",0,0.805743709694001,12.9199452054795,0
"260",12.94,1.03278448605197,12.9311232876712,0.968920887710493
"261",13.02,1.03882989216093,12.9419178082192,0.968429274017318
"262",13.01,1.02540440016384,12.9515890410959,0.979623205439505
"263",13.33,1.05577871881303,12.9612054794521,0.974118631457692
"264",13.28,1.04245391695661,12.971397260274,0.982097146824509
"265",14.92,1.09861418894245,12.9824657534247,1.04608369692917
"266",14.17,1.07497070660258,12.9938082191781,1.01446429907052
"267",14.41,1.08440349018991,13.0039452054795,1.02187539746842
"268",14.82,1.08321457251722,13.0137534246575,1.05131082425012
"269",14.25,1.08323790268756,13.0231232876712,1.01012673268712
"270",14.34,1.09700204643872,13.0332328767123,1.00297373055981
"271",15.04,1.13849493882128,13.0424657534247,1.01287774038532
"272",14.92,1.11804573702029,13.051397260274,1.02247393115951
"273",14.88,1.11774835528672,13.0599452054795,1.01933640932379
"274",14.59,1.11633669038001,13.068602739726,1.00007123671537
"275",14.68,1.11836589125488,13.0781095890411,1.00368439094943
"276",14.99,1.1284980473656,13.088794520548,1.01484839934026
"277",14.26,1.1058597494771,13.0968493150685,0.984583704410406
"278",14.39,1.11007439470137,13.1047123287671,0.98919341553639
"279",13.69,1.12189209240828,13.1089589041096,0.930859551165408
"280",13.62,1.12339413396867,13.1135342465754,0.924538925949222
"281",14.1,1.11576015590017,13.1164657534247,0.963454998895874
"282",14.36,0.92396943892701,13.1211780821918,1.18446983035232
"283",0,0.885992714750231,13.124602739726,0
"284",15.19,1.14425316962694,13.1279178082192,1.01120637931038
"285",16.35,1.17903467504264,13.1315616438356,1.05602646586967
"286",17.49,1.18239313322068,13.1362739726027,1.12604491308899
"287",17.44,1.16041591853328,13.1402191780822,1.14374759403566
"288",17.38,1.16714346127789,13.1444383561644,1.13287892263628
"289",17.75,1.14504687135806,13.1144109589041,1.18202402595028
"290",18.09,1.13471190400633,13.1187397260274,1.21523659754961
"291",18.06,1.10177247407577,13.1228767123288,1.24909876570166
"292",18.11,1.08455602343535,13.1263287671233,1.27210565157536
"293",17.5,1.06399721060581,13.1297260273973,1.25268505263924
"294",17.35,1.05357771242502,13.1325479452055,1.25396065257098
"295",17.06,1.06429936725985,13.1348493150685,1.22036608018055
"296",16.74,1.07121245126119,13.1372054794521,1.18953396983899
"297",16.74,1.07239336649707,13.1393150684932,1.18803328396012
"298",16.44,1.06197402766327,13.1409863013699,1.17803977785869
"299",15.51,1.04231669287168,13.1421095890411,1.13226222994959
"300",15.97,1.04214216023406,13.1446849315069,1.16580998186172
"301",16.81,0.902445476422244,13.1469041095891,1.4168479488558
"302",16.26,1.02168630083619,13.1491780821918,1.21033157668221
"303",16,1.03122931364462,13.1178082191781,1.182778592908
"304",16.2,1.05514612889662,13.1193698630137,1.17027904511432
"305",16.12,1.03429737139354,13.1194520547945,1.18796575003476
"306",16.66,1.02793659775436,13.1207397260274,1.23523715929304
"307",17.13,1.03540594277614,13.1216164383562,1.26083823696344
"308",17.42,1.03876545600646,13.1225479452055,1.27794594322828
"309",17.11,1.05684309400816,13.1234520547945,1.23364841976871
"310",0,0.788073906916947,13.1242739726027,0
"311",17.33,1.08790398230783,13.1239178082192,1.21379262491617
"312",16.94,1.08642580102588,13.1233424657534,1.18814343525759
"313",17.05,1.08805292470784,13.1241369863014,1.19399802343532
"314",16.65,1.06832134129821,13.1252054794521,1.18742509357976
"315",16.61,0.826009917740488,13.126794520548,1.53188330646421
"316",16.23,1.03418583137075,13.1287671232877,1.19535249228839
"317",16.26,1.02796259624428,13.1293150684932,1.20476171579027
"318",16.43,1.0292361979654,13.1295068493151,1.21583347800594
"319",16.62,1.0223111852718,13.1293150684932,1.2382428718734
"320",16.6,1.01430041048581,13.1294794520548,1.24650486814866
"321",17.44,1.02493077502762,13.1303287671233,1.29591449198074
"322",17.68,1.02582501868702,13.131095890411,1.31252625966388
"323",18.2,1.03025030907973,13.1327671232877,1.34515518902838
"324",18.87,1.06588392380225,13.1341917808219,1.34790298394835
"325",18.22,1.04044103860284,13.1371506849315,1.33299867380665
"326",18.23,1.03411283871742,13.142301369863,1.3413660703835
"327",18.39,0.8798333138828,13.1493424657534,1.58956133676468
"328",17.8,1.00905531573902,13.1558904109589,1.34086415347851
"329",17.35,1.00316449543407,13.1611506849315,1.31411527864266
"330",17.57,1.0005672802945,13.1660547945206,1.33373579331266
"331",17.38,0.995743385111758,13.1716712328767,1.32513907373997
"332",17.26,1.00284362508079,13.1773424657534,1.30610995714471
"333",17.3,1.00230783281898,13.1843561643836,1.30913987806992
"334",17.12,0.99890469446864,13.191397260274,1.29923857600712
"335",16.85,0.777983308591968,13.1987397260274,1.64095684923005
"336",16.94,0.987973318039394,13.2064657534247,1.29831950191338
"337",16.73,0.959507768419506,13.2143561643836,1.31947582497127
"338",16.15,0.965015819261022,13.220904109589,1.26583453080543
"339",16.15,0.967458708151902,13.2260821917808,1.26214389615359
"340",15.96,0.765960719363758,13.2334520547945,1.57453834086954
"341",15.89,0.804838661311852,13.2412602739726,1.49102781383909
"342",16.17,0.951793120300811,13.247698630137,1.28241036264847
"343",16.43,0.949132633904267,13.2541643835616,1.30604549324893
"344",16.57,0.95575629352347,13.2606849315069,1.30740272381417
"345",15.92,0.941566743593918,13.265095890411,1.2746224367566
"346",15.47,0.938675506596784,13.2699452054795,1.24195453719645
"347",15.39,0.940411754024338,13.2745753424658,1.2328207468556
"348",15.56,0.936598458945552,13.2791506849315,1.25108222757371
"349",15.6,0.914001320434399,13.2839178082192,1.28484753421209
"350",15.3,0.907129749885593,13.2876712328767,1.26932591408703
"351",15.05,0.905427436867936,13.2904657534247,1.25066975838809
"352",15.33,0.912300126993561,13.2928219178082,1.26411688682925
"353",15.47,0.924870702329512,13.2944931506849,1.25816473097347
"354",15.43,0.931773847557816,13.2961095890411,1.24546298042403
"355",15.2,0.929190195826919,13.297095890411,1.23021825891029
"356",15.04,0.922975264042211,13.2984931506849,1.22533641528031
"357",14.72,0.902723416525204,13.2997808219178,1.22605123159476
"358",14.6,0.903468798529325,13.3007397260274,1.21496537699121
"359",14.2,0.896026479393628,13.3035890410959,1.19123838612218
"360",13.8,0.898441074416752,13.3060273972603,1.15435948177393
"361",13.87,0.887623242571062,13.3083561643836,1.17414945307723
"362",13.88,0.8932219149343,13.3112328767123,1.16737883445224
"363",13.9,0.904310844890718,13.3137808219178,1.15450457440884
"364",14.13,0.894618576092286,13.3165753424658,1.18607376437304
"365",14,0.908686013034824,13.3194520547945,1.15671890495514
"366",14,0.914561794189884,13.3222739726027,1.14904389656724
"367",14.01,0.909006049110515,13.324602739726,1.1566902961556
"368",0,0.637470328783245,13.3266575342466,0
"369",14.12,0.920167335048178,13.3275616438356,1.15137603195469
"370",14.16,0.920827126869327,13.3281369863014,1.15376059132767
"371",14.15,0.915104971543094,13.3571780821918,1.15763276128178
"372",14.17,0.919559558089289,13.356904109589,1.15367685308741
