FECHA,  variacion  ,dia_anterior,prom3dias,prom5dias,prom10dias,prom15dias,prom20dias,prom25dias,prom30dias,prom60dias,percentil10_90dias,percentil20_90dias,percentil30_90dias,percentil40_90dias,percentil50_90dias,percentil60_90dias,percentil70_90dias,percentil10_60dias,percentil20_60dias,percentil30_60dias,percentil40_60dias,percentil50_60dias,percentil60_60dias,percentil70_60dias,percentil10_30dias,percentil20_30dias,percentil30_30dias,percentil40_30dias,percentil50_30dias,percentil60_30dias,percentil70_30dias,percentil10_20dias,percentil20_20dias,percentil30_20dias,percentil40_20dias,percentil50_20dias,percentil60_20dias,percentil70_20dias,percentil10_15dias,percentil20_15dias,percentil30_15dias,percentil40_15dias,percentil50_15dias,percentil60_15dias,percentil70_15dias,percentil10_10dias,percentil20_10dias,percentil30_10dias,percentil40_10dias,percentil50_10dias,percentil60_10dias,percentil70_10dias,percentil10_05dias,percentil20_05dias,percentil30_05dias,percentil40_05dias,percentil50_05dias,percentil60_05dias,percentil70_05dias,minimos_03dias,minimos_05dias,minimos_10dias,minimos_15dias,minimos_20dias,minimos_25dias,minimos_30dias,minimos_60dias,maximos_03dias,maximos_05dias,maximos_10dias,maximos_15dias,maximos_20dias,maximos_25dias,maximos_30dias,maximos_60dias
20121015,0,0.9,0.9,0.916,0.915,0.92,0.9305,0.9412,0.955333333,1.03,0.9,0.91,0.927,0.95,1.01,1.06,1.1,0.9,0.91,0.927,0.95,1.01,1.06,1.1,0.9,0.91,0.927,0.95,1.01,1.06,1.1,0.9,0.91,0.927,0.95,1.01,1.06,1.1,0.9,0.91,0.927,0.95,1.01,1.06,1.1,0.9,0.91,0.927,0.95,1.01,1.06,1.1,0.9,0.91,0.927,0.95,1.01,1.06,1.1,0.9,0.95,0.95,0.95,0.98,1.01,1.04,1.21,0.9,0.95,0.95,0.95,0.98,1.01,1.04,1.21
20121016,0,0.9,0.9,0.906,0.913,0.918,0.9265,0.9368,0.950666667,1.024833333,0.9,0.908,0.92,0.946,0.995,1.06,1.1,0.9,0.908,0.92,0.946,0.995,1.06,1.1,0.9,0.908,0.92,0.946,0.995,1.06,1.1,0.9,0.908,0.92,0.946,0.995,1.06,1.1,0.9,0.908,0.92,0.946,0.995,1.06,1.1,0.9,0.908,0.92,0.946,0.995,1.06,1.1,0.9,0.908,0.92,0.946,0.995,1.06,1.1,0.9,0.93,0.95,0.95,0.98,0.98,1.03,1.21,0.9,0.93,0.95,0.95,0.98,0.98,1.03,1.21
20121017,0.02,0.9,0.9,0.9,0.911,0.915333333,0.9225,0.9336,0.946666667,1.019666667,0.9,0.9,0.917,0.94,0.98,1.054,1.093,0.9,0.9,0.917,0.94,0.98,1.054,1.093,0.9,0.9,0.917,0.94,0.98,1.054,1.093,0.9,0.9,0.917,0.94,0.98,1.054,1.093,0.9,0.9,0.917,0.94,0.98,1.054,1.093,0.9,0.9,0.917,0.94,0.98,1.054,1.093,0.9,0.9,0.917,0.94,0.98,1.054,1.093,0.9,0.9,0.95,0.95,0.96,0.98,1.03,1.19,0.9,0.9,0.95,0.95,0.96,0.98,1.03,1.19
20121018,-0.01,0.92,0.906666667,0.904,0.912,0.914,0.9205,0.9312,0.943666667,1.015166667,0.9,0.9,0.917,0.94,0.98,1.05,1.09,0.9,0.9,0.917,0.94,0.98,1.05,1.09,0.9,0.9,0.917,0.94,0.98,1.05,1.09,0.9,0.9,0.917,0.94,0.98,1.05,1.09,0.9,0.9,0.917,0.94,0.98,1.05,1.09,0.9,0.9,0.917,0.94,0.98,1.05,1.09,0.9,0.9,0.917,0.94,0.98,1.05,1.09,0.92,0.92,0.95,0.95,0.95,0.98,1.03,1.19,0.92,0.92,0.95,0.95,0.95,0.98,1.03,1.19
20121019,-0.01,0.91,0.91,0.906,0.912,0.914,0.9185,0.9288,0.939666667,1.0105,0.9,0.9,0.91,0.936,0.98,1.044,1.09,0.9,0.9,0.91,0.936,0.98,1.044,1.09,0.9,0.9,0.91,0.936,0.98,1.044,1.09,0.9,0.9,0.91,0.936,0.98,1.044,1.09,0.9,0.9,0.91,0.936,0.98,1.044,1.09,0.9,0.9,0.91,0.936,0.98,1.044,1.09,0.9,0.9,0.91,0.936,0.98,1.044,1.09,0.92,0.92,0.95,0.95,0.95,0.98,1.03,1.19,0.92,0.92,0.95,0.95,0.95,0.98,1.03,1.19
20121022,-0.01,0.9,0.91,0.906,0.911,0.912,0.9165,0.9256,0.935333333,1.006,0.9,0.9,0.91,0.93,0.98,1.04,1.083,0.9,0.9,0.91,0.93,0.98,1.04,1.083,0.9,0.9,0.91,0.93,0.98,1.04,1.083,0.9,0.9,0.91,0.93,0.98,1.04,1.083,0.9,0.9,0.91,0.93,0.98,1.04,1.083,0.9,0.9,0.91,0.93,0.98,1.04,1.083,0.9,0.9,0.91,0.93,0.98,1.04,1.083,0.92,0.92,0.95,0.95,0.95,0.98,1.01,1.19,0.92,0.92,0.95,0.95,0.95,0.98,1.01,1.19
20121023,-0.02,0.89,0.9,0.904,0.905,0.91,0.9145,0.922,0.931333333,1.001,0.899,0.9,0.91,0.93,0.975,1.034,1.08,0.899,0.9,0.91,0.93,0.975,1.034,1.08,0.899,0.9,0.91,0.93,0.975,1.034,1.08,0.899,0.9,0.91,0.93,0.975,1.034,1.08,0.899,0.9,0.91,0.93,0.975,1.034,1.08,0.899,0.9,0.91,0.93,0.975,1.034,1.08,0.899,0.9,0.91,0.93,0.975,1.034,1.08,0.91,0.92,0.93,0.95,0.95,0.98,0.98,1.18,0.91,0.92,0.93,0.95,0.95,0.98,0.98,1.18
20121024,0.02,0.87,0.886666667,0.898,0.899,0.906666667,0.911,0.9176,0.927666667,0.995833333,0.888,0.9,0.91,0.926,0.965,1.03,1.073,0.888,0.9,0.91,0.926,0.965,1.03,1.073,0.888,0.9,0.91,0.926,0.965,1.03,1.073,0.888,0.9,0.91,0.926,0.965,1.03,1.073,0.888,0.9,0.91,0.926,0.965,1.03,1.073,0.888,0.9,0.91,0.926,0.965,1.03,1.073,0.888,0.9,0.91,0.926,0.965,1.03,1.073,0.9,0.92,0.92,0.95,0.95,0.96,0.98,1.13,0.9,0.92,0.92,0.95,0.95,0.96,0.98,1.13
20121025,0,0.89,0.883333333,0.892,0.898,0.905333333,0.9085,0.9148,0.924666667,0.991833333,0.888,0.9,0.907,0.92,0.955,1.03,1.07,0.888,0.9,0.907,0.92,0.955,1.03,1.07,0.888,0.9,0.907,0.92,0.955,1.03,1.07,0.888,0.9,0.907,0.92,0.955,1.03,1.07,0.888,0.9,0.907,0.92,0.955,1.03,1.07,0.888,0.9,0.907,0.92,0.955,1.03,1.07,0.888,0.9,0.907,0.92,0.955,1.03,1.07,0.89,0.91,0.92,0.95,0.95,0.95,0.98,1.12,0.89,0.91,0.92,0.95,0.95,0.95,0.98,1.12
20121026,-0.02,0.89,0.883333333,0.888,0.897,0.904,0.9075,0.9124,0.922,0.988166667,0.888,0.898,0.9,0.92,0.95,1.024,1.07,0.888,0.898,0.9,0.92,0.95,1.024,1.07,0.888,0.898,0.9,0.92,0.95,1.024,1.07,0.888,0.898,0.9,0.92,0.95,1.024,1.07,0.888,0.898,0.9,0.92,0.95,1.024,1.07,0.888,0.898,0.9,0.92,0.95,1.024,1.07,0.888,0.898,0.9,0.92,0.95,1.024,1.07,0.89,0.9,0.92,0.95,0.95,0.95,0.98,1.12,0.89,0.9,0.92,0.95,0.95,0.95,0.98,1.12
