fecha,apertura,maximo,minimo,ultima
20180202,475.00,475.00,451.05,455.05
20180201,480.00,480.00,465.05,475.15
20180131,473.00,479.95,472.00,478.10
20180130,485.50,485.50,468.00,471.90
20180129,509.95,509.95,483.00,485.35
20180126,518.40,518.40,507.10,510.00
20180125,520.00,520.00,515.00,518.65
20180124,501.00,520.00,500.00,517.95
20180123,485.00,501.75,485.00,499.90
20180122,472.50,484.50,472.50,482.85
20180119,483.00,483.00,472.50,473.05
20180118,481.00,483.95,470.00,483.00
20180117,482.00,485.00,476.70,481.00
20180116,489.95,489.95,476.00,482.15
20180115,472.00,492.80,471.00,491.95
20180112,464.00,472.00,460.05,470.55
20180111,442.55,463.95,442.55,462.50
20180110,455.00,455.00,444.50,446.60
20180109,450.05,460.00,445.00,457.00
20180108,432.25,450.00,432.00,449.20
20180105,439.70,442.00,430.00,431.75
20180104,436.10,440.00,427.00,439.70
20180103,436.00,441.10,431.15,440.15
20180102,423.05,435.00,423.05,434.15
20171229,425.00,428.00,416.10,421.75
20171228,407.00,427.00,406.00,422.10
20171227,402.50,410.60,400.70,405.10
20171226,401.50,404.00,396.50,399.70
20171222,394.00,402.45,394.00,401.00
20171221,392.00,395.90,387.80,394.25
20171220,372.05,391.10,372.00,387.75
20171219,368.50,376.00,368.50,370.40
20171218,369.00,375.50,369.00,371.65
20171215,380.00,384.00,368.00,368.80
20171214,375.00,384.00,375.00,379.35
20171213,378.50,384.00,373.00,375.85
20171212,382.00,386.95,377.00,378.40
20171211,384.00,391.95,380.25,382.00
20171207,387.00,392.00,383.00,384.65
20171206,384.50,391.50,380.05,387.00
20171205,397.00,397.60,383.00,384.70
20171204,392.05,399.50,392.05,397.30
20171201,390.05,399.45,390.05,396.20
20171130,390.00,392.95,386.55,391.65
20171129,390.05,394.00,389.00,390.20
20171128,393.90,394.50,389.00,392.10
20171127,403.00,403.00,392.05,394.30
20171124,409.00,410.00,401.00,402.35
20171123,404.00,408.00,404.00,407.00
20171122,405.00,408.50,401.50,403.00
20171121,400.00,404.50,386.00,402.80
20171117,404.00,409.90,397.05,401.75
20171116,400.00,404.50,394.00,403.95
20171115,392.00,397.45,379.05,388.30
20171114,402.00,409.70,391.00,392.00
20171113,410.00,410.00,400.00,404.00
20171110,423.00,424.20,400.00,404.40
20171109,434.75,443.30,421.00,423.60
20171108,437.50,438.00,424.05,434.75
20171107,439.15,449.95,436.00,437.35
20171103,430.00,434.50,429.00,433.45
20171102,432.00,435.00,429.00,433.30
20171101,436.55,439.75,425.15,430.45
20171031,432.00,436.00,430.00,435.40
20171030,431.70,435.00,430.00,431.50
20171027,432.00,442.00,431.00,431.70
20171026,438.00,443.00,432.00,433.20
20171025,427.10,436.00,420.00,434.90
20171024,423.00,430.00,416.35,419.95
20171023,409.95,425.00,409.95,422.25
20171020,399.00,402.00,397.00,401.70
20171019,396.00,399.00,394.40,399.00
20171018,396.00,396.00,392.00,394.85
20171017,398.00,398.00,392.05,395.90
20171013,391.00,399.45,391.00,396.80
20171012,396.00,400.00,393.00,393.50
20171011,394.95,396.00,390.00,394.60
20171010,390.10,396.95,390.10,393.00
20171009,390.45,394.00,380.15,386.70
20171006,398.00,398.80,390.25,390.45
20171005,395.05,399.95,395.05,398.30
20171004,397.95,398.70,390.05,393.25
20171003,401.05,403.00,396.00,399.60
20171002,390.10,401.50,390.10,400.50
20170929,386.50,395.00,385.00,389.25
20170928,386.00,389.75,382.00,384.75
20170927,375.00,387.00,375.00,386.20
20170926,365.00,379.95,365.00,375.75
20170925,356.60,363.00,352.50,353.60
20170922,346.35,356.00,345.00,354.50
20170921,345.10,347.00,343.80,346.35
20170920,347.00,348.50,343.60,345.10
