fecha,ultima,apertura,maximo,minimo,vol,varianza
20180126,1005.25,1005.25,1005.25,1005.25,0.20,1.54
20180125,990.00,990.00,990.00,990.00,1.40,5.40
20180122,939.25,939.25,939.25,939.25,1.80,0.03
20180119,939.00,939.00,939.00,939.00,1.10,8.33
20171226,866.80,866.80,866.80,866.80,0.69,4.36
20171206,830.60,830.60,830.60,830.60,3.57,10.81
20171011,749.56,749.56,749.56,749.56,6.00,2.89
20170811,728.50,728.50,728.50,728.50,0.90,3.11
20170703,706.50,706.50,706.50,706.50,0.28,1.76
20170621,694.25,694.25,694.25,694.25,1.00,4.09
20170612,667.00,667.00,667.00,667.00,0.40,0.94
20170601,660.80,660.80,660.80,660.80,0.55,2.61
20170522,644.00,644.00,644.00,644.00,8.50,8.14
20170328,595.50,596.60,596.60,595.50,0.56,0.02
20170313,595.40,595.40,595.40,595.40,2.50,8.93
20170202,546.57,546.57,546.57,546.57,6.50,-0.35
20170201,548.50,548.50,548.50,548.50,2.72,-0.30
20170131,550.14,550.14,550.14,550.14,0.27,-2.58
20170124,564.70,564.70,564.70,564.70,8.00,-1.16
20161221,571.30,571.30,571.30,571.30,1.20,1.25
20161214,564.25,564.25,564.25,564.25,1.50,3.53
20161212,545.00,545.00,545.00,545.00,0.10,1.95
20161118,534.60,534.60,534.60,534.60,3.18,1.73
20161110,525.50,525.50,525.50,525.50,8.00,-2.59
20160926,539.50,539.50,539.50,539.50,2.18,-0.09
20160920,540.00,535.70,540.00,535.70,3.82,0.84
20160817,535.50,533.75,535.50,533.75,0.87,-1.89
20160721,545.80,545.80,545.80,545.80,0.55,-2.19
20160720,558.00,560.60,560.60,558.00,3.03,-0.46
20160719,560.60,560.60,560.60,560.60,19.00,6.28
20160706,527.45,527.45,527.45,527.45,3.00,3.56
20160627,509.30,509.30,509.30,509.30,0.06,8.82
20160616,468.00,468.00,468.00,468.00,2.00,-1.27
20160524,474.00,474.00,474.00,474.00,0.02,-1.21
20160512,479.81,479.81,479.81,479.81,7.45,-0.24
20160426,480.95,480.95,480.95,480.95,5.65,-2.89
20160404,495.25,495.25,495.25,495.25,1.01,0.14
20160331,494.55,493.90,494.55,493.90,1.66,0.20
20160330,493.55,493.55,493.55,493.55,1.16,-1.68
20160303,502.00,502.00,502.00,502.00,2.68,-1.66
20160302,510.45,510.45,510.45,510.45,7.40,3.71
20160224,492.20,492.20,492.20,492.20,13.25,0.45
20160223,490.00,490.00,490.00,490.00,6.00,2.28
20160219,479.10,479.10,479.10,479.10,7.75,-0.81
20160217,483.00,483.00,483.00,483.00,18.50,3.87
20160212,465.00,465.00,465.00,465.00,15.00,3.83
20160204,447.86,447.86,447.86,447.86,15.00,2.73
20160203,435.94,435.94,435.94,435.94,12.50,3.55
20160202,421.00,421.00,421.00,421.00,22.50,-1.41
20160201,427.00,427.00,427.00,427.00,18.00,4.50
20160126,408.63,408.83,408.83,408.63,38.00,2.93
20160113,397.00,397.00,397.00,397.00,50.00,-3.44
20151218,411.15,411.15,411.15,411.15,2.43,-3.61
20151102,426.55,426.55,426.55,426.55,5.00,3.28
20151007,413.00,413.00,413.00,413.00,1.33,5.12
20150904,392.90,392.90,392.90,392.90,5.00,3.19
20150526,380.76,380.76,380.76,380.76,9.67,-0.97
20150326,384.50,384.50,384.50,384.50,0.66,-1.88
20150325,391.87,391.87,391.87,391.87,1.85,0.74
20150319,388.98,388.98,388.98,388.98,40.80,-1.64
20150309,395.45,395.45,395.45,395.45,0.90,1.66
20150305,389.00,389.00,389.00,389.00,5.13,-4.25
20150223,406.25,406.25,406.25,406.25,2.19,-0.17
20150209,406.95,406.95,406.95,406.95,1.04,0.82
20150202,403.65,403.65,403.65,403.65,1.30,0.12
20150120,403.15,403.15,403.15,403.15,4.75,8.20
20141218,372.60,372.60,372.60,372.60,0.70,-2.19
20141201,380.95,380.95,380.95,380.95,2.38,-0.46
20141008,382.70,382.70,382.70,382.70,4.80,-7.18
20140922,412.30,413.00,413.00,412.30,9.71,9.10
20140915,377.90,383.25,383.25,377.90,28.44,6.86
20140904,353.65,353.60,353.65,353.60,16.99,31.66
20140604,268.61,268.61,268.61,268.61,0.02,0.20
20140507,268.07,270.81,270.81,268.07,0.50,0.18
20140425,267.60,267.60,267.60,267.60,4.67,0.28
20140328,266.85,266.85,266.85,266.85,0.05,-3.72
20140320,277.15,277.15,277.15,277.15,7.74,0.54
20140218,275.65,275.65,275.65,275.65,4.84,-3.64
20140123,286.06,286.06,286.06,286.06,16.00,14.96
20140107,248.84,247.74,248.84,247.74,0.26,4.98
20131119,237.03,237.03,237.03,237.03,0.08,10.24
20131008,215.00,215.00,215.00,215.00,0.08,9.45
20130816,196.44,196.44,196.44,196.44,3.50,1.48
20130801,193.57,193.57,193.57,193.57,0.08,-0.08
20130731,193.72,193.72,193.72,193.72,0.08,0.46
20130730,192.83,192.83,192.83,192.83,0.08,-0.38
20130729,193.57,193.57,193.57,193.57,0.08,9.51
20130613,176.76,176.76,176.76,176.76,0.08,-2.13
20130612,180.62,180.62,180.62,180.62,0.08,-0.65
20130611,181.80,181.80,181.80,181.80,0.08,0.19
20130610,181.46,181.46,181.46,181.46,0.08,0.66
20130605,180.27,180.27,180.27,180.27,0.08,-1.17
20130604,182.40,182.40,182.40,182.40,0.08,-3.00
20130531,188.03,188.82,188.82,188.03,4.91,-3.05
20130510,193.95,196.07,196.07,193.95,11.11,-3.41
20130509,200.80,200.80,200.80,200.80,0.08,-0.44
20130503,201.69,201.69,201.69,201.69,0.08,6.50
20130430,189.37,189.37,189.37,189.37,0.08,1.72
20130425,186.17,188.68,188.68,186.17,0.09,-1.38
20130424,188.78,188.78,188.78,188.78,0.08,1.00
20130419,186.91,186.91,186.91,186.91,0.02,1.17
20130418,184.74,191.14,191.14,184.74,0.09,-1.99
20130417,188.48,188.48,188.48,188.48,0.25,1.76
20130415,185.23,185.23,185.23,185.23,0.08,1.18
20130412,183.06,183.06,183.06,183.06,4.30,5.33
20130403,173.80,173.75,173.80,173.75,5.17,-1.37
20130327,176.22,176.22,176.22,176.22,0.84,0.56
20130326,175.23,175.23,175.23,175.23,0.79,2.33
20130325,171.24,171.24,171.24,171.24,0.08,-2.41
20130322,175.48,175.48,175.48,175.48,1.12,0.85
20130320,174.00,174.00,174.00,174.00,4.53,1.76
20130319,170.99,170.99,170.99,170.99,4.61,-1.45
20130318,173.51,176.81,176.81,173.51,1.29,4.95
20130306,165.33,165.33,165.33,165.33,0.04,1.70
20130304,162.57,162.57,162.57,162.57,0.08,-2.31
20130301,166.41,166.41,166.41,166.41,0.10,4.42
20130225,159.37,159.37,159.37,159.37,0.10,1.19
20130215,157.50,157.50,157.50,157.50,0.10,-0.16
20130214,157.74,157.74,157.74,157.74,0.50,0.59
20130206,156.82,156.82,156.82,156.82,1.57,1.08
20130204,155.15,155.15,155.15,155.15,0.40,0.70
20130201,154.07,155.54,155.54,154.07,2.54,1.55
20130128,151.72,150.15,151.72,149.17,1.23,7.92
20130116,140.58,140.58,140.58,140.58,1.04,5.45
20130109,133.32,133.32,133.32,133.32,0.03,9.12
20121228,122.18,122.18,122.18,122.18,7.33,0.44
20121226,121.64,121.64,121.64,121.64,1.62,0.81
20121213,120.66,118.84,120.66,118.84,2.33,1.82
20121212,118.50,118.50,118.50,118.50,1.65,-0.74
20121210,119.38,119.38,119.38,119.38,1.23,-1.34
20121130,121.00,121.00,121.00,121.00,0.25,-1.08
20121128,122.33,122.33,122.33,122.33,0.02,-1.31
20121127,123.95,123.95,123.95,123.95,0.80,1.34
20121116,122.31,122.31,122.31,122.31,0.10,-0.40
20121114,122.80,122.85,122.85,122.80,1.69,-1.57
20121113,124.75,125.34,125.34,124.75,1.66,2.49
20121109,121.72,121.72,121.72,121.72,0.13,3.10
20121102,118.06,116.55,118.06,116.55,0.14,4.00
20121026,113.52,113.52,113.52,113.52,1.72,0.78
20121023,112.64,112.64,112.64,112.64,0.17,-1.41
20121022,114.25,114.79,114.79,114.25,1.96,-3.07
20121019,117.86,117.86,117.86,117.86,0.37,0.08
20121018,117.77,117.77,117.77,117.77,1.25,-1.43
20121017,119.48,119.48,119.48,119.48,0.50,5.11
20121015,113.66,114.89,114.89,113.66,1.20,-2.55
20121004,116.64,116.64,116.64,116.64,0.37,-2.29
20120925,119.38,119.38,119.38,119.38,1.27,2.73
20120914,116.20,116.20,116.20,116.20,0.84,1.75
20120910,114.20,114.20,114.20,114.20,1.70,-4.26
20120906,119.28,119.48,119.48,119.28,0.17,-0.16
20120905,119.48,119.53,119.53,119.48,5.50,1.45
20120904,117.77,116.60,117.82,116.60,8.07,-0.86
20120831,118.79,118.45,118.79,118.45,0.89,0.75
20120830,117.91,117.91,117.91,117.91,0.09,-0.21
20120829,118.16,118.16,118.16,118.16,0.12,-1.27
20120828,119.67,119.72,119.72,119.67,2.04,0.91
20120827,118.60,118.60,118.60,118.60,0.12,-0.69
20120824,119.43,119.43,119.43,119.43,0.31,0.78
20120823,118.50,118.50,118.50,118.50,0.37,-0.33
20120822,118.89,119.04,119.04,118.89,0.72,2.09
20120821,116.45,116.45,116.45,116.45,10.40,-1.56
20120817,118.30,119.61,119.61,118.30,0.80,-1.42
20120815,120.00,120.00,120.00,120.00,20.25,7.03
20120814,112.13,112.13,112.13,112.13,14.97,2.22
20120810,109.69,108.43,109.69,108.43,5.13,-7.24
20120807,118.25,118.30,118.30,118.25,2.88,-1.74
20120801,120.34,120.34,120.34,120.34,0.50,-1.75
20120731,122.48,122.48,122.48,122.48,0.30,0.52
20120719,121.85,121.85,121.85,121.85,0.40,6.28
20120706,114.65,114.65,114.65,114.65,0.85,0.77
20120705,113.78,113.78,113.78,113.78,1.28,2.63
20120628,110.86,110.86,110.86,110.86,0.85,-1.77
20120615,112.86,112.86,112.86,112.86,4.00,3.06
