fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,25.600,26.000,26.400,24.300,196.71k,-0.78
20180126,25.800,25.550,26.450,25.550,278.75k,1.57
20180125,25.400,26.100,26.800,25.300,606.20k,-1.17
20180124,25.700,24.100,25.700,24.000,781.04k,5.33
20180123,24.400,23.850,24.400,23.400,172.76k,2.31
20180122,23.850,23.650,24.200,23.450,167.07k,-0.42
20180119,23.950,24.300,24.600,23.200,251.63k,-1.84
20180118,24.400,23.150,24.650,22.850,569.28k,6.09
20180117,23.000,23.150,23.650,22.900,241.61k,-0.86
20180116,23.200,23.150,23.500,23.000,170.18k,0.43
20180115,23.100,23.000,23.600,23.000,247.86k,-0.86
20180112,23.300,23.500,24.000,23.000,272.99k,0.87
20180111,23.100,23.700,23.750,23.000,304.27k,-2.74
20180110,23.750,23.850,23.850,22.500,177.51k,-0.63
20180109,23.900,24.800,24.800,23.550,516.91k,-3.24
20180108,24.700,25.700,25.700,24.550,230.03k,-4.26
20180105,25.800,25.850,26.000,24.950,300.05k,-0.39
20180104,25.900,25.500,25.900,24.550,299.32k,2.37
20180103,25.300,24.750,25.300,24.450,411.81k,2.22
20180102,24.750,23.750,24.750,23.100,222.19k,5.32
20171229,23.500,23.100,23.500,23.000,154.01k,2.17
20171228,23.000,22.800,23.000,22.700,139.66k,2.68
20171227,22.400,22.850,23.400,22.150,170.65k,-1.97
20171226,22.850,23.550,24.250,22.700,159.75k,-1.08
20171222,23.100,22.400,23.600,22.000,314.49k,4.05
20171221,22.200,21.500,22.250,21.000,188.34k,3.74
20171220,21.400,21.500,21.650,20.800,219.17k,1.90
20171219,21.000,21.500,22.400,20.600,272.37k,-1.41
20171218,21.300,21.500,22.000,20.700,185.88k,-1.39
20171215,21.600,22.100,22.750,21.200,194.49k,-2.04
20171214,22.050,22.600,23.000,21.900,212.08k,-2.00
20171213,22.500,23.450,23.850,22.500,115.35k,-4.05
20171212,23.450,23.900,24.200,23.200,102.13k,-1.88
20171211,23.900,23.400,24.100,23.200,112.90k,2.80
20171207,23.250,22.900,23.450,22.750,118.09k,1.09
20171206,23.000,24.000,24.000,22.800,252.23k,-4.17
20171205,24.000,25.000,25.000,23.000,155.65k,-2.83
20171204,24.700,24.700,25.000,24.500,499.83k,1.23
20171201,24.400,23.200,24.400,23.000,226.01k,5.17
20171130,23.200,23.500,23.800,22.850,162.27k,-1.28
20171129,23.500,22.500,23.650,22.500,275.58k,3.30
20171128,22.750,23.200,23.300,22.600,155.39k,-1.94
20171127,23.200,23.050,23.800,23.050,158.54k,-0.43
20171124,23.300,23.100,23.500,23.000,110.98k,-0.43
20171123,23.400,23.450,23.750,22.800,300.76k,0.00
20171122,23.400,24.400,25.150,23.300,251.26k,-4.10
20171121,24.400,25.150,25.250,24.100,94.09k,-2.40
20171117,25.000,25.400,25.800,24.300,80.54k,-0.79
20171116,25.200,24.800,25.450,24.500,201.79k,1.82
20171115,24.750,23.500,25.000,22.500,214.50k,5.32
20171114,23.500,25.400,25.500,23.400,152.04k,-6.37
20171113,25.100,25.800,25.800,24.900,143.03k,-3.83
20171110,26.100,26.400,27.000,25.300,184.44k,0.19
