fecha,ultima,apertura,maximo,minimo,vol,varianza
20180122,96.400,96.400,96.400,96.400,0.26k,-1.13
20180116,97.500,97.500,97.500,97.500,0.32k,3.61
20180109,94.100,94.100,94.100,94.100,0.32k,2.73
20180108,91.600,91.600,91.600,91.600,0.32k,0.11
20180105,91.500,91.500,91.500,91.500,24.83k,28.42
20171211,71.250,71.250,71.250,71.250,0.70k,0.00
20171207,71.250,71.250,71.250,71.250,0.06k,0.71
20171129,70.750,70.750,70.750,70.750,1.07k,-8.12
20171019,77.000,77.000,77.000,77.000,0.16k,1.32
20171006,76.000,75.000,76.000,75.000,0.89k,-1.94
20171004,77.500,77.500,77.500,77.500,0.39k,6.16
20170928,73.000,73.000,73.000,73.000,0.29k,-1.82
20170926,74.350,74.350,74.350,74.350,0.14k,0.00
20170901,74.350,74.350,74.350,74.350,0.41k,3.26
20170828,72.000,72.000,72.000,72.000,0.41k,-4.13
20170804,75.100,75.100,75.100,75.100,0.31k,-0.73
20170727,75.650,75.650,75.650,75.650,0.19k,3.35
20170725,73.200,73.200,73.200,73.200,0.40k,2.38
20170721,71.500,71.500,71.500,71.500,0.06k,-1.85
20170613,72.850,72.850,72.850,72.850,0.41k,2.32
20170612,71.200,71.200,71.200,71.200,0.43k,-2.26
20170609,72.850,72.850,72.850,72.850,0.41k,1.04
20170607,72.100,72.100,72.100,72.100,0.22k,-2.90
20170605,74.250,74.250,74.250,74.250,0.41k,-1.00
20170602,75.000,75.000,75.000,75.000,0.36k,1.35
20170601,74.000,75.000,75.000,74.000,0.87k,1.86
20170531,72.650,72.650,72.650,72.650,0.33k,-1.42
20170523,73.700,73.500,73.700,73.500,1.12k,0.27
20170522,73.500,73.500,73.500,73.500,0.41k,2.08
20170519,72.000,72.000,72.000,72.000,0.23k,4.35
20170505,69.000,66.100,69.000,66.100,0.19k,-0.79
20170502,69.550,69.550,69.550,69.550,0.14k,-0.64
20170428,70.000,70.000,70.000,70.000,0.37k,0.00
20170427,70.000,70.000,70.000,70.000,0.44k,0.72
20170426,69.500,70.750,70.750,69.500,0.44k,3.04
20170405,67.450,67.450,67.450,67.450,0.11k,-2.25
20170403,69.000,69.000,69.000,69.000,0.10k,1.25
20170331,68.150,68.150,68.150,68.150,0.08k,-0.22
20170330,68.300,68.300,68.300,68.300,0.44k,-1.01
20170328,69.000,68.250,69.000,68.250,0.54k,1.10
20170327,68.250,68.250,68.250,68.250,0.44k,-2.22
20170323,69.800,69.800,69.800,69.800,0.43k,-1.06
20170321,70.550,70.550,70.550,70.550,0.43k,-0.77
20170316,71.100,71.100,71.100,71.100,0.08k,-8.85
20170223,78.000,78.000,78.000,78.000,0.87k,-0.64
20170222,78.500,78.500,78.500,78.500,0.03k,1.95
20170217,77.000,76.000,77.000,76.000,2.71k,3.36
20170216,74.500,74.500,74.500,74.500,0.40k,-0.73
20170215,75.050,75.050,75.050,75.050,0.40k,-1.25
20170214,76.000,76.000,76.000,76.000,0.39k,1.33
20170213,75.000,75.000,75.000,75.000,0.40k,1.56
20170210,73.850,73.850,73.850,73.850,0.10k,8.60
20170209,68.000,68.000,68.000,68.000,0.14k,1.04
20170207,67.300,67.300,67.300,67.300,0.05k,0.00
20170206,67.300,67.300,67.300,67.300,0.46k,3.54
20170203,65.000,65.000,65.000,65.000,0.39k,15.04
20170124,56.500,56.500,56.500,56.500,0.20k,9.60
20161117,51.550,51.550,51.550,51.550,0.03k,0.00
20161116,51.550,51.550,51.550,51.550,0.90k,-27.39
20161027,71.000,71.000,71.000,71.000,0.35k,9.23
20161025,65.000,65.000,65.000,65.000,-,0.00
20161024,65.000,65.000,65.000,65.000,0.61k,0.00
20161021,65.000,63.000,65.000,63.000,1.40k,-2.99
20161020,67.000,67.000,67.000,67.000,0.16k,-6.94
20160922,72.000,68.700,72.000,68.700,2.06k,4.58
20160920,68.850,68.850,69.750,68.850,3.92k,-1.08
20160919,69.600,69.000,69.750,69.000,1.34k,0.87
20160914,69.000,69.000,69.000,69.000,0.10k,-2.13
20160912,70.500,70.500,70.500,70.500,0.97k,-2.08
20160907,72.000,72.000,72.000,72.000,0.19k,-4.00
20160906,75.000,75.000,75.000,75.000,1.00k,0.00
20160826,75.000,74.250,75.000,74.250,1.07k,7.53
20160825,69.750,69.000,69.750,69.000,1.01k,-7.00
20160823,75.000,75.750,76.500,75.000,0.45k,1.01
20160819,74.250,72.000,74.250,72.000,1.17k,-0.20
20160817,74.400,74.400,74.400,74.400,0.70k,0.00
20160816,74.400,74.400,74.400,74.400,0.31k,3.33
20160812,72.000,72.000,72.000,72.000,0.27k,-7.43
20160729,77.775,77.775,77.775,77.775,0.70k,185.41
20160728,27.250,27.250,27.250,27.250,-,-66.57
20160726,81.514,81.514,81.514,81.514,0.55k,0.93
20160719,80.766,80.766,80.766,80.766,0.60k,12.50
20160705,71.792,71.792,71.792,71.792,0.35k,0.00
20160704,71.792,71.792,71.792,71.792,0.20k,199.13
20160701,24.000,24.000,24.000,24.000,-,-63.53
20160629,65.809,65.809,65.809,65.809,2.26k,-2.22
20160624,67.305,65.809,67.305,65.809,0.27k,-2.17
20160623,68.801,68.801,68.801,68.801,0.96k,6.98
20160610,64.314,64.314,64.314,64.314,0.07k,192.34
20160609,22.000,22.000,22.000,22.000,-,-66.57
20160607,65.809,65.062,65.809,65.062,0.51k,1.15
20160606,65.062,65.062,65.062,65.062,0.68k,225.31
