fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,811.00,811.35,811.35,806.90,0.67k,-0.04
20180125,811.35,811.35,811.35,811.35,0.20k,0.17
20180124,810.00,792.25,812.00,792.25,0.15k,2.53
20180123,790.00,770.00,790.00,770.00,0.52k,2.33
20180122,772.00,772.00,772.00,772.00,0.06k,4.89
20180117,736.00,736.00,736.00,736.00,0.03k,-0.67
20180116,741.00,740.00,750.00,740.00,0.29k,0.47
20180115,737.50,745.00,745.00,737.50,0.12k,-0.34
20180111,740.00,740.00,740.00,735.00,0.15k,0.00
20180110,740.00,740.00,740.00,740.00,0.12k,0.00
20180109,740.00,740.00,742.00,739.00,0.29k,0.00
20180108,740.00,740.00,740.00,740.00,0.06k,2.78
20180105,720.00,720.00,720.00,720.00,0.03k,5.03
20180102,685.50,686.00,686.00,685.50,0.26k,0.07
20171229,685.00,710.00,710.00,685.00,0.20k,-1.44
20171228,695.00,705.00,705.00,695.00,0.06k,1.46
20171227,685.00,685.00,685.00,685.00,0.03k,1.69
20171226,673.60,673.60,673.60,673.60,1.04k,1.52
20171222,663.50,670.00,670.00,663.50,0.09k,-0.97
20171221,670.00,675.00,675.00,670.00,0.09k,0.00
20171220,670.00,679.80,679.80,670.00,0.17k,3.38
20171219,648.10,648.10,648.10,648.10,0.03k,0.48
20171218,645.00,634.00,652.45,634.00,0.23k,1.57
20171214,635.00,636.00,636.00,635.00,0.23k,0.79
20171212,630.00,634.00,634.00,630.00,0.09k,0.80
20171211,625.00,625.00,625.00,625.00,0.55k,0.00
20171207,625.00,625.00,625.00,625.00,0.09k,0.97
20171206,619.00,622.00,622.00,611.00,5.34k,-0.64
20171201,623.00,623.00,623.00,623.00,0.03k,0.16
20171129,622.00,624.00,624.00,622.00,0.49k,-2.81
20171128,640.00,640.00,645.00,640.00,0.29k,2.40
20171127,625.00,625.00,625.00,625.00,0.03k,-2.34
20171123,640.00,640.00,640.00,640.00,0.03k,0.00
20171121,640.00,630.00,640.00,630.00,0.09k,1.59
20171117,630.00,630.00,630.00,630.00,0.06k,0.16
20171115,629.00,629.00,629.00,629.00,0.12k,-0.16
20171114,630.00,620.00,630.00,620.00,0.15k,3.28
20171113,610.00,610.00,610.00,610.00,0.15k,-2.87
20171109,628.00,640.00,640.00,628.00,0.15k,-1.10
20171107,635.00,630.00,635.00,630.00,0.55k,0.00
20171103,635.00,635.00,635.00,635.00,0.03k,0.00
20171102,635.00,635.00,635.00,635.00,0.32k,0.00
20171101,635.00,635.00,635.00,635.00,0.03k,-0.63
20171030,639.00,645.00,645.00,635.00,0.12k,-0.93
20171027,645.00,602.05,645.00,602.05,0.12k,7.14
20171026,602.00,602.00,602.00,602.00,0.17k,0.33
20171024,600.00,605.00,605.00,600.00,0.06k,1.69
20171023,590.00,590.00,590.00,590.00,0.15k,-3.06
20171020,608.60,605.00,608.60,605.00,3.28k,1.43
20171017,600.00,600.00,600.00,600.00,0.06k,-0.83
20171013,605.00,605.00,605.00,605.00,0.06k,0.50
20171011,602.00,602.00,602.00,602.00,0.67k,0.33
20171010,600.00,600.00,600.00,600.00,0.09k,1.87
20171009,589.00,589.00,589.00,589.00,0.03k,0.68
20171006,585.00,585.00,595.00,585.00,0.15k,1.74
20171005,575.00,575.00,575.00,575.00,0.06k,0.00
20171004,575.00,560.00,575.00,560.00,0.58k,0.00
20171003,575.00,585.00,585.00,575.00,0.32k,-0.69
20170929,579.00,579.00,579.00,579.00,0.06k,-0.17
20170927,580.00,570.00,580.00,570.00,0.32k,3.35
20170926,561.20,560.00,561.20,560.00,0.12k,1.12
20170925,555.00,551.00,555.00,551.00,0.06k,0.90
20170922,550.05,550.05,550.05,550.05,0.09k,0.01
20170921,550.00,550.00,550.00,550.00,0.12k,0.00
20170920,550.00,550.00,550.00,550.00,0.03k,0.00
20170918,550.00,550.00,552.50,550.00,0.75k,-0.90
20170915,555.00,555.00,555.00,555.00,0.17k,-0.89
20170913,560.00,560.00,560.00,560.00,0.12k,0.00
20170912,560.00,560.00,560.00,560.00,0.12k,-1.75
20170911,570.00,564.00,570.00,560.00,0.23k,1.79
20170907,560.00,560.00,560.00,560.00,0.15k,-0.44
20170905,562.50,580.00,580.00,562.50,0.12k,-1.32
20170904,570.00,570.00,570.00,570.00,0.09k,-0.52
20170831,573.00,573.00,574.50,573.00,4.03k,1.96
20170830,562.00,563.00,563.00,559.00,0.15k,0.00
20170829,562.00,562.00,562.00,562.00,0.15k,0.36
20170828,560.00,565.00,565.00,560.00,0.12k,0.00
20170825,560.00,560.00,560.00,560.00,0.09k,0.36
20170818,558.00,560.00,560.00,558.00,0.20k,-0.36
20170817,560.00,560.00,560.00,560.00,0.06k,0.18
20170814,559.00,551.00,559.00,551.00,0.15k,-3.45
20170811,579.00,575.00,579.00,575.00,0.35k,-0.17
20170810,580.00,600.00,600.00,580.00,0.06k,-3.33
20170809,600.00,600.00,600.00,600.00,0.03k,3.45
20170808,580.00,590.00,590.00,580.00,0.41k,-1.69
20170807,590.00,575.00,590.00,574.00,0.15k,2.08
20170804,578.00,578.00,579.45,578.00,1.13k,0.52
20170803,575.00,580.00,580.00,575.00,0.90k,0.00
20170802,575.00,570.00,575.00,568.00,0.09k,1.59
