fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,275.00,280.00,280.00,275.00,0.83k,1.10
20180125,272.00,272.00,272.00,272.00,0.01k,0.55
20180124,270.50,269.00,270.50,269.00,59.70k,1.50
20180123,266.50,266.00,267.50,266.00,10.88k,0.49
20180118,265.20,270.00,275.00,265.00,32.16k,2.79
20180116,258.00,258.00,258.00,258.00,0.10k,0.78
20180115,256.00,256.00,256.00,256.00,0.01k,-0.78
20180112,258.00,256.00,258.00,256.00,0.04k,0.78
20180111,256.00,256.00,256.00,256.00,0.05k,0.00
20180105,256.00,259.00,259.00,255.00,0.24k,-1.16
20180104,259.00,259.00,259.00,259.00,0.64k,0.00
20180103,259.00,260.00,260.00,259.00,0.31k,-0.38
20180102,260.00,259.00,260.00,259.00,0.73k,0.00
20171229,260.00,260.00,260.00,260.00,0.04k,2.77
20171228,253.00,253.00,253.00,253.00,0.03k,0.00
20171226,253.00,251.00,253.50,250.00,0.21k,0.80
20171222,251.00,250.00,251.00,250.00,0.93k,2.03
20171221,246.00,243.00,246.00,243.00,0.05k,1.23
20171220,243.00,240.50,243.00,240.50,0.17k,0.41
20171218,242.00,240.00,242.00,232.25,0.46k,0.83
20171215,240.00,239.00,240.00,239.00,0.13k,-2.83
20171213,247.00,247.00,247.00,247.00,0.06k,-0.40
20171212,248.00,248.00,248.00,248.00,0.00k,0.20
20171207,247.50,248.00,248.00,239.00,0.11k,-0.20
20171206,248.00,248.00,248.00,247.95,1.89k,-0.80
20171205,250.00,250.00,250.00,250.00,0.01k,0.00
20171204,250.00,252.00,252.00,250.00,0.10k,-1.19
20171201,253.00,253.00,253.00,253.00,0.04k,0.40
20171130,252.00,252.00,252.00,252.00,0.01k,-0.40
20171129,253.00,253.00,253.00,253.00,0.06k,0.40
20171128,252.00,253.00,253.00,252.00,5.01k,-0.79
20171124,254.00,252.00,254.00,252.00,0.09k,0.79
20171123,252.00,252.00,252.00,252.00,0.01k,-0.79
20171122,254.00,258.00,258.00,249.00,0.54k,-1.17
20171121,257.00,257.00,257.00,257.00,0.20k,-0.39
20171117,258.00,263.00,263.00,258.00,0.06k,2.77
20171116,251.05,251.05,251.05,251.05,0.05k,0.42
20171115,250.00,251.00,251.00,250.00,0.11k,0.00
20171114,250.00,250.00,250.00,250.00,0.19k,1.21
20171113,247.00,252.00,252.00,247.00,0.05k,-1.98
20171110,252.00,255.00,255.00,252.00,0.49k,0.00
20171109,252.00,251.00,252.00,250.00,0.37k,0.40
20171108,251.00,253.00,253.00,251.00,3.27k,-1.18
20171107,254.00,260.00,260.00,250.00,9.40k,1.60
20171103,250.00,250.00,250.00,250.00,0.27k,0.00
20171102,250.00,250.00,250.00,248.10,0.22k,-0.40
20171101,251.00,253.00,253.00,251.00,4.73k,0.40
20171031,250.00,247.00,250.00,247.00,8.45k,0.81
20171030,248.00,248.00,250.00,248.00,0.08k,-0.80
20171027,250.00,250.00,250.00,250.00,0.86k,-9.42
20171026,276.00,276.00,276.00,276.00,0.19k,-1.08
20171025,279.00,276.00,279.00,276.00,2.21k,-0.36
20171024,280.00,290.00,290.00,280.00,0.03k,-0.71
20171023,282.00,260.00,282.00,260.00,0.68k,6.82
20171020,264.00,260.00,264.00,260.00,1.71k,1.93
20171019,259.00,259.00,259.00,259.00,0.00k,0.00
20171018,259.00,260.00,261.00,259.00,0.88k,1.57
20171017,255.00,254.00,255.00,254.00,0.35k,0.39
20171013,254.00,254.00,254.00,254.00,0.08k,0.00
20171011,254.00,254.00,254.00,254.00,0.00k,-0.39
20171009,255.00,255.00,255.00,255.00,0.06k,2.00
20171006,250.00,250.00,250.00,250.00,0.12k,-0.40
