fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,17.100,17.300,17.400,17.000,1.33,-1.72
20180126,17.400,17.050,17.500,16.900,674.27k,1.16
20180125,17.200,17.450,17.900,17.050,1.01,-1.15
20180124,17.400,16.900,17.800,16.800,1.52,3.57
20180123,16.800,16.750,17.000,16.200,792.78k,0.90
20180122,16.650,16.600,16.900,16.500,280.79k,-0.30
20180119,16.700,17.100,17.300,16.450,1.42,-1.18
20180118,16.900,16.550,17.150,16.150,1.58,2.11
20180117,16.550,16.400,16.750,16.200,911.44k,-1.19
20180116,16.750,16.200,16.750,15.900,882.01k,2.13
20180115,16.400,15.550,16.600,15.550,1.95,2.82
20180112,15.950,15.250,16.300,15.250,1.30,3.57
20180111,15.400,15.400,15.600,15.150,446.60k,0.00
20180110,15.400,15.800,15.800,15.200,424.10k,-2.22
20180109,15.750,15.900,16.150,15.550,613.21k,-0.94
20180108,15.900,16.150,16.150,15.500,875.68k,-1.55
20180105,16.150,16.150,16.400,15.900,1.18,-1.52
20180104,16.400,16.400,16.500,15.650,1.35,0.31
20180103,16.350,15.900,16.400,15.400,1.57,3.48
20180102,15.800,15.300,16.000,15.000,1.62,3.95
20171229,15.200,14.750,15.500,14.700,1.20,2.70
20171228,14.800,13.800,14.900,13.800,1.07,6.09
20171227,13.950,13.850,14.100,13.800,849.89k,0.72
20171226,13.850,13.900,14.200,13.650,1.03,0.36
20171222,13.800,13.300,13.950,13.300,738.13k,3.37
20171221,13.350,13.350,13.400,13.050,599.75k,0.75
20171220,13.250,13.200,13.300,13.000,372.87k,0.76
20171219,13.150,12.850,13.300,12.800,698.96k,2.73
20171218,12.800,12.950,12.950,12.600,810.76k,0.00
20171215,12.800,12.950,12.950,12.550,785.58k,0.00
20171214,12.800,12.750,12.900,12.250,526.57k,0.39
20171213,12.750,12.950,13.150,12.500,733.16k,-1.92
20171212,13.000,12.900,13.350,12.900,533.39k,-1.14
20171211,13.150,13.200,13.400,13.000,456.16k,-0.75
20171207,13.250,12.800,13.250,12.600,599.66k,4.33
20171206,12.700,12.800,12.800,12.500,300.11k,0.00
20171205,12.700,12.900,13.000,12.600,465.28k,-3.05
20171204,13.100,13.250,13.350,12.900,563.87k,-1.13
20171201,13.250,13.400,13.500,13.200,310.32k,-0.38
20171130,13.300,13.050,13.350,13.000,559.81k,1.53
20171129,13.100,13.100,13.300,12.900,407.35k,-0.38
20171128,13.150,13.500,13.600,13.000,767.22k,-2.59
20171127,13.500,13.500,13.700,13.100,471.30k,0.00
20171124,13.500,13.850,13.850,13.450,263.21k,-0.37
20171123,13.550,13.800,13.900,13.500,417.97k,-1.81
20171122,13.800,13.500,13.900,13.500,861.61k,1.85
20171121,13.550,13.950,13.950,13.450,317.06k,-0.73
20171117,13.650,14.100,14.500,13.600,447.65k,-3.19
20171116,14.100,14.000,14.150,13.750,1.03,3.30
20171115,13.650,13.300,13.750,13.050,981.24k,1.49
20171114,13.450,13.850,13.950,12.600,1.45,-2.89
20171113,13.850,14.300,14.500,13.700,838.89k,-2.46
20171110,14.200,15.100,15.350,14.200,806.71k,-5.96
20171109,15.100,15.800,16.000,15.000,803.43k,-3.21
20171108,15.600,15.200,15.650,15.200,1.27,2.97
20171107,15.150,14.650,15.200,14.600,1.20,4.48
20171103,14.500,14.250,14.600,14.050,861.52k,1.40
20171102,14.300,14.300,14.650,13.950,823.60k,0.00
20171101,14.300,14.000,14.350,14.000,922.12k,2.51
20171031,13.950,13.400,14.000,13.200,1.34,5.28
20171030,13.250,13.000,13.400,12.900,628.04k,2.71
20171027,12.900,13.000,13.100,12.700,672.32k,-2.64
20171026,13.250,13.200,13.250,12.900,895.71k,1.92
20171025,13.000,13.350,13.450,12.800,1.49,-2.62
20171024,13.350,13.250,13.500,12.900,1.27,-0.74
20171023,13.450,13.450,13.500,12.900,2.07,1.51
20171020,13.250,13.200,13.450,12.900,1.33,0.00
20171019,13.250,12.800,13.250,12.600,947.90k,6.00
20171018,12.500,12.650,12.650,12.300,699.67k,-1.96
20171017,12.750,13.000,13.100,12.450,482.09k,-1.92
20171013,13.000,13.100,13.150,12.700,342.74k,-1.14
20171012,13.150,13.250,13.350,12.800,714.08k,-0.38
20171011,13.200,13.100,13.300,12.950,979.45k,0.76
20171010,13.100,12.900,13.150,12.900,795.22k,1.95
20171009,12.850,12.700,13.000,12.500,1.11,1.18
20171006,12.700,12.900,13.000,12.600,320.65k,-1.55
20171005,12.900,12.850,13.000,12.600,753.46k,0.78
20171004,12.800,13.000,13.000,12.450,779.59k,-1.54
20171003,13.000,12.900,13.100,12.800,473.30k,-0.38
20171002,13.050,13.050,13.200,12.900,603.87k,0.00
20170929,13.050,12.800,13.200,12.750,1.15,1.95
20170928,12.800,12.700,12.900,12.600,1.18,0.79
20170927,12.700,12.250,12.700,12.000,585.11k,2.42
20170926,12.400,12.650,12.700,12.300,459.24k,-1.20
