fecha,ultima,apertura,maximo,minimo,vol,varianza
20180126,194.55,194.55,194.55,194.55,2.00k,14.87
20171226,169.36,169.36,169.36,169.36,0.23k,5.85
20171017,160.00,153.00,160.00,153.00,0.08k,-0.65
20171011,161.05,161.05,161.05,161.05,14.00k,10.31
20170926,146.00,146.00,146.00,146.00,0.02k,-4.95
20170808,153.60,153.60,153.60,153.60,0.20k,0.39
20170807,153.00,153.00,153.00,153.00,0.67k,0.03
20170804,152.95,153.00,153.00,152.95,0.32k,0.39
20170803,152.35,152.30,152.35,152.30,0.84k,0.23
20170801,152.00,152.00,152.00,152.00,0.01k,0.00
20170728,152.00,152.00,152.00,152.00,0.01k,1.33
20170727,150.00,150.00,150.00,150.00,0.03k,12.02
20170621,133.90,133.90,133.90,133.90,1.00k,3.00
20170606,130.00,130.00,130.00,130.00,0.07k,4.00
20170522,125.00,125.00,125.00,125.00,17.00k,3.22
20170502,121.10,121.10,121.10,121.10,0.10k,-3.12
20170426,125.00,125.00,125.00,125.00,0.14k,2.04
20170328,122.50,123.80,123.80,122.50,1.22k,-0.97
20170313,123.70,122.95,123.70,122.95,3.00k,-0.24
20170213,124.00,124.00,124.00,124.00,0.15k,2.35
20170202,121.15,121.15,121.15,121.15,8.80k,-0.70
20170126,122.00,122.00,122.00,122.00,0.17k,-0.33
20170125,122.40,124.25,124.25,122.40,0.19k,-1.49
20170124,124.25,120.00,124.25,120.00,18.04k,8.56
20170106,114.45,114.45,114.45,114.45,0.04k,-0.48
20170103,115.00,115.00,115.00,115.00,0.01k,-1.33
20161214,116.55,116.55,116.55,116.55,4.00k,9.44
20161110,106.50,106.50,106.50,106.50,15.00k,6.50
20161028,100.00,100.00,100.00,100.00,0.12k,3.61
20160920,96.52,95.77,96.52,95.77,3.15k,-1.62
20160912,98.11,98.11,98.11,98.11,0.03k,0.47
20160817,97.65,97.65,97.65,97.65,4.55k,-2.35
20160811,100.00,100.00,100.00,100.00,0.02k,1.52
20160808,98.50,98.50,98.50,98.50,0.10k,-0.51
20160805,99.00,99.00,99.00,99.00,0.17k,1.64
20160726,97.40,97.40,97.40,97.40,9.50k,-1.52
20160719,98.90,98.90,98.90,98.90,32.01k,9.10
20160711,90.65,90.65,90.65,90.65,0.08k,0.78
20160706,89.95,85.00,89.95,85.00,15.00k,4.59
20160705,86.00,86.00,86.00,86.00,-,1.65
20160616,84.60,84.60,84.60,84.60,3.50k,-7.64
20160512,91.60,91.60,91.60,91.60,14.90k,1.22
20160511,90.50,90.50,90.50,90.50,1.54k,-4.74
20160427,95.00,95.00,95.00,95.00,0.07k,-1.25
20160426,96.20,96.20,96.20,96.20,11.33k,5.59
20160303,91.11,91.11,91.11,91.11,5.40k,0.39
20160302,90.76,89.57,90.76,89.57,13.31k,1.33
20160301,89.57,89.57,89.57,89.57,0.08k,5.45
20160224,84.94,84.94,84.94,84.94,26.50k,-2.18
20160223,86.83,83.60,86.83,83.60,16.18k,3.86
20160218,83.60,83.60,83.60,83.60,15.00k,0.91
20160217,82.85,82.85,82.85,82.85,57.00k,8.23
20160211,76.55,76.55,76.55,76.55,14.00k,-4.31
20160204,80.00,80.00,80.00,80.00,30.00k,2.56
20160203,78.00,78.00,78.00,78.00,25.00k,0.00
20160202,78.00,78.00,78.00,78.00,45.00k,-0.89
20160201,78.70,78.70,78.70,78.70,40.00k,-1.01
20160126,79.50,79.50,79.50,79.50,43.00k,-16.32
20160107,95.00,95.00,95.00,95.00,0.20k,-7.52
20151210,102.72,102.72,102.72,102.72,0.05k,0.00
20151201,102.72,102.72,102.72,102.72,0.07k,0.00
20151125,102.72,102.72,102.72,102.72,0.16k,-1.52
20151116,104.31,104.31,104.31,104.31,0.09k,2.14
20151112,102.12,102.12,102.12,102.12,0.15k,-3.70
20150909,106.04,106.04,106.04,106.04,0.10k,-3.09
20150824,109.42,109.42,109.42,109.42,0.09k,-3.51
20150814,113.40,113.40,113.40,113.40,0.08k,17.42
20150406,96.58,96.58,96.58,96.58,0.10k,0.51
20150325,96.09,96.09,96.09,96.09,5.24k,-10.16
20141212,106.96,106.96,106.96,106.96,0.06k,-2.39
20141202,109.58,109.58,109.58,109.58,0.09k,1.10
20141121,108.39,108.39,108.39,108.39,5.93k,-5.44
20141030,114.62,114.62,114.62,114.62,0.45k,-1.94
20141008,116.89,116.89,116.89,116.89,23.04k,1.91
20140915,114.70,114.70,114.70,114.70,0.11k,15.61
20140814,99.21,99.21,99.21,99.21,0.09k,8.05
20140723,91.82,91.82,91.82,91.82,24.20k,-0.64
20140722,92.41,92.41,92.41,92.41,6.19k,-6.75
20140609,99.10,99.10,99.10,99.10,0.12k,16.82
20140428,84.83,84.83,84.83,84.83,0.14k,1.41
20140410,83.65,83.21,83.65,83.21,0.26k,0.53
20140407,83.21,83.21,83.21,83.21,0.15k,-5.53
20140404,88.08,88.08,88.08,88.08,0.14k,-0.84
20140328,88.83,88.83,88.83,88.83,0.14k,-5.78
20140317,94.28,94.28,94.28,94.28,0.11k,0.94
20140313,93.40,93.40,93.40,93.40,0.13k,-2.41
20140130,95.71,95.71,95.71,95.71,0.04k,5.92
20140129,90.36,90.36,90.36,90.36,0.05k,7.98
20140113,83.68,83.68,83.68,83.68,0.20k,6.04
20140103,78.91,80.38,80.38,78.91,0.26k,-0.62
