fecha,ultima,apertura,maximo,minimo,vol,varianza
20180118,230.00,230.00,230.00,230.00,0.80k,2.22
20180110,225.00,225.00,225.00,225.00,0.59k,2.27
20180109,220.00,220.00,220.00,220.00,0.05k,-1.79
20180104,224.00,215.00,224.00,215.00,1.09k,4.19
20171030,215.00,215.00,215.00,215.00,0.01k,0.00
20171020,215.00,215.00,215.00,215.00,0.30k,0.00
20171012,215.00,215.00,215.00,215.00,0.40k,-5.29
20170808,227.00,227.00,227.00,227.00,0.69k,1.79
20170725,223.00,223.00,223.00,223.00,0.02k,6.19
20170710,210.00,210.00,210.00,210.00,0.89k,5.00
20170707,200.00,200.00,200.00,200.00,0.10k,5.26
20170626,190.00,190.00,190.00,190.00,0.66k,0.00
20170621,190.00,190.00,190.00,190.00,0.02k,0.00
20170616,190.00,190.00,190.00,190.00,0.02k,1.33
20170614,187.50,187.50,187.50,187.50,0.22k,0.00
20170613,187.50,187.50,187.50,187.50,-,4.17
20170609,180.00,180.00,180.00,180.00,0.29k,-4.79
20170531,189.05,189.05,189.05,189.05,0.05k,-5.00
20170530,199.00,194.00,199.00,194.00,0.08k,2.57
20170306,194.01,194.01,194.01,194.01,0.58k,-4.19
20170209,202.50,202.50,202.50,202.50,0.12k,3.32
20161213,196.00,196.00,196.00,196.00,0.02k,0.00
20161212,196.00,196.00,196.00,196.00,0.15k,-2.00
20161207,200.00,200.00,200.00,200.00,0.02k,0.00
20161205,200.00,200.00,200.00,200.00,0.76k,2.56
20161114,195.00,188.00,195.00,188.00,0.07k,2.63
20161111,190.00,185.00,190.00,185.00,0.38k,5.56
20161024,180.00,180.00,180.00,180.00,0.01k,1.12
20160929,178.00,178.00,178.00,178.00,0.70k,0.00
20160909,178.00,178.00,178.00,178.00,0.01k,-1.11
20160908,180.00,180.00,180.00,180.00,0.06k,0.00
20160907,180.00,180.00,180.00,180.00,0.11k,1.12
20160829,178.00,173.00,178.00,173.00,0.36k,2.89
20160823,173.00,173.00,173.00,173.00,0.19k,15.72
20160718,149.50,149.50,149.50,149.50,0.01k,-0.33
20160714,150.00,150.00,150.00,150.00,0.53k,-3.47
20160712,155.40,153.00,155.40,153.00,4.96k,3.60
20160705,150.00,150.00,150.00,150.00,1.42k,1.35
20160701,148.00,148.00,148.00,148.00,-,0.00
20160629,148.00,148.00,148.00,148.00,0.10k,0.00
20160624,148.00,147.00,148.00,147.00,0.51k,0.00
20160621,148.00,148.00,148.00,148.00,0.39k,-5.80
20160607,157.11,157.11,157.11,157.11,0.50k,-0.63
20160602,158.11,158.11,158.11,158.11,0.25k,0.32
20160601,157.61,157.61,157.61,157.61,0.57k,-1.49
20160427,160.00,160.00,160.00,160.00,0.10k,0.63
20160422,159.00,159.00,159.00,159.00,3.80k,2.58
20160421,155.00,155.00,155.00,155.00,0.21k,3.33
20160412,150.00,150.00,150.00,150.00,0.30k,-6.25
20160406,160.00,160.00,160.00,160.00,-,5.26
20160331,152.00,152.00,152.00,152.00,0.06k,1.33
20160328,150.00,150.00,150.00,150.00,0.22k,-2.60
20160321,154.00,151.00,154.00,151.00,0.21k,-2.55
20160304,158.03,156.04,158.03,156.04,1.02k,0.64
20160303,157.03,157.03,157.03,157.03,0.10k,-0.85
