fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,320.00,334.00,340.00,320.00,1.64k,-4.25
20180126,334.20,334.00,334.20,332.00,0.32k,-0.83
20180125,337.00,341.50,345.00,337.00,1.54k,-1.25
20180124,341.25,355.00,355.00,341.25,1.60k,-1.37
20180123,346.00,340.00,350.00,338.35,2.39k,2.26
20180122,338.35,340.00,340.00,338.35,0.13k,-0.49
20180119,340.00,345.00,345.00,339.00,0.98k,-0.58
20180118,342.00,342.00,345.00,340.00,0.83k,1.79
20180117,336.00,340.00,340.00,331.00,1.77k,-1.18
20180116,340.00,348.00,350.00,335.00,2.36k,-1.99
20180115,346.90,348.00,348.00,340.00,0.17k,4.49
20180112,332.00,328.00,332.00,328.00,1.54k,1.22
20180111,328.00,321.00,328.50,321.00,1.09k,1.55
20180110,323.00,331.00,331.00,323.00,1.13k,-2.34
20180109,330.75,333.00,333.00,330.75,0.60k,-0.68
20180108,333.00,332.00,333.70,330.00,0.34k,0.30
20180105,332.00,330.00,333.20,328.00,1.07k,2.15
20180104,325.00,324.00,326.00,318.00,1.23k,0.00
20180103,325.00,320.00,325.00,315.00,1.28k,2.52
20180102,317.00,315.00,317.00,314.00,0.48k,0.00
20171229,317.00,325.00,325.00,317.00,0.60k,-2.46
20171228,325.00,315.00,325.00,314.00,1.62k,3.50
20171227,314.00,315.00,315.00,312.00,0.39k,0.64
20171226,312.00,316.00,316.00,311.00,2.41k,-1.28
20171222,316.05,305.00,316.20,305.00,0.56k,1.95
20171221,310.00,306.00,310.00,306.00,0.37k,0.32
20171220,309.00,312.00,312.00,308.70,1.06k,0.00
20171219,309.00,310.45,313.00,306.00,1.95k,-0.32
20171218,310.00,308.00,312.50,308.00,3.87k,1.97
20171215,304.00,300.00,305.00,300.00,0.50k,0.66
20171214,302.00,305.00,305.00,302.00,0.23k,1.00
20171213,299.00,295.90,299.00,295.90,0.82k,1.05
20171212,295.90,299.00,299.00,293.00,1.11k,-0.94
20171211,298.70,295.00,298.70,295.00,2.63k,1.25
20171207,295.00,292.95,295.00,292.95,0.99k,0.70
20171206,292.95,290.00,292.95,280.00,11.00k,-0.66
20171205,294.90,290.00,297.00,290.00,0.73k,-0.37
20171204,296.00,296.00,305.00,295.90,0.48k,-0.12
20171201,296.35,296.35,296.35,296.35,0.03k,0.00
20171130,296.35,294.35,296.35,294.35,0.08k,0.80
20171129,294.00,301.00,301.00,293.95,1.53k,-2.33
20171128,301.00,306.00,306.00,300.00,0.52k,-1.31
20171127,305.00,306.00,306.00,304.00,0.26k,-0.33
20171124,306.00,310.00,310.00,306.00,0.39k,-0.97
20171123,309.00,309.00,309.00,309.00,0.03k,0.65
20171122,307.00,310.00,310.00,305.00,0.54k,0.66
20171121,305.00,301.00,305.00,300.00,0.47k,0.99
20171117,302.00,301.00,302.00,296.00,1.77k,0.67
20171116,300.00,295.70,300.00,295.70,0.28k,1.40
20171115,295.85,299.00,299.00,295.00,0.76k,-2.04
20171114,302.00,304.00,304.00,300.00,0.43k,-0.66
20171113,304.00,308.60,308.60,304.00,0.32k,-1.30
20171110,308.00,304.55,308.00,304.55,1.21k,0.00
20171109,308.00,309.00,309.00,304.00,2.06k,0.33
