fecha,ultima,apertura,maximo,minimo,vol,varianza
20171103,220.00,220.00,220.00,220.00,0.01k,1.85
20171023,216.00,216.00,216.00,216.00,0.21k,5.37
20170908,205.00,205.00,205.00,205.00,0.21k,-4.21
20170510,214.00,214.00,214.00,214.00,0.05k,4.90
20170509,204.00,204.00,204.00,204.00,0.15k,2.10
20170504,199.80,199.80,199.80,199.80,0.15k,-9.47
20170127,220.70,220.70,220.70,220.70,0.09k,18.01
20161025,187.01,187.01,187.01,187.01,0.15k,-8.10
20160825,203.50,203.50,203.50,203.50,11.32k,12.88
20160401,180.27,180.27,180.27,180.27,0.30k,-1.27
20160212,182.60,182.60,182.60,182.60,0.03k,40.35
20150519,130.10,130.10,130.10,130.10,0.40k,-3.63
20150428,135.00,135.00,135.00,135.00,2.68k,0.00
20150413,135.00,135.00,135.00,135.00,0.09k,0.83
20150317,133.88,133.88,133.88,133.88,0.26k,4.61
20150312,127.98,127.98,127.98,127.98,209.53k,0.98
20150311,126.74,126.74,126.74,126.74,156.30k,-1.38
20141209,128.51,128.51,128.51,128.51,23.93k,-20.67
20141009,162.00,162.00,162.00,162.00,0.70k,0.00
20141008,162.00,162.90,163.00,160.50,10.79k,9.67
20140825,147.71,147.71,147.71,147.71,0.71k,24.39
20140723,118.75,118.75,118.75,118.75,0.30k,-0.25
20140701,119.05,119.05,119.05,119.05,0.82k,-9.40
20140520,131.40,131.40,131.40,131.40,0.38k,11.03
20140509,118.35,118.35,118.35,118.35,0.09k,1.37
20140422,116.75,116.75,116.75,116.75,0.09k,3.69
20140414,112.60,112.60,112.60,112.60,0.09k,-2.51
20140328,115.50,115.50,115.50,115.50,0.11k,2.94
20140227,112.20,112.20,112.20,112.20,3.00k,-1.23
20140226,113.60,113.60,113.60,113.60,0.11k,-8.45
20140130,124.08,124.08,124.08,124.08,0.01k,9.57
20140121,113.25,113.25,113.25,113.25,0.11k,6.93
20140114,105.91,105.91,105.91,105.91,0.09k,1.19
20131230,104.66,104.66,104.66,104.66,3.06k,-3.07
20131119,107.97,107.97,107.97,107.97,0.12k,-2.11
20131022,110.30,109.81,111.78,109.81,0.32k,0.45
20131021,109.81,109.81,109.81,109.81,0.10k,0.91
20131018,108.82,108.82,108.82,108.82,0.10k,1.85
20131011,106.84,106.84,106.84,106.84,0.09k,11.04
20130816,96.21,96.21,96.21,96.21,4.50k,0.20
20130801,96.02,96.02,96.02,96.02,0.13k,-0.36
20130731,96.36,96.36,96.36,96.36,0.13k,-0.96
20130730,97.29,97.29,97.29,97.29,0.13k,0.30
20130722,97.00,97.00,97.00,97.00,1.66k,-0.25
20130712,97.25,97.25,97.25,97.25,0.30k,6.21
20130617,91.56,91.56,91.56,91.56,0.14k,-3.83
20130613,95.20,95.20,95.20,95.20,0.13k,-1.16
20130612,96.32,96.32,96.32,96.32,0.13k,-1.05
20130611,97.34,97.34,97.34,97.34,0.13k,1.32
20130605,96.08,96.08,96.08,96.08,0.13k,-0.05
20130604,96.13,96.13,96.13,96.13,0.13k,-4.77
20130528,100.94,100.94,100.94,100.94,0.12k,-10.44
20130509,112.71,112.71,112.71,112.71,0.11k,-1.57
20130503,114.50,114.50,114.50,114.50,7.61k,1.55
20130502,112.75,112.75,112.75,112.75,0.11k,0.83
20130430,111.83,111.83,111.83,111.59,7.61k,0.13
20130429,111.68,111.68,111.68,111.68,2.31k,3.05
20130425,108.38,108.38,108.38,108.38,0.11k,-1.02
20130415,109.50,109.50,109.50,109.50,0.11k,2.04
20130411,107.31,107.36,107.36,107.31,13.99k,5.08
20130404,102.13,102.13,102.13,102.13,1.56k,1.34
20130403,100.78,100.78,100.78,100.78,1.63k,0.00
20130327,100.78,100.78,100.78,100.78,1.63k,3.42
20130325,97.44,97.44,97.44,97.44,8.51k,0.30
20130322,97.15,96.38,97.15,96.38,9.17k,-0.59
20130321,97.73,97.73,97.73,97.73,0.97k,0.40
20130320,97.35,97.35,97.35,97.35,1.10k,-1.61
20130319,98.94,99.13,99.13,98.94,0.82k,0.00
20130318,98.94,98.94,98.94,98.94,0.15k,4.59
20130306,94.60,95.56,95.56,94.60,0.15k,1.45
20130304,93.25,93.25,93.25,93.25,0.13k,-0.82
20130301,94.02,94.02,94.02,94.02,0.30k,3.95
20130225,90.45,90.45,90.45,90.45,0.30k,1.19
20130221,89.39,89.39,89.39,89.39,1.60k,0.38
20130219,89.05,89.05,89.05,89.05,0.18k,0.60
20130215,88.52,87.89,88.52,87.89,0.48k,0.38
20130208,88.18,88.61,88.61,88.18,0.38k,-1.03
20130204,89.10,89.10,89.10,89.10,0.90k,3.59
20130130,86.01,86.01,86.01,86.01,0.37k,4.39
20130124,82.39,82.39,82.39,82.39,0.68k,3.96
20130118,79.25,79.25,79.25,79.25,2.44k,0.74
20130117,78.67,78.67,78.67,78.67,0.27k,-0.12
20130116,78.77,78.77,78.77,78.77,2.45k,-0.25
20130115,78.96,78.96,78.96,78.96,0.94k,-0.06
20130114,79.01,79.01,79.01,79.01,0.65k,2.44
20130108,77.13,77.13,77.13,77.13,4.92k,0.66
20130107,76.62,76.62,76.62,76.62,0.65k,7.00
20121228,71.61,71.42,71.61,71.42,15.88k,0.13
20121217,71.51,71.51,71.51,71.51,1.32k,-2.58
20121205,73.40,73.40,73.40,73.40,0.63k,-0.19
20121130,73.54,73.54,73.54,73.54,3.00k,0.97
20121123,72.83,72.83,72.83,72.83,0.39k,-4.88
20121114,76.57,76.62,76.62,76.57,1.04k,1.19
20121113,75.67,75.67,75.67,75.67,3.11k,3.56
20121031,73.07,73.07,73.07,73.07,3.89k,-1.47
20121009,74.16,74.16,74.16,74.16,1.27k,-1.27
20120928,75.12,75.12,75.12,75.12,2.40k,-0.12
20120925,75.21,75.21,75.21,75.21,1.86k,2.23
20120914,73.57,73.57,73.57,73.57,0.64k,-4.21
20120906,76.80,76.80,76.80,76.80,8.01k,-0.18
20120905,76.94,76.99,76.99,76.94,3.24k,3.34
20120904,74.46,75.77,75.77,74.46,3.96k,-2.10
20120828,76.05,75.30,76.05,75.30,349.03k,0.74
20120823,75.49,75.49,75.49,75.49,88.39k,-0.25
20120817,75.68,75.68,75.68,75.68,758.50k,2.74
20120810,73.66,73.61,73.66,73.61,729.06k,-1.50
20120809,74.79,75.21,75.21,74.79,361.31k,-1.85
20120808,76.19,76.19,76.19,76.19,403.41k,-4.47
20120801,79.76,79.76,79.76,79.76,67.87k,10.31
20120711,72.30,72.30,72.30,72.30,198.92k,-1.97
20120710,73.76,73.76,73.76,73.76,141.57k,0.32
20120706,73.52,73.52,73.52,73.52,49.86k,1.10
20120705,72.72,72.72,72.72,72.72,300.12k,-0.64
20120628,73.19,73.19,73.19,73.19,62.28k,-1.08
20120621,73.99,73.99,73.99,73.99,300.61k,9.81
20120601,67.38,67.75,67.75,67.38,430.74k,3.83
20120524,64.89,64.89,64.89,64.89,69.13k,8.21
20120511,59.97,59.97,59.97,59.97,151.95k,7.30
20120503,55.89,55.89,55.89,55.89,199.36k,3.38
20120419,54.06,54.06,54.06,54.06,250.78k,-1.79
20120418,55.05,55.05,55.05,55.05,59.87k,6.05
20120413,51.91,51.91,51.91,51.91,464.94k,-2.29
20120404,53.13,53.13,53.13,53.13,28.21k,3.57
20120326,51.30,51.30,51.30,51.30,199.38k,6.52
20120307,48.16,47.78,48.16,47.78,169.96k,7.28
20120209,44.89,44.89,44.89,44.89,89.49k,-0.32
20120208,45.03,45.08,45.08,45.03,90.23k,4.74
20120127,42.99,42.99,42.99,42.99,42.72k,-3.82
20120123,44.70,44.70,44.70,44.70,38.19k,-1.05
20120118,45.17,45.17,45.17,45.17,45.60k,-0.21
20120112,45.27,45.27,45.27,45.27,60.60k,-0.52
20120105,45.50,45.50,45.50,45.50,57.60k,0.95
20111228,45.08,45.08,45.08,45.08,228.24k,3.03
20111221,43.75,43.75,43.75,43.75,29.08k,1.76
20111215,42.99,42.99,42.99,42.99,25.85k,0.33
20111207,42.85,42.90,42.90,42.85,83.44k,6.10
20111123,40.38,40.48,40.48,40.38,281.92k,-3.40
20111118,41.81,41.81,41.81,41.81,138.92k,-3.82
20111103,43.47,43.47,43.47,43.47,3.30k,1.22
20111018,42.94,42.94,42.94,42.94,217.44k,5.96
20111007,40.53,40.53,40.53,40.53,25.01k,-3.28
20110926,41.90,41.90,41.90,41.90,120.27k,5.12
20110914,39.86,39.86,39.86,39.86,99.66k,7.25
20110819,37.17,37.17,37.17,37.17,199.68k,0.85
20110804,36.86,36.81,36.86,36.81,392.27k,0.24
20110801,36.77,36.72,36.77,36.72,160.37k,0.61
20110729,36.54,36.54,36.54,36.54,99.51k,-3.42
20110725,37.84,37.84,37.84,37.84,76.23k,-1.17
20110718,38.28,38.28,38.28,38.28,16.58k,-4.14
20110630,39.94,39.89,39.94,39.89,426.77k,0.90
20110616,39.58,39.58,39.58,39.58,100.21k,-4.42
20110524,41.41,41.41,41.41,41.41,88.16k,-0.64
20110520,41.68,41.68,41.68,41.68,31.21k,2.64
20110516,40.61,40.61,40.61,40.61,50.31k,-0.44
20110513,40.79,40.79,40.79,40.79,34.92k,3.05
20110426,39.58,39.58,39.58,39.58,13.29k,3.14
