fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,117.600,117.000,118.000,116.750,18.94k,-1.92
20180126,119.900,122.000,122.900,117.050,29.96k,-0.08
20180125,120.000,120.000,120.800,117.000,70.23k,-0.74
20180124,120.900,121.000,124.950,119.100,200.99k,0.33
20180123,120.500,117.000,120.900,114.700,44.78k,3.04
20180122,116.950,117.000,119.900,113.050,17.40k,-0.72
20180119,117.800,121.550,123.000,115.000,133.89k,-2.24
20180118,120.500,114.000,121.000,112.000,81.86k,6.40
20180117,113.250,113.200,113.500,110.500,52.06k,1.12
20180116,112.000,114.550,116.000,110.850,13.18k,-2.27
20180115,114.600,109.300,114.800,109.050,63.49k,5.14
20180112,109.000,110.600,113.900,109.000,41.43k,-1.62
20180111,110.800,112.000,112.650,110.500,22.89k,-1.95
20180110,113.000,115.000,115.000,111.000,28.22k,-3.00
20180109,116.500,117.900,121.850,116.500,57.90k,-0.43
20180108,117.000,112.000,117.000,108.100,58.03k,4.46
20180105,112.000,108.500,112.450,107.000,39.01k,2.75
20180104,109.000,113.250,113.250,108.900,51.16k,-2.42
20180103,111.700,114.650,115.000,108.550,52.75k,-2.49
20180102,114.550,106.600,114.550,106.600,69.75k,8.17
20171229,105.900,106.000,108.900,105.500,20.75k,-0.05
20171228,105.950,102.050,107.000,101.200,22.25k,3.27
20171227,102.600,102.000,105.000,102.000,19.71k,1.13
20171226,101.450,100.000,101.500,99.100,21.61k,2.37
20171222,99.100,98.000,99.650,97.800,18.08k,1.28
20171221,97.850,99.300,99.500,97.000,9.76k,-0.66
20171220,98.500,100.500,100.850,97.100,14.06k,-1.40
20171219,99.900,100.000,101.000,99.000,26.57k,-1.53
20171218,101.450,103.000,103.000,99.000,17.34k,-0.64
20171215,102.100,100.000,102.100,99.300,33.47k,4.18
20171214,98.000,96.050,99.300,95.600,22.27k,2.51
20171213,95.600,97.500,97.500,94.600,43.21k,0.10
20171212,95.500,98.000,99.000,95.500,19.31k,-2.55
20171211,98.000,100.200,101.000,95.150,17.62k,-2.97
20171207,101.000,97.500,102.850,97.500,12.82k,0.00
20171206,101.000,103.000,103.000,98.500,13.61k,-1.37
20171205,102.400,103.000,103.000,95.050,39.84k,-0.10
20171204,102.500,103.200,103.200,99.000,19.60k,-0.68
20171201,103.200,106.000,106.200,103.000,28.82k,-2.37
20171130,105.700,105.100,108.000,104.500,12.22k,1.15
20171129,104.500,103.600,106.450,102.100,12.64k,1.16
20171128,103.300,105.000,105.000,102.500,57.97k,-2.09
20171127,105.500,107.000,107.000,105.200,18.13k,-0.75
20171124,106.300,108.000,109.000,106.000,6.21k,-2.48
20171123,109.000,109.000,111.000,108.300,8.88k,0.00
20171122,109.000,108.300,109.700,107.200,25.88k,0.65
20171121,108.300,109.600,110.000,107.500,5.94k,-1.19
20171117,109.600,110.900,114.000,108.200,14.11k,-1.22
20171116,110.950,102.650,112.000,102.650,23.82k,7.93
20171115,102.800,104.950,104.950,102.000,105.37k,-2.10
20171114,105.000,107.000,107.000,104.000,21.89k,-2.14
20171113,107.300,109.000,109.500,102.700,36.09k,-1.56
20171110,109.000,111.800,113.000,108.050,18.18k,-2.24
20171109,111.500,114.000,114.500,111.500,22.44k,-2.02
20171108,113.800,111.000,113.850,111.000,23.80k,2.20
20171107,111.350,112.000,112.250,110.000,35.99k,2.16
20171103,109.000,111.000,113.000,108.050,29.81k,-1.80
20171102,111.000,109.500,111.400,109.000,36.98k,1.93
20171101,108.900,111.100,113.000,108.900,30.47k,-2.33
20171031,111.500,110.000,111.500,108.000,32.59k,1.00
20171030,110.400,112.000,114.400,108.800,13.74k,-1.43
20171027,112.000,113.000,113.200,111.850,32.80k,-0.88
20171026,113.000,113.000,114.500,112.100,38.01k,-1.18
20171025,114.350,116.500,116.500,112.500,35.29k,-2.22
20171024,116.950,114.500,116.950,111.700,49.60k,2.27
20171023,114.350,115.000,117.000,113.500,84.04k,2.10
20171020,112.000,114.000,115.000,111.650,29.49k,0.36
20171019,111.600,111.000,113.000,110.700,11.55k,0.95
20171018,110.550,110.750,112.800,110.100,49.13k,-1.29
20171017,112.000,113.000,114.000,110.000,42.55k,-1.62
20171013,113.850,114.950,114.950,112.500,50.94k,-0.13
20171012,114.000,114.500,115.200,113.600,42.13k,0.00
20171011,114.000,116.000,116.000,113.700,33.69k,-1.43
20171010,115.650,115.950,117.100,114.000,74.91k,0.13
