fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,53.50,53.60,54.00,53.00,31.15k,-0.56
20180126,53.80,55.50,55.50,53.00,25.74k,-2.98
20180125,55.45,55.00,55.50,54.75,26.87k,1.28
20180124,54.75,53.30,54.90,53.25,15.14k,2.82
20180123,53.25,53.70,53.90,53.00,12.69k,0.47
20180122,53.00,53.30,54.00,53.00,21.03k,-0.56
20180119,53.30,53.05,54.45,53.00,14.45k,0.47
20180118,53.05,53.80,53.80,52.85,19.48k,-0.84
20180117,53.50,53.00,53.50,52.80,18.72k,1.52
20180116,52.70,52.00,53.00,50.00,37.85k,3.23
20180115,51.05,50.35,52.00,50.00,16.33k,1.39
20180112,50.35,49.50,50.55,49.50,15.05k,3.28
20180111,48.75,47.80,48.75,47.80,17.53k,1.99
20180110,47.80,48.70,48.70,47.75,10.34k,-1.85
20180109,48.70,48.00,49.00,48.00,10.78k,2.31
20180108,47.60,47.50,48.30,47.40,12.87k,-0.31
20180105,47.75,48.00,48.50,47.75,11.08k,0.00
20180104,47.75,47.15,48.25,47.00,11.09k,1.60
20180103,47.00,48.20,49.00,47.00,18.07k,-2.08
20180102,48.00,48.00,49.00,47.75,30.41k,0.00
20171229,48.00,49.50,49.50,47.80,31.73k,-2.54
20171228,49.25,48.10,50.95,48.00,4.92k,2.60
20171227,48.00,47.90,51.50,47.50,29.01k,0.21
20171226,47.90,48.00,48.20,47.50,22.78k,-0.62
20171222,48.20,48.10,48.50,47.75,25.81k,0.21
20171221,48.10,45.00,48.50,45.00,86.19k,5.14
20171220,45.75,44.00,45.90,43.00,40.30k,6.40
20171219,43.00,40.50,43.00,40.50,29.13k,6.17
20171218,40.50,40.50,40.55,39.95,107.97k,0.75
20171215,40.20,40.50,40.65,39.90,39.79k,-1.23
20171214,40.70,40.50,40.90,39.95,14.35k,-0.97
20171213,41.10,41.20,41.20,40.50,2.13k,0.24
20171212,41.00,41.00,41.50,40.50,10.98k,-0.97
20171211,41.40,41.00,41.50,41.00,10.57k,0.98
20171207,41.00,42.00,42.00,40.00,12.12k,1.36
20171206,40.45,40.00,40.45,39.30,21.67k,1.63
20171205,39.80,40.00,40.95,38.00,21.81k,-0.75
20171204,40.10,41.00,41.45,40.10,3.31k,-4.52
20171201,42.00,43.00,43.00,40.50,3.66k,-2.33
20171130,43.00,41.00,43.00,40.00,50.81k,4.88
20171129,41.00,40.50,41.00,40.00,2.94k,0.00
20171128,41.00,42.00,42.00,41.00,8.26k,0.00
20171127,41.00,41.00,41.00,40.50,5.91k,-0.73
20171124,41.30,40.50,41.60,40.10,57.66k,2.10
20171123,40.45,40.30,40.50,40.00,7.99k,-0.12
20171122,40.50,41.20,41.50,40.25,12.58k,-1.70
20171121,41.20,41.50,41.50,41.00,8.44k,-0.72
20171117,41.50,41.70,42.90,41.00,6.12k,-0.48
20171116,41.70,41.90,42.00,40.50,73.46k,1.71
20171115,41.00,40.95,41.50,39.00,39.53k,0.00
20171114,41.00,39.50,41.00,38.75,27.33k,0.00
20171113,41.00,41.90,41.90,41.00,2.19k,-2.61
20171110,42.10,43.00,43.40,42.00,44.19k,-3.00
20171109,43.40,43.50,44.00,42.60,12.94k,-0.23
20171108,43.50,43.00,43.50,42.80,54.84k,1.87
20171107,42.70,41.90,43.25,41.90,65.36k,1.91
20171103,41.90,41.60,42.00,40.85,13.04k,-0.24
