fecha,ultima,apertura,maximo,minimo,vol,varianza
20180105,164.25,164.25,164.25,164.25,2.82k,5.29
20171226,156.00,156.00,156.00,156.00,1.00k,1.60
20171222,153.55,153.55,153.55,153.55,0.61k,7.00
20171121,143.50,143.50,143.50,143.50,0.55k,-1.31
20171108,145.40,145.40,145.40,145.40,9.48k,-2.58
20171025,149.25,149.25,149.25,149.25,0.08k,1.39
20171009,147.20,147.20,147.20,147.20,1.18k,-4.20
20170927,153.65,153.65,153.65,153.65,3.57k,0.66
20170919,152.65,152.65,152.65,152.65,2.79k,1.33
20170823,150.65,150.65,150.65,150.65,0.33k,-0.43
20170822,151.30,151.30,151.30,151.30,1.05k,0.23
20170817,150.95,150.95,150.95,150.95,1.80k,-7.05
20170804,162.40,162.40,162.40,162.40,1.22k,1.00
20170801,160.80,160.80,160.80,160.80,5.95k,12.13
20170705,143.40,143.40,143.40,143.40,0.19k,9.38
20170609,131.10,131.10,131.10,131.10,3.90k,0.85
20170531,130.00,132.00,132.70,130.00,0.85k,1.56
20170510,128.00,128.00,128.00,128.00,0.23k,-1.54
20170508,130.00,130.00,130.00,130.00,0.54k,1.56
20170504,128.00,128.00,128.00,128.00,1.29k,0.12
20170425,127.85,108.00,127.85,108.00,10.37k,17.29
20170418,109.00,109.90,109.90,109.00,3.15k,-3.07
20170417,112.45,112.45,112.45,112.45,0.27k,-1.32
20170411,113.95,113.00,113.95,113.00,2.31k,-1.68
20170405,115.90,115.00,115.90,115.00,4.17k,-1.65
20170331,117.85,117.85,117.85,117.85,0.27k,0.13
20170330,117.70,117.70,117.70,117.70,0.12k,9.39
20170310,107.60,107.60,107.60,107.60,0.23k,0.00
20170307,107.60,106.00,107.60,106.00,4.96k,0.94
20170306,106.60,106.00,108.00,106.00,9.49k,0.47
20170303,106.10,106.10,106.10,106.10,7.72k,2.02
20170217,104.00,105.10,105.10,104.00,188.43k,2.67
20170214,101.30,101.30,101.30,101.30,0.62k,-0.39
20170206,101.70,101.70,101.70,101.70,8.15k,-4.69
