fecha,ultima,apertura,maximo,minimo,vol,varianza
20180125,222.10,222.10,222.10,222.10,20.10k,18.20
20180117,187.90,187.90,187.90,187.90,1.70k,4.39
20180109,180.00,180.00,180.00,180.00,0.03k,6.57
20171222,168.90,168.90,168.90,168.90,0.03k,2.05
20171218,165.50,165.50,165.50,165.50,0.06k,-0.60
20171215,166.50,161.00,166.50,161.00,3.44k,7.77
20170926,154.50,154.50,154.50,154.50,50.00k,-3.13
20170922,159.50,159.50,159.50,159.50,3.44k,-0.53
20170906,160.35,160.35,160.35,160.35,1.70k,7.94
20170803,148.55,148.55,148.55,148.55,7.00k,5.77
20170712,140.45,138.40,140.45,138.40,56.00k,11.69
20170626,125.75,125.75,125.75,125.75,6.00k,-27.40
20170213,173.22,173.22,173.22,173.22,5.00k,18.77
20170105,145.85,145.85,145.85,145.85,5.00k,21.32
20161221,120.22,120.22,120.22,120.22,2.00k,1.07
20161201,118.95,118.95,118.95,118.95,2.73k,-9.72
20161122,131.75,131.75,131.75,131.75,14.00k,1.54
20161121,129.75,129.75,129.75,129.75,14.00k,6.35
20161118,122.00,122.00,122.00,122.00,1.75k,-0.16
20161107,122.20,122.20,122.20,122.20,0.60k,3.78
20161104,117.75,117.75,117.75,117.75,6.00k,0.00
20161101,117.75,124.60,124.60,117.75,8.50k,-5.35
20161031,124.40,124.45,124.45,124.35,6.40k,5.29
20161028,118.15,121.60,121.60,118.15,11.00k,0.08
20161025,118.05,118.05,118.05,118.05,11.00k,-2.03
20161024,120.50,120.50,120.50,120.50,14.00k,1.47
20161019,118.75,118.75,118.75,118.75,10.37k,2.81
20161017,115.50,115.50,115.50,115.50,6.00k,2.53
20161014,112.65,112.65,112.65,112.65,1.30k,3.59
20161013,108.75,108.75,108.75,108.75,10.60k,9.19
20160915,99.60,99.60,99.60,99.60,0.90k,0.66
20160914,98.95,98.95,98.95,98.95,1.75k,-8.38
20160908,108.00,108.00,108.00,108.00,1.20k,3.20
20160817,104.65,104.65,104.65,104.65,2.00k,8.33
20160804,96.60,96.60,96.60,96.60,5.50k,6.27
20160720,90.90,90.90,90.90,90.90,3.00k,8.47
20160712,83.80,83.80,83.80,83.80,4.10k,1.45
20160705,82.60,82.60,82.60,82.60,3.20k,2.29
20160629,80.75,80.75,80.75,80.75,1.00k,12.78
20160610,71.60,71.60,71.60,71.60,5.80k,-3.37
20160609,74.10,74.10,74.10,74.10,30.00k,-0.13
20160608,74.20,74.20,74.20,74.20,4.10k,7.38
20160524,69.10,69.10,69.10,69.10,8.50k,-0.22
20160518,69.25,69.25,69.25,69.25,8.00k,-3.55
20160516,71.80,71.80,71.80,71.80,0.70k,-2.45
20160510,73.60,73.60,73.60,73.60,1.50k,-0.74
20160509,74.15,74.15,74.15,74.15,10.00k,8.33
20160426,68.45,68.45,68.45,68.45,7.50k,1.56
20160422,67.40,67.40,67.40,67.40,3.00k,-2.03
20160415,68.80,68.80,68.80,68.80,1.50k,-2.69
20160413,70.70,70.70,70.70,70.70,0.60k,2.69
20160411,68.85,68.85,68.85,68.85,0.80k,1.32
20160406,67.95,67.85,67.95,67.40,5.70k,-0.73
20160405,68.45,68.45,68.45,68.45,0.10k,-4.73
20160401,71.85,71.85,71.85,71.85,0.20k,3.98
20160331,69.10,69.45,69.45,69.10,3.30k,-3.29
20160330,71.45,71.55,71.75,71.45,38.20k,-1.11
20160329,72.25,72.25,72.25,72.25,0.15k,7.04
20160323,67.50,67.50,67.50,67.50,1.60k,-2.46
20160322,69.20,69.20,69.20,69.20,7.50k,-2.74
20160318,71.15,70.15,71.45,70.15,21.90k,0.07
20160317,71.10,69.70,71.10,69.70,7.00k,6.52
20160303,66.75,66.75,66.75,66.75,2.00k,18.14
20160229,56.50,56.50,56.50,56.50,2.00k,14.26
20160204,49.45,49.60,49.60,49.40,2.50k,0.24
20160111,49.33,51.22,51.22,49.33,1.50k,-3.69
20160108,51.22,51.22,51.22,51.22,0.50k,-42.65
20140929,89.31,89.31,89.31,89.31,2.00k,8.03
20140828,82.67,82.67,82.67,82.67,1.70k,30.11
20140728,63.54,63.54,63.54,63.54,1.70k,-0.22
