fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,54.90,54.90,54.90,54.90,-,-0.99
20180126,55.45,55.45,55.45,55.45,0.65k,-0.89
20180124,55.95,56.00,56.00,55.95,0.20k,-1.84
20180123,57.00,57.00,57.00,57.00,0.01k,4.59
20180122,54.50,54.50,54.50,54.50,1.00k,3.81
20180119,52.50,52.50,52.50,52.50,1.00k,1.16
20180118,51.90,51.50,51.90,51.50,1.00k,-0.19
20180116,52.00,52.00,52.00,52.00,0.01k,0.48
20180115,51.75,51.85,51.85,51.75,1.50k,6.48
20180112,48.60,48.00,48.60,48.00,1.65k,1.78
20180111,47.75,47.75,47.75,47.75,1.25k,0.63
20180109,47.45,47.45,47.45,47.45,0.72k,0.00
20180108,47.45,47.45,47.45,47.45,0.48k,0.74
20180105,47.10,47.30,47.30,47.10,3.60k,-0.84
20180104,47.50,47.50,47.50,47.50,0.01k,0.00
20180103,47.50,47.50,47.50,47.50,0.25k,-1.04
20171229,48.00,48.00,48.00,47.95,0.28k,0.00
20171228,48.00,48.00,48.00,48.00,0.12k,1.59
20171227,47.25,47.00,48.00,47.00,3.46k,0.53
20171226,47.00,48.00,48.00,47.00,0.75k,-1.98
20171222,47.95,47.80,47.95,47.80,0.88k,2.02
20171221,47.00,45.15,47.00,44.75,4.56k,5.03
20171220,44.75,43.00,44.75,42.70,0.88k,4.80
20171219,42.70,42.00,42.70,42.00,0.95k,1.67
20171218,42.00,43.00,43.00,42.00,0.10k,0.00
20171214,42.00,42.00,42.00,42.00,0.02k,0.00
20171213,42.00,42.00,42.00,42.00,0.10k,0.00
20171212,42.00,42.00,42.00,42.00,0.10k,1.20
20171211,41.50,40.50,41.50,40.50,6.51k,6.14
20171207,39.10,39.10,39.10,39.10,3.44k,-4.63
20171206,41.00,41.00,41.00,41.00,0.40k,1.23
20171130,40.50,40.50,40.50,40.50,5.00k,-4.03
20171129,42.20,42.20,42.20,42.20,0.35k,0.48
20171127,42.00,42.00,42.10,42.00,1.03k,0.60
20171124,41.75,41.00,41.75,41.00,0.12k,4.38
20171122,40.00,40.00,40.00,40.00,0.11k,0.00
20171121,40.00,39.50,40.00,38.50,4.81k,-2.20
20171117,40.90,41.00,41.00,39.90,1.03k,-2.39
20171116,41.90,41.90,41.90,41.90,0.01k,-2.78
20171110,43.10,43.10,43.10,43.10,0.24k,0.23
20171109,43.00,43.00,43.00,43.00,0.07k,2.38
20171108,42.00,42.00,42.00,42.00,0.20k,-2.33
20171107,43.00,43.50,43.50,43.00,0.12k,-3.37
20171102,44.50,44.50,44.50,44.50,0.45k,1.14
20171101,44.00,44.00,44.00,44.00,0.18k,-1.12
20171031,44.50,44.10,44.50,44.10,1.05k,0.68
20171027,44.20,44.20,44.20,44.20,0.11k,0.00
20171026,44.20,44.20,44.20,44.20,0.01k,-0.67
20171024,44.50,44.40,44.50,44.40,0.64k,0.56
20171023,44.25,44.00,44.25,44.00,1.90k,3.63
20171020,42.70,42.70,42.70,42.70,0.02k,-0.12
20171017,42.75,42.00,42.75,42.00,1.73k,0.59
20171013,42.50,41.45,42.50,41.45,0.34k,7.59
20171012,39.50,39.50,39.50,39.50,0.00k,1.28
20171009,39.00,39.00,39.00,39.00,0.02k,0.00
20171006,39.00,39.00,39.00,39.00,0.55k,-0.51
20171005,39.20,39.20,39.20,39.20,0.08k,-2.00
20171004,40.00,40.00,40.00,40.00,0.59k,1.91
20171002,39.25,38.40,39.25,38.40,1.13k,2.75
20170928,38.20,37.80,38.20,37.80,4.23k,3.24
20170927,37.00,37.00,37.00,37.00,0.50k,0.00
20170926,37.00,37.50,37.50,37.00,0.43k,-1.33
20170925,37.50,37.50,37.50,37.50,1.52k,0.00
20170922,37.50,38.20,38.20,37.00,0.30k,3.02
20170920,36.40,36.00,36.40,36.00,1.14k,1.11
20170919,36.00,35.00,36.00,35.00,1.18k,2.71
20170918,35.05,33.00,35.20,33.00,1.34k,5.10
20170915,33.35,33.20,33.35,33.20,2.42k,0.60
20170914,33.15,32.95,33.15,32.95,1.49k,0.00
20170913,33.15,32.95,33.15,32.95,2.42k,1.53
20170912,32.65,32.50,32.65,32.50,0.25k,0.46
20170911,32.50,31.00,32.50,31.00,0.19k,4.84
20170907,31.00,31.00,31.00,30.70,0.41k,1.31
20170906,30.60,30.80,30.80,30.60,1.07k,1.16
20170905,30.25,29.85,30.25,29.85,0.16k,1.34
20170830,29.85,30.45,30.45,29.85,0.27k,-0.50
20170829,30.00,30.00,30.00,30.00,0.30k,0.00
20170828,30.00,30.00,30.00,30.00,0.16k,0.84
20170825,29.75,29.75,29.75,29.75,0.28k,-0.83
