fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,318.90,265.00,318.90,265.00,1.51k,22.65
20180122,260.00,260.00,260.00,260.00,1.10k,0.00
20180116,260.00,260.00,260.00,260.00,0.10k,3.17
20171201,252.00,252.00,252.00,252.00,0.02k,1.90
20171130,247.30,252.00,252.00,247.30,1.36k,7.52
20171117,230.00,230.00,230.00,230.00,0.10k,-1.29
20171113,233.00,233.00,233.00,233.00,0.21k,1.30
20171110,230.00,230.00,230.00,230.00,0.10k,4.55
20171108,220.00,220.00,220.00,220.00,0.10k,-2.14
20171012,224.80,224.80,224.80,224.80,1.30k,0.29
20171003,224.15,224.15,224.15,224.15,6.00k,4.26
20170929,215.00,215.00,215.00,215.00,0.03k,1.90
20170926,211.00,211.00,211.00,211.00,0.01k,0.88
20170831,209.15,209.15,209.15,209.15,6.00k,0.57
20170824,207.97,207.97,207.97,207.97,1.06k,0.30
20170817,207.35,207.35,207.35,207.35,0.12k,-6.56
20170804,221.90,220.00,221.90,220.00,0.29k,2.64
20170802,216.20,216.20,216.20,216.20,0.02k,-0.37
20170731,217.00,217.00,217.00,217.00,0.01k,4.35
20170712,207.95,210.00,210.00,207.95,0.49k,-1.49
20170710,211.10,211.10,211.10,211.10,2.60k,-3.17
20170706,218.00,218.00,218.00,216.00,0.71k,17.84
20170614,185.00,185.00,185.00,185.00,0.67k,-1.15
20170609,187.15,186.20,187.15,186.20,3.80k,3.31
20170531,181.15,181.15,181.15,181.15,2.60k,0.64
20170522,180.00,180.00,180.00,180.00,0.23k,-1.85
20170503,183.40,183.40,183.40,183.40,4.26k,4.80
20170426,175.00,175.00,175.00,175.00,0.16k,0.29
20170421,174.50,176.00,176.00,174.50,1.13k,-1.97
20170420,178.00,178.00,178.00,178.00,0.17k,-1.08
20170404,179.95,179.95,179.95,179.95,0.04k,-1.59
20170403,182.85,182.15,182.85,182.15,21.34k,2.47
20170327,178.45,178.45,178.45,178.45,0.13k,-0.86
20170323,180.00,180.00,180.00,180.00,0.95k,1.58
20170322,177.20,177.20,177.20,177.20,5.39k,-9.13
20170317,195.00,195.00,195.00,195.00,0.15k,-0.41
20170307,195.80,195.80,195.80,195.80,0.05k,0.90
20170306,194.05,194.05,194.05,194.05,0.01k,2.13
20170301,190.00,190.00,190.00,190.00,0.30k,-0.52
20170221,191.00,185.00,191.00,185.00,0.99k,3.24
20170216,185.00,185.00,185.00,185.00,0.16k,-1.96
20170215,188.70,188.70,188.70,188.70,0.16k,2.00
20170214,185.00,186.00,186.00,185.00,0.15k,3.64
20170213,178.50,178.50,178.50,178.50,0.17k,0.00
20170207,178.50,178.50,178.50,178.50,14.00k,-1.98
20170206,182.10,182.10,182.10,182.10,0.04k,3.47
20170202,176.00,176.00,176.00,176.00,21.67k,-2.22
20170131,180.00,181.00,181.00,180.00,0.35k,-3.67
20170127,186.85,186.85,186.85,186.85,0.52k,0.38
20170126,186.15,186.15,186.15,186.15,0.04k,2.85
20170125,181.00,181.00,181.00,181.00,0.05k,1.12
20170119,179.00,179.00,179.00,179.00,0.24k,-0.42
20170118,179.75,179.75,179.75,179.75,0.06k,1.15
20170117,177.70,177.70,177.70,177.70,1.07k,-3.74
20170116,184.60,184.60,184.60,184.60,0.04k,4.03
20170112,177.45,177.45,177.45,177.45,0.30k,0.00
20170103,177.45,177.45,177.45,177.45,7.16k,0.25
20161228,177.00,177.00,177.00,177.00,0.63k,-0.56
20161221,178.00,177.00,178.00,177.00,0.89k,0.56
20161219,177.00,177.00,177.00,177.00,0.68k,-1.67
20161214,180.00,180.00,180.00,180.00,0.20k,5.88
20161205,170.00,172.00,172.00,170.00,1.60k,-1.45
20161201,172.50,172.50,172.50,172.50,1.60k,9.18
20161129,158.00,158.00,158.00,158.00,0.20k,0.00
20161123,158.00,158.00,158.00,158.00,0.16k,2.60
20161115,154.00,153.20,154.00,153.20,0.24k,-0.45
20161114,154.70,154.70,154.70,154.70,1.00k,8.94
20161111,142.00,142.90,143.00,142.00,1.80k,1.43
20161110,140.00,138.00,140.00,138.00,1.39k,12.27
20161031,124.70,124.70,124.70,124.70,0.32k,-4.08
20161027,130.00,130.00,130.00,130.00,0.33k,0.78
20161026,129.00,129.00,129.00,129.00,0.08k,3.37
20161021,124.80,125.00,125.10,124.80,22.34k,-4.00
20161014,130.00,130.00,130.00,130.00,0.07k,8.33
20161012,120.00,120.00,120.00,120.00,0.29k,1.61
20160930,118.10,118.10,118.10,118.10,11.00k,0.34
20160929,117.70,117.70,117.70,117.70,1.76k,0.60
