fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,18.250,18.400,19.050,17.300,460.96k,1.39
20180126,18.000,17.600,18.400,17.500,540.78k,3.45
20180125,17.400,16.850,17.500,16.750,1.82,3.57
20180124,16.800,15.800,16.800,15.700,327.60k,6.33
20180123,15.800,15.850,16.200,15.500,250.91k,-0.32
20180122,15.850,16.000,16.200,15.850,400.60k,-0.94
20180119,16.000,16.200,16.200,15.100,502.73k,0.31
20180118,15.950,16.000,16.450,15.800,282.05k,-0.31
20180117,16.000,15.700,16.000,15.500,373.05k,2.56
20180116,15.600,15.700,15.800,15.000,277.77k,-0.64
20180115,15.700,15.000,15.850,15.000,590.94k,5.02
20180112,14.950,14.750,15.200,14.750,365.42k,3.10
20180111,14.500,14.500,14.600,14.200,300.99k,2.11
20180110,14.200,13.900,14.200,13.100,287.45k,2.90
20180109,13.800,14.000,14.000,13.650,428.73k,0.00
20180108,13.800,14.250,14.250,13.600,136.77k,-0.72
20180105,13.900,14.500,14.850,13.850,677.68k,-2.46
20180104,14.250,14.750,14.750,13.800,1.08,-3.06
20180103,14.700,15.000,15.500,14.450,941.45k,-0.68
20180102,14.800,13.650,14.850,13.600,557.64k,8.82
20171229,13.600,12.900,13.650,12.600,407.71k,4.62
20171228,13.000,12.800,13.000,12.650,634.62k,1.96
20171227,12.750,12.800,12.850,12.250,1.66,0.39
20171226,12.700,12.500,12.800,12.050,646.29k,0.00
20171222,12.700,12.400,12.800,12.250,733.71k,3.25
20171221,12.300,11.000,12.350,11.000,2.05,9.33
20171220,11.250,10.900,11.400,10.900,226.90k,3.21
20171219,10.900,11.000,11.150,10.750,186.29k,0.93
20171218,10.800,10.800,10.900,10.550,243.83k,-0.46
20171215,10.850,11.100,11.200,10.550,182.27k,-1.36
20171214,11.000,11.000,11.050,10.450,468.61k,1.38
20171213,10.850,10.900,11.200,10.800,153.60k,-0.46
20171212,10.900,11.300,11.400,10.900,126.74k,-3.11
20171211,11.250,11.250,11.450,11.150,203.63k,1.35
20171207,11.100,10.700,11.100,10.700,248.15k,3.74
20171206,10.700,10.950,10.950,10.300,689.07k,-3.17
20171205,11.050,11.700,11.700,10.850,321.32k,-4.74
20171204,11.600,11.800,11.800,11.450,253.35k,-2.52
20171201,11.900,12.000,12.200,11.750,368.16k,-0.83
20171130,12.000,12.300,12.300,11.650,112.35k,-1.23
20171129,12.150,12.500,12.500,12.100,73.54k,-2.80
20171128,12.500,12.500,12.600,12.000,334.06k,0.00
20171127,12.500,12.950,12.950,12.300,124.66k,-2.72
20171124,12.850,12.800,12.850,12.350,196.26k,0.78
20171123,12.750,12.500,12.750,12.300,169.90k,2.00
20171122,12.500,12.500,12.550,12.200,791.87k,3.73
20171121,12.050,12.000,12.200,11.850,226.80k,1.69
20171117,11.850,12.300,12.500,11.600,1.22,-1.66
20171116,12.050,11.250,12.050,11.200,790.03k,7.11
20171115,11.250,11.350,11.600,10.700,841.60k,-1.32
20171114,11.400,11.800,12.200,11.150,656.06k,-3.39
20171113,11.800,12.600,12.800,11.650,755.98k,-4.45
20171110,12.350,12.900,13.100,12.000,302.49k,-3.52
20171109,12.800,12.700,13.100,12.700,547.09k,2.40
20171108,12.500,12.000,12.800,12.000,449.90k,4.17
20171107,12.000,12.600,12.700,11.950,260.21k,-3.23
20171103,12.400,12.850,12.950,12.150,279.33k,-3.13
20171102,12.800,13.000,13.200,12.800,1.18,0.39
20171101,12.750,11.850,13.250,11.850,990.78k,7.59
20171031,11.850,11.500,11.900,10.600,431.05k,4.87
20171030,11.300,11.300,11.900,11.200,647.84k,0.00
20171027,11.300,11.600,11.950,11.250,1.85,0.44
20171026,11.250,10.100,11.250,10.100,2.93,11.39
20171025,10.100,10.300,10.300,9.600,275.04k,1.20
20171024,9.980,9.850,10.100,9.800,499.87k,1.84
20171023,9.800,9.500,9.890,9.200,612.97k,7.69
20171020,9.100,9.050,9.300,9.050,508.42k,0.00
20171019,9.100,8.650,9.250,8.600,352.51k,4.72
20171018,8.690,8.780,8.780,8.430,147.27k,-0.69
20171017,8.750,9.000,9.000,8.500,142.35k,-1.69
20171013,8.900,9.000,9.100,8.800,217.86k,-1.11
20171012,9.000,8.940,9.110,8.900,470.26k,0.67
20171011,8.940,9.250,9.400,8.700,890.52k,-2.61
20171010,9.180,8.800,9.320,8.800,812.76k,5.03
20171009,8.740,8.290,8.900,8.270,773.16k,5.68
20171006,8.270,8.190,8.300,8.100,857.25k,1.47
20171005,8.150,7.800,8.180,7.750,637.50k,5.16
20171004,7.750,8.000,8.000,7.690,265.62k,-2.27
20171003,7.930,7.700,7.930,7.650,483.14k,4.34
20171002,7.600,7.580,7.640,7.500,321.06k,0.26
20170929,7.580,7.580,7.680,7.500,443.28k,1.20
20170928,7.490,7.300,7.580,7.210,352.02k,3.31
20170927,7.250,7.260,7.260,7.150,141.01k,-0.14
20170926,7.260,7.350,7.350,7.140,229.41k,0.83
20170925,7.200,7.370,7.400,7.200,190.59k,-2.31
20170922,7.370,7.500,7.500,7.270,140.69k,-0.81
20170921,7.430,7.550,7.550,7.310,124.81k,0.13
20170920,7.420,7.450,7.600,7.400,155.40k,-1.07
20170919,7.500,7.250,7.500,7.250,224.98k,3.02
20170918,7.280,7.050,7.300,7.050,118.91k,-1.49
20170915,7.390,7.450,7.450,7.230,143.54k,-0.81
20170914,7.450,7.500,7.700,7.290,342.53k,-1.32
20170913,7.550,7.290,7.600,7.200,626.82k,3.57
20170912,7.290,7.200,7.360,7.200,721.98k,1.67
20170911,7.170,6.950,7.190,6.700,420.75k,3.91
20170908,6.900,6.850,6.950,6.700,148.36k,1.47
20170907,6.800,6.840,6.840,6.720,144.00k,-0.73
20170906,6.850,6.750,6.850,6.700,124.42k,1.48
20170905,6.750,6.850,6.900,6.750,191.31k,-1.46
20170904,6.850,7.000,7.000,6.780,78.90k,-1.30
20170901,6.940,7.000,7.000,6.930,24.89k,-0.57
20170831,6.980,7.110,7.110,6.900,62.67k,-0.14
20170830,6.990,6.940,6.990,6.800,83.65k,0.58
20170829,6.950,7.040,7.040,6.900,191.71k,-1.28
20170828,7.040,7.050,7.100,7.000,83.04k,-0.42
20170825,7.070,7.180,7.180,7.000,137.06k,-0.42
20170824,7.100,7.210,7.210,7.000,184.89k,-0.70
20170823,7.150,7.000,7.200,6.950,438.01k,2.14
20170822,7.000,7.000,7.080,6.900,230.50k,-0.57
20170818,7.040,6.910,7.140,6.800,412.56k,2.03
20170817,6.900,6.640,6.950,6.620,326.10k,3.76
20170816,6.650,6.510,6.700,6.490,163.30k,2.15
20170815,6.510,6.530,6.550,6.430,50.88k,-0.31
20170814,6.530,6.570,6.600,6.500,318.52k,2.03
20170811,6.400,6.400,6.450,6.330,175.42k,0.00
20170810,6.400,6.200,6.590,6.050,320.98k,3.23
20170809,6.200,6.300,6.300,6.100,54.46k,-1.27
20170808,6.280,6.400,6.400,6.210,175.22k,-1.57
20170807,6.380,6.420,6.450,6.350,210.47k,-0.16
20170804,6.390,6.350,6.450,6.350,138.18k,-0.93
20170803,6.450,6.300,6.450,6.260,229.37k,2.87
20170802,6.270,6.230,6.330,6.230,93.76k,0.32
20170801,6.250,6.300,6.300,6.250,102.74k,-0.48
20170731,6.280,6.290,6.300,6.200,125.91k,-0.16
20170728,6.290,6.350,6.380,6.250,87.72k,-0.94
20170727,6.350,6.250,6.350,6.250,140.13k,2.09
20170726,6.220,6.050,6.220,6.050,119.42k,2.81
20170725,6.050,6.050,6.160,6.000,192.96k,0.00
20170724,6.050,6.100,6.120,6.050,84.65k,-0.82
20170721,6.100,6.150,6.150,6.080,61.09k,0.00
20170720,6.100,6.120,6.200,6.080,139.53k,-0.65
20170719,6.140,6.000,6.160,6.000,189.44k,1.15
20170718,6.070,6.500,6.500,6.000,208.06k,-2.88
20170717,6.250,6.400,6.400,6.240,109.37k,-2.34
20170714,6.400,6.330,6.400,6.300,44.39k,0.31
20170713,6.380,6.390,6.470,6.300,132.89k,0.00
20170712,6.380,6.440,6.480,6.380,188.82k,-0.62
20170711,6.420,6.600,6.600,6.350,128.63k,-1.23
20170710,6.500,6.350,6.500,6.260,582.30k,2.52
20170707,6.340,6.400,6.470,6.270,195.55k,-0.78
20170706,6.390,6.900,6.900,6.350,375.61k,-3.18
20170705,6.600,6.750,6.750,6.530,141.50k,-2.22
20170704,6.750,6.890,6.890,6.680,112.11k,-0.74
20170703,6.800,6.650,6.800,6.560,244.16k,2.26
20170630,6.650,6.700,6.700,6.510,62.65k,-0.75
20170629,6.700,6.500,6.890,6.500,49.44k,-1.33
20170628,6.790,6.670,6.850,6.650,57.37k,0.89
20170627,6.730,6.800,6.900,6.600,198.10k,-0.30
20170626,6.750,6.550,6.750,6.500,212.95k,4.65
20170623,6.450,6.500,6.500,6.350,25.66k,0.78
20170622,6.400,6.350,6.500,6.350,70.35k,1.11
20170621,6.330,6.550,6.550,6.300,152.80k,-6.50
20170619,6.770,6.610,6.900,6.600,126.15k,0.89
20170616,6.710,6.750,6.830,6.650,107.34k,-0.59
20170615,6.750,6.750,6.800,6.700,47.91k,0.00
20170614,6.750,6.800,6.850,6.550,60.77k,0.30
20170613,6.730,6.670,6.850,6.670,85.93k,0.90
20170612,6.670,6.970,7.000,6.650,238.82k,-2.63
20170609,6.850,6.850,7.000,6.800,101.96k,-0.72
20170608,6.900,7.100,7.100,6.900,129.09k,-2.82
20170607,7.100,7.000,7.380,6.960,200.11k,1.43
20170606,7.000,7.200,7.250,7.000,216.80k,-1.55
20170605,7.110,7.350,7.350,7.060,71.76k,-1.93
20170602,7.250,7.100,7.390,7.100,66.63k,1.40
20170601,7.150,7.300,7.400,7.150,144.30k,-1.92
20170531,7.290,7.400,7.440,7.290,407.03k,-0.95
20170530,7.360,7.500,7.550,7.300,280.49k,1.52
20170529,7.250,7.280,7.500,7.100,244.51k,0.00
20170526,7.250,7.090,7.380,6.900,436.52k,2.98
20170524,7.040,7.000,7.040,6.920,155.97k,0.57
20170523,7.000,6.910,7.070,6.900,93.50k,-1.41
20170522,7.100,7.000,7.100,6.900,94.67k,2.90
20170519,6.900,7.050,7.090,6.900,146.24k,0.00
20170518,6.900,7.100,7.100,6.800,346.01k,-4.43
20170517,7.220,7.190,7.220,7.100,89.05k,0.98
20170516,7.150,7.280,7.280,7.050,114.60k,-0.56
20170515,7.190,7.020,7.200,7.000,198.10k,-0.14
20170512,7.200,7.200,7.200,7.000,88.45k,0.56
20170511,7.160,7.250,7.250,7.000,78.64k,-0.56
20170510,7.200,7.200,7.200,7.070,157.50k,0.70
20170509,7.150,7.300,7.300,7.050,89.46k,-0.69
20170508,7.200,7.120,7.220,7.090,101.40k,1.12
20170505,7.120,7.070,7.300,7.070,147.78k,0.28
20170504,7.100,7.200,7.300,7.100,75.18k,-0.84
20170503,7.160,7.290,7.290,7.120,100.90k,-1.78
20170502,7.290,7.430,7.430,7.200,142.60k,-0.14
20170428,7.300,7.500,7.500,7.060,100.52k,0.00
20170427,7.300,7.150,7.300,7.050,143.13k,2.38
20170426,7.130,7.300,7.300,7.060,200.29k,-0.97
20170425,7.200,7.350,7.500,7.170,107.52k,-1.37
20170424,7.300,7.400,7.500,7.200,189.31k,-1.88
20170421,7.440,7.520,7.600,7.300,132.20k,-0.13
20170420,7.450,7.450,7.450,7.250,228.59k,1.22
20170419,7.360,7.340,7.700,7.200,230.89k,1.80
20170418,7.230,7.200,7.250,7.160,107.83k,-0.55
20170417,7.270,7.520,7.520,7.200,156.50k,-3.32
20170412,7.520,7.800,7.800,7.400,215.91k,-3.34
20170411,7.780,7.800,7.800,7.540,477.46k,1.04
20170410,7.700,7.300,7.800,7.250,693.23k,5.48
20170407,7.300,7.000,7.300,7.000,519.90k,4.29
20170406,7.000,7.100,7.200,6.850,392.63k,-1.41
20170405,7.100,7.280,7.500,7.100,470.59k,-3.79
20170404,7.380,7.050,7.490,6.850,1.91,5.43
20170403,7.000,6.150,7.050,6.050,636.57k,13.82
20170331,6.150,6.190,6.200,6.150,236.22k,-0.81
20170330,6.200,6.400,6.400,6.190,188.39k,-0.64
20170329,6.240,6.290,6.320,6.140,319.33k,-0.95
20170328,6.300,6.330,6.330,6.230,196.09k,-0.47
20170327,6.330,6.400,6.400,6.200,209.25k,0.48
20170323,6.300,6.300,6.320,6.210,249.97k,0.00
20170322,6.300,6.300,6.350,6.230,80.44k,0.00
20170321,6.300,6.300,6.350,6.250,61.42k,0.00
20170320,6.300,6.400,6.470,6.300,89.88k,-0.79
20170317,6.350,6.400,6.450,6.300,93.55k,-1.55
20170316,6.450,6.500,6.600,6.400,79.14k,0.00
20170315,6.450,6.450,6.450,6.250,87.13k,0.78
20170314,6.400,6.500,6.500,6.400,14.75k,-1.54
20170313,6.500,6.500,6.600,6.500,85.42k,0.78
20170310,6.450,6.600,6.600,6.400,9.52k,-0.77
20170309,6.500,6.600,6.630,6.400,36.59k,-0.91
20170308,6.560,6.600,6.600,6.500,63.06k,0.15
20170307,6.550,6.450,6.550,6.350,60.60k,1.55
20170306,6.450,6.540,6.590,6.310,49.00k,-1.38
20170303,6.540,6.570,6.600,6.500,121.42k,-0.46
20170302,6.570,6.650,6.650,6.360,72.05k,-0.45
20170301,6.600,6.600,6.660,6.500,46.30k,0.00
20170224,6.600,6.740,6.740,6.400,104.58k,-0.45
20170223,6.630,6.600,6.630,6.450,176.28k,0.76
20170222,6.580,6.700,6.700,6.510,242.55k,-1.79
20170221,6.700,6.700,6.800,6.690,196.14k,-2.05
20170220,6.840,6.880,6.950,6.680,149.51k,-0.58
20170217,6.880,6.900,6.900,6.810,72.83k,-1.57
20170216,6.990,6.850,7.080,6.750,113.42k,0.58
20170215,6.950,7.000,7.000,6.870,234.23k,-0.71
20170214,7.000,7.000,7.000,6.900,107.33k,0.00
20170213,7.000,7.100,7.150,6.950,74.02k,-0.99
20170210,7.070,6.990,7.150,6.820,243.86k,1.29
20170209,6.980,7.040,7.040,6.800,203.09k,1.45
20170208,6.880,6.900,6.950,6.660,174.71k,-0.29
20170207,6.900,6.990,6.990,6.800,47.10k,-1.00
20170206,6.970,7.000,7.000,6.850,88.63k,0.29
20170203,6.950,7.100,7.100,6.890,270.88k,0.00
20170202,6.950,6.870,7.000,6.830,256.79k,1.76
20170201,6.830,6.630,6.830,6.630,164.74k,3.02
20170131,6.630,6.600,6.650,6.500,79.98k,1.69
20170130,6.520,6.850,6.850,6.520,151.47k,-4.82
20170127,6.850,7.090,7.090,6.700,158.28k,-2.14
20170126,7.000,7.150,7.200,6.950,329.87k,-0.57
20170125,7.040,6.780,7.050,6.730,376.88k,6.67
20170124,6.600,6.960,7.150,6.600,1.12,-3.93
20170123,6.870,6.500,6.870,6.400,558.67k,9.05
20170120,6.300,6.250,6.300,6.100,379.55k,1.12
20170119,6.230,6.400,6.400,6.150,132.24k,-2.50
20170118,6.390,6.480,6.500,6.370,114.51k,-1.39
