fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,67.300,69.800,69.800,66.000,24.00k,-3.65
20180126,69.850,69.700,71.600,69.350,4.83k,0.22
20180125,69.700,70.000,70.000,68.000,21.38k,-0.43
20180124,70.000,69.000,72.000,68.700,15.39k,0.79
20180123,69.450,70.500,70.900,69.200,7.72k,0.65
20180122,69.000,69.500,71.500,69.000,39.61k,0.00
20180119,69.000,73.700,73.700,67.200,34.37k,-2.82
20180118,71.000,69.000,74.500,69.000,58.18k,5.19
20180117,67.500,63.000,67.500,63.000,86.62k,7.31
20180116,62.900,62.400,63.500,62.300,25.75k,1.04
20180115,62.250,58.950,62.500,58.950,121.46k,7.33
20180112,58.000,57.000,58.900,57.000,33.51k,0.96
20180111,57.450,55.800,57.500,55.500,9.42k,2.59
20180110,56.000,55.700,56.000,55.700,5.37k,-0.53
20180109,56.300,56.100,57.000,56.000,17.45k,-1.23
20180108,57.000,57.000,57.500,56.000,21.27k,-1.38
20180105,57.800,57.000,58.000,57.000,5.20k,0.00
20180104,57.800,56.900,57.950,56.050,27.63k,1.67
20180103,56.850,58.500,59.000,56.000,25.83k,-2.82
20180102,58.500,58.500,59.000,57.800,10.49k,-0.85
20171229,59.000,58.500,59.000,58.500,2.50k,0.85
20171228,58.500,57.000,60.000,57.000,13.03k,2.63
20171227,57.000,55.950,58.000,55.400,12.65k,0.09
20171226,56.950,57.000,57.000,54.550,11.87k,0.09
20171222,56.900,56.850,56.900,54.900,11.50k,0.09
20171221,56.850,56.000,57.200,55.000,21.06k,3.36
20171220,55.000,52.150,55.500,52.150,46.44k,3.87
20171219,52.950,49.550,52.950,49.550,15.28k,6.22
20171218,49.850,50.000,51.000,49.100,8.61k,-2.25
20171215,51.000,51.000,51.000,51.000,2.10k,0.00
20171214,51.000,50.000,52.500,50.000,18.53k,0.99
20171213,50.500,52.000,52.500,50.500,24.96k,-2.88
20171212,52.000,51.000,52.000,50.900,15.59k,0.97
20171211,51.500,51.300,51.500,51.000,17.71k,0.19
20171207,51.400,51.000,51.400,51.000,5.49k,0.78
