fecha,ultima,apertura,maximo,minimo,vol,varianza
20170503,334.84,334.84,334.84,334.84,0.10k,-1.66
20160229,340.50,340.50,340.50,340.50,0.44k,-4.49
20151215,356.50,356.50,356.50,356.50,0.02k,-25.73
20151104,480.00,480.00,480.00,480.00,0.10k,2.47
20150904,468.43,468.43,468.43,468.43,0.06k,-10.78
20150526,525.05,525.05,525.05,525.05,6.64k,-5.79
20150311,557.30,557.30,557.30,557.30,2.10k,-35.51
20140908,864.16,864.16,864.16,864.16,4.57k,4.90
20140904,823.82,823.82,823.82,823.82,8.60k,-6.50
20140827,881.12,881.12,881.12,881.12,5.60k,3.25
20140822,853.39,850.72,853.39,850.72,2.31k,4.50
20140815,816.67,833.30,833.30,816.67,0.69k,4.63
20140812,780.50,780.50,780.50,780.50,0.75k,9.60
20140807,712.11,712.11,712.11,712.11,0.42k,-3.83
20140804,740.48,740.48,740.48,740.48,0.12k,5.56
20140728,701.45,701.45,701.45,701.45,0.52k,-9.04
20140528,771.18,771.18,771.18,771.18,0.22k,0.87
20140527,764.52,764.52,764.52,764.52,0.21k,2.53
20140523,745.62,745.62,745.62,745.62,0.42k,0.59
20140521,741.27,739.99,741.27,739.99,2.79k,3.28
20140516,717.74,714.38,717.74,714.38,0.58k,2.57
20140514,699.72,705.15,705.15,699.72,1.81k,1.99
20140513,686.06,686.06,686.06,686.06,0.55k,1.16
20140512,678.21,678.21,678.21,678.21,0.14k,1.66
20140507,667.16,667.16,667.16,667.16,0.56k,-1.79
20140506,679.29,678.11,679.29,678.11,1.17k,0.81
20140505,673.87,672.19,673.87,672.19,1.95k,-1.61
20140428,684.92,674.07,684.92,674.07,2.82k,1.76
20140416,673.08,673.08,673.08,673.08,0.30k,0.74
20140410,668.14,668.14,668.14,668.14,0.07k,3.75
20140328,643.96,643.96,643.96,643.96,0.15k,-3.46
20140326,667.06,667.06,667.06,667.06,1.47k,1.49
20140319,657.29,657.29,657.29,657.29,0.10k,0.33
20140318,655.12,655.12,655.12,655.12,0.26k,1.30
20140310,646.73,646.73,646.73,646.73,0.08k,-5.19
20140306,682.11,682.11,682.11,682.11,0.87k,-1.41
20140228,691.83,691.83,691.83,691.83,0.40k,-4.61
20140221,725.24,725.24,725.24,725.24,0.35k,0.68
20140220,720.37,720.37,720.37,720.37,0.07k,4.30
20140211,690.66,690.66,690.66,690.66,0.50k,2.44
20140210,674.20,683.26,683.26,674.20,0.67k,-11.28
20140204,759.96,757.92,759.96,757.92,0.70k,4.01
20140131,730.65,730.65,730.65,730.65,0.47k,8.78
20140128,671.67,671.67,671.67,671.67,0.51k,1.71
20140127,660.37,660.37,660.37,660.37,0.31k,-1.32
20140124,669.23,669.23,669.23,669.23,0.23k,-2.30
20140123,685.01,643.33,685.01,643.33,1.48k,7.92
20140121,634.75,638.11,638.11,634.75,10.85k,-5.03
20140117,668.41,668.41,668.41,668.41,0.92k,2.69
20140116,650.87,650.87,650.87,650.87,0.75k,9.15
20140110,596.33,592.68,596.33,592.68,1.40k,5.93
20140109,562.97,569.64,569.64,562.97,15.93k,-3.92
