fecha,ultima,apertura,maximo,minimo,vol,varianza
20180126,95.10,95.10,95.10,95.10,0.54k,0.00
20180125,95.10,95.10,95.10,95.10,0.52k,1.17
20180124,94.00,95.50,95.50,94.00,0.59k,-1.78
20180123,95.70,95.70,95.70,95.70,0.10k,0.21
20180122,95.50,95.50,95.50,95.50,0.02k,-0.52
20180119,96.00,98.90,98.90,96.00,0.26k,0.10
20180118,95.90,96.00,96.00,95.90,0.34k,4.24
20180117,92.00,89.00,92.00,89.00,0.29k,-2.65
20180110,94.50,87.00,94.50,87.00,0.00k,-0.53
20180105,95.00,95.00,95.00,95.00,0.24k,-1.04
20180103,96.00,96.00,96.00,96.00,0.01k,-1.03
20180102,97.00,97.80,97.80,97.00,0.05k,7.42
20171229,90.30,90.30,90.30,90.30,0.04k,0.33
20171228,90.00,90.00,90.00,90.00,0.01k,0.00
20171227,90.00,96.00,96.00,90.00,0.75k,-2.17
20171226,92.00,91.00,93.00,91.00,0.54k,4.55
20171222,88.00,90.00,91.50,88.00,0.12k,-2.22
20171220,90.00,90.00,90.00,90.00,0.04k,0.00
20171218,90.00,90.00,90.00,90.00,0.01k,0.00
20171215,90.00,90.00,90.00,90.00,0.10k,5.26
20171214,85.50,85.50,85.50,85.50,0.00k,-0.58
20171213,86.00,90.00,90.00,86.00,0.04k,0.00
20171212,86.00,89.00,89.00,86.00,0.93k,-1.49
20171211,87.30,87.30,87.30,87.30,0.17k,0.00
20171207,87.30,87.30,87.30,87.30,0.00k,1.51
20171205,86.00,86.00,86.00,86.00,0.40k,0.00
20171201,86.00,86.00,86.00,86.00,0.28k,0.00
20171130,86.00,88.00,88.00,86.00,0.69k,-4.44
20171129,90.00,86.00,90.00,86.00,0.37k,4.65
20171128,86.00,86.00,87.50,86.00,0.36k,0.00
20171127,86.00,86.05,86.05,86.00,0.53k,0.00
20171124,86.00,86.00,86.00,86.00,0.29k,0.00
20171123,86.00,86.00,86.00,86.00,0.03k,0.12
20171122,85.90,86.10,86.10,85.90,0.66k,0.12
20171121,85.80,86.00,86.00,85.80,0.79k,-1.38
20171117,87.00,86.00,87.00,86.00,0.28k,-1.14
20171115,88.00,88.00,88.00,88.00,0.11k,2.92
20171114,85.50,90.00,90.00,85.50,1.66k,-5.00
20171113,90.00,90.00,90.00,90.00,0.06k,0.00
20171110,90.00,91.50,91.50,90.00,0.53k,0.00
20171109,90.00,91.40,91.40,90.00,0.04k,-1.04
20171108,90.95,89.00,90.95,89.00,0.20k,5.63
20171107,86.10,86.30,86.30,86.10,1.69k,0.00
20171103,86.10,86.10,86.10,86.10,0.40k,-0.12
20171102,86.20,89.00,89.00,86.00,0.40k,-4.22
20171031,90.00,89.95,90.30,89.80,0.37k,0.00
20171030,90.00,90.00,90.00,90.00,0.10k,-1.10
20171027,91.00,91.00,91.00,91.00,0.09k,-2.15
20171024,93.00,93.00,93.00,92.90,0.42k,0.11
20171023,92.90,90.70,93.00,90.70,0.26k,3.22
20171020,90.00,90.70,90.70,90.00,0.09k,-0.77
20171018,90.70,90.00,90.70,90.00,0.18k,0.78
20171017,90.00,88.00,90.00,87.00,0.77k,-1.10
20171013,91.00,90.85,92.00,90.85,0.11k,0.55
20171012,90.50,90.85,90.85,90.50,0.22k,-0.39
20171011,90.85,90.85,90.85,90.85,0.03k,0.50
20171010,90.40,90.40,90.40,90.35,0.58k,0.44
20171009,90.00,90.00,90.00,87.00,0.27k,0.00
20171006,90.00,87.00,90.00,87.00,0.27k,5.57
20171005,85.25,85.15,85.25,85.15,0.33k,0.29
20171004,85.00,85.00,85.00,85.00,0.30k,0.00
20171003,85.00,86.00,86.00,85.00,0.36k,-1.16
20171002,86.00,86.00,86.00,86.00,0.01k,-2.27
20170929,88.00,85.00,88.00,85.00,1.99k,0.00
20170928,88.00,88.00,88.00,88.00,0.17k,-1.12
20170922,89.00,89.50,89.50,89.00,0.53k,0.00
20170918,89.00,89.00,89.00,89.00,0.11k,-1.11
20170915,90.00,94.50,94.50,90.00,0.07k,0.00
20170914,90.00,90.00,90.00,90.00,0.50k,0.00
20170913,90.00,86.90,90.00,86.90,0.28k,3.57
20170911,86.90,86.00,86.90,86.00,0.08k,-0.11
20170908,87.00,89.50,89.50,87.00,1.40k,-3.87
20170907,90.50,96.00,96.00,90.00,0.70k,-6.70
20170905,97.00,97.00,97.00,97.00,0.12k,0.52
20170904,96.50,96.50,96.50,96.50,0.22k,0.00
20170901,96.50,96.50,96.50,96.50,0.11k,0.47
20170831,96.05,95.50,96.05,95.00,0.37k,1.11
20170830,95.00,95.00,95.00,95.00,0.22k,-5.00
20170829,100.00,100.00,100.00,100.00,0.18k,-4.76
20170823,105.00,105.00,105.00,105.00,0.03k,0.14
20170818,104.85,106.50,106.50,104.85,0.18k,-1.04
20170816,105.95,106.30,106.30,105.95,0.15k,-0.24
20170814,106.20,105.10,106.20,105.00,0.33k,1.14
20170810,105.00,103.00,105.00,103.00,0.06k,0.96
20170809,104.00,104.00,104.00,104.00,0.03k,-0.95
20170808,105.00,105.00,105.00,105.00,0.03k,-0.94
20170807,106.00,106.00,106.00,106.00,0.01k,-4.03
20170711,110.45,111.00,111.00,110.45,0.10k,-0.50
20170706,111.00,109.95,111.00,109.00,0.98k,0.91
20170705,110.00,104.50,110.00,104.00,0.33k,4.46
20170704,105.30,104.90,105.30,104.90,0.06k,0.33
20170703,104.95,100.00,104.95,94.50,0.92k,0.14
20170630,104.80,104.80,104.80,104.80,0.00k,-2.51
20170629,107.50,107.80,107.80,107.50,0.14k,0.00
20170628,107.50,105.00,107.50,105.00,0.31k,-3.07
20170627,110.90,103.10,110.90,100.80,0.62k,-0.98
20170622,112.00,111.00,112.00,111.00,0.16k,0.00
20170621,112.00,112.00,112.00,112.00,0.03k,-5.08
20170619,118.00,118.00,118.00,118.00,0.03k,-2.48
20170613,121.00,121.00,121.00,121.00,-,0.88
20170612,119.95,115.00,119.95,111.00,0.26k,-0.04
20170609,120.00,117.00,120.00,117.00,0.13k,0.00
20170608,120.00,129.90,130.00,120.00,0.98k,-7.69
20170602,130.00,134.90,134.90,130.00,0.03k,4.00
20170601,125.00,125.00,128.40,125.00,0.34k,0.00
20170531,125.00,125.25,125.25,125.00,0.22k,-3.81
20170530,129.95,131.95,131.95,129.95,0.06k,0.74
20170526,129.00,129.00,129.00,129.00,0.06k,-4.41
20170523,134.95,134.95,134.95,134.95,-,0.00
20170519,134.95,130.00,134.95,130.00,0.09k,7.10
20170518,126.00,125.00,126.00,125.00,0.24k,-8.63
20170512,137.90,137.90,137.90,137.90,0.02k,5.07
20170511,131.25,131.25,131.25,131.25,0.01k,0.00
20170510,131.25,140.00,140.00,131.25,0.26k,2.54
20170508,128.00,128.00,128.00,128.00,0.04k,-1.39
20170505,129.80,129.80,129.80,129.80,0.20k,0.00
20170504,129.80,132.00,132.00,129.80,0.14k,-2.04
20170502,132.50,133.50,133.50,131.00,0.42k,-5.36
20170428,140.00,140.00,140.00,140.00,0.01k,7.69
20170427,130.00,132.00,132.00,129.00,0.76k,-0.76
20170426,131.00,135.00,135.00,131.00,0.05k,0.23
20170425,130.70,130.50,130.70,130.50,0.08k,0.00
20170421,130.70,130.70,130.70,130.70,0.05k,0.97
20170420,129.45,129.00,129.45,128.00,0.35k,1.93
20170419,127.00,121.00,127.00,121.00,0.38k,3.25
20170418,123.00,123.00,123.00,123.00,0.20k,2.50
20170417,120.00,110.00,120.00,110.00,0.27k,-0.83
20170411,121.00,121.00,121.00,121.00,0.10k,0.00
20170410,121.00,120.00,121.00,120.00,0.30k,0.83
20170407,120.00,123.00,123.00,119.90,0.77k,7.24
20170406,111.90,110.00,111.90,110.00,0.14k,1.73
20170405,110.00,109.00,110.00,109.00,0.23k,1.85
20170404,108.00,108.00,108.00,108.00,0.52k,0.93
20170403,107.00,105.00,107.00,105.00,0.65k,0.90
20170330,106.05,110.00,110.00,106.05,0.31k,1.00
20170329,105.00,104.00,105.00,104.00,0.08k,0.00
20170328,105.00,105.00,105.00,105.00,0.11k,2.94
20170327,102.00,105.00,105.00,102.00,0.61k,-2.86
20170323,105.00,105.00,105.00,105.00,0.08k,0.00
20170322,105.00,100.00,105.00,100.00,0.71k,5.00
20170321,100.00,100.00,100.00,100.00,0.02k,1.01
20170320,99.00,98.00,99.00,98.00,0.28k,1.02
20170316,98.00,95.00,98.00,95.00,0.28k,0.00
20170315,98.00,98.00,98.00,98.00,0.03k,-1.01
20170314,99.00,94.00,99.00,94.00,0.11k,-0.50
20170309,99.50,99.50,99.50,99.50,0.04k,1.02
20170308,98.50,98.50,98.50,98.50,0.25k,0.00
20170307,98.50,98.60,99.00,98.00,0.94k,1.55
20170306,97.00,92.00,97.95,92.00,0.50k,4.30
20170303,93.00,91.00,93.00,90.00,1.14k,2.20
20170302,91.00,89.25,91.00,89.25,0.15k,-2.15
20170220,93.00,93.00,93.00,92.90,0.89k,0.00
20170217,93.00,93.00,93.00,91.00,0.84k,3.91
20170216,89.50,89.50,89.50,89.50,0.49k,0.00
20170215,89.50,90.00,93.00,89.50,1.17k,0.56
20170214,89.00,88.00,89.00,88.00,1.07k,4.71
20170213,85.00,85.00,85.00,83.10,0.40k,-5.03
20170210,89.50,89.50,89.50,89.50,0.24k,-1.65
20170209,91.00,91.95,91.95,88.00,1.35k,1.11
20170208,90.00,87.00,90.00,87.00,0.88k,3.57
20170206,86.90,86.90,86.90,86.90,0.08k,-0.11
20170201,87.00,87.00,87.00,87.00,0.12k,0.00
20170131,87.00,80.00,87.00,80.00,0.60k,8.75
20170130,80.00,80.00,80.00,80.00,0.26k,-4.71
20170126,83.95,81.50,83.95,81.50,0.27k,-0.65
20170124,84.50,79.10,84.50,79.10,0.19k,1.81
20170118,83.00,83.00,83.00,83.00,0.36k,0.00
20170117,83.00,83.00,83.00,83.00,0.04k,1.22
20170116,82.00,82.00,82.00,82.00,0.05k,0.00
20170113,82.00,80.00,83.00,80.00,0.36k,-2.38
20170112,84.00,84.00,84.00,84.00,0.04k,0.00
20170111,84.00,83.00,84.00,83.00,0.32k,-1.18
20170110,85.00,85.00,85.00,85.00,0.23k,0.00
20170109,85.00,89.00,89.00,85.00,0.52k,-5.56
20170104,90.00,90.00,90.00,90.00,0.08k,0.56
20170102,89.50,89.50,89.50,89.50,-,0.00
20161228,89.50,89.50,89.50,89.50,0.02k,7.83
20161227,83.00,83.00,83.00,83.00,0.10k,-6.74
