fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,10.050,10.250,10.300,9.860,295.85k,-0.50
20180126,10.100,10.200,10.300,10.050,585.65k,-0.49
20180125,10.150,10.400,10.500,10.100,475.55k,-1.93
20180124,10.350,10.150,10.450,10.100,405.14k,0.49
20180123,10.300,10.200,10.450,10.150,173.11k,0.00
20180122,10.300,10.550,10.550,10.100,201.32k,-1.90
20180119,10.500,10.500,10.600,10.000,551.64k,0.48
20180118,10.450,9.980,10.500,9.980,934.78k,4.71
20180117,9.980,10.250,10.550,9.950,1.11,-2.63
20180116,10.250,10.750,10.750,10.250,392.56k,-4.21
20180115,10.700,10.550,10.750,10.200,1.16,0.94
20180112,10.600,10.450,10.750,10.400,405.08k,1.44
20180111,10.450,10.550,10.850,10.350,403.89k,-0.95
20180110,10.550,10.900,10.900,10.250,1.17,-4.95
20180109,11.100,11.500,11.900,11.000,1.01,-4.72
20180108,11.650,11.950,11.950,11.300,485.93k,-1.69
20180105,11.850,12.000,12.000,11.600,459.37k,-0.42
20180104,11.900,11.900,12.050,11.050,1.11,0.00
20180103,11.900,11.700,12.150,11.000,1.88,0.85
20180102,11.800,9.900,12.100,9.850,1.52,18.59
20171229,9.950,10.150,10.350,9.910,328.20k,-1.49
20171228,10.100,10.000,10.250,9.810,620.89k,1.00
20171227,10.000,10.150,10.150,9.950,388.84k,-1.96
20171226,10.200,10.250,10.250,9.950,471.53k,-0.97
20171222,10.300,10.600,10.600,10.000,505.16k,-1.44
20171221,10.450,9.650,10.500,9.650,1.01,8.40
20171220,9.640,9.100,9.650,9.000,462.19k,7.11
20171219,9.000,8.730,9.180,8.730,285.67k,4.05
20171218,8.650,8.900,9.000,8.470,181.69k,-4.74
20171215,9.080,9.220,9.250,8.800,231.10k,-1.73
20171214,9.240,8.800,9.240,8.400,774.82k,5.24
20171213,8.780,9.150,9.300,8.750,559.40k,-4.04
20171212,9.150,9.390,9.500,9.150,163.70k,-2.35
20171211,9.370,9.330,9.500,9.160,375.78k,0.86
20171207,9.290,9.150,9.450,9.060,234.81k,1.53
20171206,9.150,9.390,9.480,9.050,431.55k,-2.66
20171205,9.400,9.750,9.850,9.400,390.78k,-3.59
20171204,9.750,10.000,10.000,9.750,197.59k,-2.30
20171201,9.980,9.990,9.990,9.750,81.94k,-0.10
20171130,9.990,10.200,10.200,9.800,178.03k,-0.10
20171129,10.000,10.000,10.000,9.700,171.50k,0.00
20171128,10.000,10.200,10.200,9.810,167.77k,-0.99
20171127,10.100,10.000,10.300,10.000,209.81k,1.10
20171124,9.990,9.770,9.990,9.730,342.66k,2.04
20171123,9.790,9.950,9.990,9.750,228.04k,-2.00
20171122,9.990,10.300,10.400,9.900,436.92k,-2.54
20171121,10.250,10.650,10.650,10.200,337.35k,-2.38
20171117,10.500,10.600,10.800,10.300,224.51k,0.00
20171116,10.500,10.550,10.650,10.300,368.55k,1.94
20171115,10.300,9.850,10.450,9.650,356.94k,5.75
20171114,9.740,9.950,10.250,9.660,479.94k,-1.72
20171113,9.910,10.300,10.500,9.650,553.37k,-4.71
20171110,10.400,10.700,10.700,10.200,457.73k,-1.42
20171109,10.550,10.850,11.150,10.400,443.78k,-2.31
20171108,10.800,11.200,11.450,10.800,500.84k,-4.00
20171107,11.250,11.500,11.550,11.150,467.50k,-1.32
20171103,11.400,11.100,11.400,11.000,461.96k,2.70
20171102,11.100,11.150,11.250,10.950,315.13k,-0.45
20171101,11.150,11.150,11.450,11.000,378.68k,-0.45
20171031,11.200,11.200,11.750,10.950,480.37k,-0.44
20171030,11.250,11.600,11.700,11.100,332.25k,-2.17
20171027,11.500,11.850,11.900,11.500,281.62k,-2.95
20171026,11.850,11.850,12.150,11.750,806.27k,2.60
20171025,11.550,11.100,11.650,10.900,457.43k,4.52
20171024,11.050,11.300,11.350,10.950,486.81k,-0.90
20171023,11.150,11.400,11.600,10.900,619.62k,-0.45
20171020,11.200,11.500,11.700,11.100,538.07k,-1.75
20171019,11.400,11.150,11.450,11.100,484.36k,1.79
20171018,11.200,11.550,11.550,10.800,841.61k,-3.03
20171017,11.550,11.850,11.950,11.300,389.03k,-3.35
20171013,11.950,12.000,12.100,11.850,257.33k,-1.65
20171012,12.150,11.900,12.250,11.900,646.61k,1.67
20171011,11.950,12.150,12.300,11.900,674.94k,-1.24
20171010,12.100,12.000,12.250,11.900,799.05k,0.41
20171009,12.050,12.100,12.200,11.950,311.29k,0.42
20171006,12.000,12.100,12.250,11.850,426.24k,-1.64
20171005,12.200,12.000,12.350,12.000,778.31k,2.09
20171004,11.950,12.100,12.150,11.750,859.80k,-1.65
20171003,12.150,12.200,12.300,11.950,708.67k,-0.82
20171002,12.250,12.400,12.550,12.000,642.77k,0.00
20170929,12.250,12.300,12.400,11.900,985.35k,0.00
20170928,12.250,11.450,12.250,11.450,671.23k,5.60
20170927,11.600,11.750,11.800,11.400,446.29k,-0.85
20170926,11.700,11.800,12.000,11.650,406.74k,-0.43
20170925,11.750,12.200,12.200,11.750,586.29k,-2.08
20170922,12.000,12.300,12.400,11.800,1.09,-2.04
20170921,12.250,12.000,12.300,11.900,932.47k,2.94
20170920,11.900,11.850,12.050,11.700,651.92k,1.28
20170919,11.750,11.350,11.850,11.350,517.21k,3.52
20170918,11.350,11.150,11.500,11.150,260.06k,0.89
20170915,11.250,11.250,11.300,11.100,289.57k,0.90
20170914,11.150,11.250,11.300,11.100,169.22k,-0.45
20170913,11.200,10.950,11.200,10.900,454.09k,1.36
20170912,11.050,11.450,11.500,11.000,919.22k,-3.49
20170911,11.450,11.750,11.800,11.400,660.76k,-2.14
20170908,11.700,11.750,11.850,11.600,483.28k,0.43
20170907,11.650,11.500,11.700,11.450,392.71k,1.75
20170906,11.450,11.600,11.850,11.300,556.67k,-0.43
20170905,11.500,11.450,11.650,11.350,595.97k,2.22
20170904,11.250,10.750,11.250,10.650,407.33k,4.65
20170901,10.750,10.900,10.900,10.700,214.31k,-1.38
20170831,10.900,10.800,10.950,10.650,167.07k,1.40
20170830,10.750,10.800,10.950,10.650,195.52k,-0.46
20170829,10.800,10.600,10.800,10.300,229.01k,1.89
20170828,10.600,10.800,11.100,10.500,946.67k,-1.40
20170825,10.750,10.300,10.750,10.250,1.22,5.39
20170824,10.200,10.400,10.400,10.100,405.19k,-1.92
20170823,10.400,10.150,10.450,10.150,431.71k,2.97
20170822,10.100,10.400,10.500,10.000,644.25k,-1.94
20170818,10.300,9.900,10.400,9.850,1.59,4.57
20170817,9.850,9.690,9.850,9.660,343.72k,2.60
20170816,9.600,9.900,9.900,9.440,393.29k,-2.54
20170815,9.850,9.880,9.980,9.760,699.92k,1.65
20170814,9.690,9.700,9.800,9.530,452.76k,4.19
20170811,9.300,9.260,9.350,9.150,207.72k,0.43
20170810,9.260,9.000,9.390,9.000,220.09k,1.98
20170809,9.080,9.050,9.120,8.900,449.36k,0.55
20170808,9.030,9.220,9.250,9.030,333.43k,-2.17
20170807,9.230,9.700,9.700,9.160,333.76k,-5.14
20170804,9.730,10.100,10.100,9.630,791.54k,-0.10
20170803,9.740,9.300,9.850,9.300,922.33k,6.45
20170802,9.150,9.230,9.350,9.050,136.90k,-0.87
20170801,9.230,9.050,9.300,9.050,110.41k,1.65
20170731,9.080,9.200,9.200,9.020,165.18k,-1.84
20170728,9.250,9.340,9.340,9.100,108.03k,-0.54
20170727,9.300,9.500,9.500,9.280,134.55k,-0.85
20170726,9.380,9.000,9.650,8.980,380.66k,3.76
20170725,9.040,9.070,9.190,9.020,250.40k,-2.69
20170724,9.290,9.430,9.550,9.200,347.04k,-2.93
20170721,9.570,9.550,9.800,9.500,147.27k,-1.14
20170720,9.680,9.890,9.890,9.530,136.69k,-1.02
20170719,9.780,9.930,10.000,9.720,357.70k,-0.71
20170718,9.850,9.280,9.850,8.950,494.32k,6.03
20170717,9.290,9.700,9.700,9.130,530.96k,-5.20
20170714,9.800,9.900,10.000,9.700,187.14k,-1.21
20170713,9.920,10.300,10.300,9.800,225.46k,-2.75
20170712,10.200,10.200,10.200,9.960,233.55k,2.00
20170711,10.000,10.150,10.250,9.970,348.35k,-0.99
20170710,10.100,9.760,10.200,9.710,687.92k,4.55
20170707,9.660,9.800,9.800,9.500,337.24k,-1.43
20170706,9.800,10.200,10.200,9.700,386.88k,-3.92
20170705,10.200,10.250,10.350,10.000,379.95k,0.00
20170704,10.200,10.150,10.300,10.100,342.55k,0.49
20170703,10.150,10.300,10.400,9.900,1.04,-1.93
20170630,10.350,10.600,11.000,10.300,872.57k,-1.43
20170629,10.500,10.500,10.650,10.300,1.68,5.00
20170628,10.000,9.350,10.300,9.300,1.55,10.13
20170627,9.080,9.270,9.500,9.000,898.57k,2.25
20170626,8.880,8.150,8.900,7.850,652.87k,8.96
20170623,8.150,8.300,8.300,7.900,230.22k,-0.24
20170622,8.170,8.150,8.390,8.100,306.66k,2.13
20170621,8.000,8.200,8.500,8.000,418.26k,-8.47
20170619,8.740,8.760,9.000,8.650,268.33k,-1.24
20170616,8.850,8.950,8.950,8.650,455.00k,-1.12
20170615,8.950,9.370,9.370,8.950,428.04k,-4.38
20170614,9.360,9.790,9.800,9.330,251.14k,-1.89
20170613,9.540,9.180,9.750,9.180,351.20k,3.47
20170612,9.220,9.190,9.550,9.060,346.15k,0.44
20170609,9.180,9.950,9.950,9.100,527.84k,-4.38
20170608,9.600,9.450,9.650,9.100,1.36,8.83
20170607,8.821,8.929,9.071,8.607,321.73k,-1.21
20170606,8.929,9.000,9.143,8.536,568.20k,-0.39
20170605,8.964,8.893,9.286,8.821,1.23,3.71
20170602,8.643,8.143,8.786,8.143,1.26,7.55
20170601,8.036,8.107,8.143,7.964,396.40k,0.90
20170531,7.964,8.107,8.250,7.857,666.85k,-0.45
20170530,8.000,7.643,8.214,7.536,704.72k,6.67
20170529,7.500,7.500,7.643,7.429,273.40k,0.96
20170526,7.429,7.500,7.571,7.286,243.55k,-0.47
20170524,7.464,7.429,7.571,7.286,219.35k,-0.48
20170523,7.500,7.500,7.571,7.214,139.33k,0.00
20170522,7.500,7.643,7.643,7.393,81.05k,0.48
20170519,7.464,7.500,7.643,7.429,166.39k,0.00
20170518,7.464,7.429,7.643,7.143,239.84k,-2.80
20170517,7.679,7.286,7.679,7.143,310.28k,5.39
20170516,7.286,7.429,7.429,7.143,264.50k,-1.92
20170515,7.429,7.429,7.500,7.393,127.72k,0.00
20170512,7.429,7.571,7.571,7.321,190.70k,-1.88
20170511,7.571,7.857,7.964,7.500,207.46k,-2.76
20170510,7.786,7.857,8.071,7.714,395.31k,1.39
20170509,7.679,7.286,7.679,7.214,304.25k,4.89
20170508,7.321,7.429,7.429,7.214,406.12k,-2.85
20170505,7.536,8.036,8.143,7.429,662.82k,-6.22
20170504,8.036,7.857,8.179,7.179,1.01,4.17
20170503,7.714,7.107,7.714,7.107,841.11k,9.64
20170502,7.036,6.750,7.071,6.750,422.88k,4.80
20170428,6.714,6.579,6.714,6.571,297.10k,4.43
20170427,6.429,6.464,6.536,6.300,192.54k,0.56
20170426,6.393,6.321,6.500,6.321,124.41k,1.14
20170425,6.321,6.429,6.443,6.286,178.16k,-1.89
20170424,6.443,6.421,6.607,6.143,406.90k,0.78
20170421,6.393,5.957,6.393,5.893,374.52k,6.67
20170420,5.993,6.214,6.214,5.964,471.02k,-3.01
20170419,6.179,6.071,6.571,6.071,159.95k,-0.80
20170418,6.229,6.429,6.429,6.179,428.97k,-4.80
20170417,6.543,6.786,7.179,6.429,725.72k,-2.97
20170412,6.743,6.357,6.750,6.357,749.51k,6.68
20170411,6.321,6.136,6.321,6.136,730.07k,5.35
20170410,6.000,5.893,6.071,5.857,860.11k,5.65
20170407,5.679,5.607,5.714,5.607,614.50k,3.12
20170406,5.507,5.229,5.607,5.229,776.26k,6.19
20170405,5.186,5.250,5.286,5.179,178.15k,-1.09
20170404,5.243,5.229,5.293,5.179,315.51k,1.94
20170403,5.143,4.814,5.143,4.814,349.35k,6.83
20170331,4.814,4.929,4.929,4.814,91.09k,-2.17
20170330,4.921,4.879,5.036,4.857,207.28k,1.32
20170329,4.857,4.893,4.893,4.786,86.25k,0.00
20170328,4.857,4.929,4.929,4.786,101.25k,0.00
20170327,4.857,4.893,4.929,4.714,90.78k,-0.74
20170323,4.893,4.821,4.907,4.786,67.69k,0.60
20170322,4.864,4.907,4.914,4.821,62.53k,-0.31
20170321,4.879,4.786,4.886,4.779,128.37k,1.50
20170320,4.807,4.893,4.929,4.650,139.39k,-1.48
20170317,4.879,4.879,4.893,4.786,108.32k,0.00
20170316,4.879,5.000,5.071,4.879,258.16k,-1.01
20170315,4.929,4.786,4.964,4.786,360.57k,2.99
20170314,4.786,4.500,4.829,4.464,1.02,8.95
20170313,4.393,4.457,4.513,4.322,131.09k,-0.79
20170310,4.428,4.457,4.457,4.357,105.33k,0.64
20170309,4.400,4.414,4.499,4.322,189.71k,-0.79
20170308,4.435,4.471,4.605,4.393,425.55k,0.96
20170307,4.393,4.109,4.464,4.109,388.05k,6.91
20170306,4.109,4.060,4.145,4.003,134.35k,0.86
20170303,4.074,4.145,4.145,4.053,130.99k,-1.71
20170302,4.145,4.237,4.251,4.109,185.17k,-1.85
20170301,4.223,4.145,4.237,4.003,317.29k,0.33
20170224,4.209,4.102,4.209,3.968,278.21k,2.43
20170223,4.109,4.067,4.216,3.975,1.09,4.32
20170222,3.939,3.684,4.003,3.684,491.05k,7.53
20170221,3.663,3.699,3.727,3.628,129.00k,-0.76
20170220,3.691,3.628,3.720,3.621,172.51k,1.15
20170217,3.649,3.755,3.755,3.606,207.63k,-1.14
20170216,3.691,3.543,3.691,3.507,364.19k,4.18
20170215,3.543,3.614,3.628,3.529,151.25k,-0.20
20170214,3.550,3.578,3.606,3.550,20.01k,-1.36
20170213,3.599,3.677,3.677,3.543,234.68k,-0.19
20170210,3.606,3.436,3.614,3.436,240.95k,3.86
20170209,3.472,3.486,3.507,3.373,132.30k,-1.00
20170208,3.507,3.543,3.564,3.493,165.88k,-0.62
20170207,3.529,3.543,3.543,3.486,169.23k,-1.37
20170206,3.578,3.599,3.599,3.529,93.52k,1.22
20170203,3.535,3.543,3.585,3.535,50.38k,-1.20
20170202,3.578,3.543,3.614,3.521,173.82k,0.99
20170201,3.543,3.543,3.578,3.507,151.31k,-0.98
20170131,3.578,3.592,3.606,3.543,244.94k,-0.39
20170130,3.592,3.543,3.755,3.543,178.31k,-2.50
20170127,3.684,3.713,3.727,3.656,139.84k,-0.59
20170126,3.706,3.741,3.798,3.684,389.37k,0.98
20170125,3.670,3.564,3.706,3.564,549.10k,2.97
20170124,3.564,3.578,3.578,3.443,253.07k,0.20
20170123,3.557,3.606,3.684,3.529,160.23k,1.02
20170120,3.521,3.472,3.521,3.436,89.62k,1.82
20170119,3.458,3.578,3.578,3.443,61.86k,-2.78
20170118,3.557,3.614,3.614,3.479,84.48k,-0.59
20170117,3.578,3.543,3.649,3.543,547.25k,2.23
20170116,3.500,3.500,3.529,3.429,91.92k,0.81
20170113,3.472,3.529,3.529,3.415,39.10k,0.20
20170112,3.465,3.415,3.500,3.408,207.89k,0.64
20170111,3.443,3.408,3.450,3.387,144.72k,-1.43
20170110,3.493,3.677,3.677,3.472,197.17k,-2.38
20170109,3.578,3.543,3.649,3.514,388.84k,4.35
20170106,3.429,3.380,3.500,3.365,70.88k,1.24
20170105,3.387,3.401,3.507,3.344,174.39k,-0.62
20170104,3.408,3.365,3.507,3.365,432.55k,1.28
20170103,3.365,3.188,3.394,3.188,366.80k,7.92
20170102,3.118,3.047,3.118,3.047,152.30k,3.55
20161229,3.011,2.976,3.018,2.954,174.17k,1.18
20161228,2.976,3.082,3.082,2.962,95.17k,-0.93
20161227,3.004,3.068,3.068,2.976,38.29k,0.23
20161226,2.997,3.068,3.068,2.940,153.96k,-2.98
20161223,3.089,3.082,3.132,3.082,70.40k,-0.68
20161222,3.110,3.110,3.110,3.047,64.97k,-0.26
20161221,3.118,3.188,3.195,3.068,131.04k,-2.20
20161220,3.188,3.259,3.259,3.118,242.26k,2.25
20161219,3.118,3.011,3.174,3.004,215.05k,4.53
20161216,2.983,3.025,3.025,2.976,34.61k,0.24
20161215,2.976,3.082,3.082,2.940,55.00k,-1.16
20161214,3.011,3.047,3.047,2.976,95.79k,-1.86
20161213,3.068,3.118,3.153,2.997,76.58k,-0.45
20161212,3.082,3.188,3.188,3.082,23.03k,-2.25
