fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,349.10,355.00,355.00,340.00,69.89k,-1.59
20180126,354.75,359.50,362.00,351.05,166.36k,-1.44
20180125,359.95,353.90,364.00,353.90,339.10k,2.27
20180124,351.95,337.10,352.00,337.10,401.88k,5.06
20180123,335.00,328.50,336.00,326.00,233.45k,2.92
20180122,325.50,335.00,335.00,324.70,92.56k,-2.84
20180119,335.00,340.00,344.00,324.00,138.96k,-0.30
20180118,336.00,334.00,344.00,331.00,207.55k,1.73
20180117,330.30,332.50,336.50,328.00,111.57k,-0.63
20180116,332.40,338.00,338.00,325.00,121.12k,-0.78
20180115,335.00,337.00,339.95,333.00,173.03k,1.82
20180112,329.00,322.00,337.00,321.00,380.06k,3.10
20180111,319.10,320.00,323.00,317.45,171.36k,0.66
20180110,317.00,318.20,320.00,304.05,187.65k,-0.35
20180109,318.10,329.00,329.00,317.30,88.47k,-1.97
20180108,324.50,329.90,329.95,318.00,120.53k,-0.70
20180105,326.80,320.10,328.00,317.00,227.84k,0.86
20180104,324.00,340.00,340.00,312.00,364.97k,-3.20
20180103,334.70,350.00,350.00,330.00,236.82k,-3.82
20180102,348.00,350.00,360.00,343.00,277.02k,2.35
20171229,340.00,335.00,344.00,335.00,128.63k,1.49
20171228,335.00,323.00,335.00,323.00,108.77k,4.04
20171227,322.00,322.00,323.45,315.00,119.62k,0.61
20171226,320.05,322.00,324.95,320.00,94.51k,0.03
20171222,319.95,320.00,321.00,318.00,128.21k,0.63
20171221,317.95,320.00,320.00,314.05,155.85k,0.94
20171220,315.00,300.00,322.00,299.00,195.15k,5.00
20171219,300.00,299.00,300.00,287.50,215.25k,4.71
20171218,286.50,280.00,290.00,276.00,45.17k,2.32
20171215,280.00,274.00,280.00,274.00,165.45k,2.19
20171214,274.00,271.95,277.00,266.00,235.52k,1.48
20171213,270.00,271.00,274.00,267.00,84.71k,-0.64
20171212,271.75,273.00,275.00,271.75,104.41k,-0.46
20171211,273.00,274.00,275.50,273.00,204.43k,1.07
20171207,270.10,264.90,276.00,262.55,119.76k,3.09
20171206,262.00,258.00,264.95,257.00,155.32k,1.95
20171205,257.00,248.95,264.00,247.95,204.13k,4.05
20171204,247.00,247.05,249.00,245.00,87.56k,0.00
20171201,247.00,245.00,248.00,243.00,30.87k,1.23
20171130,244.00,245.50,245.70,242.00,162.16k,0.00
20171129,244.00,246.00,246.50,244.00,307.55k,-0.81
20171128,246.00,246.95,247.00,245.00,88.99k,-0.02
20171127,246.05,250.00,252.00,246.00,80.68k,-0.79
20171124,248.00,248.00,250.00,243.00,40.75k,1.22
20171123,245.00,250.00,250.00,244.90,27.19k,0.08
20171122,244.80,251.00,252.00,242.50,33.56k,-1.29
20171121,248.00,235.00,248.00,235.00,33.00k,4.53
20171117,237.25,243.00,243.00,235.10,23.49k,-1.66
20171116,241.25,240.50,243.00,237.10,51.18k,0.56
20171115,239.90,225.00,240.00,211.00,40.13k,6.62
20171114,225.00,227.00,227.10,222.50,55.90k,-0.44
20171113,226.00,225.00,234.00,225.00,26.81k,0.44
20171110,225.00,239.00,239.00,221.00,48.33k,-3.02
20171109,232.00,240.50,241.00,232.00,93.43k,-2.32
20171108,237.50,243.00,245.00,235.00,68.51k,-2.06
20171107,242.50,240.00,243.00,239.00,64.25k,-1.38
20171103,245.90,250.00,250.00,239.60,28.81k,-1.24
20171102,249.00,248.00,252.90,247.05,70.48k,1.22
20171101,246.00,236.00,246.00,236.00,166.73k,4.46
20171031,235.50,229.50,236.00,226.00,67.14k,2.39
20171030,230.00,237.20,237.20,223.00,76.93k,-3.04
20171027,237.20,250.10,253.50,237.20,78.07k,-4.16
20171026,247.50,239.00,253.50,232.65,167.96k,6.70
20171025,231.95,233.00,234.00,229.00,122.42k,0.06
20171024,231.80,220.00,231.80,220.00,115.97k,2.57
20171023,226.00,222.50,230.00,222.50,212.69k,2.49
20171020,220.50,210.00,223.00,210.00,159.17k,6.27
20171019,207.50,198.00,210.00,196.00,415.65k,6.55
20171018,194.75,192.00,195.00,192.00,360.35k,2.50
20171017,190.00,189.00,190.50,189.00,202.25k,0.80
20171013,188.50,186.50,189.00,186.50,119.10k,1.07
20171012,186.50,190.00,190.00,186.00,62.81k,-1.32
20171011,189.00,186.50,189.00,186.50,117.96k,1.34
20171010,186.50,190.00,190.00,186.50,59.33k,-1.32
20171009,189.00,188.50,189.50,187.00,95.29k,0.53
20171006,188.00,190.00,190.00,185.00,43.43k,-0.95
20171005,189.80,188.00,190.00,187.50,81.21k,1.50
20171004,187.00,184.00,187.00,182.00,131.16k,1.63
20171003,184.00,183.00,184.50,183.00,42.44k,0.55
20171002,183.00,183.00,184.50,182.75,45.78k,0.55
20170929,182.00,180.00,185.00,179.20,239.50k,1.22
20170928,179.80,176.00,180.50,176.00,134.47k,2.16
20170927,176.00,175.00,178.00,172.00,105.09k,-0.28
20170926,176.50,179.70,179.70,174.35,89.61k,-1.12
20170925,178.50,178.00,182.00,178.00,113.46k,-0.28
20170922,179.00,170.00,179.00,170.00,76.41k,3.80
20170921,172.45,166.80,172.60,166.80,145.09k,3.26
20170920,167.00,163.10,168.00,163.00,52.71k,0.91
20170919,165.50,158.50,165.50,158.50,81.30k,3.83
20170918,159.40,160.40,160.50,158.00,31.93k,-0.31
20170915,159.90,159.50,160.00,158.00,46.37k,0.44
20170914,159.20,160.00,160.00,156.00,43.17k,0.13
20170913,159.00,152.90,160.00,152.90,135.32k,3.89
20170912,153.05,150.00,154.90,150.00,241.83k,2.03
20170911,150.00,149.00,151.00,148.00,39.18k,0.33
20170908,149.50,142.00,149.50,142.00,102.81k,3.82
20170907,144.00,142.00,144.00,140.95,239.54k,0.88
20170906,142.75,139.00,142.80,138.50,327.16k,1.97
20170905,139.99,139.50,141.80,139.50,55.57k,-1.35
20170904,141.90,140.50,142.50,140.00,165.46k,0.46
20170901,141.25,139.30,141.50,138.90,107.33k,1.62
20170831,139.00,138.00,139.50,138.00,97.90k,0.72
20170830,138.00,138.00,140.00,136.50,29.87k,0.00
20170829,138.00,138.20,138.20,136.15,11.94k,-0.50
20170828,138.70,140.00,140.00,138.50,49.69k,-0.93
20170825,140.00,142.00,142.00,138.55,62.29k,-0.53
20170824,140.75,140.40,141.00,139.50,41.89k,0.25
20170823,140.40,139.00,140.40,139.00,115.79k,0.29
20170822,140.00,138.25,140.00,138.00,27.97k,0.00
20170818,140.00,140.50,140.50,138.75,37.92k,-0.21
20170817,140.30,140.00,140.30,137.90,113.22k,0.94
20170816,139.00,139.50,140.00,137.50,42.65k,-0.36
20170815,139.50,144.00,144.00,139.00,89.39k,-1.62
20170814,141.80,143.50,144.90,140.10,78.55k,1.29
20170811,140.00,139.00,140.50,137.00,124.88k,2.19
20170810,137.00,135.00,137.00,135.00,59.00k,1.48
20170809,135.00,141.90,141.90,134.20,144.87k,-3.43
20170808,139.80,142.00,142.00,139.00,52.91k,-0.85
20170807,141.00,141.00,143.00,140.00,48.46k,0.00
20170804,141.00,140.95,142.00,139.50,88.71k,0.71
20170803,140.00,139.90,141.00,139.30,88.00k,0.36
20170802,139.50,141.00,141.00,139.10,14.07k,-1.06
20170801,141.00,141.20,142.00,140.50,31.53k,-0.18
20170731,141.25,141.00,141.50,140.50,27.82k,0.18
20170728,141.00,142.00,142.00,141.00,42.56k,0.11
20170727,140.85,141.00,141.00,140.00,16.45k,0.61
20170726,140.00,140.00,141.40,138.50,45.98k,0.72
20170725,139.00,140.20,140.20,138.50,44.64k,-0.71
20170724,140.00,139.00,141.50,138.00,72.82k,0.18
20170721,139.75,139.50,140.00,138.50,49.64k,0.18
20170720,139.50,142.05,142.05,138.00,51.06k,-1.76
20170719,142.00,138.50,142.15,136.40,92.75k,2.90
20170718,138.00,139.00,142.00,138.00,86.17k,-0.36
20170717,138.50,139.00,140.00,137.00,131.11k,0.00
20170714,138.50,134.05,139.50,134.05,141.36k,3.36
20170713,134.00,129.00,134.95,129.00,104.36k,3.47
20170712,129.50,130.00,130.00,128.30,57.10k,-1.37
20170711,131.30,133.00,133.00,130.55,38.71k,-1.65
20170710,133.50,133.20,135.00,132.85,25.44k,-1.18
20170707,135.10,135.45,137.00,130.00,58.97k,-0.26
20170706,135.45,139.35,140.00,134.25,30.11k,-2.76
