fecha,ultima,apertura,maximo,minimo,vol,varianza
20170613,792.06,792.06,792.06,792.06,0.02k,-3.64
20150902,821.95,821.95,821.95,821.95,0.02k,15.74
20150226,710.15,710.15,710.15,710.15,0.07k,9.03
20141016,651.31,651.31,651.31,651.31,0.20k,-8.75
20141002,713.76,713.76,713.76,713.76,0.30k,-5.88
20140930,758.36,758.36,758.36,758.36,0.20k,21.26
20140826,625.41,625.41,625.41,625.41,1.00k,21.62
20140805,514.25,514.25,514.25,514.25,0.60k,2.80
20140730,500.25,500.25,500.25,500.25,2.00k,2.66
20140721,487.30,487.30,487.30,487.30,0.11k,-0.73
20140703,490.90,490.90,490.90,490.90,2.00k,0.28
20140702,489.55,489.55,489.55,489.55,0.20k,-1.15
20140630,495.27,495.27,495.27,495.27,0.20k,-0.17
20140617,496.12,496.12,496.12,496.12,1.00k,0.58
20140613,493.28,493.28,493.28,493.28,0.60k,1.04
20140609,488.21,488.21,488.21,488.21,1.33k,-1.05
20140425,493.40,493.40,493.40,493.40,0.30k,-6.60
20140327,528.27,528.27,528.27,528.27,1.00k,-5.18
20140129,557.11,557.11,557.11,557.11,0.85k,5.76
20140114,526.78,526.78,526.78,526.78,0.58k,20.44
20131218,437.37,437.37,437.37,437.37,1.00k,-7.72
20131112,473.97,473.97,473.97,473.97,1.00k,-1.10
20131031,479.26,479.26,479.26,479.26,0.50k,7.02
20131017,447.81,447.81,447.81,447.81,0.20k,6.51
20131009,420.45,420.45,420.45,420.45,0.07k,-2.34
20131004,430.54,430.54,430.54,430.54,0.15k,9.84
20130912,391.96,391.96,391.96,391.96,1.00k,1.66
20130911,385.56,385.56,385.56,385.56,0.50k,4.73
20130906,368.14,368.14,368.14,368.14,1.35k,70.80
20121127,215.54,215.54,215.54,215.54,0.35k,3.04
20121019,209.19,209.19,209.19,209.19,1.50k,3.94
20120920,201.26,201.26,201.26,201.26,0.35k,-0.36
20120816,201.98,201.98,201.98,201.98,1.50k,37.49
20111025,146.91,146.95,146.95,146.91,1.14k,126.92
20090318,64.74,64.78,64.78,64.74,2.37k,9.18
20060403,59.30,59.30,59.30,59.30,0.21k,6.09
20060317,55.90,55.90,55.90,55.90,0.21k,1.51
20060126,55.07,55.07,55.07,55.07,2.11k,-0.57
20060103,55.38,55.38,55.38,55.38,2.05k,6.22
