fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,527.00,539.00,545.00,521.00,17.03k,-1.31
20180126,534.00,542.00,548.00,534.00,32.02k,-1.48
20180125,542.00,550.00,561.00,540.00,24.05k,-0.55
20180124,545.00,530.00,554.85,525.00,41.72k,3.45
20180123,526.80,529.00,531.25,523.00,39.74k,-0.41
20180122,528.95,535.00,535.00,526.00,27.71k,-0.76
20180119,533.00,534.00,534.00,512.00,48.64k,0.38
20180118,531.00,525.00,539.00,521.00,46.51k,1.14
20180117,525.00,511.00,540.00,511.00,86.63k,3.24
20180116,508.50,500.00,508.50,496.00,91.11k,1.92
20180115,498.90,499.00,510.85,497.00,55.70k,1.82
20180112,490.00,477.00,495.00,477.00,42.05k,2.94
20180111,476.00,473.00,478.00,470.50,28.84k,0.63
20180110,473.00,480.00,480.00,469.50,34.16k,-1.46
20180109,480.00,483.00,485.50,477.15,25.57k,-0.62
20180108,483.00,486.00,488.00,475.05,46.82k,-0.54
20180105,485.60,489.95,495.00,480.00,34.84k,-0.89
20180104,489.95,490.00,490.00,475.50,39.35k,2.07
20180103,480.00,485.00,495.00,467.90,32.10k,-0.21
20180102,481.00,478.90,481.00,473.20,29.38k,2.12
20171229,471.00,473.00,482.00,471.00,21.97k,-0.32
20171228,472.50,468.00,475.00,468.00,47.99k,0.96
20171227,468.00,473.00,480.00,465.00,87.14k,-1.43
20171226,474.80,467.00,475.00,462.00,51.44k,2.11
20171222,465.00,475.00,480.00,465.00,75.23k,-0.43
20171221,467.00,470.00,485.00,459.00,107.05k,-0.21
20171220,468.00,458.00,470.00,451.00,103.12k,3.31
20171219,453.00,451.00,460.00,443.50,152.31k,1.79
20171218,445.05,420.00,445.05,420.00,131.86k,6.34
20171215,418.50,419.90,429.00,417.05,131.40k,0.84
20171214,415.00,418.00,422.00,415.00,65.50k,0.35
20171213,413.55,416.00,418.00,413.00,20.00k,-0.35
20171212,415.00,420.00,425.00,414.00,35.17k,-0.60
20171211,417.50,415.00,420.00,415.00,27.04k,0.55
20171207,415.20,414.00,435.00,414.00,40.79k,1.39
20171206,409.50,414.00,418.00,408.00,18.45k,-0.80
20171205,412.80,420.00,423.50,411.00,36.97k,-1.24
20171204,418.00,425.50,428.45,416.00,10.63k,-1.04
20171201,422.40,425.00,425.00,415.05,55.53k,1.80
20171130,414.95,415.00,418.00,413.50,6.41k,-0.28
20171129,416.10,415.50,420.50,412.00,4.94k,0.34
20171128,414.70,420.00,420.00,412.00,19.38k,0.06
20171127,414.45,422.00,433.00,414.45,58.42k,-1.79
20171124,422.00,424.95,424.95,419.00,13.27k,0.37
20171123,420.45,422.00,422.00,418.10,7.25k,0.11
20171122,420.00,422.00,424.90,418.75,30.33k,-0.12
20171121,420.50,417.00,422.85,415.50,30.40k,0.84
20171117,417.00,425.00,429.35,415.70,42.88k,-0.24
20171116,418.00,420.00,425.00,414.70,127.53k,0.82
20171115,414.60,415.00,423.00,411.05,73.25k,0.39
20171114,413.00,421.00,427.40,409.00,15.88k,-1.67
20171113,420.00,425.00,430.00,416.00,22.19k,-0.71
20171110,423.00,422.00,423.00,410.00,31.00k,0.23
20171109,422.05,424.00,429.95,416.00,12.79k,-0.46
20171108,424.00,435.75,437.95,422.00,28.82k,-2.02
