fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,89.450,90.000,90.000,85.500,12.59k,0.96
20180126,88.600,86.200,89.900,86.200,61.58k,3.63
20180125,85.500,81.500,90.000,81.500,217.63k,3.01
20180124,83.000,82.000,83.500,81.200,13.87k,1.22
20180123,82.000,80.000,82.500,80.000,18.00k,2.50
20180122,80.000,83.000,83.000,79.000,10.59k,-0.50
20180119,80.400,82.000,82.000,80.000,9.17k,-1.89
20180118,81.950,79.900,81.950,76.600,22.15k,3.08
20180117,79.500,84.000,84.000,79.000,48.59k,-3.05
20180116,82.000,82.000,82.000,81.000,11.42k,0.00
20180115,82.000,82.200,86.850,81.900,51.37k,0.00
20180112,82.000,79.000,82.000,79.000,16.71k,5.13
20180111,78.000,77.000,81.000,76.900,41.56k,1.30
20180110,77.000,76.800,77.850,74.850,10.77k,0.13
20180109,76.900,75.850,82.000,75.850,22.79k,2.74
20180108,74.850,76.000,76.500,74.100,9.38k,1.49
20180105,73.750,73.750,75.200,73.300,21.88k,0.61
20180104,73.300,72.000,73.800,72.000,14.75k,2.66
20180103,71.400,73.500,74.500,71.250,4.18k,-1.11
20180102,72.200,71.000,72.500,71.000,19.43k,1.83
20171229,70.900,71.000,71.500,67.000,10.66k,0.57
20171228,70.500,67.100,71.000,67.100,38.47k,5.22
20171227,67.000,64.050,67.000,63.500,112.78k,5.51
20171226,63.500,61.200,64.750,61.200,17.29k,3.76
20171222,61.200,57.000,62.100,57.000,44.61k,7.46
20171221,56.950,55.800,57.000,55.500,15.83k,2.06
20171220,55.800,56.000,57.000,54.700,20.66k,-1.06
20171219,56.400,57.000,57.000,56.200,9.83k,0.71
20171218,56.000,56.050,56.700,56.000,4.79k,-3.45
20171215,58.000,58.950,59.000,56.750,4.65k,-1.61
20171214,58.950,59.000,59.000,57.150,1.06k,-0.08
20171213,59.000,57.050,59.400,57.050,6.70k,-0.51
20171212,59.300,58.250,59.400,58.000,6.80k,1.80
20171211,58.250,58.000,59.300,58.000,5.28k,1.84
20171207,57.200,56.000,57.200,54.400,10.17k,3.25
20171206,55.400,55.350,56.050,53.000,39.02k,0.09
20171205,55.350,57.500,57.500,55.150,5.15k,-3.74
20171204,57.500,58.000,59.400,57.300,17.63k,-1.71
20171201,58.500,60.500,61.000,58.500,36.00k,-3.31
20171130,60.500,61.000,61.000,57.150,23.25k,-0.82
20171129,61.000,62.200,62.500,59.700,4.94k,-1.45
20171128,61.900,61.850,62.000,61.800,9.17k,0.08
20171127,61.850,63.950,63.950,61.850,9.89k,-3.36
20171124,64.000,62.150,64.000,61.100,28.22k,1.19
20171123,63.250,63.000,63.250,62.100,4.42k,-0.47
20171122,63.550,63.650,65.000,63.300,10.52k,-0.16
20171121,63.650,63.800,65.000,62.950,19.80k,1.19
20171117,62.900,64.000,66.000,62.000,12.74k,-1.72
20171116,64.000,64.350,65.500,63.800,24.81k,0.00
