fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,102.000,106.000,106.500,100.000,18.74k,-3.32
20180126,105.500,101.000,107.400,101.000,57.45k,5.03
20180125,100.450,93.800,102.000,93.600,52.36k,7.72
20180124,93.250,91.000,93.750,91.000,20.86k,1.36
20180123,92.000,91.400,93.000,90.050,8.11k,0.55
20180122,91.500,93.850,93.850,91.000,12.91k,-2.50
20180119,93.850,94.800,95.000,91.700,11.89k,-1.00
20180118,94.800,93.250,94.800,91.000,18.54k,1.66
20180117,93.250,95.950,95.950,93.250,16.07k,-0.80
20180116,94.000,96.500,96.500,93.100,16.37k,-3.09
20180115,97.000,95.650,97.000,92.700,35.96k,2.54
20180112,94.600,94.000,95.000,90.000,48.57k,1.07
20180111,93.600,90.250,95.000,90.250,112.26k,3.71
20180110,90.250,91.100,92.000,87.000,112.42k,0.45
20180109,89.850,83.000,90.000,81.500,119.55k,8.25
20180108,83.000,80.500,83.800,80.500,19.00k,0.00
20180105,83.000,83.600,83.600,80.200,9.03k,-0.60
20180104,83.500,83.700,83.700,83.000,21.73k,-0.24
20180103,83.700,84.000,84.000,79.800,14.27k,0.06
20180102,83.650,81.000,85.000,81.000,12.90k,4.24
20171229,80.250,81.000,81.000,80.000,11.35k,-0.93
20171228,81.000,81.000,81.450,78.050,6.68k,0.62
20171227,80.500,82.500,83.000,80.500,7.61k,-0.56
20171226,80.950,80.300,82.500,80.300,2.93k,1.00
20171222,80.150,81.700,81.700,80.100,12.10k,-1.90
20171221,81.700,83.000,83.000,81.600,16.33k,0.00
20171220,81.700,84.000,84.000,81.000,15.68k,-0.12
20171219,81.800,79.800,83.500,78.500,18.52k,3.15
20171218,79.300,79.000,80.000,78.650,9.98k,-0.75
20171215,79.900,81.900,81.900,77.500,4.16k,-0.75
20171214,80.500,83.000,83.000,80.050,1.33k,-1.83
20171213,82.000,82.000,83.000,80.500,10.32k,-0.91
20171212,82.750,85.950,85.950,81.000,16.30k,-0.60
20171211,83.250,85.000,86.950,81.500,7.16k,0.30
20171207,83.000,80.000,83.000,79.000,14.03k,3.75
20171206,80.000,81.000,81.000,80.000,5.24k,-1.48
20171205,81.200,81.200,81.200,80.050,7.66k,0.00
20171204,81.200,81.200,81.500,80.500,7.06k,1.50
20171201,80.000,83.500,83.500,80.000,3.19k,-0.62
20171130,80.500,83.000,85.000,80.100,2.72k,-1.53
20171129,81.750,81.650,82.500,81.650,10.93k,0.06
20171128,81.700,80.700,81.950,80.700,3.07k,0.25
20171127,81.500,81.000,83.500,80.000,4.06k,-0.61
20171124,82.000,81.800,84.500,81.500,4.25k,-1.09
20171123,82.900,82.000,84.000,82.000,5.31k,-0.42
20171122,83.250,83.050,85.000,83.050,3.99k,-0.89
20171121,84.000,83.000,84.500,82.000,9.84k,1.20
20171117,83.000,85.000,85.000,81.000,3.31k,0.00
20171116,83.000,82.000,83.500,82.000,16.36k,2.47
20171115,81.000,77.500,84.500,76.950,7.25k,4.52
20171114,77.500,83.000,84.000,77.500,10.55k,-6.63
20171113,83.000,83.000,83.000,82.000,7.66k,-0.12
