fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,16.10,16.75,17.80,15.95,1.01,-7.74
20180122,17.45,18.20,18.20,16.70,1.68,-6.18
20180119,18.60,22.20,22.90,18.50,1.59,-16.96
20180118,22.40,23.40,23.40,21.90,693.97k,-3.45
20180117,23.20,24.00,24.45,23.15,438.04k,-2.93
20180116,23.90,23.30,23.90,22.45,413.99k,2.36
20180115,23.35,22.35,23.90,22.35,804.18k,6.14
20180112,22.00,19.95,22.00,19.95,940.16k,10.28
20180111,19.95,18.85,19.95,18.85,155.10k,3.37
20180110,19.30,19.05,19.35,18.60,83.82k,-1.03
20180109,19.50,19.50,19.85,19.35,137.20k,0.00
20180108,19.50,19.25,19.65,18.60,191.67k,1.30
20180105,19.25,19.80,19.80,19.00,137.27k,-0.77
20180104,19.40,19.75,19.80,19.20,111.78k,-1.52
20180103,19.70,20.00,20.20,18.70,232.34k,0.00
20180102,19.70,19.10,19.75,18.35,247.93k,3.96
20171229,18.95,18.50,18.95,18.25,100.38k,2.43
20171228,18.50,18.15,19.00,18.15,191.53k,0.54
20171227,18.40,18.90,19.20,18.15,96.03k,-2.13
20171226,18.80,18.45,18.85,18.20,79.03k,1.90
20171222,18.45,18.00,18.70,17.90,124.88k,1.93
20171221,18.10,18.00,18.10,17.80,126.06k,-0.55
20171220,18.20,18.10,18.20,17.55,58.04k,0.28
20171219,18.15,17.55,18.20,17.35,166.25k,3.42
20171218,17.55,17.95,18.00,17.25,240.23k,-3.04
20171215,18.10,18.80,18.80,18.00,139.60k,-1.90
20171214,18.45,18.75,18.75,18.00,186.02k,-2.12
20171213,18.85,18.50,18.90,18.50,220.12k,2.72
20171212,18.35,17.95,18.40,17.95,126.63k,2.51
20171211,17.90,17.30,17.90,17.30,119.80k,4.68
20171207,17.10,16.75,17.40,16.70,56.70k,1.18
20171206,16.90,17.30,17.50,16.55,106.41k,-2.87
20171205,17.40,17.60,17.90,16.95,227.43k,-0.85
20171204,17.55,17.70,17.80,17.00,126.31k,-0.85
20171201,17.70,18.10,18.50,17.25,127.42k,-1.67
20171130,18.00,18.00,18.50,17.90,20.79k,-0.28
20171129,18.05,18.30,18.50,18.00,64.68k,-1.37
20171128,18.30,19.10,19.50,18.00,171.24k,-2.92
20171127,18.85,18.35,19.20,17.70,236.55k,4.14
20171124,18.10,18.40,18.50,17.70,55.62k,-0.82
20171123,18.25,18.40,18.90,18.10,69.51k,0.27
20171122,18.20,17.65,18.80,17.65,156.16k,1.11
20171121,18.00,18.15,18.45,17.50,98.46k,-0.28
20171117,18.05,18.90,18.95,17.50,105.85k,-1.90
20171116,18.40,17.50,18.60,17.25,209.15k,5.14
20171115,17.50,17.00,18.30,16.50,194.53k,2.34
20171114,17.10,17.40,18.00,16.50,235.96k,-0.58
20171113,17.20,18.60,18.60,17.15,171.76k,-6.52
20171110,18.40,19.00,19.10,18.15,93.81k,-2.39
20171109,18.85,18.40,18.85,17.70,259.05k,0.00
20171108,18.85,19.30,19.30,18.50,163.30k,-1.57
20171107,19.15,19.35,19.90,18.50,144.69k,-0.52
20171103,19.25,19.35,19.60,18.70,112.90k,-0.52
