fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,1.350,1.370,1.370,1.350,298.25k,-3.57
20180126,1.400,1.450,1.450,1.400,403.36k,-4.11
20180125,1.460,1.520,1.520,1.460,430.91k,-3.95
20180124,1.520,1.540,1.540,1.520,579.13k,2.01
20180123,1.490,1.490,1.490,1.450,578.75k,4.93
20180122,1.420,1.390,1.420,1.390,403.11k,10.94
20180119,1.280,1.200,1.280,1.200,403.66k,6.67
20180118,1.200,1.180,1.200,1.180,643.77k,1.69
20180117,1.180,1.200,1.200,1.180,218.99k,-3.28
20180116,1.220,1.240,1.240,1.220,357.25k,-2.40
20180115,1.250,1.250,1.250,1.250,324.82k,-2.34
20180112,1.280,1.320,1.320,1.280,233.07k,-1.54
20180111,1.300,1.300,1.300,1.300,780.81k,-4.41
20180110,1.360,1.360,1.370,1.360,481.26k,-2.16
20180109,1.390,1.400,1.400,1.390,425.28k,-1.42
20180108,1.410,1.430,1.430,1.410,519.47k,-2.76
20180105,1.450,1.530,1.530,1.450,331.90k,-5.23
20180104,1.530,1.600,1.600,1.530,414.48k,-4.38
20180103,1.600,1.550,1.600,1.550,301.94k,6.67
20180102,1.500,1.400,1.500,1.400,388.63k,-11.76
20171229,1.700,1.700,1.700,1.690,96.37k,0.59
20171228,1.690,1.690,1.690,1.690,317.12k,-1.74
20171227,1.720,1.740,1.760,1.650,681.82k,-1.15
20171226,1.740,1.710,1.760,1.710,433.50k,1.16
20171222,1.720,1.700,1.760,1.670,667.08k,1.18
20171221,1.700,1.680,1.700,1.650,450.35k,-0.58
20171220,1.710,1.730,1.730,1.660,238.75k,0.00
20171219,1.710,1.670,1.720,1.630,539.15k,1.79
20171218,1.680,1.670,1.710,1.600,413.56k,0.60
20171215,1.670,1.690,1.710,1.590,212.76k,0.60
20171214,1.660,1.740,1.750,1.660,232.86k,-4.05
20171213,1.730,1.770,1.770,1.680,602.25k,-2.26
20171212,1.770,1.750,1.780,1.730,328.97k,-1.12
20171211,1.790,1.800,1.800,1.720,386.38k,-0.56
20171207,1.800,1.780,1.850,1.720,324.33k,0.00
20171206,1.800,1.730,1.800,1.600,576.38k,3.45
20171205,1.740,1.830,1.830,1.670,492.85k,-3.33
20171204,1.800,1.800,1.800,1.700,361.16k,0.00
20171201,1.800,1.830,1.830,1.740,405.92k,-1.10
20171130,1.820,1.830,1.830,1.750,90.99k,-0.55
20171129,1.830,1.800,1.860,1.790,284.47k,0.55
20171128,1.820,1.810,1.830,1.760,157.86k,-0.55
20171127,1.830,1.750,1.840,1.750,293.09k,1.67
20171124,1.800,1.820,1.850,1.750,343.25k,0.00
20171123,1.800,1.830,1.830,1.760,322.79k,-1.10
20171122,1.820,1.790,1.850,1.790,309.15k,-1.09
20171121,1.840,1.850,1.900,1.770,566.03k,0.00
20171117,1.840,1.890,1.940,1.840,180.71k,-2.65
20171116,1.890,1.860,2.050,1.850,292.98k,1.61
20171115,1.860,1.750,1.900,1.630,838.57k,6.29
20171114,1.750,1.840,1.920,1.660,856.44k,-4.89
20171113,1.840,1.930,1.930,1.780,359.76k,-2.13
20171110,1.880,1.980,1.980,1.850,615.41k,-3.59
20171109,1.950,1.950,1.980,1.950,274.40k,1.04
20171108,1.930,2.000,2.000,1.930,225.23k,-3.98
20171107,2.010,2.040,2.060,1.940,553.29k,-1.47
20171103,2.040,2.100,2.100,1.980,557.53k,0.00
20171102,2.040,2.080,2.080,2.000,351.88k,0.00
20171101,2.040,1.960,2.100,1.940,1.21,5.15
20171031,1.940,1.890,1.940,1.850,397.41k,0.52
20171030,1.930,1.980,1.980,1.910,354.42k,-2.53
20171027,1.980,1.980,2.010,1.950,524.75k,0.00
20171026,1.980,2.000,2.000,1.950,639.26k,-0.50
20171025,1.990,2.000,2.040,1.970,556.39k,-1.49
20171024,2.020,2.000,2.070,2.000,792.10k,-2.42
20171023,2.070,2.000,2.080,1.980,844.09k,3.50
20171020,2.000,2.060,2.080,1.960,843.37k,-0.99
20171019,2.020,2.040,2.050,1.930,1.26,-0.98
20171018,2.040,2.110,2.110,2.000,1.34,-3.32
20171017,2.110,2.180,2.180,2.050,628.28k,-3.21
20171013,2.180,2.200,2.200,2.100,624.66k,0.93
20171012,2.160,2.190,2.240,2.140,632.39k,0.47
20171011,2.150,2.350,2.410,2.100,3.71,-5.70
20171010,2.280,2.150,2.290,2.100,2.85,9.09
