fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,10.05,10.20,10.20,9.80,24.75k,0.60
20180126,9.99,10.15,10.15,9.80,27.68k,-0.60
20180125,10.05,10.20,10.20,9.95,33.23k,0.50
20180124,10.00,9.70,10.25,9.70,171.00k,3.63
20180123,9.65,9.50,9.74,9.45,60.96k,0.52
20180122,9.60,9.95,9.95,9.30,10.65k,-2.04
20180119,9.80,10.15,10.20,9.65,18.31k,-0.51
20180118,9.85,10.05,10.20,9.85,43.53k,-1.40
20180117,9.99,9.79,10.25,9.79,73.27k,2.04
20180116,9.79,10.00,10.00,9.60,19.05k,-2.10
20180115,10.00,9.70,10.30,9.70,307.97k,3.09
20180112,9.70,9.49,9.75,9.30,133.24k,3.74
20180111,9.35,9.00,9.40,8.97,59.16k,2.75
20180110,9.10,9.20,9.20,8.96,49.94k,-0.98
20180109,9.19,9.20,9.30,9.17,21.97k,-0.65
20180108,9.25,9.39,9.39,9.10,31.01k,-0.64
20180105,9.31,9.20,9.40,9.20,20.06k,0.65
20180104,9.25,9.00,9.35,9.00,104.17k,1.98
20180103,9.07,9.30,9.30,9.05,24.13k,-1.31
20180102,9.19,9.30,9.30,8.95,33.23k,0.11
20171229,9.18,9.09,9.18,9.03,45.98k,2.00
20171228,9.00,8.80,9.00,8.80,68.90k,2.27
20171227,8.80,8.81,9.10,8.65,119.93k,1.15
20171226,8.70,8.90,8.90,8.55,31.44k,-1.14
20171222,8.80,8.75,8.80,8.46,68.31k,3.41
20171221,8.51,8.54,8.54,8.40,95.18k,0.12
20171220,8.50,8.54,8.63,8.37,32.26k,-0.58
20171219,8.55,8.55,8.63,8.35,15.57k,0.00
20171218,8.55,8.70,8.70,8.35,17.39k,0.00
20171215,8.55,8.50,8.69,8.41,28.79k,0.59
20171214,8.50,8.60,8.70,8.41,59.90k,-2.86
20171213,8.75,8.93,8.93,8.50,68.67k,-2.02
20171212,8.93,8.98,9.01,8.80,26.03k,-0.56
20171211,8.98,8.75,9.14,8.75,29.71k,-1.86
20171207,9.15,8.60,9.19,8.60,85.38k,3.04
20171206,8.88,9.00,9.00,8.55,68.22k,-0.11
20171205,8.89,9.45,9.45,8.60,136.34k,-4.82
20171204,9.34,9.26,9.40,9.00,21.51k,-1.58
20171201,9.49,9.69,9.69,9.00,51.08k,0.21
20171130,9.47,9.79,9.79,9.30,69.68k,-2.37
20171129,9.70,9.89,9.90,9.61,125.12k,-1.02
20171128,9.80,9.25,10.00,9.05,664.50k,6.75
20171127,9.18,9.06,9.35,9.01,147.86k,0.66
20171124,9.12,9.40,9.42,9.11,376.80k,-0.22
20171123,9.14,8.60,9.14,8.50,261.88k,7.53
20171122,8.50,8.45,8.50,8.30,34.14k,0.00
20171121,8.50,8.44,8.50,8.44,5.00k,0.12
20171117,8.49,8.50,8.70,8.10,23.44k,0.00
20171116,8.49,8.35,8.50,8.35,14.80k,1.68
20171115,8.35,8.45,8.45,8.15,60.55k,0.72
20171114,8.29,8.40,8.40,8.19,24.80k,-2.47
20171113,8.50,8.65,8.65,8.35,9.42k,-1.73
20171110,8.65,9.00,9.00,8.35,58.20k,-2.26
20171109,8.85,8.95,8.99,8.81,23.07k,-0.56
20171108,8.90,8.89,9.00,8.72,48.17k,0.11
20171107,8.89,8.90,8.90,8.65,30.25k,1.02
20171103,8.80,8.90,8.90,8.72,38.01k,0.92
20171102,8.72,9.00,9.00,8.60,87.26k,0.81
20171101,8.65,8.70,8.80,8.60,36.69k,-0.57
20171031,8.70,8.84,8.84,8.65,14.53k,0.58
20171030,8.65,8.60,8.95,8.60,18.37k,0.58
20171027,8.60,8.80,8.80,8.40,85.45k,-2.27
20171026,8.80,8.90,8.90,8.75,37.61k,-1.01
20171025,8.89,8.90,8.93,8.75,33.51k,-0.67
20171024,8.95,8.90,9.00,8.81,32.18k,0.56
20171023,8.90,9.05,9.20,8.85,106.01k,-0.34
20171020,8.93,8.97,8.97,8.80,26.78k,-0.45
20171019,8.97,8.95,8.98,8.65,39.39k,0.22
20171018,8.95,8.83,8.95,8.70,68.35k,0.00
20171017,8.95,9.00,9.00,8.83,70.30k,-0.67
20171013,9.01,9.25,9.25,9.00,88.81k,-1.31
20171012,9.13,9.20,9.30,9.05,90.94k,-0.87
20171011,9.21,9.52,9.60,9.10,143.40k,-3.36
20171010,9.53,9.10,9.60,9.01,371.76k,4.50
20171009,9.12,9.28,9.28,9.11,55.82k,-0.55
20171006,9.17,9.30,9.30,9.02,66.83k,0.00
20171005,9.17,8.76,9.35,8.60,411.22k,4.92
20171004,8.74,8.70,8.75,8.60,48.64k,-0.23
20171003,8.76,8.70,8.78,8.57,68.75k,0.69
20171002,8.70,8.73,8.78,8.65,21.95k,-0.34
20170929,8.73,8.50,8.75,8.50,86.06k,0.00
20170928,8.73,8.55,8.74,8.50,33.85k,0.92
20170927,8.65,8.78,8.78,8.41,27.26k,-1.70
20170926,8.80,8.90,8.90,8.55,17.94k,-0.90
20170925,8.88,8.90,8.90,8.80,22.61k,-0.22
20170922,8.90,8.82,8.94,8.82,47.90k,0.91
20170921,8.82,8.88,8.88,8.67,45.78k,-9.54
20170920,9.75,9.70,9.75,9.50,64.45k,1.04
20170919,9.65,9.60,9.65,9.50,24.98k,0.31
20170918,9.62,9.65,9.65,9.60,32.21k,-0.31
20170915,9.65,9.70,9.75,9.60,28.73k,-0.41
20170914,9.69,9.60,9.70,9.60,20.72k,-0.62
20170913,9.75,9.86,9.86,9.60,32.19k,0.31
20170912,9.72,9.87,9.87,9.72,38.26k,-1.52
20170911,9.87,9.60,9.87,9.55,58.47k,1.86
20170908,9.69,9.71,9.74,9.54,28.20k,-0.10
20170907,9.70,9.35,9.73,9.35,193.92k,3.85
20170906,9.34,9.29,9.35,9.20,57.99k,-0.43
20170905,9.38,9.32,9.38,9.31,4.15k,0.00
20170904,9.38,9.31,9.38,9.25,18.20k,-0.11
20170901,9.39,9.45,9.45,9.30,13.53k,-0.42
20170831,9.43,9.40,9.43,9.25,36.52k,0.00
20170830,9.43,9.30,9.48,9.25,30.67k,-0.74
20170829,9.50,9.57,9.57,9.40,7.39k,0.11
20170828,9.49,9.45,9.50,9.35,43.35k,-0.11
20170825,9.50,9.50,9.50,9.40,18.50k,-0.84
20170824,9.58,9.25,9.59,9.25,31.90k,1.38
20170823,9.45,9.50,9.50,9.40,11.05k,0.00
20170822,9.45,9.45,9.45,9.45,0.20k,-1.05
20170818,9.55,9.60,9.69,9.55,54.25k,0.00
20170817,9.55,9.40,9.59,9.40,46.47k,1.60
20170816,9.40,9.36,9.40,9.35,22.50k,1.29
20170815,9.28,9.10,9.28,9.08,14.00k,1.98
20170814,9.10,9.47,9.50,9.00,179.25k,-3.70
20170811,9.45,9.50,9.50,9.31,16.61k,-0.53
20170810,9.50,9.39,9.69,9.10,88.17k,1.06
20170809,9.40,9.35,9.40,9.15,24.10k,0.00
20170808,9.40,9.41,9.41,9.13,30.99k,-0.53
20170807,9.45,9.45,9.45,9.43,9.00k,-1.36
20170804,9.58,9.55,9.60,9.45,16.18k,0.31
20170803,9.55,9.60,9.60,9.45,15.56k,-0.52
20170802,9.60,9.50,9.60,9.50,2.50k,0.00
20170801,9.60,9.41,9.60,9.41,8.33k,-0.41
20170731,9.64,9.60,9.64,9.40,20.56k,0.42
20170728,9.60,9.54,9.60,9.54,11.95k,0.52
