fecha,ultima,apertura,maximo,minimo,vol,varianza
20171013,452.00,450.00,452.00,450.00,0.58k,0.85
20171011,448.20,448.20,448.20,448.20,6.00k,5.46
20170920,425.00,425.00,425.00,425.00,0.05k,3.66
20170919,410.00,410.00,410.00,410.00,0.06k,0.00
20170918,410.00,410.00,410.00,410.00,0.01k,4.11
20170824,393.80,393.80,393.80,393.80,4.80k,-7.12
20170811,424.00,424.00,424.00,424.00,0.21k,3.41
20170809,410.00,410.00,410.00,410.00,0.02k,-1.20
20170808,415.00,408.35,420.00,408.35,0.49k,4.08
20170803,398.75,398.75,398.75,398.75,0.07k,0.00
20170727,398.75,398.75,398.75,398.75,0.08k,0.00
20170725,398.75,398.75,398.75,398.75,1.00k,16.87
20170621,341.20,341.20,341.20,341.20,1.00k,0.62
20170606,339.10,350.00,350.00,339.10,0.17k,-2.56
20170602,348.00,348.00,348.00,348.00,0.06k,4.91
20170522,331.70,331.70,331.70,331.70,8.70k,14.50
20170328,289.70,289.95,289.95,289.70,0.61k,-0.05
20170323,289.85,289.85,289.85,289.85,0.01k,0.62
20170313,288.05,288.05,288.05,288.05,1.50k,-3.10
20170210,297.25,297.25,297.25,297.25,0.01k,0.00
20170202,297.25,297.25,297.25,297.25,6.00k,-4.17
20170124,310.20,310.20,310.20,310.20,9.00k,3.16
20170104,300.70,300.70,300.70,300.70,1.25k,-0.35
20161221,301.75,301.75,301.75,301.75,1.00k,-0.92
20161214,304.55,304.55,304.55,304.55,1.25k,4.44
20161116,291.60,280.00,291.60,280.00,4.90k,2.32
20161114,285.00,285.00,285.00,285.00,0.10k,0.00
20161110,285.00,285.00,285.00,285.00,7.50k,7.06
20161028,266.20,266.20,266.20,266.20,0.01k,0.00
20161019,266.20,266.20,266.20,266.20,2.00k,-1.33
20161004,269.80,269.80,269.80,269.80,1.50k,8.88
20160920,247.80,247.80,247.80,247.80,1.50k,-1.51
20160817,251.60,251.60,251.60,251.60,2.25k,3.11
20160811,244.00,244.00,244.00,244.00,0.11k,-1.39
20160726,247.45,247.45,247.45,247.45,4.75k,5.75
20160720,234.00,234.00,234.00,234.00,0.01k,-4.74
20160719,245.65,245.65,245.65,245.65,16.56k,9.32
20160706,224.70,224.70,224.70,224.70,7.50k,2.14
20160624,220.00,220.00,220.00,220.00,0.07k,0.92
20160621,218.00,218.00,218.00,218.00,0.03k,5.72
20160616,206.20,206.20,206.20,206.20,1.75k,-4.36
20160607,215.60,215.60,215.60,215.60,0.23k,7.80
20160519,200.00,200.00,200.00,200.00,0.10k,-2.44
20160517,205.00,205.00,205.00,205.00,0.10k,0.86
20160512,203.25,203.25,203.25,203.25,7.45k,-9.61
20160426,224.85,224.85,224.85,224.85,5.65k,1.85
20160321,220.77,220.13,220.77,220.13,2.51k,1.36
20160316,217.80,217.80,217.80,217.80,0.23k,-3.24
20160303,225.10,225.10,225.10,225.10,2.65k,1.08
20160302,222.70,222.70,222.70,222.70,6.40k,9.84
20160226,202.75,202.75,202.75,202.75,0.05k,0.00
20160224,202.75,208.00,208.00,202.75,13.28k,-2.52
20160223,208.00,208.00,208.00,208.00,6.00k,-0.24
20160217,208.50,208.50,208.50,208.50,18.50k,9.02
20160212,191.25,191.25,191.25,191.25,25.00k,-1.03
20160204,193.25,193.25,193.25,193.25,15.00k,6.47
20160203,181.50,181.50,181.50,181.50,12.50k,3.01
20160202,176.20,176.20,176.20,176.20,22.50k,1.91
20160113,172.89,172.89,172.89,172.89,25.43k,-11.34
20151217,195.00,195.00,195.00,195.00,0.10k,0.05
20151215,194.90,194.90,194.90,194.90,0.05k,-7.19
20151130,210.00,210.00,210.00,210.00,0.05k,1.91
20150827,206.07,206.07,206.07,206.07,0.10k,-1.40
20150807,209.00,209.00,209.00,209.00,0.10k,0.72
20150805,207.50,207.50,207.50,207.50,0.10k,-0.81
20150616,209.21,209.21,209.21,209.21,0.59k,8.93
20150325,192.05,192.05,192.05,192.05,1.98k,2.63
20150318,187.12,187.12,187.12,187.12,0.08k,-1.95
20150312,190.85,190.85,190.85,190.85,2.12k,-5.36
20150223,201.65,199.90,201.65,199.90,4.50k,-21.08
20141121,255.51,255.51,255.51,255.51,2.54k,-1.08
20141112,258.31,258.31,258.31,258.31,1.67k,2.50
20141022,252.01,261.16,261.16,252.01,18.06k,-11.46
20140922,284.62,284.92,284.92,284.62,14.02k,3.99
20140915,273.70,277.40,277.40,273.70,7.35k,-1.71
20140910,278.45,284.30,284.30,278.45,35.90k,-2.47
20140908,285.50,285.50,285.50,285.50,0.03k,5.16
20140904,271.50,271.50,271.50,271.50,0.05k,29.66
20140731,209.40,209.40,209.40,209.40,0.75k,-2.42
20140729,214.60,214.60,214.60,214.60,0.05k,-4.99
20140613,225.86,226.31,226.31,225.86,3.87k,3.18
20140609,218.90,228.00,228.00,218.90,0.18k,-1.99
20140605,223.35,223.35,223.35,223.35,0.06k,1.62
20140604,219.80,219.80,219.80,219.80,0.20k,9.55
20140403,200.64,200.64,200.64,200.64,1.23k,-0.76
20140325,202.18,202.18,202.18,202.18,0.06k,1.57
20140317,199.05,199.05,199.05,199.05,0.06k,0.38
20140314,198.30,200.04,200.04,198.30,0.06k,-0.50
20140313,199.30,199.30,199.30,199.30,0.12k,-0.20
20140312,199.70,199.70,199.70,199.70,0.06k,-10.34
20140131,222.73,222.73,222.73,222.73,2.90k,26.44
20140124,176.16,176.16,176.16,176.16,0.15k,-10.74
20140123,197.36,195.56,197.36,195.56,5.90k,20.62
20140110,163.62,163.62,163.62,163.62,3.40k,0.79
20131230,162.33,162.33,162.33,162.33,5.00k,10.15
20131216,147.38,147.38,147.38,147.38,2.00k,2.09
20131211,144.35,144.35,144.35,144.35,0.10k,-1.52
20131203,146.58,146.58,146.58,146.58,0.27k,-0.20
20131127,146.88,146.88,146.88,146.88,0.10k,-2.43
20131119,150.54,152.23,152.23,150.54,3.50k,-1.94
20131101,153.52,153.52,153.52,153.52,0.20k,1.97
20131031,150.54,150.54,150.54,150.54,0.20k,-3.65
20131023,156.24,157.43,157.43,156.24,3.10k,-3.05
20130916,161.15,161.15,161.15,161.15,0.07k,9.70
20130909,146.90,146.90,146.90,146.90,0.04k,0.24
20130906,146.56,146.56,146.56,146.56,0.10k,3.19
20130902,142.02,142.02,142.02,142.02,0.04k,-1.03
20130828,143.50,143.94,143.94,143.50,2.00k,0.34
