fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,18.150,18.200,18.350,17.700,114.88k,-0.27
20180126,18.200,18.500,18.700,17.900,287.18k,-1.09
20180125,18.400,18.050,18.950,18.050,728.07k,1.66
20180124,18.100,17.800,18.700,17.500,658.13k,1.40
20180123,17.850,18.000,18.000,17.650,78.31k,1.42
20180122,17.600,18.000,18.500,17.500,290.65k,-1.95
20180119,17.950,17.800,18.100,17.500,206.83k,1.99
20180118,17.600,17.800,18.100,17.150,410.75k,-1.12
20180117,17.800,18.200,18.200,17.600,236.21k,-2.20
20180116,18.200,18.400,18.400,17.950,175.05k,-1.09
20180115,18.400,18.650,18.650,18.100,228.29k,-0.54
20180112,18.500,18.450,18.800,18.050,531.26k,-1.33
20180111,18.750,18.300,19.600,18.300,527.77k,2.46
20180110,18.300,18.100,18.400,17.900,204.18k,-1.88
20180109,18.650,18.900,19.000,18.500,99.68k,-1.84
20180108,19.000,19.000,19.050,18.350,237.89k,-0.52
20180105,19.100,19.550,19.650,18.700,199.15k,-1.29
20180104,19.350,18.500,19.450,18.500,546.04k,5.45
20180103,18.350,18.000,18.450,17.850,263.55k,2.23
20180102,17.950,18.300,18.300,17.850,113.29k,-0.55
20171229,18.050,17.900,18.050,17.500,106.21k,0.84
20171228,17.900,18.000,18.300,17.500,302.99k,0.00
20171227,17.900,17.500,17.900,17.200,895.94k,4.07
20171226,17.200,17.900,17.900,17.000,100.49k,-1.15
20171222,17.400,16.200,17.600,16.200,1.19,5.45
20171221,16.500,16.400,16.800,16.200,33.32k,-0.60
20171220,16.600,16.950,16.950,16.400,37.96k,0.00
20171219,16.600,16.450,17.250,16.450,138.91k,1.22
20171218,16.400,16.000,16.900,16.000,57.25k,1.23
20171215,16.200,17.000,17.100,16.200,120.62k,-4.71
20171214,17.000,16.650,17.200,16.300,76.05k,2.10
20171213,16.650,16.500,17.050,16.500,80.00k,-0.60
20171212,16.750,17.000,17.150,16.700,40.72k,-1.47
20171211,17.000,16.800,17.400,16.800,108.95k,1.80
20171207,16.700,16.750,17.000,16.700,20.55k,-2.91
20171206,17.200,16.200,17.250,16.200,73.34k,2.38
20171205,16.800,17.550,17.550,16.200,134.84k,-3.17
20171204,17.350,17.700,17.850,17.150,92.58k,-1.42
20171201,17.600,17.100,18.400,17.100,390.77k,2.03
20171130,17.250,17.650,17.650,17.100,176.04k,-2.27
20171129,17.650,17.900,18.000,17.550,57.21k,-3.02
