fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,22.900,22.900,23.400,21.600,380.89k,2.69
20180126,22.300,23.100,23.350,22.300,481.11k,-3.25
20180125,23.050,23.200,23.350,22.000,485.97k,1.54
20180124,22.700,21.150,22.900,21.150,804.70k,8.35
20180123,20.950,21.800,22.400,20.550,439.77k,-3.90
20180122,21.800,23.200,23.200,21.600,573.57k,-4.18
20180119,22.750,24.550,24.600,22.050,1.44,-6.38
20180118,24.300,23.000,24.400,23.000,1.17,5.65
20180117,23.000,21.800,23.100,21.800,1.63,5.02
20180116,21.900,20.400,21.900,19.450,1.11,7.62
20180115,20.350,19.500,21.300,19.500,1.45,5.71
20180112,19.250,18.000,19.900,18.000,1.47,7.54
20180111,17.900,16.600,17.950,16.200,563.53k,9.48
20180110,16.350,16.300,16.900,16.050,160.04k,-1.21
20180109,16.550,16.850,17.350,16.550,395.40k,-1.78
20180108,16.850,17.050,17.300,16.550,333.18k,-3.16
20180105,17.400,17.600,18.000,17.000,354.28k,-0.85
20180104,17.550,17.000,17.600,16.900,536.30k,1.15
20180103,17.350,16.500,17.400,15.850,550.17k,4.83
20180102,16.550,15.500,16.550,15.500,501.41k,3.76
20171229,15.950,15.900,16.150,15.600,153.70k,-0.62
20171228,16.050,15.700,16.150,15.700,440.70k,1.90
20171227,15.750,16.250,16.250,15.100,242.87k,0.00
20171226,15.750,16.000,16.300,15.750,196.64k,0.32
20171222,15.700,16.050,16.300,15.700,381.75k,-4.56
20171221,16.450,15.450,16.450,15.150,220.53k,6.82
20171220,15.400,15.500,15.500,15.100,143.77k,1.99
20171219,15.100,15.050,15.600,15.000,296.35k,1.00
20171218,14.950,15.100,15.600,14.850,185.95k,-0.99
20171215,15.100,15.450,15.600,14.950,168.35k,-1.31
20171214,15.300,14.800,15.450,14.750,140.16k,3.38
20171213,14.800,15.500,15.950,14.700,137.01k,-4.52
20171212,15.500,15.500,15.750,15.100,121.76k,0.00
20171211,15.500,14.700,15.850,14.700,97.75k,4.38
20171207,14.850,15.050,15.200,14.750,102.74k,-2.30
20171206,15.200,15.200,15.500,14.850,245.73k,-0.98
20171205,15.350,15.350,15.600,15.200,121.45k,-0.97
20171204,15.500,15.900,16.000,15.400,155.04k,-2.52
20171201,15.900,15.400,16.000,15.400,52.80k,-0.63
20171130,16.000,15.600,16.000,15.500,80.45k,2.56
