fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,45.15,46.00,46.15,44.40,944.41k,-1.74
20180126,45.95,47.00,48.65,45.50,1.50,-2.23
20180125,47.00,45.80,47.55,44.75,1.80,2.17
20180124,46.00,43.15,46.00,43.15,1.57,7.23
20180123,42.90,41.65,43.20,41.30,1.30,3.13
20180122,41.60,42.60,43.00,41.40,1.28,-2.35
20180119,42.60,43.50,43.50,41.55,2.63,-4.05
20180118,44.40,45.60,47.50,44.25,1.68,-2.42
20180117,45.50,47.20,48.35,45.00,2.61,-3.60
20180116,47.20,45.75,47.25,43.25,2.30,4.89
20180115,45.00,42.00,45.50,42.00,2.30,7.14
20180112,42.00,39.90,42.35,39.90,2.15,6.19
20180111,39.55,38.05,39.90,37.60,1.05,3.53
20180110,38.20,38.70,38.70,37.60,715.46k,-2.55
20180109,39.20,38.70,39.60,38.60,2.64,1.29
20180108,38.70,39.00,39.45,37.60,1.37,-0.51
20180105,38.90,39.50,39.50,38.30,2.35,0.26
20180104,38.80,37.60,39.80,37.50,3.73,7.78
20180103,36.00,35.00,36.40,34.65,3.47,4.35
20180102,34.50,32.50,34.70,31.90,2.16,8.49
20171229,31.80,32.50,32.70,31.70,523.82k,-0.93
20171228,32.10,32.00,32.75,31.55,786.43k,0.31
20171227,32.00,31.65,32.25,31.55,610.64k,0.95
20171226,31.70,31.00,31.80,30.95,1.43,2.26
20171222,31.00,30.20,31.45,29.85,664.88k,3.51
20171221,29.95,29.95,30.00,29.30,385.10k,1.01
20171220,29.65,29.65,30.10,29.10,361.09k,1.19
20171219,29.30,28.25,29.50,28.25,546.53k,3.35
20171218,28.35,29.00,29.00,27.55,213.46k,-1.22
20171215,28.70,28.60,28.90,28.40,1.33,1.06
20171214,28.40,28.80,29.40,28.40,885.34k,-1.39
20171213,28.80,30.00,30.00,28.40,250.27k,-3.19
20171212,29.75,30.00,30.50,29.20,297.64k,-0.34
20171211,29.85,28.75,30.00,28.75,319.60k,3.83
20171207,28.75,28.75,29.10,28.20,203.08k,0.35
20171206,28.65,29.70,29.70,28.65,339.95k,-2.22
20171205,29.30,29.70,29.90,29.00,308.23k,-1.84
20171204,29.85,30.80,30.80,29.70,459.90k,0.00
20171201,29.85,29.90,30.40,29.60,647.64k,0.67
20171130,29.65,30.00,30.05,29.65,247.76k,-0.67
20171129,29.85,30.00,30.30,29.50,482.89k,-0.50
20171128,30.00,29.60,30.30,29.60,644.83k,0.00
20171127,30.00,30.30,30.80,29.80,482.36k,-0.83
20171124,30.25,30.35,30.70,30.25,463.65k,-0.49
20171123,30.40,30.90,30.90,30.15,305.25k,0.00
20171122,30.40,30.55,31.00,30.35,904.60k,0.50
20171121,30.25,30.05,31.00,30.00,1.24,0.83
20171117,30.00,30.50,30.50,29.55,523.42k,0.17
20171116,29.95,30.40,30.40,29.90,817.06k,0.17
20171115,29.90,29.55,30.40,29.00,1.20,1.36
20171114,29.50,31.00,31.00,28.60,743.20k,-3.91
20171113,30.70,31.50,31.50,30.25,350.73k,0.66
20171110,30.50,32.00,32.50,30.30,1.75,-3.17
20171109,31.50,30.35,32.40,30.35,3.78,3.79
20171108,30.35,30.65,30.95,30.10,818.13k,-0.33
20171107,30.45,30.05,31.35,30.05,1.53,1.33
20171103,30.05,30.40,30.70,29.90,1.15,-1.15
20171102,30.40,30.80,30.80,29.70,1.34,0.50
20171101,30.25,30.50,30.75,30.00,1.48,1.51
20171031,29.80,30.80,30.80,29.55,959.61k,-0.17
20171030,29.85,30.00,30.50,29.50,248.72k,0.17
20171027,29.80,30.25,30.50,29.70,494.70k,-1.49
20171026,30.25,30.50,31.00,30.10,763.53k,0.67
20171025,30.05,31.20,31.20,29.80,1.21,-2.44
20171024,30.80,31.50,31.90,30.50,779.67k,-1.28
20171023,31.20,32.40,32.75,30.75,2.24,-0.32
20171020,31.30,31.10,32.60,30.95,1.15,1.29
20171019,30.90,30.00,31.20,29.90,1.32,3.00
20171018,30.00,30.40,30.50,29.50,864.96k,-1.48
20171017,30.45,31.30,31.35,30.25,458.35k,-1.14
20171013,30.80,31.15,31.70,30.70,614.55k,-1.28
20171012,31.20,30.60,31.30,30.25,625.02k,1.79
20171011,30.65,31.80,32.00,30.05,1.12,-2.08
20171010,31.30,30.50,31.50,30.50,1.86,3.99
20171009,30.10,29.50,30.20,29.10,1.29,4.15
20171006,28.90,29.45,29.50,28.80,1.53,-2.03
20171005,29.50,29.60,30.10,29.20,1.38,0.00
20171004,29.50,29.50,29.80,28.35,673.60k,-0.34
20171003,29.60,30.30,30.40,29.25,939.00k,-1.33
20171002,30.00,30.55,31.00,29.50,1.68,-1.64
20170929,30.50,28.75,31.00,28.75,2.92,6.27
20170928,28.70,27.20,28.70,27.20,2.02,4.17
20170927,27.55,27.20,27.70,26.85,2.40,3.38
20170926,26.65,25.55,26.70,25.55,4.39,5.34
20170925,25.30,24.50,26.00,24.50,1.30,6.08
20170922,23.85,24.25,24.65,23.75,390.73k,-2.25
20170921,24.40,24.95,25.00,24.30,623.04k,-2.20
20170920,24.95,24.20,25.35,24.20,243.25k,0.00
20170919,24.95,24.50,24.95,24.00,303.92k,2.67
20170918,24.30,24.30,24.80,24.20,197.55k,-0.21
20170915,24.35,24.50,24.50,23.60,143.53k,-0.20
20170914,24.40,24.90,25.00,24.05,83.55k,-2.01
20170913,24.90,24.50,25.15,23.80,352.15k,2.47
20170912,24.30,25.00,25.00,24.30,260.86k,-1.82
20170911,24.75,24.85,25.50,24.40,72.79k,-0.80
20170908,24.95,25.20,25.20,24.35,114.15k,0.00
20170907,24.95,25.00,25.80,24.85,198.16k,-0.60
20170906,25.10,25.25,26.00,25.00,688.85k,-1.38
20170905,25.45,25.30,26.00,25.25,504.04k,0.79
20170904,25.25,25.50,25.50,25.05,392.90k,-0.98
20170901,25.50,25.70,25.85,25.15,247.78k,-0.39
20170831,25.60,26.15,26.20,25.60,670.05k,-1.54
20170830,26.00,25.00,26.20,25.00,1.48,1.36
20170829,25.65,25.00,25.65,24.80,690.45k,2.19
20170828,25.10,24.65,25.20,24.30,449.36k,1.21
20170825,24.80,25.00,25.20,24.05,299.80k,0.40
20170824,24.70,24.80,25.00,24.35,428.68k,-0.20
20170823,24.75,24.00,25.00,24.00,448.21k,2.06
20170822,24.25,24.30,24.80,24.20,153.69k,-0.21
20170818,24.30,25.00,25.70,24.10,761.11k,-5.08
20170817,25.60,24.90,25.70,24.90,447.95k,2.40
20170816,25.00,24.30,25.45,24.30,651.60k,2.67
20170815,24.35,24.10,24.70,23.70,365.00k,1.46
20170814,24.00,24.00,25.00,23.40,675.52k,3.90
20170811,23.10,22.45,23.10,22.00,255.47k,2.90
20170810,22.45,21.70,22.50,21.60,256.96k,2.28
20170809,21.95,21.70,21.95,20.50,100.94k,-0.23
20170808,22.00,22.00,22.20,20.70,88.94k,2.33
20170807,21.50,22.50,22.50,21.30,106.30k,-4.44
20170804,22.50,22.20,22.60,22.00,50.21k,1.12
20170803,22.25,22.45,22.45,22.15,119.74k,-0.22
20170802,22.30,22.00,22.40,21.85,58.84k,2.76
20170801,21.70,22.40,22.40,21.70,45.28k,-2.25
20170731,22.20,22.20,22.50,21.50,46.68k,0.45
20170728,22.10,22.10,22.30,21.50,124.24k,0.23
20170727,22.05,22.20,22.30,21.70,109.77k,-0.68
20170726,22.20,22.45,22.45,21.90,32.10k,0.45
20170725,22.10,23.00,23.00,21.80,124.48k,-3.07
20170724,22.80,23.50,23.60,22.35,47.29k,-2.56
20170721,23.40,23.30,23.60,23.00,243.69k,1.74
20170720,23.00,23.00,23.30,23.00,172.09k,1.55
20170719,22.65,21.60,22.65,21.60,182.37k,5.10
20170718,21.55,21.00,21.75,21.00,151.26k,0.00
20170717,21.55,22.50,22.50,21.30,124.63k,-3.36
20170714,22.30,21.90,22.35,21.00,215.72k,1.59
20170713,21.95,22.60,22.60,21.70,122.76k,-2.44
20170712,22.50,22.80,22.80,22.00,133.85k,0.22
20170711,22.45,23.15,23.25,22.10,118.41k,-1.32
20170710,22.75,23.05,23.60,22.50,115.33k,-1.73
20170707,23.15,23.50,23.70,22.80,111.02k,-0.86
20170706,23.35,23.65,23.90,23.00,232.52k,-1.27
20170705,23.65,24.25,24.25,23.60,189.52k,-2.87
20170704,24.35,24.60,24.95,23.90,495.65k,-0.41
20170703,24.45,24.00,25.00,24.00,452.42k,3.16
20170630,23.70,22.10,23.70,22.00,638.92k,7.24
20170629,22.10,22.00,22.30,21.85,555.38k,1.14
20170628,21.85,22.00,22.30,21.80,121.07k,0.23
20170627,21.80,22.20,22.75,21.70,215.84k,-1.80
20170626,22.20,23.50,23.50,22.00,160.49k,-3.48
20170623,23.00,22.30,23.20,22.00,165.89k,3.14
20170622,22.30,22.00,22.50,21.95,95.82k,0.68
20170621,22.15,21.20,22.15,21.20,418.61k,-3.70
20170619,23.00,23.00,23.70,22.50,200.87k,0.00
20170616,23.00,22.40,23.20,22.30,434.35k,3.14
20170615,22.30,21.85,22.30,21.80,174.24k,1.36
20170614,22.00,22.65,23.10,22.00,271.00k,-2.87
20170613,22.65,21.95,22.90,21.95,206.12k,3.66
20170612,21.85,22.50,22.90,21.65,329.75k,-2.46
20170609,22.40,23.00,23.50,22.25,236.28k,-3.66
20170608,23.25,23.75,23.75,23.25,99.64k,-2.72
20170607,23.90,23.70,24.50,23.25,274.38k,-0.42
20170606,24.00,24.25,24.35,23.50,84.78k,-1.44
20170605,24.35,24.85,24.85,24.00,238.57k,-1.81
20170602,24.80,24.90,24.95,24.50,451.72k,0.81
20170601,24.60,24.50,24.80,24.50,1.07,0.41
20170531,24.50,24.35,24.60,24.25,490.02k,1.66
20170530,24.10,24.70,24.70,24.10,797.87k,-0.41
20170529,24.20,23.50,24.45,23.50,752.36k,4.76
20170526,23.10,22.60,23.30,22.50,621.47k,3.13
20170524,22.40,22.10,22.60,21.90,236.36k,1.36
20170523,22.10,22.60,22.90,22.00,193.55k,-1.34
20170522,22.40,22.50,22.70,22.05,219.44k,0.45
20170519,22.30,22.75,23.00,22.25,290.35k,0.22
20170518,22.25,22.40,22.60,21.50,424.64k,-2.41
20170517,22.80,23.25,23.25,22.60,475.26k,-1.94
20170516,23.25,23.75,23.75,22.85,525.31k,-2.11
20170515,23.75,24.00,24.20,23.60,139.00k,-1.66
20170512,24.15,24.35,24.65,24.00,173.86k,-0.62
20170511,24.30,24.85,24.85,24.00,101.00k,-0.41
20170510,24.40,24.30,25.00,24.20,467.10k,0.41
20170509,24.30,24.65,25.10,23.50,373.68k,0.00
20170508,24.30,24.10,24.45,23.75,902.31k,2.32
20170505,23.75,23.40,24.00,23.40,224.86k,1.06
20170504,23.50,23.95,24.00,22.60,286.12k,-0.42
20170503,23.60,23.50,24.00,23.50,156.54k,0.43
20170502,23.50,24.20,24.25,23.30,162.72k,-2.49
20170428,24.10,24.05,24.50,23.80,75.20k,-0.21
20170427,24.15,24.05,24.30,23.50,125.52k,-1.02
20170426,24.40,24.35,24.50,24.05,124.46k,0.21
20170425,24.35,24.50,25.10,24.05,221.50k,-0.61
20170424,24.50,24.75,25.15,24.40,382.55k,1.03
20170421,24.25,24.25,24.95,24.00,261.55k,-1.62
20170420,24.65,24.60,24.95,24.40,106.63k,0.20
20170419,24.60,25.50,25.60,24.20,234.15k,-1.40
20170418,24.95,24.15,25.10,24.15,462.82k,3.53
20170417,24.10,24.40,25.00,24.05,252.46k,-1.63
20170412,24.50,25.30,25.30,24.40,252.29k,-2.78
20170411,25.20,25.60,25.70,24.75,251.49k,-1.56
20170410,25.60,25.75,26.35,25.35,253.95k,-0.39
20170407,25.70,25.70,25.75,25.15,288.84k,0.00
20170406,25.70,26.00,26.00,25.00,169.59k,-0.96
20170405,25.95,26.50,26.85,25.95,93.55k,-2.08
20170404,26.50,26.50,26.70,26.20,166.30k,0.95
20170403,26.25,26.00,26.40,25.90,475.25k,2.54
20170331,25.60,24.80,25.60,24.65,651.86k,4.07
20170330,24.60,24.10,25.70,24.00,442.52k,2.07
20170329,24.10,24.40,24.75,23.80,460.06k,-1.23
20170328,24.40,24.65,25.00,24.20,220.05k,-1.01
20170327,24.65,25.00,25.30,24.60,97.54k,-1.20
20170323,24.95,24.75,25.00,24.60,350.59k,1.01
20170322,24.70,24.80,25.00,24.30,382.16k,-0.40
20170321,24.80,25.10,25.10,24.05,403.09k,-0.80
20170320,25.00,25.45,25.60,24.05,329.90k,-1.77
20170317,25.45,25.80,26.00,25.30,337.66k,-1.17
20170316,25.75,26.00,26.50,25.35,298.83k,-0.96
20170315,26.00,25.90,26.10,25.20,790.54k,0.78
20170314,25.80,26.20,26.20,25.20,142.30k,-0.39
20170313,25.90,26.80,26.80,25.10,181.47k,-0.38
20170310,26.00,27.00,27.00,25.70,127.76k,-0.76
20170309,26.20,27.20,27.35,25.80,302.18k,-3.50
20170308,27.15,27.20,27.40,26.80,144.97k,0.37
20170307,27.05,27.00,27.70,26.80,973.37k,1.50
20170306,26.65,26.15,26.85,25.50,396.99k,1.91
20170303,26.15,25.00,26.20,23.85,302.48k,5.02
20170302,24.90,25.75,25.75,24.70,369.90k,-3.68
20170301,25.85,26.30,26.40,25.55,593.35k,-1.71
20170224,26.30,27.45,27.45,25.80,229.25k,-4.19
20170223,27.45,27.40,27.50,26.25,344.41k,0.55
20170222,27.30,26.75,27.50,26.35,277.95k,2.25
20170221,26.70,27.25,27.25,26.00,195.22k,0.00
20170220,26.70,26.00,26.70,25.30,268.35k,2.69
20170217,26.00,26.00,26.60,25.75,115.11k,0.00
20170216,26.00,26.00,26.15,25.00,339.82k,-0.57
20170215,26.15,26.45,26.45,26.00,181.78k,-1.13
20170214,26.45,26.80,26.85,26.00,233.33k,-1.49
20170213,26.85,26.90,27.00,26.50,118.60k,-0.19
20170210,26.90,26.50,26.90,26.25,205.59k,2.28
20170209,26.30,25.20,26.90,25.20,291.10k,-0.94
20170208,26.55,27.10,27.10,26.10,139.70k,-2.03
20170207,27.10,27.70,27.70,26.90,136.11k,-1.45
20170206,27.50,27.20,27.50,26.90,485.68k,1.85
20170203,27.00,27.55,28.50,27.00,577.36k,0.45
20170202,26.88,26.25,27.00,26.25,672.33k,3.38
20170201,26.00,24.88,26.25,24.62,688.37k,4.50
20170131,24.88,24.38,25.00,24.25,321.69k,2.05
20170130,24.38,24.49,24.49,23.88,178.57k,-0.45
20170127,24.49,24.25,24.50,24.00,178.43k,0.99
20170126,24.25,24.56,24.56,24.25,155.40k,-1.46
20170125,24.61,24.50,24.61,24.02,66.99k,0.45
20170124,24.50,24.50,24.88,24.12,198.16k,0.04
20170123,24.49,24.12,24.49,23.88,148.98k,0.99
20170120,24.25,24.12,24.37,22.63,174.66k,0.54
20170119,24.12,23.75,24.36,23.75,63.38k,-1.07
20170118,24.38,24.56,24.62,24.24,183.02k,-0.49
20170117,24.50,24.75,24.75,24.25,151.03k,-1.01
20170116,24.75,24.75,25.00,24.64,99.45k,0.00
20170113,24.75,24.16,24.93,24.12,317.72k,2.61
20170112,24.12,24.12,24.18,23.75,53.80k,0.00
20170111,24.12,24.39,24.62,23.88,175.38k,-1.11
20170110,24.39,24.25,24.62,23.44,239.79k,1.25
20170109,24.09,24.44,24.44,23.96,189.49k,-1.19
20170106,24.38,24.24,24.44,24.12,304.34k,1.08
20170105,24.12,24.12,24.50,23.62,686.58k,0.00
20170104,24.12,23.99,24.34,23.75,545.51k,1.56
20170103,23.75,23.50,23.88,23.50,189.17k,1.58
20170102,23.38,22.75,23.50,22.62,124.20k,2.77
20161229,22.75,22.88,22.88,22.62,231.35k,0.57
20161228,22.62,22.27,23.06,22.27,175.86k,1.57
20161227,22.27,21.88,22.50,21.88,116.76k,1.23
20161226,22.00,22.31,22.38,21.94,23.62k,-1.39
20161223,22.31,22.25,22.50,22.00,55.76k,0.27
20161222,22.25,21.88,22.38,21.69,217.14k,2.02
20161221,21.81,21.44,21.88,21.25,163.34k,2.01
20161220,21.38,21.75,22.00,21.00,42.05k,-1.66
20161219,21.74,22.11,22.11,21.25,519.72k,-1.67
20161216,22.11,22.12,22.38,22.02,35.34k,0.50
20161215,22.00,21.82,22.00,21.69,291.46k,0.87
20161214,21.81,21.62,21.81,21.50,325.88k,1.44
20161213,21.50,21.12,21.56,21.06,175.27k,1.18
20161212,21.25,21.38,21.38,21.20,106.12k,-0.28
20161207,21.31,20.50,21.38,20.50,100.50k,1.38
20161206,21.02,20.75,21.62,20.75,109.14k,0.67
20161205,20.88,21.19,21.38,20.81,91.55k,-1.46
20161202,21.19,20.50,21.19,19.94,212.36k,3.37
20161201,20.50,21.25,21.25,20.16,58.31k,-2.66
20161130,21.06,21.25,21.56,21.00,93.32k,-0.89
20161129,21.25,21.60,21.60,21.12,73.26k,-1.71
20161125,21.62,22.17,22.17,21.62,71.64k,-2.48
20161124,22.17,22.56,22.62,21.66,149.77k,-1.38
20161123,22.48,22.62,22.75,22.25,412.69k,0.45
20161122,22.38,22.25,22.59,22.12,754.31k,0.86
20161121,22.19,22.00,22.22,21.88,270.00k,1.14
20161118,21.94,22.06,22.12,21.88,100.93k,0.60
20161117,21.81,21.88,22.25,21.77,138.58k,0.28
20161116,21.75,21.50,21.75,21.19,314.99k,4.17
20161115,20.88,19.25,20.88,19.25,246.13k,9.21
20161114,19.12,19.31,19.31,17.50,335.60k,-1.24
20161111,19.36,20.38,20.38,18.50,215.48k,-5.28
20161110,20.44,21.38,21.50,20.43,91.82k,-3.54
