fecha,ultima,apertura,maximo,minimo,vol,varianza
20180124,290.00,290.00,290.00,290.00,0.08k,-0.05
20171227,290.15,290.15,290.15,290.15,0.10k,0.80
20171226,287.85,287.85,287.85,287.85,2.40k,11.42
20171206,258.35,258.35,258.35,258.35,10.36k,-4.84
20171121,271.50,271.50,271.50,271.50,0.03k,3.90
20171011,261.30,261.30,261.30,261.30,9.00k,8.87
20170911,240.00,240.00,240.00,240.00,0.23k,-0.83
20170728,242.00,242.00,242.00,242.00,1.07k,5.40
20170725,229.60,229.60,229.60,229.60,1.16k,3.61
20170713,221.60,221.60,221.60,221.60,8.12k,-1.29
20170703,224.50,224.50,224.50,224.50,0.71k,5.28
20170621,213.25,213.25,213.25,213.25,1.00k,2.62
20170531,207.80,207.80,207.80,207.80,0.80k,-3.51
20170530,215.35,215.35,215.35,215.35,0.19k,0.00
20170524,215.35,215.35,215.35,215.35,0.26k,0.00
20170522,215.35,215.35,215.35,215.35,13.60k,2.33
20170516,210.45,210.45,210.45,210.45,6.41k,0.69
20170403,209.00,209.00,209.00,209.00,0.08k,0.19
20170330,208.60,208.60,208.60,208.60,0.80k,-0.26
20170328,209.15,209.60,209.60,209.15,1.74k,-0.78
20170321,210.80,210.80,210.80,210.80,0.05k,-1.17
20170313,213.30,213.30,213.30,213.30,2.60k,-3.62
20170301,221.30,221.30,221.30,221.30,0.14k,1.75
20170221,217.50,217.50,217.50,217.50,2.80k,1.02
20170214,215.30,215.30,215.30,215.30,0.25k,-2.18
20170202,220.10,220.80,221.35,220.10,10.04k,-0.36
20170201,220.90,219.25,220.90,219.25,12.46k,0.25
20170131,220.35,220.35,220.35,220.35,5.00k,-0.72
20170130,221.95,221.45,221.95,221.45,27.01k,-5.01
20170126,233.65,233.65,233.65,233.65,0.01k,0.00
20170125,233.65,234.70,234.70,233.65,0.13k,-0.45
20170124,234.70,234.70,234.70,234.70,5.00k,-0.13
20161221,235.00,235.00,235.00,235.00,0.40k,1.29
20161219,232.00,232.00,232.00,232.00,0.25k,0.87
20161215,230.00,230.00,230.00,230.00,0.02k,-0.69
20161214,231.60,231.60,231.60,231.60,4.00k,3.86
20161212,223.00,223.00,223.00,223.00,0.14k,0.00
20161207,223.00,223.00,223.00,223.00,1.00k,3.72
20161123,215.00,215.00,215.00,215.00,0.13k,0.00
