fecha,ultima,apertura,maximo,minimo,vol,varianza
20180102,157.00,157.00,157.00,157.00,6.00k,18.61
20160218,132.37,132.37,132.37,132.37,2.45k,1.44
20150730,130.49,130.49,130.49,130.49,0.12k,1.73
20150528,128.27,128.27,128.27,128.27,0.10k,-8.10
20150506,139.58,139.58,139.58,139.58,0.10k,0.96
20150408,138.24,138.24,138.24,138.24,0.94k,10.50
20150311,125.11,125.11,125.11,125.11,2.33k,-6.18
20150126,133.35,133.35,133.35,133.35,1.56k,3.09
20140916,129.35,129.35,129.35,129.35,0.11k,26.41
20140819,102.33,102.33,102.33,102.33,0.24k,18.71
20140724,86.20,86.20,86.20,86.20,0.43k,4.06
20140627,82.84,82.84,82.84,82.84,0.23k,-2.30
20140604,84.79,84.79,84.79,84.79,0.11k,-0.17
20140603,84.93,84.93,84.93,84.93,0.12k,4.21
20140305,81.51,81.51,81.51,81.51,0.11k,0.41
20140210,81.17,81.17,81.17,81.17,6.03k,-3.04
20140124,83.71,83.71,83.71,83.71,0.60k,6.20
20140117,78.82,78.82,78.82,78.82,0.17k,-0.06
20140115,78.87,78.87,78.87,78.87,6.03k,1.54
20140103,77.67,77.67,77.67,77.67,0.06k,2.01
20131209,76.14,76.14,76.14,76.14,0.43k,-1.97
20131205,77.67,76.71,77.67,76.71,0.72k,-2.30
20131129,79.50,79.50,79.50,79.50,0.12k,-4.79
20131119,83.50,83.50,83.50,83.50,0.23k,-0.30
20131118,83.75,83.75,83.75,83.75,0.94k,10.98
20130830,75.47,75.47,75.47,75.47,0.09k,-0.97
20130809,76.21,76.21,76.21,76.21,0.09k,-4.64
20130430,79.92,79.92,79.92,79.92,0.09k,9.33
20130415,73.09,73.09,73.09,73.09,0.09k,-1.38
20130315,74.12,74.12,74.12,74.12,2.45k,9.90
20130128,67.44,67.44,67.44,67.44,1.60k,4.22
20130125,64.71,64.71,64.71,64.71,0.09k,0.00
20121228,64.71,64.71,64.71,64.71,1.51k,3.51
20121227,62.52,62.52,62.52,62.52,0.62k,0.63
20121218,62.13,60.67,62.13,60.67,7.94k,2.41
20121217,60.67,60.67,60.67,60.67,0.14k,-2.05
20121123,61.94,61.94,61.94,61.94,0.40k,0.00
20121121,61.94,61.94,61.94,61.94,4.20k,-1.32
20121114,62.76,62.76,62.76,62.76,1.56k,8.24
20121022,57.99,57.99,57.99,57.99,13.93k,4.29
20121017,55.60,55.60,55.60,55.60,21.00k,-0.61
20120919,55.94,55.94,55.94,55.94,2.20k,-0.35
20120906,56.14,56.14,56.14,56.14,4.80k,1.08
20120822,55.54,55.54,55.54,55.54,27.60k,-1.53
20120817,56.40,56.69,56.69,56.40,9.00k,-10.17
20120815,62.79,62.79,62.79,62.79,29.16k,8.82
20120810,57.70,57.70,57.70,57.70,33.29k,-2.83
20120710,59.38,59.38,59.38,59.38,0.40k,23.44
20120503,48.11,48.11,48.11,48.11,10.20k,7.61
20120327,44.70,44.75,44.75,44.70,6.00k,7.26
20120321,41.68,41.68,41.68,41.68,12.00k,6.92
20120210,38.98,38.94,38.98,38.94,6.00k,3.59
20120110,37.63,37.63,37.63,37.63,1.28k,2.53
20120103,36.70,36.70,36.70,36.70,6.05k,2.57
20111227,35.78,35.78,35.78,35.78,5.93k,-3.40
20111110,37.04,37.04,37.04,37.04,10.80k,-0.54
20111020,37.24,36.95,37.24,36.95,9.90k,7.57
20111007,34.62,34.62,34.62,34.62,7.50k,-7.88
20110919,37.58,37.58,37.58,37.58,0.42k,5.03
20110906,35.78,35.78,35.78,35.78,1.29k,5.61
20110819,33.88,33.88,33.88,33.88,0.29k,4.99
20110805,32.27,32.27,32.27,32.27,11.40k,1.67
20110527,31.74,31.74,31.74,31.74,11.40k,0.89
20110511,31.46,31.46,31.46,31.46,0.29k,7.30
20110328,29.32,29.32,29.32,29.32,0.28k,-0.64
20110317,29.51,29.51,29.51,29.51,0.68k,-4.50
20110214,30.90,30.90,30.90,30.90,0.60k,0.75
20101222,30.67,30.67,30.67,30.67,0.75k,-1.06
20101221,31.00,31.00,31.00,31.00,1.20k,-1.34
20101207,31.42,31.42,31.42,31.42,128.40k,-0.29
20101117,31.51,31.51,31.51,31.51,2.22k,-2.02
20101109,32.16,32.21,32.21,32.16,1.20k,-0.43
20101105,32.30,32.30,32.30,32.30,1.80k,-2.12
20101015,33.00,33.00,33.00,33.00,0.28k,7.11
20100830,30.81,31.36,31.36,30.81,3.29k,-1.75
20100825,31.36,31.36,31.36,31.36,0.55k,-1.29
20100819,31.77,31.77,31.77,31.77,51.00k,0.00
20100810,31.77,31.77,31.77,31.77,0.60k,11.89
20100729,28.39,28.35,28.39,28.35,51.00k,-1.50
20100726,28.83,28.83,28.83,28.83,0.45k,9.15
20100519,26.41,26.58,26.58,26.41,2.13k,-7.39
20100414,28.52,28.48,28.52,28.48,62.40k,5.82
20100211,26.95,26.91,26.95,26.91,42.00k,1.92
20100210,26.44,26.44,26.44,26.44,3.00k,0.81
20100201,26.23,26.23,26.23,26.23,2.40k,-2.06
20100119,26.78,26.78,26.78,26.78,0.30k,-1.40
20100114,27.16,27.16,27.16,27.16,1.20k,9.57
20091218,24.79,24.79,24.79,24.79,0.30k,0.86
20091211,24.58,24.58,24.58,24.58,1.20k,-0.51
20091209,24.70,24.70,24.70,24.70,24.77k,-2.51
20091203,25.34,25.34,25.34,25.34,1.08k,-0.33
20091202,25.42,25.42,25.42,25.42,0.60k,0.50
20091201,25.30,25.25,25.30,25.25,45.00k,0.17
20091113,25.25,25.25,25.25,25.25,45.00k,-0.50
20091112,25.38,25.38,25.38,25.38,52.20k,-0.67
20091109,25.55,25.55,25.55,25.55,1.20k,1.00
20091104,25.30,25.98,25.98,25.25,43.80k,-0.83
20091103,25.51,25.51,25.51,25.51,2.40k,-0.66
20091102,25.68,25.68,25.68,25.68,4.20k,-3.35
20091021,26.57,26.57,26.57,26.57,0.44k,-2.03
20091019,27.12,27.12,27.12,27.12,0.31k,1.75
20091013,26.65,26.65,26.65,26.65,1.50k,-0.16
20091007,26.69,26.69,26.69,26.69,1.20k,-0.79
20090914,26.91,26.86,26.91,26.86,94.50k,-2.31
20090910,27.54,27.50,27.54,27.50,6.00k,0.33
20090908,27.45,27.45,27.45,27.45,7.20k,0.46
20090904,27.33,27.37,27.37,27.33,1.20k,2.82
20090903,26.58,26.58,26.58,26.58,0.31k,-2.89
20090824,27.37,27.37,27.37,27.37,0.30k,-11.58
20090812,30.95,30.95,30.95,30.95,0.96k,3.34
20090806,29.95,29.78,29.95,29.78,21.95k,3.60
20090803,28.91,28.91,28.91,28.91,0.28k,2.51
20090729,28.20,28.16,28.20,28.16,64.20k,7.46
20090707,26.24,26.24,26.24,26.24,0.72k,-6.25
20090612,27.99,27.99,27.99,27.99,0.43k,-0.59
20090609,28.16,28.12,28.16,28.12,1.74k,-1.46
20090601,28.58,28.41,28.58,28.37,4.05k,12.09
20090512,25.49,25.45,25.49,25.45,12.00k,13.59
20090430,22.44,22.44,22.44,22.44,7.80k,-1.79
20090422,22.85,22.85,22.85,22.85,1.50k,-5.09
20090415,24.08,24.08,24.08,24.08,1.08k,1.38
20090413,23.75,23.46,23.75,23.46,2.58k,9.60
20090202,21.67,21.67,21.67,21.67,1.20k,-4.84
