fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,170.000,170.000,170.000,170.000,-,0.00
20180126,170.000,170.000,170.000,170.000,0.02k,6.25
20180123,160.000,160.000,160.000,160.000,0.01k,2.96
20180116,155.400,155.350,155.400,155.350,2.31k,8.94
20171227,142.650,142.650,142.650,142.650,0.22k,0.46
20171226,142.000,142.000,142.000,142.000,0.71k,7.45
20171213,132.150,132.150,132.150,132.150,0.23k,2.32
20171206,129.150,128.700,129.150,128.700,5.29k,3.32
20171115,125.000,125.000,125.000,125.000,0.08k,0.00
20171110,125.000,125.000,125.000,125.000,0.08k,2.97
20171107,121.400,121.400,121.400,121.400,0.35k,0.00
20171103,121.400,118.000,121.400,118.000,0.40k,1.51
20171025,119.600,119.600,119.600,119.600,0.26k,1.61
20171011,117.700,112.000,117.700,112.000,6.08k,6.04
20171002,111.000,111.000,111.000,111.000,0.19k,0.00
20170830,111.000,111.000,111.000,111.000,1.27k,0.91
20170829,110.000,110.000,110.000,110.000,0.20k,0.73
20170825,109.200,109.200,109.200,109.200,0.28k,-2.59
20170816,112.100,112.100,112.100,112.100,0.10k,4.96
20170713,106.800,106.800,106.800,106.800,16.85k,0.75
20170712,106.000,106.000,106.000,106.000,0.03k,1.34
20170703,104.600,106.450,106.450,104.600,2.43k,-0.33
20170626,104.950,105.000,105.000,104.950,0.43k,1.89
20170621,103.000,103.000,103.000,103.000,1.00k,2.08
20170612,100.900,100.900,100.900,100.900,0.50k,-2.42
20170522,103.400,103.400,103.400,103.400,8.70k,-2.18
20170328,105.699,105.699,105.699,105.699,2.10k,-0.85
20170313,106.600,106.600,106.600,106.600,1.00k,6.60
20170303,100.000,100.000,100.000,100.000,0.06k,2.30
20170214,97.750,97.750,97.750,97.750,0.20k,-0.91
20170202,98.650,98.650,98.650,98.650,6.50k,1.91
20170201,96.800,94.000,96.800,94.000,0.20k,-0.21
20170131,97.000,97.000,97.000,97.000,0.20k,-0.15
20170130,97.150,97.150,97.150,97.150,15.35k,-1.47
20170124,98.600,98.600,98.600,98.600,10.00k,3.63
20170123,95.150,95.150,95.150,95.150,1.52k,-2.46
20161221,97.550,97.550,97.550,97.550,1.00k,1.61
20161212,96.000,96.000,96.000,96.000,0.95k,1.05
20161130,95.000,95.000,95.000,95.000,0.15k,0.00
20161129,95.000,95.000,95.000,95.000,0.09k,0.00
20161111,95.000,95.000,95.000,95.000,0.02k,0.00
20161110,95.000,95.000,95.000,95.000,7.50k,4.05
20161027,91.300,91.300,91.300,91.300,1.06k,-8.70
20161007,100.000,110.000,110.000,100.000,0.12k,0.00
20161005,100.000,100.000,100.000,100.000,0.15k,4.00
20161004,96.150,96.150,96.150,96.150,1.50k,3.05
20160920,93.300,93.300,93.300,93.300,1.50k,-2.30
20160919,95.500,95.500,95.500,95.500,0.75k,4.03
20160817,91.800,91.800,91.800,91.800,2.24k,-3.37
20160805,95.000,95.000,95.000,95.000,0.20k,1.06
20160804,94.000,94.000,94.000,94.000,0.02k,1.08
20160802,93.000,93.000,93.000,93.000,0.32k,-0.53
20160726,93.500,93.500,93.500,93.500,4.75k,1.03
20160719,92.550,92.550,92.550,92.550,16.00k,12.87
20160707,82.000,82.000,82.000,82.000,-,-5.48
20160706,86.750,86.750,86.750,86.750,7.50k,9.81
20160616,79.000,79.000,79.000,79.000,1.75k,-2.23
20160524,80.800,80.800,80.800,80.800,-,7.73
20160518,75.000,75.000,75.000,75.000,0.14k,-0.86
20160512,75.650,75.650,75.650,75.650,7.45k,-8.14
20160426,82.350,82.350,82.350,82.350,5.65k,4.90
20160412,78.500,78.500,78.500,78.500,0.12k,-6.26
20160331,83.741,83.741,83.741,83.741,0.59k,0.18
20160330,83.592,83.592,83.592,83.592,1.78k,-0.18
20160317,83.741,83.741,83.741,83.741,0.12k,0.60
20160307,83.245,83.245,83.245,83.245,0.10k,-2.01
20160303,84.950,84.950,84.950,84.950,2.66k,-0.88
20160302,85.700,85.700,85.700,85.700,6.60k,4.90
20160224,81.700,81.700,81.700,81.700,13.25k,-1.68
20160223,83.100,83.100,83.100,83.100,8.00k,1.84
20160218,81.600,81.600,81.600,81.600,7.50k,-0.67
20160217,82.150,82.150,82.150,82.150,28.50k,10.27
20160211,74.500,74.500,74.500,74.500,7.00k,10.70
20160210,67.300,67.300,67.300,67.300,0.23k,-2.11
20160204,68.750,68.000,68.750,68.000,15.23k,3.54
