fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,52.500,52.000,52.500,52.000,5.88k,1.94
20180126,51.500,54.000,54.000,51.000,3.48k,-0.77
20180125,51.900,52.300,53.000,51.900,7.95k,-0.19
20180124,52.000,52.500,52.500,52.000,6.93k,0.48
20180123,51.750,51.850,51.850,51.750,30.90k,3.50
20180122,50.000,49.750,50.000,49.750,4.62k,2.46
20180119,48.800,48.800,48.800,48.800,4.53k,0.83
20180118,48.400,48.200,48.400,48.200,7.38k,0.41
20180117,48.200,48.200,48.200,48.200,0.03k,0.00
20180116,48.200,48.000,48.600,48.000,101.94k,2.55
20180115,47.000,47.000,47.000,47.000,0.75k,-1.05
20180112,47.500,46.500,47.500,46.500,5.22k,1.50
20180111,46.800,46.000,46.800,46.000,7.80k,-0.43
20180110,47.000,47.200,47.200,47.000,2.76k,-1.05
20180109,47.500,47.000,47.500,47.000,1.02k,1.71
20180108,46.700,47.000,47.000,46.700,0.60k,-1.68
20180105,47.500,47.500,47.800,47.500,5.01k,0.00
20180104,47.500,45.400,47.500,45.400,32.58k,4.63
20180103,45.400,45.950,45.950,45.000,11.46k,-1.30
20180102,46.000,47.000,47.000,46.000,0.96k,-2.13
20171229,47.000,46.750,47.000,46.750,0.30k,1.73
20171228,46.200,46.200,46.200,46.200,1.74k,2.21
20171227,45.200,45.000,45.200,45.000,6.69k,0.89
20171226,44.800,45.200,46.200,44.750,25.35k,-0.78
20171222,45.150,45.000,45.150,45.000,81.87k,0.56
20171221,44.900,44.500,45.000,44.500,16.44k,1.58
20171220,44.200,44.000,44.200,44.000,1.47k,0.45
20171219,44.000,44.500,44.500,43.500,20.13k,-1.12
20171218,44.500,43.500,44.500,43.500,32.40k,2.30
20171215,43.500,44.000,44.000,43.000,33.66k,0.23
20171213,43.400,43.000,43.500,43.000,5.67k,-0.23
20171212,43.500,43.000,43.900,42.500,19.74k,0.58
20171211,43.250,42.500,43.250,42.500,1.08k,0.58
20171207,43.000,43.100,43.100,43.000,1.89k,-1.15
20171206,43.500,43.400,43.500,43.350,150.54k,-0.91
20171205,43.900,42.500,44.000,42.500,24.54k,-1.35
20171204,44.500,44.250,44.500,43.800,8.79k,1.83
20171201,43.700,43.700,43.700,43.700,0.06k,0.46
20171130,43.500,43.500,43.800,43.500,43.56k,2.35
20171129,42.500,42.500,43.500,42.500,13.92k,2.41
20171128,41.500,41.300,41.500,41.300,9.78k,0.24
20171127,41.400,40.900,41.400,40.900,6.48k,-0.24
20171123,41.500,41.500,41.500,41.500,0.72k,0.00
20171122,41.500,42.000,42.000,41.500,0.93k,-0.72
20171121,41.800,41.500,41.800,41.500,12.66k,1.21
20171117,41.300,41.000,41.300,41.000,1.92k,0.24
20171116,41.200,41.200,41.200,41.100,13.62k,-0.72
20171115,41.500,41.000,41.500,41.000,9.03k,0.00
20171114,41.500,41.500,41.500,41.500,0.75k,-0.95
20171113,41.900,41.500,41.900,41.500,3.09k,0.00
20171110,41.900,42.000,42.400,41.300,8.07k,-0.24
20171108,42.000,42.000,42.000,42.000,0.72k,-1.18
20171107,42.500,42.500,42.500,42.500,0.03k,-0.47
20171103,42.700,44.000,44.000,42.700,1.95k,-0.70
20171102,43.000,43.000,43.000,43.000,1.74k,0.23
20171101,42.900,43.000,43.000,42.900,12.81k,-0.23
20171031,43.000,42.900,43.000,42.900,20.46k,0.00
20171030,43.000,42.600,43.000,42.500,8.94k,1.18
20171027,42.500,42.650,42.700,42.500,0.66k,-1.16
20171026,43.000,43.250,43.250,43.000,1.41k,0.00
20171025,43.000,43.000,43.000,43.000,0.87k,0.00
20171024,43.000,42.250,43.000,42.250,8.91k,2.99
20171023,41.750,41.750,41.750,41.750,0.60k,0.00
20171020,41.750,42.000,42.000,41.750,5.76k,0.36
20171018,41.600,40.500,41.800,40.500,9.45k,-0.24
20171013,41.700,41.800,41.800,41.700,1.77k,-0.71
20171012,42.000,42.550,42.550,41.500,7.53k,-2.33
20171011,43.000,42.500,43.500,42.500,1.65k,-0.23
20171010,43.100,43.000,43.100,43.000,14.04k,0.00
20171009,43.100,43.200,43.200,43.100,2.64k,-0.92
20171006,43.500,43.500,44.000,43.500,3.96k,0.46
20171005,43.300,42.100,43.450,42.100,6.03k,1.88
20171004,42.500,42.500,43.000,42.500,3.93k,-0.70
20171003,42.800,42.750,43.000,42.750,1.59k,0.71
20171002,42.500,42.600,42.700,41.400,10.50k,0.47
20170929,42.300,42.700,42.700,42.300,0.12k,-0.47
20170928,42.500,42.000,42.500,42.000,3.54k,1.19
20170927,42.000,42.200,42.200,42.000,7.35k,2.44
20170926,41.000,41.000,41.000,41.000,3.39k,0.49
20170925,40.800,40.450,40.800,40.200,11.01k,-0.24
