fecha,ultima,apertura,maximo,minimo,vol,varianza
20180124,186.50,187.00,187.00,186.50,0.07k,-0.53
20180123,187.50,185.00,187.50,185.00,0.04k,3.73
20180122,180.75,180.75,180.75,180.75,0.17k,0.42
20180119,180.00,180.00,180.00,180.00,0.01k,1.12
20180118,178.00,178.00,178.00,178.00,0.10k,-1.11
20180115,180.00,185.00,185.00,180.00,0.02k,0.00
20180111,180.00,180.00,180.00,180.00,0.03k,0.00
20180110,180.00,180.00,180.00,180.00,0.02k,1.69
20180109,177.00,175.70,177.00,175.70,0.19k,0.74
20180108,175.70,175.70,175.70,175.70,0.19k,2.24
20180104,171.85,171.85,171.85,171.85,0.01k,0.50
20171229,171.00,173.05,173.05,171.00,0.39k,0.00
20171228,171.00,171.00,171.00,171.00,0.01k,0.77
20171227,169.70,170.00,170.00,169.70,0.21k,-0.18
20171226,170.00,168.25,170.00,168.25,3.94k,3.22
20171222,164.70,163.50,164.70,163.50,0.21k,1.04
20171221,163.00,162.00,163.00,162.00,0.08k,0.15
20171218,162.75,162.75,162.75,162.75,0.03k,0.00
20171215,162.75,162.75,162.75,162.75,0.19k,3.17
20171213,157.75,157.75,157.75,157.75,0.68k,-0.79
20171211,159.00,160.00,160.00,159.00,0.47k,-0.53
20171206,159.85,161.00,161.00,159.55,16.83k,-0.09
20171204,160.00,160.20,160.20,160.00,0.04k,0.25
20171129,159.60,159.60,159.60,159.60,0.06k,0.00
20171127,159.60,159.60,159.60,159.60,0.01k,0.00
20171123,159.60,159.60,159.60,159.60,0.07k,0.38
20171122,159.00,159.00,159.00,159.00,0.19k,-0.63
20171121,160.00,161.00,161.00,160.00,0.32k,-0.62
20171117,161.00,161.00,161.00,161.00,0.04k,-1.89
20171116,164.10,166.00,166.00,164.10,0.21k,-1.14
20171115,166.00,166.00,166.00,166.00,0.05k,2.79
20171109,161.50,161.50,161.50,161.50,0.02k,0.31
20171107,161.00,161.00,161.00,161.00,0.01k,-2.42
20171101,165.00,166.00,166.00,165.00,0.10k,0.00
20171030,165.00,165.00,165.00,165.00,0.14k,3.13
20171027,160.00,160.00,160.00,160.00,0.03k,0.00
20171026,160.00,160.00,160.00,160.00,0.03k,0.00
20171024,160.00,161.00,161.00,160.00,0.10k,0.00
20171017,160.00,160.00,160.00,160.00,0.01k,-1.02
20171011,161.65,161.65,161.65,161.65,7.00k,1.03
20171010,160.00,160.00,160.00,160.00,0.07k,0.63
20171009,159.00,158.00,159.00,158.00,0.19k,0.25
20171005,158.60,158.60,158.60,158.60,0.07k,0.41
20171004,157.95,155.00,157.95,155.00,0.30k,1.25
20171003,156.00,156.00,156.00,156.00,0.39k,0.19
20171002,155.70,157.00,157.00,155.70,0.42k,-0.57
20170929,156.60,159.00,159.00,156.60,0.10k,-1.51
20170928,159.00,159.00,159.00,159.00,0.31k,0.95
20170927,157.50,165.00,165.00,157.50,0.21k,-0.94
20170922,159.00,159.00,159.00,159.00,0.01k,0.63
20170918,158.00,160.00,160.00,158.00,0.59k,1.94
20170911,155.00,163.00,163.00,155.00,0.03k,-4.91
20170908,163.00,163.00,163.00,163.00,0.15k,0.00
20170907,163.00,158.00,163.00,158.00,0.25k,0.00
20170904,163.00,163.00,163.00,163.00,0.01k,2.45
20170830,159.10,159.10,159.10,159.10,0.10k,0.44
20170829,158.40,158.40,158.40,158.40,0.04k,-1.61
20170825,161.00,161.00,161.00,160.40,0.10k,0.37
20170818,160.40,160.40,160.40,160.40,0.10k,0.00
20170817,160.40,158.00,162.00,158.00,0.40k,1.52
20170816,158.00,165.00,165.00,158.00,0.22k,-2.65
20170814,162.30,162.30,162.30,162.30,0.49k,0.19
20170811,162.00,162.60,162.60,162.00,0.35k,0.31
20170810,161.50,161.50,161.50,161.50,0.05k,0.31
20170809,161.00,161.00,161.00,161.00,0.57k,-0.31
20170808,161.50,161.50,161.50,161.50,0.06k,-0.31
20170807,162.00,162.00,162.00,162.00,0.09k,1.25
20170804,160.00,161.50,161.50,160.00,0.21k,-0.93
20170803,161.50,162.70,162.70,161.50,0.20k,0.44
20170802,160.80,161.00,161.00,160.80,0.29k,0.09
20170801,160.65,163.00,163.00,160.65,0.17k,-1.44
20170731,163.00,168.00,168.00,163.00,0.31k,-1.21
20170727,165.00,162.00,165.00,162.00,0.11k,3.13
20170726,160.00,160.00,160.00,160.00,0.03k,0.00
20170725,160.00,156.00,160.00,156.00,0.36k,2.93
20170724,155.45,155.45,155.45,155.45,2.00k,0.29
20170721,155.00,155.00,155.00,155.00,0.64k,0.00
20170720,155.00,155.00,155.00,155.00,0.01k,0.00
20170719,155.00,155.00,155.00,155.00,0.01k,0.00
20170718,155.00,155.00,155.00,155.00,0.05k,2.65
20170717,151.00,155.00,155.00,151.00,0.27k,-5.63
20170713,160.00,160.00,160.00,160.00,0.01k,0.00
20170712,160.00,160.00,160.00,160.00,0.01k,0.00
20170707,160.00,160.00,160.00,160.00,0.21k,6.67
20170706,150.00,153.85,153.85,150.00,0.03k,-1.96
20170704,153.00,154.00,154.00,153.00,0.06k,0.00
20170703,153.00,152.25,153.00,151.75,1.41k,0.66
20170630,152.00,152.00,152.00,152.00,0.01k,2.01
20170629,149.00,149.00,149.00,149.00,0.01k,-0.67
