fecha,ultima,apertura,maximo,minimo,vol,varianza
20160503,334.47,334.47,334.47,334.47,0.10k,9.30
20150807,306.00,306.00,306.00,306.00,0.10k,54.79
20131030,197.69,197.69,197.69,197.69,2.40k,52.01
20120105,130.05,130.10,130.10,130.05,2.82k,44.08
20100204,90.26,90.26,90.26,90.26,0.50k,1.28
20100108,89.13,89.13,89.13,89.13,3.00k,10.48
20090730,80.67,80.67,80.67,80.67,1.20k,-2.64
20090706,82.86,82.86,82.86,82.86,1.20k,31.22
20090114,63.15,63.15,63.15,63.15,0.90k,-8.30
20081230,68.86,68.86,68.86,68.86,0.90k,7.02
20081111,64.34,64.34,64.34,64.34,0.30k,11.50
20081022,57.70,57.49,57.70,57.49,3.00k,0.44
20081015,57.45,57.75,57.75,57.41,1.50k,-16.04
20081006,68.43,68.43,68.43,68.43,1.50k,1.64
20080904,67.32,67.53,67.53,67.32,0.60k,-0.06
20080813,67.36,67.36,67.36,67.36,2.40k,9.52
20080723,61.51,61.68,61.68,61.51,2.40k,-14.08
20080110,71.59,71.54,71.59,71.54,16.53k,0.66
20080109,71.12,71.12,71.12,71.12,0.34k,1.08
20080107,70.36,70.36,70.36,70.36,2.40k,-1.19
20071217,71.21,71.25,71.25,71.21,4.53k,0.60
20071211,70.78,70.82,70.82,70.78,0.25k,2.58
20071114,69.00,69.00,69.00,69.00,0.05k,4.13
20071012,66.26,66.30,66.30,66.26,0.56k,9.18
20070919,60.69,60.69,60.69,60.69,0.38k,2.71
20070815,59.09,59.04,59.09,59.04,2.01k,0.21
20070813,58.96,58.96,58.96,58.96,2.01k,-2.17
20070723,60.27,60.23,60.27,60.23,0.47k,7.16
20070703,56.24,56.20,56.24,56.20,1.42k,0.45
20070702,55.99,55.95,55.99,55.95,0.69k,-1.33
20070625,56.74,56.79,56.79,56.74,2.35k,0.00
20070516,56.74,56.70,56.74,56.70,0.30k,-1.17
20070511,57.42,57.46,57.46,57.42,1.33k,-1.05
20070419,58.03,57.99,58.03,57.99,0.20k,2.21
20070329,56.78,56.74,56.78,56.74,0.37k,3.82
20061206,54.69,54.65,54.69,54.65,0.13k,-4.24
20061121,57.11,57.07,57.11,57.07,2.84k,3.64
20061115,55.11,55.15,55.15,55.11,0.19k,4.11
20060921,52.93,52.97,52.97,52.93,0.35k,0.88
20060712,52.47,52.42,52.47,52.42,0.24k,1.69
20060706,51.59,51.63,51.63,51.59,2.53k,10.24
20060222,46.80,46.80,46.80,46.80,2.25k,1.90
20060214,45.93,45.93,45.93,45.93,2.16k,-2.38
20060201,47.05,47.05,47.05,47.05,0.39k,-1.99
20060126,48.01,48.01,48.01,48.01,3.06k,3.77
20060120,46.26,46.26,46.26,46.26,0.74k,-0.27
20060111,46.39,46.39,46.39,46.39,0.27k,-0.09
20060105,46.43,46.47,46.47,46.43,1.09k,-0.36
20051229,46.60,46.60,46.60,46.60,0.63k,-0.18
20051228,46.68,46.68,46.68,46.68,1.97k,0.18
20051220,46.60,46.60,46.60,46.60,2.15k,3.41
20051129,45.06,45.06,45.06,45.06,0.61k,1.88
20051115,44.23,44.23,44.23,44.23,0.06k,0.95
20051111,43.81,43.81,43.81,43.81,0.86k,3.43
20051107,42.36,42.36,42.36,42.36,0.97k,-2.11
20051102,43.27,43.27,43.27,43.27,1.04k,-1.61
20051031,43.98,43.98,43.98,43.98,0.39k,1.63
20051027,43.27,43.27,43.27,43.27,0.79k,1.16
20051024,42.77,42.73,42.77,42.73,0.41k,0.68
20051019,42.48,42.48,42.48,42.48,0.78k,-0.10
20051017,42.53,42.53,42.53,42.53,3.81k,0.59
20051011,42.28,42.28,42.28,42.28,1.05k,0.39
20051004,42.11,42.11,42.11,42.11,1.34k,1.60
20050930,41.44,41.44,41.44,41.44,1.74k,0.10
20050923,41.40,41.40,41.40,41.40,2.85k,0.30
20050921,41.28,41.28,41.28,41.28,0.06k,-1.58
20050920,41.94,41.94,41.94,41.94,0.70k,-0.49
20050916,42.15,42.19,42.19,42.15,1.64k,-1.26
20050909,42.69,42.69,42.69,42.69,1.21k,0.00
20050906,42.69,42.69,42.69,42.69,1.06k,1.38
20050829,42.11,42.07,42.11,42.07,0.56k,0.30
20050823,41.99,41.99,41.99,41.99,0.96k,1.00
20050819,41.57,41.57,41.57,41.57,1.27k,1.42
20050809,40.99,40.99,40.99,40.99,1.23k,0.41
20050727,40.82,40.82,40.82,40.82,0.94k,1.23
20050725,40.32,40.32,40.32,40.32,1.49k,0.21
20050715,40.24,40.24,40.24,40.24,2.55k,0.21
20050613,40.16,40.16,40.16,40.16,1.95k,0.31
20050526,40.03,40.03,40.03,40.03,21.31k,-2.13
20050520,40.90,40.90,40.90,40.90,2.91k,3.90
20050517,39.37,39.37,39.37,39.37,0.93k,-0.10
20050511,39.41,39.41,39.41,39.41,2.78k,-1.86
20050504,40.16,40.16,40.16,40.16,1.48k,0.83
20050503,39.83,39.83,39.83,39.83,3.34k,-4.00
20050421,41.49,41.49,41.49,41.49,0.67k,-3.38
20050414,42.94,42.94,42.94,42.94,1.08k,2.27
20050404,41.99,41.99,41.99,41.99,1.45k,-0.10
20050328,42.03,42.03,42.03,42.03,2.25k,-0.49
20050317,42.23,42.23,42.23,42.23,1.44k,-1.74
20050223,42.98,43.02,43.02,42.98,4.49k,-2.63
20050222,44.14,44.19,44.19,44.14,4.49k,1.72
20050216,43.40,43.40,43.40,43.40,6.18k,-2.15
20050208,44.35,44.35,44.35,44.35,3.05k,8.21
20041209,40.99,40.99,40.99,40.99,3.03k,6.13
20041109,38.62,38.62,38.62,38.62,5.06k,8.77
20041019,35.51,35.51,35.51,35.51,1.31k,0.12
20041012,35.47,35.51,35.51,35.47,0.76k,-7.68
20040923,38.41,38.41,38.41,38.41,0.76k,-0.54
20040922,38.62,38.58,38.62,38.58,3.03k,-14.44
20040910,45.14,45.14,45.14,45.14,1.07k,4.62
20040809,43.15,43.15,43.15,43.15,5.14k,-9.89
20040701,47.88,47.84,47.88,47.84,17.47k,1.05
20040614,47.38,47.38,47.38,47.38,2.88k,5.16
20040513,45.06,45.06,45.06,45.06,1.35k,-1.90
20040429,45.93,45.93,45.93,45.93,6.34k,4.14
20040316,44.10,44.14,44.14,44.10,3.64k,-1.94
20040217,44.97,45.02,45.02,44.97,4.60k,0.46
20040209,44.77,44.81,44.81,44.77,34.27k,8.89
20040109,41.11,41.20,41.20,41.11,7.48k,-8.16
20031008,44.77,44.77,44.77,44.77,0.06k,3.26
20030724,43.35,43.35,43.35,43.35,0.12k,-4.05
20030708,45.18,45.18,45.18,45.18,5.86k,-4.89
20030617,47.51,47.51,47.51,47.51,3.79k,3.34
20030610,45.97,46.01,46.01,45.97,8.22k,2.69
20030508,44.77,44.73,44.77,44.73,2.26k,-15.05
20021114,52.70,52.95,52.95,52.70,5.99k,-3.65
20021113,54.69,54.69,54.69,54.69,1.53k,-7.38
20021017,59.05,59.10,59.10,59.05,39.15k,1.57
20021016,58.14,58.14,58.14,58.14,1.44k,-4.50
20021007,60.88,60.92,60.92,60.88,7.58k,3.60
20020919,58.76,59.05,59.10,58.76,13.95k,-1.05
20020911,59.38,59.30,59.38,59.30,8.34k,6.00
20020816,56.02,56.06,56.06,56.02,57.62k,10.94
20020724,50.50,50.50,50.50,50.50,9.33k,-10.06
20020702,56.15,56.10,56.15,56.10,4.55k,-3.08
20020701,57.93,57.97,57.97,57.93,29.42k,3.79
20020625,55.81,55.81,55.81,55.81,2.99k,-10.87
20020606,62.62,62.62,62.62,62.62,2.32k,15.11
20020528,54.40,54.40,54.40,54.40,3.08k,10.55
20020416,49.21,49.21,49.21,49.21,1.40k,-2.39
20020415,50.42,50.42,50.42,50.42,51.55k,6.30
20020410,47.42,47.42,47.42,47.42,20.93k,12.51
20020320,42.15,42.15,42.15,42.15,3.72k,6.17
