fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,14.40,14.20,14.55,14.20,5.60k,5.11
20180126,13.70,13.55,13.90,13.55,6.07k,1.48
20180125,13.50,13.55,13.55,13.50,25.64k,1.12
20180124,13.35,13.20,13.40,13.20,11.75k,1.91
20180123,13.10,12.10,13.10,12.10,28.89k,-2.24
20180122,13.40,14.60,14.60,13.40,4.12k,-10.07
20180119,14.90,16.10,16.10,14.90,0.75k,-7.45
20180118,16.10,16.25,16.25,16.10,0.98k,-1.23
20180117,16.30,16.70,16.70,16.30,6.94k,1.87
20180116,16.00,15.50,16.00,15.50,6.33k,6.67
20180115,15.00,15.10,15.10,15.00,3.11k,0.00
20180112,15.00,14.95,15.00,14.90,2.92k,0.00
20180111,15.00,14.85,15.00,14.85,2.05k,1.01
20180110,14.85,14.85,14.85,14.85,0.11k,0.00
20180109,14.85,14.85,14.85,14.85,4.77k,0.00
20180108,14.85,14.85,14.85,14.85,0.80k,-1.00
20180105,15.00,15.05,15.05,15.00,2.40k,-0.66
20180104,15.10,15.20,15.20,15.10,5.50k,-0.33
20180103,15.15,15.15,15.15,15.15,0.86k,-0.33
20180102,15.20,15.20,15.20,15.20,3.20k,0.33
20171229,15.15,15.15,15.15,15.15,0.65k,1.00
20171228,15.00,14.75,15.00,14.75,1.23k,1.69
20171227,14.75,15.00,15.00,14.75,10.31k,-1.34
20171226,14.95,15.30,15.30,14.95,2.70k,-1.97
20171222,15.25,15.00,15.25,15.00,1.30k,2.01
20171221,14.95,15.00,15.00,14.95,2.10k,1.70
20171220,14.70,14.00,14.80,14.00,4.86k,4.26
20171219,14.10,14.10,14.15,14.05,11.24k,0.00
20171218,14.10,14.50,14.50,14.10,1.00k,-2.76
20171215,14.50,14.50,14.50,14.50,0.48k,-0.68
20171214,14.60,14.50,14.60,14.45,2.32k,0.34
20171213,14.55,14.30,14.85,14.15,15.67k,-2.02
20171212,14.85,14.85,14.95,14.80,1.88k,-3.88
20171211,15.45,15.50,15.50,14.90,5.89k,3.00
20171207,15.00,15.45,15.45,15.00,1.13k,-3.23
20171206,15.50,15.90,15.90,15.45,6.36k,-2.52
20171205,15.90,16.00,16.00,15.90,0.82k,3.58
20171204,15.35,15.35,16.05,15.30,5.18k,1.66
20171201,15.10,15.80,15.80,15.10,5.68k,-4.43
20171130,15.80,16.00,16.00,15.80,4.49k,-1.25
20171129,16.00,16.00,16.00,16.00,1.20k,-4.19
20171128,16.70,16.95,16.95,16.70,3.25k,-0.30
20171127,16.75,16.90,17.00,16.55,8.31k,1.52
20171124,16.50,16.60,16.60,16.50,0.90k,-2.08
20171123,16.85,16.20,16.85,16.20,0.70k,-0.30
20171122,16.90,16.95,16.95,16.80,0.99k,-0.29
20171121,16.95,16.95,16.95,16.95,0.35k,0.00
20171117,16.95,17.45,17.45,16.20,3.01k,0.59
20171116,16.85,15.90,16.85,15.60,3.70k,4.01
20171115,16.20,16.20,16.20,16.20,0.22k,-1.82
20171114,16.50,16.90,16.90,16.50,1.15k,0.00
20171113,16.50,16.85,16.85,15.20,7.91k,-2.08
20171110,16.85,17.10,17.20,16.85,8.74k,-6.13
20171109,17.95,17.95,18.00,17.95,7.23k,0.28
20171108,17.90,17.25,17.90,17.20,1.31k,-0.56
20171107,18.00,17.75,18.00,17.75,1.73k,-2.70
20171102,18.50,18.00,18.50,18.00,6.98k,2.78
20171101,18.00,18.00,18.00,18.00,2.14k,1.69
20171031,17.70,17.50,17.70,17.45,2.06k,3.21
20171030,17.15,17.00,17.30,17.00,4.36k,-0.87
20171027,17.30,17.45,17.45,17.30,9.58k,-0.86
20171026,17.45,17.50,17.50,17.30,3.41k,-1.41
20171024,17.70,17.70,17.70,17.70,2.36k,-0.28
20171023,17.75,18.00,18.20,17.60,12.32k,0.85
20171020,17.60,17.15,17.60,17.15,10.50k,2.62
20171019,17.15,17.15,17.15,17.00,9.27k,1.48
20171018,16.90,17.40,17.40,16.70,8.03k,-3.98
20171017,17.60,17.20,17.60,17.20,4.08k,-1.68
20171013,17.90,17.70,17.95,17.70,2.55k,0.85
20171012,17.75,17.00,17.95,17.00,6.50k,3.80
20171011,17.10,18.30,18.50,17.10,14.88k,-4.47
20171010,17.90,17.15,18.50,17.15,16.61k,4.37
20171009,17.15,17.90,18.50,17.05,5.26k,-3.65
20171006,17.80,18.00,18.00,17.50,8.31k,0.56
20171005,17.70,18.30,18.35,17.70,7.69k,-3.54
20171004,18.35,18.80,18.90,17.00,24.30k,-2.39
20171003,18.80,19.00,20.00,18.30,113.33k,3.30
20171002,18.20,15.60,19.00,15.60,49.56k,16.67
20170929,15.60,15.10,16.30,15.10,22.29k,2.30
20170928,15.25,15.25,15.25,15.00,1.17k,0.00
20170927,15.25,15.35,15.75,15.20,8.53k,0.00
20170926,15.25,15.20,15.25,15.00,1.64k,0.33
