fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,11.450,11.600,11.600,11.450,25.09k,-0.43
20180126,11.500,12.000,12.000,11.500,13.45k,-3.36
20180124,11.900,11.900,11.900,11.900,1.39k,0.00
20180123,11.900,11.900,11.900,11.900,6.52k,0.00
20180122,11.900,12.000,12.000,11.900,11.83k,0.42
20180119,11.850,11.800,11.850,11.800,6.27k,0.42
20180118,11.800,11.800,11.800,11.800,8.45k,0.00
20180117,11.800,11.800,11.800,11.800,6.92k,3.06
20180116,11.450,11.450,11.450,11.450,3.03k,1.41
20180104,11.291,11.221,11.291,11.221,16.76k,0.62
20180103,11.221,11.221,11.221,11.221,12.43k,0.00
20180102,11.221,11.221,11.221,11.221,15.40k,0.31
20171229,11.186,11.186,11.186,11.186,5.75k,6.33
20171228,10.520,10.169,10.520,10.169,1.41k,3.45
20171227,10.169,10.274,10.309,10.169,6.07k,-2.02
20171226,10.379,10.169,10.379,10.169,15.10k,-30.34
20171222,14.900,14.500,15.000,14.500,5.80k,2.76
20171221,14.500,14.500,14.500,14.400,5.52k,-1.36
20171220,14.700,14.500,15.150,14.100,21.41k,1.38
20171219,14.500,14.500,14.500,14.500,8.87k,0.00
20171218,14.500,14.700,14.700,14.500,2.57k,0.00
20171215,14.500,14.600,14.600,14.350,4.66k,-0.68
20171214,14.600,15.000,15.000,14.600,1.34k,-3.95
20171213,15.200,15.200,15.200,15.200,2.10k,-0.65
20171212,15.300,15.350,15.350,15.300,1.83k,-1.29
20171211,15.500,15.500,15.500,15.000,2.44k,-1.59
20171207,15.750,15.800,15.800,15.750,0.75k,-0.32
20171206,15.800,15.800,15.800,15.800,1.69k,-3.07
20171204,16.300,16.300,16.300,16.300,3.08k,0.00
20171201,16.300,16.300,16.300,16.300,0.25k,0.31
20171130,16.250,16.250,16.250,16.250,2.50k,-2.69
20171129,16.700,16.700,16.700,16.700,0.15k,0.00
20171128,16.700,16.700,16.700,16.700,1.10k,1.21
20171127,16.500,16.500,16.500,16.500,0.18k,-1.20
20171123,16.700,16.350,16.700,16.350,2.69k,0.30
20171121,16.650,16.650,16.650,15.800,4.22k,0.00
20171117,16.650,17.000,17.000,16.500,7.91k,0.91
20171116,16.500,16.400,16.500,16.400,1.90k,0.61
20171115,16.400,16.700,16.700,16.000,3.51k,-2.09
20171113,16.750,16.750,16.750,16.750,0.60k,-0.59
20171109,16.850,16.500,16.850,16.250,6.23k,0.90
20171108,16.700,17.000,17.000,16.250,6.58k,-1.76
20171107,17.000,17.000,17.000,16.900,14.32k,1.49
20171103,16.751,16.850,16.850,16.354,29.50k,2.74
20171102,16.305,16.206,16.305,16.206,2.13k,0.61
20171101,16.206,16.354,16.354,15.859,3.82k,1.87
20171031,15.908,15.958,15.958,15.908,8.40k,0.00
20171030,15.908,15.958,15.958,15.859,10.85k,0.00
20171027,15.908,15.958,15.958,15.859,7.17k,0.31
20171026,15.859,15.908,15.908,15.859,10.98k,-0.31
20171025,15.908,15.661,15.908,15.661,15.14k,0.31
20171024,15.859,15.760,15.859,15.661,2.58k,0.00
20171023,15.859,15.809,15.958,15.512,57.22k,3.23
20171020,15.363,15.809,15.809,15.363,0.78k,0.00
