fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,41.900,42.000,42.850,40.800,85.73k,-2.90
20180126,43.150,43.250,43.500,42.300,246.67k,0.00
20180125,43.150,41.000,43.450,41.000,238.60k,1.53
20180124,42.500,42.500,43.200,41.100,427.74k,0.24
20180123,42.400,38.500,42.800,37.500,654.90k,9.00
20180122,38.900,37.800,38.950,37.700,200.41k,3.73
20180119,37.500,40.350,40.950,37.000,524.58k,-4.58
20180118,39.300,36.400,39.300,36.350,823.49k,12.29
20180117,35.000,34.500,35.400,33.500,542.98k,0.29
20180116,34.900,36.000,36.000,34.300,161.59k,-2.65
20180115,35.850,35.300,36.400,35.100,142.42k,1.56
20180112,35.300,35.250,36.000,34.250,69.55k,0.86
20180111,35.000,34.500,35.100,33.850,181.61k,0.14
20180110,34.950,36.200,36.200,34.000,167.78k,-3.45
20180109,36.200,36.350,37.700,36.200,413.10k,-0.69
20180108,36.450,36.050,36.500,35.500,178.33k,1.25
20180105,36.000,36.100,36.150,35.500,111.29k,0.00
20180104,36.000,36.350,36.350,35.000,166.55k,0.14
20180103,35.950,36.000,36.400,35.000,137.73k,-0.83
20180102,36.250,35.950,36.500,35.650,167.48k,3.87
20171229,34.900,36.000,36.500,34.100,261.95k,-1.83
20171228,35.550,35.050,36.400,34.000,275.39k,2.01
20171227,34.850,32.950,35.000,32.900,287.64k,6.74
20171226,32.650,31.750,32.850,31.750,51.06k,3.16
20171222,31.650,31.500,31.900,31.300,86.76k,0.48
20171221,31.500,31.050,32.100,31.000,56.69k,0.00
20171220,31.500,32.000,32.000,31.150,30.23k,-1.25
20171219,31.900,31.250,32.300,30.600,54.91k,1.92
20171218,31.300,31.950,31.950,31.000,34.27k,-1.26
20171215,31.700,31.800,32.000,30.800,139.64k,0.96
20171214,31.400,32.750,32.750,31.000,107.33k,-0.95
20171213,31.700,33.000,33.000,31.500,123.41k,-3.65
20171212,32.900,33.050,33.300,31.250,79.10k,0.00
20171211,32.900,32.500,33.000,31.700,88.66k,1.86
20171207,32.300,31.950,32.400,31.750,100.43k,2.22
20171206,31.600,31.000,31.600,29.750,51.40k,1.28
20171205,31.200,31.600,31.900,31.050,70.78k,-2.50
20171204,32.000,32.300,32.800,31.900,77.54k,0.00
20171201,32.000,32.600,32.900,31.700,132.58k,-1.39
20171130,32.450,32.400,32.500,31.800,189.04k,0.46
20171129,32.300,32.100,32.900,31.850,121.93k,-0.62
20171128,32.500,32.300,33.000,32.000,180.78k,0.31
20171127,32.400,33.000,33.450,32.300,45.80k,-0.31
20171124,32.500,32.600,33.400,32.300,49.29k,-0.61
20171123,32.700,33.600,33.600,32.000,57.28k,-2.10
20171122,33.400,34.000,34.000,32.750,160.28k,-1.47
20171121,33.900,33.000,34.000,33.000,31.57k,0.00
20171117,33.900,34.000,35.500,33.000,62.83k,0.00
20171116,33.900,33.500,34.400,33.400,98.21k,3.04
20171115,32.900,32.450,33.750,29.700,128.62k,3.62
20171114,31.750,34.150,35.000,31.250,210.78k,-7.84
20171113,34.450,35.600,36.500,33.350,36.80k,-2.55
20171110,35.350,37.500,37.500,34.500,77.97k,-4.97
20171109,37.200,37.400,37.400,36.800,46.89k,-0.13
20171108,37.250,37.350,37.350,36.750,39.56k,-0.27
20171107,37.350,37.300,37.800,36.700,46.42k,0.67
20171103,37.100,37.750,37.800,36.400,87.38k,0.13
20171102,37.050,37.500,37.850,36.000,202.70k,1.37
20171101,36.550,34.950,36.900,34.850,277.79k,5.48
20171031,34.650,34.100,34.650,33.800,77.38k,2.82
20171030,33.700,33.550,33.900,33.050,26.41k,0.45
20171027,33.550,34.950,35.000,33.500,91.09k,-2.61
20171026,34.450,34.100,35.200,33.400,196.42k,1.17
20171025,34.050,35.000,35.000,33.350,128.05k,-2.71
20171024,35.000,36.000,36.000,34.500,108.81k,-1.69
20171023,35.600,36.300,37.050,34.400,69.57k,0.85
20171020,35.300,35.500,35.700,34.350,68.02k,-0.28
20171019,35.400,34.000,35.500,34.000,78.85k,1.58
20171018,34.850,34.750,35.250,34.000,85.75k,0.72
20171017,34.600,36.000,36.000,34.000,167.61k,-3.89
20171013,36.000,37.000,37.000,35.800,27.19k,-1.64
20171012,36.600,36.800,37.150,35.200,82.57k,0.14
20171011,36.550,39.000,39.000,36.300,215.62k,-5.56
20171010,38.700,37.550,39.000,37.550,332.67k,4.59
20171009,37.000,37.400,37.400,36.200,78.66k,-0.54
20171006,37.200,37.500,37.800,36.500,89.57k,-0.80
20171005,37.500,36.700,37.750,36.700,213.53k,2.18
20171004,36.700,36.500,37.450,35.100,217.32k,2.23
20171003,35.900,35.200,35.900,34.550,156.28k,2.28
20171002,35.100,34.700,35.400,33.850,145.75k,1.30
20170929,34.650,33.500,34.800,33.000,125.95k,3.43
20170928,33.500,33.500,33.800,32.900,76.48k,0.90
20170927,33.200,32.600,33.200,32.150,54.32k,1.07
20170926,32.850,33.700,33.800,32.450,91.85k,-1.94
20170925,33.500,34.500,34.600,33.100,67.57k,-2.47
20170922,34.350,35.000,35.300,33.550,103.52k,-0.72
20170921,34.600,34.200,35.250,34.200,200.98k,1.76
20170920,34.000,33.350,34.200,32.700,175.32k,1.95
20170919,33.350,33.650,34.000,32.650,123.32k,0.15
20170918,33.300,32.850,33.600,32.800,69.11k,1.52
20170915,32.800,32.700,33.700,31.700,205.74k,0.46
20170914,32.650,32.750,33.850,31.550,223.18k,0.31
20170913,32.550,33.500,34.650,32.500,113.04k,-2.84
20170912,33.500,35.000,35.350,33.500,32.49k,-2.90
20170911,34.500,35.200,35.400,34.200,48.76k,-0.58
20170908,34.700,36.250,36.250,34.500,51.46k,-3.61
20170907,36.000,36.050,37.000,35.600,100.05k,0.28
20170906,35.900,34.250,35.900,33.900,114.29k,6.37
20170905,33.750,35.000,35.250,33.500,57.58k,-1.46
20170904,34.250,35.000,35.000,34.000,64.26k,-1.86
20170901,34.900,36.000,36.000,34.750,20.24k,-1.69
20170831,35.500,35.550,36.400,35.300,16.37k,0.00
20170830,35.500,37.000,37.000,35.200,44.09k,-1.39
20170829,36.000,35.500,36.000,35.000,79.80k,-2.17
20170828,36.800,37.050,37.500,36.800,61.54k,-2.90
20170825,37.900,37.050,38.200,35.200,235.99k,3.27
20170824,36.700,37.850,37.850,36.000,100.51k,-2.91
20170823,37.800,36.800,38.850,36.800,216.85k,3.70
20170822,36.450,34.400,36.700,34.400,300.85k,6.73
20170818,34.150,33.900,34.400,33.100,107.19k,0.74
20170817,33.900,33.100,34.850,33.100,64.40k,1.80
20170816,33.300,33.500,35.000,32.650,118.77k,-0.45
20170815,33.450,35.000,35.400,32.600,69.41k,-3.32
20170814,34.600,34.500,36.000,33.400,104.02k,5.17
20170811,32.900,33.200,33.500,32.700,7.70k,-0.30
20170810,33.000,32.250,33.500,32.000,6.30k,1.54
20170809,32.500,32.200,32.500,31.950,4.73k,-0.61
20170808,32.700,32.100,32.900,31.000,32.13k,1.71
20170807,32.150,33.300,34.000,31.200,13.67k,-4.03
20170804,33.500,34.800,34.800,33.500,28.04k,-3.74
20170803,34.800,35.450,35.450,34.500,3.50k,0.58
20170802,34.600,35.000,35.000,34.600,10.54k,0.44
20170801,34.450,34.000,34.950,34.000,15.82k,2.07
20170731,33.750,33.000,34.000,32.000,18.00k,3.53
20170728,32.600,33.000,33.500,31.950,7.78k,-1.21
20170727,33.000,33.300,33.750,32.400,20.80k,0.00
20170726,33.000,33.200,33.500,32.100,25.00k,-2.94
20170725,34.000,35.350,35.350,33.000,9.40k,-2.86
20170724,35.000,37.700,37.700,35.000,12.20k,-2.78
20170721,36.000,37.300,37.300,36.000,34.32k,-2.70
20170720,37.000,38.500,38.500,36.900,37.84k,0.00
