fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,66.500,67.500,67.500,64.100,147.65k,1.06
20180126,65.800,67.500,67.500,65.000,56.49k,-0.75
20180125,66.300,66.900,68.000,65.900,150.55k,-1.04
20180124,67.000,65.900,67.000,63.000,72.08k,1.98
20180123,65.700,65.450,66.000,64.400,55.51k,0.31
20180122,65.500,68.000,68.000,64.150,82.94k,-1.95
20180119,66.800,68.000,69.000,65.250,136.60k,-1.40
20180118,67.750,66.950,67.750,65.100,193.17k,3.99
20180117,65.150,65.700,66.000,64.000,106.34k,-0.84
20180116,65.700,64.900,65.950,62.500,94.76k,1.62
20180115,64.650,64.000,65.700,64.000,173.48k,1.57
20180112,63.650,62.000,63.700,62.000,186.82k,3.92
20180111,61.250,57.600,62.000,57.000,131.36k,6.34
20180110,57.600,58.100,58.100,57.100,60.68k,-0.69
20180109,58.000,59.500,60.000,57.700,58.54k,-1.86
20180108,59.100,61.100,61.100,59.050,116.84k,-2.80
20180105,60.800,61.950,62.200,60.600,114.75k,-1.14
20180104,61.500,60.500,61.800,60.000,173.60k,0.65
20180103,61.100,60.000,61.100,58.000,206.60k,2.09
20180102,59.850,57.700,60.000,57.250,168.51k,4.63
20171229,57.200,57.000,57.500,56.500,53.01k,2.23
20171228,55.950,54.900,57.150,54.900,92.62k,1.91
20171227,54.900,57.500,58.000,54.700,117.03k,-2.83
20171226,56.500,55.950,56.650,54.950,70.35k,2.73
20171222,55.000,53.500,55.000,53.500,138.08k,2.80
20171221,53.500,53.450,53.950,53.000,136.91k,0.56
20171220,53.200,50.000,53.200,49.950,169.17k,6.08
20171219,50.150,50.000,51.250,50.000,81.49k,-0.30
20171218,50.300,50.000,50.950,49.000,69.09k,0.70
20171215,49.950,50.500,51.850,49.000,86.83k,-2.06
20171214,51.000,50.000,51.850,49.250,64.12k,0.00
20171213,51.000,53.650,54.050,50.700,74.65k,-4.76
20171212,53.550,52.800,54.600,52.000,133.56k,1.42
20171211,52.800,51.000,53.000,51.000,79.24k,3.73
20171207,50.900,51.150,53.000,50.500,88.38k,-0.49
20171206,51.150,50.000,51.250,49.500,71.87k,0.79
20171205,50.750,52.200,53.500,50.400,59.15k,-2.31
20171204,51.950,52.500,52.500,51.400,91.14k,-1.05
20171201,52.500,52.800,53.500,52.000,33.31k,-2.42
20171130,53.800,53.000,54.000,50.800,59.20k,1.51
20171129,53.000,54.200,54.400,52.200,36.91k,-2.21
20171128,54.200,54.000,54.200,52.150,52.28k,-0.73
20171127,54.600,55.000,55.100,53.500,54.82k,-0.91
20171124,55.100,55.000,55.100,53.700,75.97k,1.10
20171123,54.500,54.850,55.950,54.000,44.42k,-0.64
20171122,54.850,54.500,55.000,54.200,368.49k,1.20
20171121,54.200,52.600,54.300,52.600,82.70k,3.24
20171117,52.500,53.000,54.450,52.000,53.45k,-0.94
20171116,53.000,52.900,53.150,52.000,305.99k,1.92
20171115,52.000,50.000,52.750,48.900,118.18k,2.77
20171114,50.600,53.000,53.000,49.300,121.81k,-2.32
20171113,51.800,51.600,52.300,49.500,84.68k,-0.29
20171110,51.950,53.000,53.500,51.650,72.87k,-3.80
20171109,54.000,55.000,55.000,52.550,101.52k,-1.82
20171108,55.000,55.900,56.500,54.000,60.61k,-0.54
20171107,55.300,56.800,56.950,55.300,91.35k,-1.25
20171103,56.000,55.350,57.000,54.650,298.83k,1.08
20171102,55.400,53.000,55.500,52.400,196.95k,5.73
20171101,52.400,51.800,53.000,50.800,117.59k,2.85
20171031,50.950,50.400,51.250,49.000,135.08k,0.69
20171030,50.600,50.200,51.500,50.200,141.35k,1.20
20171027,50.000,51.150,52.650,50.000,117.22k,-1.57
20171026,50.800,48.500,53.300,48.500,372.76k,4.74
20171025,48.500,48.000,48.500,46.200,81.62k,1.15
