fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,42.10,42.90,42.90,41.50,331.24k,-1.86
20180126,42.90,41.50,42.95,41.10,908.67k,3.37
20180125,41.50,39.80,41.65,39.60,562.77k,4.27
20180124,39.80,40.10,40.60,39.50,337.43k,-0.38
20180123,39.95,39.10,40.00,39.10,188.36k,2.17
20180122,39.10,39.05,39.50,38.50,554.81k,-0.13
20180119,39.15,39.90,39.90,38.65,330.86k,-1.39
20180118,39.70,40.65,40.70,38.75,570.45k,-0.75
20180117,40.00,40.25,40.25,39.00,688.36k,0.00
20180116,40.00,39.55,40.30,38.30,676.81k,0.63
20180115,39.75,40.00,40.00,38.25,919.53k,0.76
20180112,39.45,39.00,39.75,38.50,1.13,0.64
20180111,39.20,40.25,40.75,38.70,1.08,-3.80
20180110,40.75,41.50,41.50,39.90,305.65k,-2.04
20180109,41.60,42.30,42.40,41.50,379.54k,-1.65
20180108,42.30,42.30,42.65,40.10,591.66k,0.00
20180105,42.30,42.55,42.80,41.70,490.32k,-0.59
20180104,42.55,41.65,43.00,41.00,766.90k,2.28
20180103,41.60,41.25,41.80,40.50,411.01k,0.73
20180102,41.30,40.70,41.30,39.80,451.13k,1.35
20171229,40.75,41.20,41.20,40.25,273.64k,-1.69
20171228,41.45,39.00,41.60,38.85,1.04,6.28
20171227,39.00,38.65,39.10,38.00,395.51k,0.78
20171226,38.70,38.50,39.30,38.00,306.41k,0.52
20171222,38.50,38.50,38.95,38.00,242.67k,0.65
20171221,38.25,36.95,38.30,36.40,435.52k,4.22
20171220,36.70,37.00,37.20,36.00,318.29k,0.55
20171219,36.50,35.50,36.60,35.25,468.45k,2.82
20171218,35.50,35.20,36.10,35.00,318.28k,1.87
20171215,34.85,35.00,35.70,34.50,465.29k,0.58
20171214,34.65,34.80,35.40,34.30,429.79k,-1.28
20171213,35.10,35.85,36.20,35.00,323.65k,-2.09
20171212,35.85,36.00,36.60,35.20,236.97k,-1.65
20171211,36.45,35.85,36.60,35.85,262.99k,1.82
20171207,35.80,35.10,36.00,35.10,210.29k,2.29
20171206,35.00,35.80,35.85,34.70,231.43k,-2.37
20171205,35.85,36.65,37.45,35.50,349.88k,-2.98
20171204,36.95,37.50,38.20,36.50,317.02k,-1.99
20171201,37.70,37.35,37.95,36.90,223.94k,2.45
20171130,36.80,36.35,37.00,36.10,175.05k,-0.27
20171129,36.90,36.80,37.35,36.50,228.75k,0.00
20171128,36.90,37.00,37.40,36.50,384.05k,-1.34
20171127,37.40,37.60,38.00,36.85,218.33k,-0.27
20171124,37.50,37.85,38.10,37.20,233.17k,1.08
20171123,37.10,37.10,37.45,36.55,128.98k,0.68
20171122,36.85,36.50,37.00,36.30,366.39k,1.80
20171121,36.20,37.20,37.20,36.20,236.59k,-3.98
20171117,37.70,39.00,39.00,37.00,183.53k,-1.05
20171116,38.10,36.00,38.20,35.90,334.85k,4.67
20171115,36.40,35.90,37.00,34.80,419.37k,1.11
20171114,36.00,37.80,37.80,35.00,607.89k,-3.49
20171113,37.30,37.50,37.50,36.25,350.03k,-0.53
20171110,37.50,39.60,39.60,37.00,581.88k,-4.36
20171109,39.21,40.19,40.19,38.09,559.95k,-1.01
20171108,39.61,40.88,40.88,39.61,375.06k,-3.11
20171107,40.88,40.00,41.13,39.80,996.11k,0.81
20171103,40.55,40.05,40.75,39.90,978.92k,1.37
20171102,40.00,39.40,40.25,39.20,932.79k,1.91
