fecha,ultima,apertura,maximo,minimo,vol,varianza
20180126,11.100,11.100,11.100,11.100,5.79k,0.91
20180125,11.000,11.000,11.000,11.000,5.22k,0.00
20180124,11.000,11.000,11.000,11.000,1.82k,3.77
20180123,10.600,10.600,10.600,10.600,1.07k,0.47
20180122,10.550,10.550,10.550,10.550,4.50k,0.48
20180118,10.500,11.050,11.050,10.500,1.42k,-11.02
20180116,11.800,11.800,11.800,11.800,1.07k,0.00
20180111,11.800,11.800,11.800,11.800,0.20k,-1.67
20180109,12.000,12.000,12.000,12.000,0.40k,1.69
20180104,11.800,12.350,12.350,11.800,1.42k,-1.67
20180103,12.000,11.000,12.000,11.000,1.51k,20.00
20180102,10.000,10.000,10.000,10.000,3.00k,-0.99
20171228,10.100,10.100,10.100,10.100,0.01k,1.00
20171227,10.000,10.500,10.500,10.000,0.52k,-2.44
20171226,10.250,10.250,10.250,10.250,0.30k,4.59
20171215,9.800,10.100,10.100,9.800,1.81k,-2.49
20171212,10.050,10.400,10.400,10.050,1.50k,-0.50
20171211,10.100,9.900,10.150,9.900,22.18k,0.50
20171207,10.050,10.350,10.400,10.050,1.90k,-6.94
20171204,10.800,10.500,10.800,10.200,3.49k,-3.14
20171130,11.150,11.150,11.150,10.800,0.56k,-5.51
20171129,11.800,12.000,12.000,11.600,1.66k,-4.07
20171128,12.300,12.500,12.500,12.300,0.75k,-0.81
20171127,12.400,12.400,12.400,12.400,0.22k,0.00
20171124,12.400,12.400,12.400,12.400,2.00k,0.00
20171123,12.400,12.500,12.500,12.400,0.18k,-0.80
20171121,12.500,12.500,12.500,12.500,0.26k,0.00
20171117,12.500,12.500,12.500,12.500,0.70k,0.00
20171116,12.500,12.500,12.500,12.500,0.52k,0.00
20171115,12.500,13.400,13.400,12.500,3.06k,-3.85
20171114,13.000,14.000,14.000,12.500,3.32k,-3.70
20171113,13.500,12.500,13.500,12.250,13.25k,10.66
20171110,12.200,12.000,12.200,12.000,0.53k,2.52
20171109,11.900,11.350,11.900,11.350,3.55k,0.00
20171107,11.900,11.500,11.900,11.500,0.67k,8.18
20171103,11.000,11.700,11.700,11.000,1.60k,-5.98
20171102,11.700,11.300,11.700,11.300,1.62k,5.41
20171101,11.100,11.100,11.100,11.100,0.30k,0.91
20171030,11.000,11.000,11.000,11.000,1.19k,1.85
20171027,10.800,10.800,10.800,10.800,0.40k,0.00
20171026,10.800,10.800,10.800,10.800,0.28k,0.00
20171025,10.800,10.750,10.800,10.750,0.59k,0.00
20171024,10.800,11.000,11.000,10.800,3.23k,-0.46
20171023,10.850,10.850,10.850,10.850,0.31k,0.00
20171020,10.850,10.600,10.850,10.600,0.50k,5.85
20171013,10.250,10.500,10.500,10.100,1.92k,-6.82
20171012,11.000,11.550,11.550,11.000,2.63k,0.00
20171011,11.000,10.500,11.400,10.500,6.23k,4.76
20171010,10.500,9.950,10.500,9.950,0.90k,6.60
20171009,9.850,9.620,9.850,9.620,1.80k,0.51
20171006,9.800,9.800,9.800,9.800,1.00k,0.51
20171005,9.750,9.900,10.100,9.750,1.01k,0.00
20171002,9.750,9.900,9.950,9.750,1.31k,0.52
20170929,9.700,9.600,9.800,9.600,3.60k,-2.02
20170928,9.900,9.750,9.900,9.750,1.90k,2.27
20170927,9.680,9.680,9.680,9.680,0.20k,-0.21
20170926,9.700,9.700,9.700,9.700,1.50k,-0.51
20170922,9.750,9.640,9.750,9.640,4.87k,1.04
20170921,9.650,9.550,9.650,9.530,3.92k,2.12
20170920,9.450,9.290,9.650,9.290,3.21k,-2.07
20170919,9.650,10.000,10.000,9.350,2.46k,-1.03
20170918,9.750,9.750,9.750,9.750,1.80k,-2.50
20170914,10.000,10.050,10.050,10.000,0.45k,2.04
20170913,9.800,9.800,9.800,9.800,0.11k,1.55
20170911,9.650,9.650,9.650,9.650,0.07k,-1.03
20170908,9.750,9.300,9.750,9.300,2.44k,8.33
20170907,9.000,8.750,9.400,8.750,9.46k,0.00
20170906,9.000,9.000,9.000,9.000,0.05k,4.65
20170904,8.600,8.600,8.600,8.600,0.50k,-3.91
20170901,8.950,8.800,8.950,8.500,5.38k,-1.65
20170831,9.100,9.500,9.500,9.100,0.38k,-4.21
20170825,9.500,9.500,9.500,9.500,0.10k,0.00
20170824,9.500,10.000,10.000,9.500,2.05k,-1.04
20170823,9.600,9.600,9.600,9.600,0.90k,0.52
20170822,9.550,9.550,9.550,9.550,2.60k,0.53
20170818,9.500,9.500,9.500,9.500,1.40k,-13.24
20170817,10.950,10.950,10.950,10.950,0.15k,1.86
20170815,10.750,10.750,10.750,10.750,0.15k,3.37
20170814,10.400,10.000,10.400,10.000,0.34k,15.56
20170810,9.000,9.000,9.000,9.000,0.10k,0.00
20170804,9.000,9.300,9.300,9.000,2.21k,-5.26
20170803,9.500,9.250,9.500,9.250,4.70k,0.00
20170802,9.500,9.300,9.500,9.300,2.31k,0.00
20170731,9.500,9.500,9.500,9.500,1.50k,-4.52
20170728,9.950,9.950,9.950,9.950,0.90k,-4.78
20170726,10.450,10.000,10.450,10.000,1.25k,-5.00
20170627,11.000,11.000,11.000,11.000,0.90k,-4.35
20170626,11.500,11.000,11.500,11.000,3.29k,-4.17
20170616,12.000,12.000,12.000,12.000,5.10k,9.09
20170615,11.000,11.000,11.000,11.000,0.10k,0.00
20170614,11.000,11.000,11.000,11.000,1.00k,0.00
20170613,11.000,11.000,11.000,11.000,4.00k,-2.65
20170531,11.300,11.300,11.300,11.300,0.18k,0.00
20170526,11.300,11.300,11.300,11.300,0.12k,-0.88
20170512,11.400,11.400,11.400,11.400,1.41k,0.00
20170509,11.400,11.400,11.400,11.400,0.44k,-0.87
20170504,11.500,11.500,11.500,11.500,0.35k,1.77
20170503,11.300,11.300,11.300,11.300,0.12k,-2.59
20170428,11.600,11.600,11.600,11.600,0.10k,2.20
20170427,11.350,11.250,11.400,11.250,1.70k,3.18
20170426,11.000,12.000,12.000,11.000,1.32k,-14.40
20170411,12.850,12.850,12.850,12.850,0.16k,1.18
20170410,12.700,12.750,12.900,12.700,4.80k,2.42
20170407,12.400,12.400,12.400,12.400,0.12k,0.81
20170406,12.300,11.900,12.450,11.900,4.99k,3.36
20170323,11.900,12.100,12.100,11.900,1.39k,0.00
20170322,11.900,12.000,12.000,11.900,2.88k,-0.83
20170321,12.000,12.000,12.000,12.000,2.00k,-3.23
20170315,12.400,12.400,12.400,12.400,3.00k,-0.40
20170314,12.450,12.500,12.500,12.450,6.33k,-0.40
20170309,12.500,12.500,12.500,12.500,0.20k,0.00
20170308,12.500,12.500,12.500,12.500,3.63k,0.00
20170303,12.500,12.500,12.500,12.500,2.50k,0.00
20170302,12.500,12.000,12.500,12.000,2.16k,0.00
20170223,12.500,12.700,12.700,12.500,3.00k,0.00
20170221,12.500,12.500,12.500,12.500,1.66k,0.00
20170220,12.500,12.500,12.500,12.500,3.20k,0.00
20170217,12.500,12.500,12.500,12.500,1.60k,1.63
20170213,12.300,12.300,12.300,12.300,0.30k,-1.60
20170210,12.500,12.500,12.500,12.500,0.64k,0.81
20170208,12.400,12.000,12.400,12.000,1.10k,0.00
20170206,12.400,12.400,12.400,12.400,0.71k,0.00
20170203,12.400,12.400,12.400,12.400,0.26k,0.00
20170202,12.400,12.500,12.500,12.400,1.93k,-0.80
20170201,12.500,12.500,12.500,12.500,3.30k,-0.79
20170131,12.600,12.400,12.600,12.400,2.01k,0.80
20170130,12.500,12.500,12.500,12.500,2.00k,0.00
20170127,12.500,12.500,12.500,12.500,1.85k,0.00
20170126,12.500,12.500,12.500,12.500,1.15k,2.88
20170125,12.150,12.000,12.150,12.000,1.20k,-2.80
20170124,12.500,10.900,12.500,10.900,0.15k,4.17
20170120,12.000,12.000,12.000,12.000,0.25k,0.00
20170119,12.000,11.700,12.000,11.700,2.00k,-2.04
20170118,12.250,11.700,12.250,11.700,3.03k,2.08
20170117,12.000,12.000,12.000,12.000,0.50k,-5.88
20170116,12.750,12.500,12.750,12.500,3.91k,3.24
20170112,12.350,12.250,12.350,12.000,3.09k,-1.98
20170110,12.600,12.600,12.600,12.600,0.17k,0.80
