fecha,ultima,apertura,maximo,minimo,vol,varianza
20180103,266.70,266.70,266.70,266.70,340.00k,2.97
20171222,259.00,259.00,259.00,259.00,1.00k,-3.18
20170621,267.50,267.50,267.50,267.50,1.00k,1.52
20170612,263.50,263.50,263.50,263.50,0.50k,4.94
20170522,251.10,251.10,251.10,251.10,8.50k,3.12
20170328,243.50,243.50,243.50,243.50,0.75k,1.33
20170313,240.30,240.30,240.30,240.30,1.90k,5.67
20170202,227.40,227.40,227.40,227.40,6.50k,-1.60
20170124,231.10,231.10,231.10,231.10,8.50k,1.58
20161221,227.50,227.50,227.50,227.50,1.00k,2.80
20161214,221.30,221.30,221.30,221.30,1.00k,8.80
20161110,203.40,203.40,203.40,203.40,7.50k,4.68
20161004,194.30,194.30,194.30,194.30,3.00k,-3.81
20160920,202.00,202.00,202.00,202.00,1.50k,-0.98
20160817,204.00,204.00,204.00,204.00,2.24k,-2.72
20160726,209.70,209.70,209.70,209.70,4.75k,0.41
20160719,208.85,208.85,208.85,208.85,16.00k,10.97
20160706,188.20,188.20,188.20,188.20,7.50k,3.12
20160616,182.50,182.50,182.50,182.50,1.75k,-1.03
20160512,184.40,184.40,184.40,184.40,7.45k,-5.37
20160426,194.86,194.86,194.86,194.86,5.65k,0.06
20160303,194.75,194.75,194.75,194.75,2.69k,-1.89
20160302,198.50,198.50,198.50,198.50,6.40k,1.79
20160301,195.00,195.00,195.00,195.00,0.10k,5.61
20160224,184.65,184.65,184.65,184.65,13.25k,-0.19
20160223,185.00,185.00,185.00,185.00,6.00k,0.65
20160219,183.80,183.80,183.80,183.80,7.75k,-1.58
20160217,186.75,186.75,186.75,186.75,28.50k,9.85
20160212,170.00,170.00,170.00,170.00,0.13k,-0.48
20160204,170.82,170.82,170.82,170.82,25.00k,2.78
20160203,166.20,166.20,166.20,166.20,12.50k,4.79
20160202,158.60,158.60,158.60,158.60,22.50k,3.77
20160201,152.84,152.84,152.84,152.84,15.00k,0.46
20160126,152.14,152.49,152.49,152.14,23.50k,9.30
20150908,139.19,139.19,139.19,139.19,0.13k,-1.31
20150513,141.04,141.04,141.04,141.04,1.00k,-16.67
20150416,169.25,169.25,169.25,169.25,0.77k,0.00
20150414,169.25,169.25,169.25,169.25,0.26k,-3.48
20150401,175.35,175.35,175.35,175.35,9.00k,1.48
20150327,172.80,172.80,172.80,172.80,0.05k,-8.53
20150107,188.91,188.91,188.91,188.91,0.05k,0.72
20141008,187.55,187.55,187.55,187.55,22.03k,41.63
