fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,56.50,57.90,57.90,55.00,6.04k,-0.88
20180126,57.00,57.55,58.90,55.30,15.81k,-0.96
20180125,57.55,58.55,58.90,57.00,14.81k,-1.62
20180124,58.50,56.60,58.50,55.95,31.61k,3.54
20180123,56.50,54.00,57.00,53.80,42.64k,5.61
20180122,53.50,56.50,56.50,52.70,30.87k,-5.31
20180119,56.50,58.85,59.00,54.00,28.39k,-3.99
20180118,58.85,56.15,58.85,55.00,46.57k,3.25
20180117,57.00,52.50,58.00,52.50,84.11k,9.09
20180116,52.25,49.00,52.50,48.50,30.21k,6.63
20180115,49.00,49.20,51.00,48.80,52.30k,1.03
20180112,48.50,47.20,48.50,46.80,17.99k,4.08
20180111,46.60,46.00,47.50,46.00,13.99k,1.30
20180110,46.00,46.50,46.50,45.50,20.46k,-1.29
20180109,46.60,48.00,48.50,46.60,10.67k,-1.38
20180108,47.25,46.00,48.50,45.50,9.11k,0.53
20180105,47.00,47.00,48.10,46.40,16.69k,1.08
20180104,46.50,47.50,49.00,46.30,31.50k,-1.59
20180103,47.25,46.20,47.25,44.90,23.24k,2.27
20180102,46.20,46.50,47.00,45.50,7.82k,0.43
20171229,46.00,46.00,46.00,45.25,3.04k,0.00
20171228,46.00,45.50,47.00,45.30,11.34k,1.32
20171227,45.40,45.50,45.80,44.60,7.01k,-0.22
20171226,45.50,47.00,47.80,45.50,4.65k,-3.19
20171222,47.00,48.00,48.00,46.00,5.88k,1.95
20171221,46.10,46.45,46.45,44.00,4.81k,0.22
20171220,46.00,46.50,46.50,45.95,4.47k,0.00
20171219,46.00,45.35,46.50,45.05,9.76k,1.55
20171218,45.30,45.30,45.50,45.15,8.06k,-0.22
20171215,45.40,45.50,45.50,45.00,1.61k,-0.22
20171214,45.50,48.00,48.00,44.50,4.43k,-1.09
20171213,46.00,47.00,47.00,44.75,17.30k,-1.81
20171212,46.85,47.00,47.00,46.50,3.90k,-0.32
20171211,47.00,46.60,47.00,46.60,5.24k,1.08
20171207,46.50,46.60,46.60,46.00,27.49k,1.09
20171206,46.00,46.00,46.00,45.50,17.14k,-4.17
20171205,48.00,48.00,48.00,46.50,13.98k,0.00
20171204,48.00,48.00,48.50,47.30,11.46k,0.52
20171201,47.75,47.00,47.75,47.00,6.84k,-0.10
20171130,47.80,48.50,49.50,47.20,4.76k,-0.42
20171129,48.00,48.50,49.50,48.00,5.93k,-1.13
20171128,48.55,48.50,48.60,47.00,21.05k,-0.41
20171127,48.75,49.90,49.90,47.00,25.53k,-1.12
20171124,49.30,48.25,49.50,48.25,25.23k,1.65
20171123,48.50,48.35,48.85,48.15,40.12k,0.31
20171122,48.35,48.00,48.50,48.00,21.78k,-0.31
20171121,48.50,48.00,48.50,47.00,6.02k,0.00
20171117,48.50,48.50,48.50,47.50,11.78k,0.00
20171116,48.50,48.00,48.90,48.00,19.27k,2.86
20171115,47.15,45.40,47.95,44.00,15.34k,2.06
20171114,46.20,48.50,48.55,45.15,19.77k,-4.74
20171113,48.50,52.00,52.00,48.40,11.26k,-3.58
20171110,50.30,52.50,52.50,50.10,24.71k,-4.91
20171109,52.90,53.35,53.90,52.90,38.98k,1.05
20171108,52.35,50.05,52.50,50.00,93.96k,7.72
20171107,48.60,47.50,48.60,46.05,34.73k,5.54
20171103,46.05,45.50,46.90,45.45,68.14k,2.79
20171102,44.80,44.00,44.80,44.00,11.56k,0.67
20171101,44.50,45.00,45.50,43.00,7.32k,0.45
20171031,44.30,43.90,44.30,43.00,4.59k,0.91
20171030,43.90,43.00,43.90,41.00,16.94k,-0.23
20171027,44.00,45.50,45.95,44.00,9.36k,-2.87
20171026,45.30,45.30,45.75,45.30,14.44k,-0.22
20171025,45.40,46.00,46.00,45.05,12.47k,-0.66
20171024,45.70,47.00,47.00,45.55,32.44k,0.55
20171023,45.45,45.10,46.85,45.10,26.34k,1.00
20171020,45.00,45.20,46.45,45.00,53.79k,0.11
20171019,44.95,42.00,45.00,42.00,69.89k,5.76
20171018,42.50,41.00,42.50,41.00,54.33k,3.66
20171017,41.00,41.80,41.80,40.50,9.06k,-1.91
20171013,41.80,41.50,42.50,41.00,45.79k,3.21
20171012,40.50,41.60,41.60,40.00,9.66k,1.76
20171011,39.80,39.75,42.55,39.50,56.61k,0.76
20171010,39.50,37.55,39.70,37.55,39.60k,5.61
20171009,37.40,37.50,37.70,36.35,13.56k,-0.13
20171006,37.45,38.00,38.00,37.30,5.68k,-1.19
20171005,37.90,39.00,39.00,37.70,9.98k,-0.26
20171004,38.00,38.00,39.20,37.80,18.28k,0.00
20171003,38.00,39.20,39.20,37.75,11.57k,0.80
20171002,37.70,37.70,37.70,36.20,5.96k,-0.79
20170929,38.00,36.90,38.00,36.75,12.43k,2.70
20170928,37.00,36.00,37.50,36.00,4.02k,2.78
20170927,36.00,37.00,37.00,36.00,0.68k,-2.70
20170926,37.00,37.50,37.50,36.75,2.71k,0.00
20170925,37.00,38.60,38.60,36.55,1.03k,-3.90
20170922,38.50,35.50,38.50,34.65,41.10k,7.39
20170921,35.85,36.00,36.00,35.05,1.68k,-0.42
20170920,36.00,35.70,36.00,35.70,4.27k,0.28
20170919,35.90,35.50,36.20,35.40,3.64k,1.70
20170918,35.30,35.65,35.65,35.25,0.90k,-1.53
20170915,35.85,35.00,35.85,35.00,2.16k,0.99
20170914,35.50,35.50,35.85,35.00,5.30k,-1.11
20170913,35.90,35.85,36.30,34.75,4.46k,0.70
20170912,35.65,35.90,35.90,35.15,1.01k,-0.70
20170911,35.90,35.00,36.20,35.00,0.92k,2.43
20170908,35.05,35.10,35.15,34.40,5.28k,-0.14
20170907,35.10,35.00,35.40,35.00,8.08k,1.01
20170906,34.75,35.40,35.40,34.60,5.91k,-1.56
20170905,35.30,35.40,35.40,34.70,3.34k,-0.28
20170904,35.40,35.40,35.40,35.00,2.93k,-0.28
20170901,35.50,35.90,36.00,35.00,1.17k,-0.28
20170831,35.60,34.90,36.00,34.50,15.01k,1.71
