fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,70.000,67.000,70.000,65.000,209.62k,7.69
20180126,65.000,68.400,69.050,65.000,127.88k,-4.41
20180125,68.000,65.900,69.550,65.000,792.49k,4.70
20180124,64.950,62.500,65.000,61.000,391.86k,3.92
20180123,62.500,61.500,62.500,60.300,121.99k,1.13
20180122,61.800,61.450,62.700,60.000,100.41k,0.49
20180119,61.500,62.500,63.400,59.050,219.01k,-1.60
20180118,62.500,61.500,63.500,60.000,211.04k,2.04
20180117,61.250,60.500,61.250,59.000,273.35k,1.24
20180116,60.500,62.700,62.700,60.000,229.50k,-1.14
20180115,61.200,61.000,64.000,61.000,566.94k,-0.33
20180112,61.400,59.800,63.000,59.000,361.22k,4.42
20180111,58.800,59.500,59.500,58.000,434.85k,-0.34
20180110,59.000,58.000,59.850,55.500,400.66k,3.51
20180109,57.000,55.300,57.500,54.500,373.54k,2.06
20180108,55.850,55.500,56.500,53.750,200.91k,0.63
20180105,55.500,53.500,56.000,52.050,246.84k,3.93
20180104,53.400,51.500,53.500,48.500,371.52k,6.16
20180103,50.300,48.600,51.000,45.700,394.79k,2.76
20180102,48.950,45.500,49.000,45.300,396.28k,8.78
20171229,45.000,44.000,45.400,43.500,196.26k,2.74
20171228,43.800,42.000,44.100,41.950,166.50k,4.29
20171227,42.000,42.350,43.900,41.800,198.98k,-3.00
20171226,43.300,43.050,44.000,42.000,132.55k,0.70
20171222,43.000,42.000,43.450,41.100,289.78k,4.24
20171221,41.250,41.000,41.500,40.250,154.79k,0.12
20171220,41.200,41.000,41.900,39.750,172.96k,2.23
20171219,40.300,41.000,41.750,39.900,372.53k,-1.71
20171218,41.000,41.450,42.650,40.200,66.59k,-0.85
20171215,41.350,41.600,43.000,41.300,59.15k,-2.48
20171214,42.400,41.450,43.000,41.450,67.27k,0.24
20171213,42.300,43.600,43.600,42.000,55.64k,-1.63
20171212,43.000,43.500,44.350,42.400,79.94k,0.58
20171211,42.750,43.000,44.500,42.550,56.52k,-0.47
20171207,42.950,43.200,43.200,41.400,90.50k,-0.69
20171206,43.250,43.850,44.100,42.550,99.82k,-1.14
20171205,43.750,43.700,44.750,43.500,223.44k,0.11
20171204,43.700,43.200,45.000,42.000,169.87k,2.70
20171201,42.550,42.450,43.100,41.700,217.16k,0.35
20171130,42.400,42.400,44.000,41.550,220.87k,2.42
20171129,41.400,41.950,42.950,40.400,102.25k,-1.31
