fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,60.000,63.000,63.000,59.000,354.31k,-2.60
20180126,61.600,62.000,62.500,61.000,217.40k,0.98
20180125,61.000,59.800,61.000,59.250,305.50k,2.35
20180124,59.600,57.650,59.600,57.650,226.75k,3.65
20180123,57.500,57.500,58.450,56.050,264.10k,0.00
20180122,57.500,56.000,57.500,55.000,290.98k,2.86
20180119,55.900,55.500,56.000,52.500,380.30k,0.81
20180118,55.450,55.500,56.500,54.900,440.17k,1.00
20180117,54.900,54.000,56.000,53.700,311.55k,3.20
20180116,53.200,53.500,53.700,51.500,622.19k,-0.56
20180115,53.500,50.100,53.850,50.100,316.50k,6.79
20180112,50.100,51.000,51.600,49.650,489.44k,1.01
20180111,49.600,48.600,51.250,48.000,1.63,3.44
20180110,47.950,47.950,47.950,47.050,483.34k,-0.10
20180109,48.000,48.400,49.700,47.700,354.73k,-0.72
20180108,48.350,47.550,48.450,47.250,526.55k,1.79
20180105,47.500,47.400,47.850,46.500,300.66k,0.32
20180104,47.350,46.800,48.000,46.800,251.90k,2.82
20180103,46.050,47.000,48.500,45.800,311.27k,-1.50
20180102,46.750,46.800,48.500,46.500,276.14k,2.19
20171229,45.750,46.000,46.800,44.200,280.29k,1.10
20171228,45.250,45.400,46.750,44.300,329.64k,2.03
20171227,44.350,45.200,45.850,43.650,269.54k,-1.66
20171226,45.100,45.250,45.900,45.000,258.51k,-0.22
20171222,45.200,45.500,46.500,45.200,257.33k,-1.53
20171221,45.900,46.500,46.800,45.300,145.90k,0.66
20171220,45.600,45.000,46.100,44.600,287.23k,3.05
20171219,44.250,42.800,44.850,42.650,394.40k,3.75
20171218,42.650,42.900,43.900,42.200,277.44k,-0.47
20171215,42.850,44.000,44.000,42.500,276.34k,-1.49
20171214,43.500,42.500,44.300,41.000,522.67k,1.40
20171213,42.900,42.900,42.950,42.000,344.23k,1.18
20171212,42.400,43.000,43.000,41.600,258.67k,0.12
20171211,42.350,40.450,42.400,38.650,374.31k,4.44
20171207,40.550,39.000,40.850,38.400,445.90k,3.97
20171206,39.000,38.000,39.000,37.000,431.55k,3.31
20171205,37.750,37.500,38.250,37.100,330.84k,1.07
20171204,37.350,38.100,38.800,37.300,349.01k,-1.71
20171201,38.000,39.000,39.200,38.000,127.25k,-2.56
20171130,39.000,40.000,40.000,37.900,229.81k,0.00
20171129,39.000,38.350,39.500,38.350,226.71k,1.96
20171128,38.250,38.300,39.400,38.000,120.05k,-0.13
20171127,38.300,39.500,40.750,38.200,192.58k,-3.04
20171124,39.500,38.800,40.000,38.000,483.74k,6.04
20171123,37.250,38.000,38.500,37.250,61.85k,-1.46
20171122,37.800,38.950,38.950,37.550,480.67k,0.80
20171121,37.500,38.000,38.500,37.450,370.07k,-1.19
20171117,37.950,39.000,39.250,37.800,225.10k,-2.06
20171116,38.750,39.000,40.000,37.900,782.11k,0.13
20171115,38.700,35.600,39.000,34.500,437.36k,8.71
20171114,35.600,36.800,36.850,33.950,316.65k,-2.73
20171113,36.600,37.000,37.600,36.000,171.36k,-1.35
20171110,37.100,38.300,38.750,37.000,100.37k,-2.62
20171109,38.100,38.700,39.000,38.050,109.84k,-2.31
20171108,39.000,39.300,39.300,38.300,162.19k,-1.27
20171107,39.500,39.800,40.550,38.600,287.31k,-1.25
20171103,40.000,39.500,40.000,38.200,621.11k,2.56
20171102,39.000,39.700,39.700,38.200,152.18k,-0.13
20171101,39.050,38.900,39.700,38.900,381.55k,4.13
20171031,37.500,37.000,38.500,37.000,263.87k,0.00
20171030,37.500,38.000,38.200,37.000,265.53k,-1.83
20171027,38.200,39.000,39.000,37.050,212.19k,-1.55
20171026,38.800,38.500,38.800,38.000,215.42k,1.17
20171025,38.350,38.750,39.000,37.950,423.66k,-1.16
20171024,38.800,38.000,39.000,37.250,539.72k,5.29
20171023,36.850,38.000,38.000,36.850,314.36k,-0.27
20171020,36.950,36.900,37.350,36.200,514.35k,0.96
20171019,36.600,36.200,37.000,35.000,389.53k,1.10
20171018,36.200,36.000,36.750,36.000,239.94k,-1.63
20171017,36.800,37.000,38.000,36.300,336.24k,-1.08
20171013,37.200,37.000,37.500,36.700,257.68k,0.81
20171012,36.900,36.500,38.000,36.500,282.02k,0.00
20171011,36.900,36.950,38.000,36.400,390.04k,-0.14
20171010,36.950,36.350,36.950,36.350,438.36k,2.07
20171009,36.200,37.500,37.500,36.200,326.64k,-2.16
20171006,37.000,37.350,38.000,36.500,268.25k,-0.13
20171005,37.050,36.450,38.000,35.700,640.15k,2.49
20171004,36.150,36.200,36.200,34.600,275.66k,0.70
20171003,35.900,35.550,37.000,35.550,389.77k,1.41
20171002,35.400,34.600,35.950,34.600,359.04k,2.61
20170929,34.500,33.800,35.250,33.800,903.65k,2.22
20170928,33.750,33.400,34.000,33.000,406.76k,1.05
20170927,33.400,34.000,34.000,32.000,246.75k,-0.30
20170926,33.500,33.000,33.500,33.000,376.09k,2.29
20170925,32.750,33.200,33.500,32.400,228.72k,-0.76
20170922,33.000,32.350,33.900,32.350,389.95k,2.17
20170921,32.300,32.350,32.600,32.100,453.93k,-0.15
20170920,32.350,32.000,32.450,31.350,501.68k,2.05
20170919,31.700,31.000,32.000,30.900,639.40k,2.42
20170918,30.950,31.050,31.050,30.500,164.61k,-0.48
20170915,31.100,31.100,31.100,30.750,106.63k,-0.32
20170914,31.200,31.600,31.700,31.050,97.61k,-0.95
20170913,31.500,31.500,31.700,30.950,185.87k,2.94
20170912,30.600,31.500,31.500,30.200,147.67k,-1.77
20170911,31.150,31.300,31.800,31.100,229.09k,0.00
20170908,31.150,31.100,31.500,30.100,101.69k,0.16
20170907,31.100,31.500,31.500,30.900,257.94k,-0.64
20170906,31.300,32.000,32.000,31.100,229.16k,-0.95
20170905,31.600,32.000,32.500,31.300,434.41k,0.00
20170904,31.600,31.000,31.600,30.200,55.46k,2.93
20170901,30.700,30.500,31.000,30.500,137.10k,0.66
20170831,30.500,30.900,31.000,30.400,119.08k,-0.97
20170830,30.800,30.800,31.250,30.800,374.36k,0.49
20170829,30.650,31.200,31.200,30.500,190.39k,-0.49
20170828,30.800,30.500,31.000,30.050,307.28k,0.98
20170825,30.500,30.400,31.000,30.300,525.96k,-1.29
20170824,30.900,30.500,30.900,30.000,467.15k,1.98
20170823,30.300,30.000,30.600,29.300,606.92k,1.17
20170822,29.950,29.750,30.100,29.450,235.11k,0.50
20170818,29.800,29.100,30.000,28.800,743.82k,3.83
20170817,28.700,28.500,28.800,28.150,690.09k,0.70
20170816,28.500,27.500,28.500,27.100,970.04k,2.52
20170815,27.800,28.150,28.200,27.500,857.42k,-1.24
20170814,28.150,27.800,28.300,27.800,1.24,4.26
20170811,27.000,26.200,27.100,26.200,266.37k,3.25
20170810,26.150,26.200,26.450,25.850,120.81k,-0.76
20170809,26.350,26.750,26.800,26.000,343.20k,-1.50
20170808,26.750,26.700,26.900,26.600,142.26k,-0.19
20170807,26.800,26.900,27.100,26.500,259.18k,-0.19
20170804,26.850,26.750,27.100,26.600,151.23k,0.19
20170803,26.800,26.500,26.900,26.150,270.10k,0.75
20170802,26.600,26.500,26.650,26.000,119.86k,-0.56
20170801,26.750,26.800,27.000,26.550,192.00k,-0.19
20170731,26.800,26.750,26.900,26.500,216.38k,1.13
20170728,26.500,26.850,27.100,26.300,685.71k,-1.30
20170727,26.850,26.900,27.000,26.500,279.42k,-0.19
20170726,26.900,26.500,27.000,26.450,160.76k,0.00
20170725,26.900,26.700,27.000,26.100,330.77k,0.94
20170724,26.650,26.800,27.300,26.150,327.12k,-0.93
20170721,26.900,26.100,26.900,26.100,302.47k,2.28
20170720,26.300,26.100,26.400,25.900,164.81k,0.38
20170719,26.200,26.400,26.550,25.700,166.35k,-0.57
20170718,26.350,25.700,26.400,25.550,485.34k,2.13
20170717,25.800,25.650,25.900,25.300,366.55k,-0.96
20170714,26.050,25.500,26.400,25.400,265.44k,0.19
20170713,26.000,26.100,26.100,24.900,402.53k,-2.26
20170712,26.600,26.000,26.950,26.000,231.01k,-0.37
20170711,26.700,26.400,26.800,26.200,230.82k,0.19
20170710,26.650,26.400,26.900,26.100,151.56k,0.19
20170707,26.600,26.200,26.700,26.200,130.06k,1.14
20170706,26.300,26.950,27.000,26.200,450.25k,-2.05
20170705,26.850,26.200,27.000,26.000,656.07k,2.09
20170704,26.300,26.300,26.550,26.000,175.33k,-0.38
20170703,26.400,26.650,26.800,26.350,438.27k,0.00
20170630,26.400,25.800,26.550,25.800,394.80k,2.72
20170629,25.700,25.700,26.300,25.500,421.06k,0.00
20170628,25.700,25.000,25.750,24.900,414.29k,2.80
20170627,25.000,25.300,25.300,24.900,165.32k,-1.57
20170626,25.400,25.500,25.500,24.750,130.92k,0.79
20170623,25.200,25.000,25.400,25.000,141.53k,1.82
20170622,24.750,24.500,25.500,24.500,252.64k,-0.60
20170621,24.900,24.000,25.100,24.000,1.01,-3.30
20170619,25.750,25.600,26.000,25.500,190.34k,2.18
20170616,25.200,24.200,25.300,24.150,119.14k,4.13
20170615,24.200,24.500,24.500,23.750,137.22k,-1.02
20170614,24.450,24.850,24.900,23.700,279.57k,-0.61
20170613,24.600,24.900,24.900,24.100,170.77k,0.82
20170612,24.400,25.000,25.000,23.900,325.78k,-1.41
20170609,24.750,24.200,25.000,24.200,177.19k,1.23
20170608,24.450,24.550,25.000,24.400,377.71k,-1.01
20170607,24.700,26.000,26.000,24.500,428.16k,-2.18
20170606,25.250,26.000,26.000,25.000,414.37k,-1.56
20170605,25.650,26.000,26.000,25.350,233.50k,-1.16
20170602,25.950,26.600,26.600,25.800,390.09k,0.58
20170601,25.800,26.250,26.500,25.600,574.14k,-0.39
20170531,25.900,26.300,26.300,25.750,498.44k,-0.77
20170530,26.100,27.300,27.300,26.050,1.97,-5.09
20170529,27.500,26.350,27.600,26.350,592.60k,5.57
20170526,26.050,25.950,26.050,24.900,1.66,4.20
20170524,25.000,25.200,25.400,24.900,216.39k,-0.79
20170523,25.200,25.300,25.400,24.900,102.48k,-0.40
20170522,25.300,25.750,26.000,24.800,201.83k,-1.75
20170519,25.750,26.500,26.500,25.500,246.20k,0.98
20170518,25.500,25.000,25.700,23.900,304.71k,1.19
20170517,25.200,25.700,25.700,25.000,107.36k,-1.95
20170516,25.700,25.550,25.850,25.400,191.51k,0.19
20170515,25.650,25.800,25.950,25.400,236.35k,-1.35
20170512,26.000,26.300,26.350,25.850,103.67k,0.00
20170511,26.000,26.000,26.300,25.900,110.98k,0.00
20170510,26.000,26.350,26.350,25.850,145.13k,0.00
20170509,26.000,25.500,26.250,25.300,164.09k,2.36
20170508,25.400,25.800,25.850,25.000,211.91k,-1.74
20170505,25.850,26.100,26.500,25.600,125.51k,-1.71
20170504,26.300,26.500,27.000,25.500,203.91k,-1.50
20170503,26.700,26.900,27.000,26.550,131.07k,-1.11
20170502,27.000,26.850,27.200,26.500,272.74k,0.75
20170428,26.800,26.250,26.850,25.500,397.85k,2.10
20170427,26.250,26.900,26.900,26.100,598.38k,-3.14
20170426,27.100,27.500,27.650,27.000,232.67k,-1.99
20170425,27.650,28.400,28.400,27.600,247.64k,-2.64
20170424,28.400,28.450,28.600,28.200,293.22k,0.18
20170421,28.350,28.000,28.350,27.700,327.03k,1.61
20170420,27.900,28.000,28.000,27.500,176.16k,0.36
20170419,27.800,27.000,28.200,27.000,278.48k,1.09
20170418,27.500,27.500,27.800,27.450,216.76k,0.36
20170417,27.400,27.800,27.800,27.350,355.06k,0.74
20170412,27.200,26.950,27.300,26.450,398.41k,1.30
20170411,26.850,26.100,26.850,26.100,476.38k,3.07
20170410,26.050,26.300,26.550,25.650,484.76k,-0.57
20170407,26.200,26.700,26.700,26.150,454.63k,-1.87
20170406,26.700,26.500,26.900,26.400,414.02k,0.75
20170405,26.500,26.800,26.800,26.400,349.25k,-1.49
20170404,26.900,26.850,27.000,26.500,635.47k,0.19
20170403,26.850,26.900,26.950,26.500,325.56k,0.75
20170331,26.650,26.700,26.950,26.500,514.78k,0.95
20170330,26.400,26.800,27.000,26.400,488.64k,-1.86
20170329,26.900,26.250,26.950,26.250,876.39k,2.87
20170328,26.150,25.850,26.200,25.500,673.69k,1.75
20170327,25.700,26.000,26.000,25.000,244.55k,0.59
20170323,25.550,25.800,26.000,25.500,139.79k,-0.58
20170322,25.700,25.250,25.900,25.250,132.01k,1.18
20170321,25.400,25.600,25.800,25.400,277.87k,-0.78
20170320,25.600,25.200,26.000,25.200,57.16k,1.19
20170317,25.300,25.000,25.500,24.650,314.73k,-0.78
20170316,25.500,25.500,25.900,24.900,215.76k,1.19
20170315,25.200,25.850,25.850,24.800,288.65k,1.20
20170314,24.900,25.550,25.700,24.900,83.35k,-2.16
20170313,25.450,25.050,25.800,25.000,125.41k,3.88
20170310,24.500,24.800,25.000,24.350,222.99k,0.41
20170309,24.400,24.800,25.300,24.400,422.11k,-1.61
20170308,24.800,25.300,25.300,24.400,333.15k,-2.36
20170307,25.400,25.850,26.000,25.300,258.28k,-1.55
20170306,25.800,26.200,26.500,25.500,186.56k,-1.34
20170303,26.150,26.150,27.000,26.000,123.01k,0.38
20170302,26.050,26.650,27.300,25.600,76.52k,-2.25
20170301,26.650,26.350,27.000,26.350,32.62k,1.72
20170224,26.200,26.400,26.700,25.800,93.58k,-0.76
20170223,26.400,27.300,27.300,26.000,287.99k,-2.94
20170222,27.200,27.100,27.300,26.800,146.51k,0.37
20170221,27.100,28.100,28.300,26.900,688.70k,-3.04
20170220,27.950,27.100,28.150,27.000,212.12k,3.52
20170217,27.000,26.000,27.200,26.000,339.82k,3.85
20170216,26.000,26.400,26.400,25.600,203.44k,0.58
20170215,25.850,25.850,26.150,25.600,179.34k,0.19
20170214,25.800,25.550,25.800,25.450,197.48k,1.18
20170213,25.500,25.800,25.800,25.350,201.23k,0.59
20170210,25.350,25.400,25.800,25.050,310.32k,-0.20
20170209,25.400,25.200,25.850,25.000,374.30k,2.01
20170208,24.900,26.350,26.350,24.900,519.75k,-5.50
20170207,26.350,26.300,26.800,26.000,820.28k,0.19
20170206,26.300,27.000,27.100,26.300,211.18k,-1.50
20170203,26.700,27.700,27.700,26.450,471.48k,-3.61
20170202,27.700,27.200,27.750,26.400,514.55k,2.03
20170201,27.150,27.000,27.500,26.500,650.16k,1.50
20170131,26.750,26.000,27.000,25.100,676.58k,7.86
20170130,24.800,24.400,25.250,24.400,467.69k,1.64
20170127,24.400,24.300,24.700,24.200,191.99k,0.41
20170126,24.300,24.600,24.750,24.300,164.99k,-1.22
20170125,24.600,24.600,25.000,24.500,161.95k,0.00
20170124,24.600,25.200,25.500,24.600,355.74k,-1.99
20170123,25.100,24.900,25.200,24.500,171.93k,1.62
20170120,24.700,24.650,25.100,24.650,109.36k,0.20
20170119,24.650,25.000,25.100,24.300,101.96k,0.00
