fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,24.900,24.900,24.900,24.900,0.35k,-4.23
20180126,26.000,26.000,26.000,26.000,0.40k,0.00
20180125,26.000,26.000,26.000,26.000,0.26k,3.38
20180124,25.150,24.950,25.150,24.950,0.21k,-1.37
20180123,25.500,24.350,25.500,24.350,3.38k,6.25
20180122,24.000,25.200,25.200,24.000,1.88k,-14.29
20180119,28.000,34.000,34.000,28.000,1.48k,-22.22
20180118,36.000,38.000,38.000,36.000,5.48k,-4.00
20180117,37.500,31.000,37.500,31.000,1.91k,32.98
20180116,28.200,23.350,28.200,23.350,14.88k,32.71
20180115,21.250,17.600,21.250,17.600,3.51k,32.81
20180112,16.000,14.000,16.000,14.000,0.66k,20.30
20180111,13.300,12.100,13.300,12.100,1.00k,20.91
20180110,11.000,10.000,11.000,10.000,1.48k,-0.90
20180109,11.100,12.300,12.300,11.100,2.63k,-18.68
20180108,13.650,15.150,15.150,13.650,1.85k,-18.75
20180105,16.800,18.650,18.650,16.800,1.16k,-18.84
20180104,20.700,23.000,23.000,20.700,0.34k,-18.98
20180103,25.550,31.500,31.500,25.550,0.24k,-10.04
20171229,28.400,35.000,35.000,28.400,0.03k,-18.86
20171130,35.000,39.000,90.000,27.500,45.56k,-7.89
20171129,38.000,12.000,47.100,12.000,19.50k,435.21
20171124,7.100,7.200,7.200,6.900,1.70k,-11.03
20171121,7.980,7.980,7.980,7.980,0.25k,0.00
20171117,7.980,7.980,7.980,7.980,1.00k,5.00
20171115,7.600,7.600,7.600,7.600,2.00k,-5.00
20171114,8.000,8.000,8.000,8.000,24.58k,-11.11
20171110,9.000,9.000,9.000,9.000,1.29k,0.00
20170622,9.000,9.000,9.000,9.000,1.00k,0.00
20170215,9.000,9.000,9.000,9.000,0.90k,11.11
20170213,8.100,8.100,8.100,8.100,-,0.00
20170210,8.100,8.100,8.100,8.100,1.50k,-10.00
20161109,9.000,9.000,9.000,9.000,-,5.88
20161108,8.500,8.500,8.500,8.500,-,4.94
20161107,8.100,8.100,8.100,8.100,0.55k,-10.00
