fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,10.300,10.100,10.400,10.000,42.66k,0.00
20180126,10.300,10.300,10.500,10.100,77.15k,0.49
20180125,10.250,10.300,10.500,10.050,46.46k,0.00
20180124,10.250,9.970,10.400,9.970,107.66k,-0.49
20180123,10.300,10.000,10.300,10.000,51.18k,2.49
20180122,10.050,10.600,10.600,10.000,100.66k,-4.29
20180119,10.500,10.000,10.600,9.900,52.23k,2.94
20180118,10.200,10.150,10.250,9.900,131.82k,0.00
20180117,10.200,10.300,10.300,10.000,59.97k,-0.97
20180116,10.300,10.500,10.500,10.000,104.84k,0.00
20180115,10.300,10.000,10.400,10.000,132.98k,0.49
20180112,10.250,10.250,10.250,10.100,103.96k,0.99
20180111,10.150,10.000,10.250,9.800,129.43k,2.53
20180110,9.900,10.150,10.150,9.700,95.78k,-2.94
20180109,10.200,10.450,10.700,10.150,91.77k,-2.86
20180108,10.500,10.500,10.550,10.000,286.78k,-1.87
20180105,10.700,10.600,11.000,10.450,295.87k,2.88
20180104,10.400,9.940,10.600,9.900,171.83k,5.58
20180103,9.850,9.850,9.850,9.300,78.28k,3.31
20180102,9.534,9.080,9.534,9.080,343.76k,6.78
20171229,8.929,9.005,9.307,8.929,289.29k,-0.84
20171228,9.005,8.324,9.005,8.324,171.16k,8.18
20171227,8.324,8.324,8.588,8.172,43.20k,0.00
20171226,8.324,8.172,8.399,8.172,43.03k,1.86
20171222,8.172,8.097,8.286,8.021,73.40k,1.88
20171221,8.021,8.172,8.172,7.983,51.50k,-1.85
20171220,8.172,8.097,8.248,7.794,153.19k,1.40
20171219,8.059,7.983,8.097,7.945,56.27k,2.40
20171218,7.870,7.643,7.870,7.643,29.49k,1.97
20171215,7.718,7.680,7.870,7.567,46.78k,0.49
20171214,7.680,7.794,7.945,7.605,27.05k,-2.41
20171213,7.870,8.097,8.097,7.567,145.39k,0.00
20171212,7.870,7.756,7.870,7.567,111.71k,1.47
20171211,7.756,7.794,8.286,7.567,512.73k,-0.49
20171207,7.794,8.134,8.134,7.756,102.67k,-1.90
20171206,7.945,8.134,8.134,7.945,51.44k,-2.32
20171205,8.134,8.324,8.324,8.059,40.85k,-3.16
20171204,8.399,8.551,8.551,8.399,48.96k,-1.34
20171201,8.513,8.702,8.778,8.513,12.19k,-2.17
20171130,8.702,8.740,8.740,8.551,7.44k,-2.54
20171129,8.929,8.891,9.005,8.778,15.95k,2.61
20171128,8.702,8.702,8.702,8.588,23.35k,0.00
20171127,8.702,8.702,8.929,8.588,35.77k,-1.29
20171124,8.816,8.702,8.853,8.702,9.38k,0.00
20171123,8.816,8.891,8.891,8.513,51.46k,-1.68
20171122,8.967,9.080,9.080,8.891,11.69k,0.00
20171121,8.967,8.929,9.156,8.929,28.35k,-0.84
20171117,9.043,8.702,9.043,8.702,52.82k,3.92
20171116,8.702,9.156,9.307,8.702,36.03k,-3.36
20171115,9.005,8.475,9.270,7.945,144.82k,6.25
20171114,8.475,9.156,9.156,8.361,78.35k,-6.66
20171113,9.080,9.459,9.459,8.778,62.32k,-2.84
20171110,9.345,9.837,9.837,9.345,25.24k,-5.00
20171109,9.837,10.178,10.215,9.761,60.76k,0.00
20171108,9.837,9.761,9.837,9.610,23.89k,1.56
20171107,9.686,10.140,10.140,9.648,62.70k,-1.54
20171103,9.837,9.686,9.837,9.345,43.14k,3.18
20171102,9.534,9.534,9.837,9.459,85.65k,0.79
20171101,9.459,9.459,9.459,9.345,63.57k,4.17
20171031,9.080,8.816,9.118,8.816,88.34k,2.13
20171030,8.891,8.929,9.080,8.702,25.49k,-0.43
20171027,8.929,9.232,9.232,8.929,53.17k,-1.66
20171026,9.080,8.929,9.459,8.929,126.09k,0.41
20171025,9.043,9.118,9.118,8.967,32.34k,-0.41
20171024,9.080,9.307,9.307,8.929,94.92k,-0.83
20171023,9.156,9.496,9.496,9.080,80.44k,0.84
20171020,9.080,9.043,9.383,9.043,109.81k,0.83
20171019,9.005,8.702,9.043,8.361,55.65k,4.39
