fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,8.650,8.690,8.690,8.430,43.87k,-0.57
20180126,8.700,8.600,8.700,8.500,42.69k,1.16
20180125,8.600,8.750,8.750,8.600,10.83k,-1.83
20180124,8.760,8.600,8.760,8.600,13.30k,-0.45
20180123,8.800,8.750,8.900,8.740,27.88k,0.57
20180122,8.750,8.840,8.850,8.550,16.75k,1.16
20180119,8.650,8.700,8.800,8.650,17.33k,-3.78
20180118,8.990,8.800,8.990,8.700,17.00k,1.01
20180117,8.900,8.870,8.900,8.560,46.31k,0.34
20180116,8.870,9.000,9.100,8.700,20.98k,-1.44
20180115,9.000,9.250,9.250,9.000,35.96k,-1.64
20180112,9.150,8.750,9.150,8.650,31.32k,1.10
20180111,9.050,8.800,9.050,8.800,21.95k,2.84
20180110,8.800,8.990,8.990,8.700,27.61k,-2.11
20180109,8.990,8.990,9.000,8.800,39.16k,0.00
20180108,8.990,8.280,9.000,8.270,41.61k,1.01
20180105,8.900,9.100,9.200,8.850,7.37k,-2.20
20180104,9.100,9.100,9.300,8.800,56.22k,-1.19
20180103,9.210,8.700,9.210,8.600,57.73k,4.66
20180102,8.800,8.380,8.800,8.380,66.70k,3.65
20171229,8.490,8.200,8.490,8.200,88.82k,3.54
20171228,8.200,8.190,8.400,8.100,74.44k,0.12
20171227,8.190,8.390,8.390,8.000,20.24k,-2.38
20171226,8.390,8.500,8.800,8.220,49.84k,-0.47
20171222,8.430,8.000,8.800,8.000,97.18k,5.38
20171221,8.000,8.100,8.100,8.000,30.98k,-1.48
20171220,8.120,8.100,8.150,8.050,28.38k,-0.37
20171219,8.150,8.130,8.200,8.100,17.94k,0.25
20171218,8.130,8.190,8.200,8.050,11.96k,-0.73
20171215,8.190,8.150,8.200,8.150,9.10k,0.12
20171214,8.180,8.060,8.180,8.000,25.02k,0.62
20171213,8.130,8.000,8.170,8.000,24.41k,-0.73
20171212,8.190,8.200,8.600,8.000,23.41k,-0.12
20171211,8.200,8.200,8.250,8.000,23.93k,0.00
20171207,8.200,8.100,8.200,7.900,26.96k,0.74
20171206,8.140,8.200,8.200,8.060,10.85k,-1.33
20171205,8.250,8.400,8.700,8.020,36.77k,-4.62
20171204,8.650,8.500,8.650,8.500,9.03k,-1.59
20171201,8.790,8.620,8.800,8.420,16.65k,1.03
20171130,8.700,8.600,8.700,8.600,2.20k,-1.14
20171129,8.800,8.800,8.850,8.600,14.46k,-1.12
20171128,8.900,8.850,8.900,8.800,7.09k,0.56
20171127,8.850,8.850,8.850,8.600,53.15k,0.00
20171124,8.850,8.690,8.850,8.670,49.22k,0.57
20171123,8.800,8.720,8.800,8.720,61.80k,0.00
20171122,8.800,8.650,8.900,8.650,14.73k,1.73
20171121,8.650,8.700,8.700,8.500,5.30k,-0.57
20171117,8.700,8.800,8.820,8.510,23.48k,-1.14
20171116,8.800,8.800,8.900,8.550,36.72k,0.00
20171115,8.800,8.700,8.800,8.400,79.07k,1.85
20171114,8.640,8.900,9.000,8.500,38.40k,-2.92
20171113,8.900,8.900,9.200,8.800,39.74k,0.00
20171110,8.900,9.300,9.300,8.500,130.61k,-2.73
20171109,9.150,9.100,9.250,8.800,179.49k,0.55
20171108,9.100,9.100,9.300,9.000,45.84k,-0.22
20171107,9.120,9.200,9.250,9.060,20.52k,-0.87
20171103,9.200,9.050,9.200,9.000,31.21k,1.66
20171102,9.050,9.000,9.050,8.850,104.28k,2.26
20171101,8.850,8.750,8.850,8.720,51.10k,1.14
20171031,8.750,8.750,9.000,8.630,19.12k,0.00
20171030,8.750,8.500,8.750,8.300,41.18k,0.57
20171027,8.700,8.690,8.740,8.600,50.15k,0.12
20171026,8.690,8.350,8.750,8.300,109.90k,4.70
20171025,8.300,8.350,8.350,8.060,45.71k,0.00
20171024,8.300,8.150,8.350,8.140,51.12k,1.84
20171023,8.150,8.000,8.160,7.850,187.67k,5.30
20171020,7.740,7.790,7.860,7.630,65.43k,-0.64
20171019,7.790,7.900,7.950,7.660,7.82k,-0.76
20171018,7.850,8.000,8.000,7.800,11.16k,-2.85
20171017,8.080,8.000,8.300,8.000,54.52k,-0.74
20171013,8.140,8.150,8.170,7.800,84.32k,0.49
20171012,8.100,8.000,8.100,7.990,42.65k,-0.25
20171011,8.120,8.050,8.500,7.860,226.41k,-2.75
20171010,8.350,8.050,8.350,7.860,73.05k,3.73
20171009,8.050,8.000,8.050,7.800,56.79k,-0.62
20171006,8.100,8.180,8.180,7.900,44.50k,-0.61
20171005,8.150,8.140,8.300,8.140,48.71k,0.00
20171004,8.150,8.250,8.750,7.880,62.36k,-1.21
20171003,8.250,8.050,8.410,8.000,100.07k,3.13
20171002,8.000,7.800,8.000,7.800,169.19k,2.56
