fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,162.00,166.10,166.10,161.50,284.72k,-2.41
20180126,166.00,166.95,168.05,163.85,62.16k,-1.19
20180125,168.00,167.10,168.10,165.00,118.44k,0.54
20180124,167.10,164.00,170.00,164.00,68.32k,1.92
20180123,163.95,164.00,164.20,162.30,39.25k,1.11
20180122,162.15,164.45,165.85,161.00,50.31k,-1.13
20180119,164.00,167.90,168.45,163.00,45.71k,-2.64
20180118,168.45,168.50,169.50,165.20,52.05k,-0.47
20180117,169.25,169.00,170.50,164.95,93.34k,0.74
20180116,168.00,171.00,171.00,164.55,89.07k,-1.75
20180115,171.00,165.00,174.95,163.90,68.81k,3.64
20180112,165.00,159.50,165.00,159.00,83.59k,3.77
20180111,159.00,157.65,159.50,156.60,79.10k,0.35
20180110,158.45,161.95,161.95,157.00,80.22k,-2.37
20180109,162.30,164.95,164.95,158.00,56.39k,-1.64
20180108,165.00,161.90,165.00,159.40,209.48k,2.10
20180105,161.60,160.00,163.45,159.45,100.87k,2.60
20180104,157.50,156.00,160.00,156.00,94.22k,1.61
20180103,155.00,157.50,159.95,154.90,98.68k,-1.59
20180102,157.50,155.00,160.00,155.00,147.30k,2.27
20171229,154.00,157.00,160.00,154.00,122.81k,-1.91
20171228,157.00,155.00,160.50,153.30,154.59k,3.29
20171227,152.00,151.05,155.50,151.05,199.04k,-0.46
20171226,152.70,151.05,157.00,149.00,271.03k,1.13
20171222,151.00,152.00,153.50,150.65,117.90k,0.53
20171221,150.20,147.00,150.80,145.50,196.49k,1.80
20171220,147.55,147.35,148.50,147.00,140.83k,0.10
20171219,147.40,143.00,147.40,142.00,115.43k,3.80
20171218,142.00,140.00,142.00,139.00,121.06k,2.53
20171215,138.50,139.00,141.20,137.00,248.07k,-0.36
20171214,139.00,136.00,139.00,135.30,142.02k,1.35
20171213,137.15,133.00,138.90,133.00,278.89k,2.73
20171212,133.50,129.05,134.70,128.00,224.66k,4.05
20171211,128.30,128.00,129.60,125.40,197.07k,1.34
20171207,126.60,125.00,126.60,123.50,39.18k,2.10
20171206,124.00,123.00,124.90,120.00,76.88k,1.64
20171205,122.00,120.40,123.00,120.00,94.48k,1.24
20171204,120.50,119.25,121.00,118.15,75.33k,1.18
20171201,119.10,121.50,121.60,119.00,34.15k,-1.57
20171130,121.00,124.00,126.00,121.00,67.12k,-2.42
20171129,124.00,127.50,127.50,122.15,62.68k,-0.40
20171128,124.50,128.95,129.35,124.30,104.34k,-0.40
20171127,125.00,125.00,131.00,125.00,293.36k,0.00
20171124,125.00,124.95,127.90,124.50,215.25k,2.46
20171123,122.00,129.00,129.45,121.05,29.60k,-2.24
20171122,124.80,128.00,130.00,124.75,110.74k,-2.23
20171121,127.65,127.95,129.50,126.55,150.17k,3.11
20171117,123.80,122.00,125.00,120.05,261.90k,1.56
20171116,121.90,122.80,124.75,120.50,142.84k,1.80
20171115,119.75,111.00,121.00,110.00,125.04k,5.32
20171114,113.70,118.00,118.10,113.00,131.57k,-3.64
20171113,118.00,121.50,121.50,117.75,63.79k,-3.28
20171110,122.00,122.90,125.00,119.05,131.16k,-0.49
20171109,122.60,124.00,125.00,122.25,93.50k,-0.73
20171108,123.50,122.00,123.50,121.15,119.80k,0.94
20171107,122.35,125.00,125.00,121.80,136.15k,-2.90
20171103,126.00,124.40,126.00,122.25,46.86k,1.12
20171102,124.60,126.00,126.00,122.05,145.07k,-1.03
20171101,125.90,131.50,131.50,125.85,131.14k,-3.15
20171031,130.00,131.00,131.00,127.00,98.19k,0.39
20171030,129.50,129.50,129.50,128.10,69.62k,0.00
20171027,129.50,132.00,132.00,129.00,59.31k,-1.52
20171026,131.50,131.95,132.00,129.25,114.68k,1.15
20171025,130.00,130.05,130.30,127.00,108.81k,0.00
20171024,130.00,130.15,130.50,128.50,290.27k,0.00
20171023,130.00,126.50,132.00,125.30,268.74k,4.00
20171020,125.00,124.90,126.00,123.30,260.39k,0.04
20171019,124.95,124.50,125.20,123.00,216.75k,0.36
