fecha,ultima,apertura,maximo,minimo,vol,varianza
20180129,15.95,16.00,16.20,15.50,149.69k,0.31
20180126,15.90,15.35,16.25,15.35,364.74k,3.92
20180125,15.30,14.90,15.40,14.70,75.42k,2.68
20180124,14.90,14.40,15.10,14.40,104.75k,2.76
20180123,14.50,14.40,14.90,14.20,46.46k,0.35
20180122,14.45,14.50,14.70,14.30,114.60k,-1.70
20180119,14.70,14.80,14.80,14.50,71.17k,-0.68
20180118,14.80,14.80,15.00,14.70,28.79k,0.00
20180117,14.80,15.00,15.20,14.30,86.64k,-1.00
20180116,14.95,14.80,14.95,14.65,80.19k,1.01
20180115,14.80,15.10,15.95,14.80,106.93k,-1.99
20180112,15.10,15.10,15.40,14.80,145.14k,0.00
20180111,15.10,14.00,15.20,14.00,455.73k,7.86
20180110,14.00,13.50,14.00,13.50,48.32k,0.00
20180109,14.00,14.10,14.10,13.80,47.07k,-0.71
20180108,14.10,14.10,14.25,13.55,145.70k,0.36
20180105,14.05,14.30,14.30,13.85,117.25k,-0.35
20180104,14.10,14.10,14.30,13.80,107.05k,-0.35
20180103,14.15,14.00,14.25,13.70,140.47k,1.43
20180102,13.95,13.10,14.10,13.10,409.61k,5.68
20171229,13.20,13.30,13.30,12.90,61.68k,0.38
20171228,13.15,13.00,13.45,12.80,102.10k,2.33
20171227,12.85,12.80,12.90,12.60,97.64k,-0.39
20171226,12.90,13.10,13.20,12.60,42.34k,-0.39
20171222,12.95,12.10,13.10,11.80,201.85k,5.28
20171221,12.30,12.15,12.45,12.05,73.41k,0.00
20171220,12.30,12.00,12.30,11.90,127.45k,2.50
20171219,12.00,12.25,12.25,11.70,36.17k,0.00
20171218,12.00,11.70,12.25,11.70,15.29k,0.00
20171215,12.00,12.30,12.30,11.80,37.82k,-1.64
20171214,12.20,12.70,12.70,11.90,18.64k,-0.41
20171213,12.25,12.35,12.40,11.95,23.61k,-0.81
20171212,12.35,12.35,12.45,12.00,41.07k,0.00
20171211,12.35,12.10,12.45,12.10,36.37k,1.23
20171207,12.20,12.15,12.20,11.70,48.26k,0.83
20171206,12.10,12.10,12.30,11.80,61.85k,-2.42
20171205,12.40,12.90,12.90,12.30,26.32k,-3.13
20171204,12.80,12.80,12.80,12.10,51.28k,0.79
20171201,12.70,12.70,13.00,12.30,32.67k,0.79
20171130,12.60,12.40,12.60,12.10,21.63k,0.40
20171129,12.55,12.35,12.65,12.35,17.01k,-0.79
20171128,12.65,12.75,12.75,12.15,67.13k,-0.78
20171127,12.75,13.10,13.10,12.50,74.73k,-2.67
20171124,13.10,13.55,13.55,12.80,147.56k,-0.76
20171123,13.20,13.50,13.60,12.90,313.09k,0.38
20171122,13.15,11.30,13.15,11.30,595.86k,14.35
20171121,11.50,11.60,11.60,11.20,31.53k,-0.43
20171117,11.55,11.50,11.55,11.00,60.17k,1.32
20171116,11.40,11.55,11.55,11.10,107.43k,0.00
20171115,11.40,10.85,11.55,10.50,113.19k,5.07
20171114,10.85,11.40,11.75,10.80,28.46k,-4.82
20171113,11.40,11.70,11.70,11.10,87.77k,-0.87
20171110,11.50,12.00,12.00,11.25,113.14k,-4.17
20171109,12.00,11.70,12.00,11.65,164.61k,3.45
20171108,11.60,11.20,12.00,11.20,480.80k,3.57
20171107,11.20,10.90,11.30,10.80,385.77k,4.19
20171103,10.75,10.80,11.00,10.25,482.29k,3.86
